"ScramblingfromtheSand_RANKTHISWEEK_2007","ScramblingfromtheSand_RANKLASTWEEK_2007","ScramblingfromtheSand_PLAYERNAME_2007","ScramblingfromtheSand_ROUNDS_2007","ScramblingfromtheSand_Pct_2007","ScramblingfromtheSand_SUCCESSES_2007","ScramblingfromtheSand_ATTEMPTS_2007","stat_name","year"
1,1,"Tim Clark",66,75.32,58,77,"ScramblingfromtheSand",2007
2,2,"Stuart Appleby",74,65.33,49,75,"ScramblingfromtheSand",2007
3,3,"Tiger Woods",63,65.22,30,46,"ScramblingfromtheSand",2007
4,4,"Geoff Ogilvy",84,64.86,48,74,"ScramblingfromtheSand",2007
5,5,"Chris Riley",59,64.79,46,71,"ScramblingfromtheSand",2007
6,6,"Charles Howell III",89,63.64,56,88,"ScramblingfromtheSand",2007
6,6,"Justin Rose",63,63.64,35,55,"ScramblingfromtheSand",2007
8,8,"Dicky Pride",71,63.41,52,82,"ScramblingfromtheSand",2007
9,9,"Ernie Els",59,62.5,35,56,"ScramblingfromtheSand",2007
10,10,"Jonathan Byrd",73,61.9,52,84,"ScramblingfromtheSand",2007
11,11,"Rory Sabbatini",81,61.73,50,81,"ScramblingfromtheSand",2007
12,12,"Jose Coceres",50,61.64,45,73,"ScramblingfromtheSand",2007
13,13,"Luke Donald",69,61.43,43,70,"ScramblingfromtheSand",2007
14,14,"Marco Dawson",73,61.33,46,75,"ScramblingfromtheSand",2007
15,15,"Sergio Garcia",68,61.11,33,54,"ScramblingfromtheSand",2007
15,15,"Mike Weir",82,61.11,44,72,"ScramblingfromtheSand",2007
17,17,"Craig Barlow",52,61.02,36,59,"ScramblingfromtheSand",2007
18,18,"Anthony Kim",93,60.82,59,97,"ScramblingfromtheSand",2007
19,19,"Scott Verplank",82,60.71,51,84,"ScramblingfromtheSand",2007
20,20,"Bob Heintz",85,60.58,63,104,"ScramblingfromtheSand",2007
21,21,"Alex Cejka",80,60.49,49,81,"ScramblingfromtheSand",2007
22,22,"Andrew Buckle",77,60.47,52,86,"ScramblingfromtheSand",2007
23,23,"Matt Kuchar",85,60.42,58,96,"ScramblingfromtheSand",2007
24,24,"Fred Funk",65,60,48,80,"ScramblingfromtheSand",2007
24,24,"Pat Perez",84,60,51,85,"ScramblingfromtheSand",2007
26,26,"KJ Choi",87,59.78,55,92,"ScramblingfromtheSand",2007
26,26,"Rod Pampling",92,59.78,55,92,"ScramblingfromtheSand",2007
