"Total1PuttsInside5_RANKTHISWEEK_2005","Total1PuttsInside5_RANKLASTWEEK_2005","Total1PuttsInside5_PLAYERNAME_2005","Total1PuttsInside5_ROUNDS_2005","Total1PuttsInside5_TOTAL_2005","Total1PuttsInside5_TOTALFORALLDISTANCES_2005","Total1PuttsInside5_PCTOFALL1PUTTS_2005","stat_name","year"
1,1,"Brian Gay",101,342,701,48.8,"Total1PuttsInside5",2005
1,1,"Patrick Sheehan",114,342,698,49,"Total1PuttsInside5",2005
1,1,"Joey Sindelar",104,342,666,51.4,"Total1PuttsInside5",2005
4,4,"Tom Pernice Jr",111,339,650,52.2,"Total1PuttsInside5",2005
5,5,"Carl Pettersson",109,336,673,49.9,"Total1PuttsInside5",2005
6,6,"Todd Fischer",99,335,656,51.1,"Total1PuttsInside5",2005
6,6,"Steve Lowery",100,335,631,53.1,"Total1PuttsInside5",2005
8,8,"Daniel Chopra",108,334,679,49.2,"Total1PuttsInside5",2005
9,9,"Hidemichi Tanaka",106,333,655,50.8,"Total1PuttsInside5",2005
10,10,"Jonathan Byrd",103,329,650,50.6,"Total1PuttsInside5",2005
10,10,"Ted Purdy",122,329,652,50.5,"Total1PuttsInside5",2005
12,12,"Shigeki Maruyama",99,321,635,50.6,"Total1PuttsInside5",2005
13,13,"Vijay Singh",111,318,642,49.5,"Total1PuttsInside5",2005
14,14,"Cameron Beckman",96,317,607,52.2,"Total1PuttsInside5",2005
14,14,"Hunter Mahan",103,317,643,49.3,"Total1PuttsInside5",2005
16,16,"Vaughn Taylor",99,314,637,49.3,"Total1PuttsInside5",2005
17,17,"Harrison Frazar",105,313,656,47.7,"Total1PuttsInside5",2005
18,18,"Steve Allan",102,312,622,50.2,"Total1PuttsInside5",2005
18,18,"Bo Van Pelt",112,312,653,47.8,"Total1PuttsInside5",2005
20,20,"Woody Austin",100,311,645,48.2,"Total1PuttsInside5",2005
21,21,"Glen Day",80,307,562,54.6,"Total1PuttsInside5",2005
21,21,"Justin Rose",99,307,613,50.1,"Total1PuttsInside5",2005
23,23,"Kevin Na",88,306,610,50.2,"Total1PuttsInside5",2005
24,24,"Michael Allen",90,305,553,55.2,"Total1PuttsInside5",2005
25,25,"Neal Lancaster",95,302,605,49.9,"Total1PuttsInside5",2005
26,26,"Tag Ridings",93,301,628,47.9,"Total1PuttsInside5",2005
27,27,"Bob Estes",92,300,575,52.2,"Total1PuttsInside5",2005
28,28,"John Huston",90,299,585,51.1,"Total1PuttsInside5",2005
29,29,"Tim Herron",100,298,607,49.1,"Total1PuttsInside5",2005
29,29,"Joe Ogilvie",103,298,620,48.1,"Total1PuttsInside5",2005
29,29,"John Senden",101,298,576,51.7,"Total1PuttsInside5",2005
32,32,"Tommy Armour III",103,297,593,50.1,"Total1PuttsInside5",2005
32,32,"Brett Quigley",96,297,605,49.1,"Total1PuttsInside5",2005
32,32,"Heath Slocum",103,297,615,48.3,"Total1PuttsInside5",2005
35,35,"Billy Mayfair",114,296,659,44.9,"Total1PuttsInside5",2005
36,36,"Jeff Sluman",94,293,585,50.1,"Total1PuttsInside5",2005
37,37,"Pat Perez",89,291,560,52,"Total1PuttsInside5",2005
38,38,"Robert Gamez",91,288,593,48.6,"Total1PuttsInside5",2005
39,39,"Kevin Stadler",96,287,575,49.9,"Total1PuttsInside5",2005
40,40,"Mark Calcavecchia",92,285,555,51.4,"Total1PuttsInside5",2005
40,40,"John Rollins",97,285,546,52.2,"Total1PuttsInside5",2005
42,42,"Sean OHair",103,284,597,47.6,"Total1PuttsInside5",2005
43,43,"Aaron Baddeley",84,283,585,48.4,"Total1PuttsInside5",2005
43,43,"Brian Bateman",98,283,562,50.4,"Total1PuttsInside5",2005
45,45,"Robert Damron",89,282,550,51.3,"Total1PuttsInside5",2005
45,45,"JJ Henry",102,282,554,50.9,"Total1PuttsInside5",2005
47,47,"Zach Johnson",96,281,591,47.5,"Total1PuttsInside5",2005
48,48,"Jason Bohn",91,280,560,50,"Total1PuttsInside5",2005
48,48,"Kent Jones",99,280,626,44.7,"Total1PuttsInside5",2005
50,50,"Nick Watney",91,276,550,50.2,"Total1PuttsInside5",2005
51,51,"Jerry Kelly",101,274,527,52,"Total1PuttsInside5",2005
51,51,"DA Points",94,274,555,49.4,"Total1PuttsInside5",2005
51,51,"Kevin Sutherland",89,274,509,53.8,"Total1PuttsInside5",2005
54,54,"Geoff Ogilvy",97,271,551,49.2,"Total1PuttsInside5",2005
54,54,"Charles Warren",89,271,533,50.8,"Total1PuttsInside5",2005
56,56,"Frank Lickliter II",100,270,570,47.4,"Total1PuttsInside5",2005
57,57,"Todd Hamilton",94,269,534,50.4,"Total1PuttsInside5",2005
57,57,"Franklin Langham",91,269,510,52.7,"Total1PuttsInside5",2005
59,59,"Briny Baird",98,268,585,45.8,"Total1PuttsInside5",2005
59,59,"Joey Snyder III",102,268,564,47.5,"Total1PuttsInside5",2005
61,61,"Marco Dawson",82,267,552,48.4,"Total1PuttsInside5",2005
61,61,"Fred Funk",102,267,563,47.4,"Total1PuttsInside5",2005
63,63,"JL Lewis",98,266,578,46,"Total1PuttsInside5",2005
64,64,"Billy Andrade",83,264,546,48.4,"Total1PuttsInside5",2005
65,65,"Lucas Glover",88,262,532,49.2,"Total1PuttsInside5",2005
66,66,"Hunter Haas",83,261,522,50,"Total1PuttsInside5",2005
66,66,"Omar Uresti",84,261,505,51.7,"Total1PuttsInside5",2005
68,68,"Dean Wilson",86,259,559,46.3,"Total1PuttsInside5",2005
69,69,"Brandt Jobe",96,258,563,45.8,"Total1PuttsInside5",2005
69,69,"Len Mattiace",86,258,572,45.1,"Total1PuttsInside5",2005
71,71,"Hank Kuehne",84,255,538,47.4,"Total1PuttsInside5",2005
72,72,"Tim Petrovic",97,253,546,46.3,"Total1PuttsInside5",2005
73,73,"Olin Browne",99,251,570,44,"Total1PuttsInside5",2005
73,73,"Ben Crane",78,251,524,47.9,"Total1PuttsInside5",2005
73,73,"Dudley Hart",84,251,526,47.7,"Total1PuttsInside5",2005
73,73,"Rod Pampling",89,251,485,51.8,"Total1PuttsInside5",2005
73,73,"Duffy Waldorf",86,251,498,50.4,"Total1PuttsInside5",2005
78,78,"Greg Owen",84,249,486,51.2,"Total1PuttsInside5",2005
79,79,"Ryuji Imada",78,248,470,52.8,"Total1PuttsInside5",2005
80,80,"Stephen Leaney",89,246,502,49,"Total1PuttsInside5",2005
80,80,"Jesper Parnevik",84,246,492,50,"Total1PuttsInside5",2005
82,82,"Jim Furyk",94,245,525,46.7,"Total1PuttsInside5",2005
82,82,"Brendan Jones",81,245,494,49.6,"Total1PuttsInside5",2005
84,84,"Tim Clark",92,244,478,51,"Total1PuttsInside5",2005
84,84,"Brian Davis",75,244,473,51.6,"Total1PuttsInside5",2005
84,84,"Ryan Palmer",101,244,577,42.3,"Total1PuttsInside5",2005
87,87,"Chris Smith",93,243,507,47.9,"Total1PuttsInside5",2005
88,88,"Paul Gow",78,241,471,51.2,"Total1PuttsInside5",2005
88,88,"Phillip Price",77,241,470,51.3,"Total1PuttsInside5",2005
90,90,"Mark Brooks",72,238,440,54.1,"Total1PuttsInside5",2005
90,90,"Bart Bryant",91,238,521,45.7,"Total1PuttsInside5",2005
90,90,"Darron Stiles",78,238,502,47.4,"Total1PuttsInside5",2005
93,93,"Scott Hend",75,235,449,52.3,"Total1PuttsInside5",2005
93,93,"Jonathan Kaye",77,235,447,52.6,"Total1PuttsInside5",2005
95,95,"James Driscoll",73,234,448,52.2,"Total1PuttsInside5",2005
95,95,"Joe Durant",81,234,434,53.9,"Total1PuttsInside5",2005
97,97,"Matt Gogel",78,233,469,49.7,"Total1PuttsInside5",2005
97,97,"Andrew Magee",82,233,471,49.5,"Total1PuttsInside5",2005
99,99,"Skip Kendall",80,231,481,48,"Total1PuttsInside5",2005
99,99,"Corey Pavin",77,231,455,50.8,"Total1PuttsInside5",2005
99,99,"Steve Stricker",62,231,479,48.2,"Total1PuttsInside5",2005
102,102,"Tom Gillis",77,230,465,49.5,"Total1PuttsInside5",2005
103,103,"Stephen Ames",82,229,461,49.7,"Total1PuttsInside5",2005
103,103,"Stewart Cink",98,229,513,44.6,"Total1PuttsInside5",2005
103,103,"Will Ma Kenzie",75,229,466,49.1,"Total1PuttsInside5",2005
