"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2013","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2013","ProximitytoHolefromOtherLocations_PLAYERNAME_2013","ProximitytoHolefromOtherLocations_ROUNDS_2013","ProximitytoHolefromOtherLocations_AVGDTP_2013","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2013","ProximitytoHolefromOtherLocations_OFSHOTS_2013","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2013","stat_name","year"
1,1,"Bob Estes",66,NA,8.706,142,1,"ProximitytoHolefromOtherLocations",2013
2,2,"Steve Stricker",51,NA,4.168,66,2,"ProximitytoHolefromOtherLocations",2013
3,3,"Brian Gay",79,NA,8.115,127,10,"ProximitytoHolefromOtherLocations",2013
4,4,"Roberto Castro",97,NA,11.398,171,26,"ProximitytoHolefromOtherLocations",2013
4,4,"John Rollins",77,NA,9.111,135,93,"ProximitytoHolefromOtherLocations",2013
4,4,"Chris Stroud",88,NA,10.704,159,6,"ProximitytoHolefromOtherLocations",2013
7,7,"Martin Flores",83,NA,11.371,166,15,"ProximitytoHolefromOtherLocations",2013
7,7,"Steve LeBrun",66,NA,7.737,112,97,"ProximitytoHolefromOtherLocations",2013
7,7,"Lee Westwood",70,NA,6.453,93,21,"ProximitytoHolefromOtherLocations",2013
10,10,"Charles Howell III",87,NA,11.583,165,5,"ProximitytoHolefromOtherLocations",2013
10,10,"Darron Stiles",51,NA,6.477,93,29,"ProximitytoHolefromOtherLocations",2013
10,10,"Daniel Summerhays",83,NA,9.285,132,68,"ProximitytoHolefromOtherLocations",2013
10,10,"Lee Williams",62,NA,7.889,112,7,"ProximitytoHolefromOtherLocations",2013
10,10,"Casey Wittenberg",72,NA,7.969,114,37,"ProximitytoHolefromOtherLocations",2013
15,15,"Luke Donald",60,NA,5.858,82,22,"ProximitytoHolefromOtherLocations",2013
15,15,"DJ Trahan",48,NA,5.483,77,118,"ProximitytoHolefromOtherLocations",2013
15,15,"Mike Weir",60,NA,6.786,96,70,"ProximitytoHolefromOtherLocations",2013
18,18,"Ben Curtis",59,NA,7.167,100,141,"ProximitytoHolefromOtherLocations",2013
18,18,"John Merrick",79,NA,8.188,114,115,"ProximitytoHolefromOtherLocations",2013
18,18,"Adam Scott",61,NA,4.049,56,119,"ProximitytoHolefromOtherLocations",2013
18,18,"John Senden",79,NA,8.533,119,153,"ProximitytoHolefromOtherLocations",2013
18,18,"Brian Stuard",78,NA,8.106,113,43,"ProximitytoHolefromOtherLocations",2013
18,18,"Andrew Svoboda",46,NA,7.097,98,167,"ProximitytoHolefromOtherLocations",2013
24,24,"Aaron Baddeley",68,NA,9.62,132,92,"ProximitytoHolefromOtherLocations",2013
24,24,"James Hahn",78,NA,8.586,117,128,"ProximitytoHolefromOtherLocations",2013
24,24,"Trevor Immelman",73,NA,9.091,124,68,"ProximitytoHolefromOtherLocations",2013
24,24,"Ian Poulter",59,NA,6.075,83,25,"ProximitytoHolefromOtherLocations",2013
28,28,"Jason Dufner",78,NA,9.627,130,70,"ProximitytoHolefromOtherLocations",2013
28,28,"Fabian Gomez",65,NA,7.868,106,49,"ProximitytoHolefromOtherLocations",2013
28,28,"Luke Guthrie",82,NA,8.59,116,75,"ProximitytoHolefromOtherLocations",2013
28,28,"Robert Karlsson",56,NA,4.788,65,100,"ProximitytoHolefromOtherLocations",2013
28,28,"Phil Mickelson",78,NA,8.218,111,78,"ProximitytoHolefromOtherLocations",2013
28,28,"Ryan Palmer",79,NA,9.164,124,133,"ProximitytoHolefromOtherLocations",2013
28,28,"Dicky Pride",71,NA,9.534,128,60,"ProximitytoHolefromOtherLocations",2013
28,28,"Camilo Villegas",79,NA,9.266,126,123,"ProximitytoHolefromOtherLocations",2013
36,36,"Steven Bowditch",67,NA,10.142,135,17,"ProximitytoHolefromOtherLocations",2013
36,36,"Harris English",95,NA,11.699,156,125,"ProximitytoHolefromOtherLocations",2013
36,36,"Brian Harman",89,NA,14.22,190,77,"ProximitytoHolefromOtherLocations",2013
36,36,"Russell Henley",80,NA,7.867,105,104,"ProximitytoHolefromOtherLocations",2013
36,36,"Freddie Jacobson",63,NA,7.384,99,54,"ProximitytoHolefromOtherLocations",2013
36,36,"Matt Jones",83,NA,11.695,156,8,"ProximitytoHolefromOtherLocations",2013
36,36,"Matt Kuchar",93,NA,8.6,115,12,"ProximitytoHolefromOtherLocations",2013
36,36,"Justin Leonard",86,NA,13.396,179,72,"ProximitytoHolefromOtherLocations",2013
36,36,"Bryce Molder",82,NA,10.834,145,19,"ProximitytoHolefromOtherLocations",2013
36,36,"Geoff Ogilvy",57,NA,5.521,74,132,"ProximitytoHolefromOtherLocations",2013
36,36,"Bo Van Pelt",72,NA,7.088,94,159,"ProximitytoHolefromOtherLocations",2013
36,36,"Gary Woodland",94,NA,12.336,165,148,"ProximitytoHolefromOtherLocations",2013
48,48,"Tim Clark",64,NA,7.318,96,45,"ProximitytoHolefromOtherLocations",2013
48,48,"Chris Kirk",89,NA,12.827,168,3,"ProximitytoHolefromOtherLocations",2013
