"ConsecutiveBirdiesEaglesstreak_RANKTHISWEEK_2012","ConsecutiveBirdiesEaglesstreak_RANKLASTWEEK_2012","ConsecutiveBirdiesEaglesstreak_PLAYERNAME_2012","ConsecutiveBirdiesEaglesstreak_EVENTS_2012","ConsecutiveBirdiesEaglesstreak_NUMBEROFHOLES_2012","stat_name","year"
1,1,"Greg Chalmers",25,5,"ConsecutiveBirdiesEaglesstreak",2012
1,1,"Ken Duke",30,5,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Tommy Biershenk",27,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Keegan Bradley",25,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Luke Donald",17,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Ernie Els",22,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Tommy Gainey",32,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Will Ma Kenzie",6,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Garth Mulroy",20,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Kyle Reifers",27,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Vijay Singh",27,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Chris Stroud",28,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"David Toms",19,4,"ConsecutiveBirdiesEaglesstreak",2012
3,3,"Johnson Wagner",27,4,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Stuart Appleby",24,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Arjun Atwal",27,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Charlie Beljan",22,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Kris Blanks",23,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Angel Cabrera",20,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Patrick Cantlay",10,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Bud Cauley",28,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Kevin Chappell",29,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Ben Crane",23,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Brendon de Jonge",31,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Graham DeLaet",23,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Chris DiMarco",29,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"James Driscoll",27,3,"ConsecutiveBirdiesEaglesstreak",2012
15,15,"Joe Durant",14,3,"ConsecutiveBirdiesEaglesstreak",2012
