"BallSpeed_RANKTHISWEEK_2012","BallSpeed_RANKLASTWEEK_2012","BallSpeed_PLAYERNAME_2012","BallSpeed_ROUNDS_2012","BallSpeed_AVG_2012","BallSpeed_TOTALBALLSPEED_2012","BallSpeed_TOTALATTEMPTS_2012","BallSpeed_FASTESTSPEED_2012","BallSpeed_SLOWESTSPEED_2012","stat_name","year"
1,1,"Bubba Watson",68,184.98,9803.87,53,192.21,179.71,"BallSpeed",2012
2,2,"Gary Woodland",70,181.33,7978.34,44,188.04,171.19,"BallSpeed",2012
3,3,"Charlie Beljan",61,180.81,6870.77,38,187.32,167,"BallSpeed",2012
4,4,"Dustin Johnson",70,180.57,7945.21,44,187.5,167.45,"BallSpeed",2012
5,5,"Jhonattan Vegas",77,180.38,11724.62,65,184.64,166.54,"BallSpeed",2012
6,6,"Robert Garrigus",89,180.18,11891.87,66,185.58,176.45,"BallSpeed",2012
7,7,"JB Holmes",90,180,13319.63,74,189.04,171.57,"BallSpeed",2012
8,8,"Rory McIlroy",60,178.07,6766.72,38,183.66,173.98,"BallSpeed",2012
9,9,"Henrik Stenson",51,177.7,2665.5,15,181.06,170.32,"BallSpeed",2012
10,10,"Tiger Woods",69,177.69,6752.11,38,182.7,169.61,"BallSpeed",2012
11,11,"Kyle Stanley",86,177.02,9382.14,53,185.7,165.35,"BallSpeed",2012
12,12,"Jason Day",57,176.87,7605.36,43,183.55,169.82,"BallSpeed",2012
13,13,"Adam Scott",59,176.81,7072.29,40,181.91,172.4,"BallSpeed",2012
14,14,"Aaron Baddeley",73,176.75,8484.09,48,184.4,171.75,"BallSpeed",2012
15,15,"Graham DeLaet",79,176.71,11132.86,63,181.59,169.46,"BallSpeed",2012
16,16,"John Daly",50,176.7,5300.93,30,181.76,171.15,"BallSpeed",2012
17,17,"Angel Cabrera",54,176.09,5810.93,33,180.77,170.48,"BallSpeed",2012
18,18,"Nick Watney",97,175.82,13010.83,74,180.24,167.84,"BallSpeed",2012
19,19,"Scott Stallings",78,175.62,11591.05,66,181.05,163.62,"BallSpeed",2012
20,20,"Bobby Gates",87,175.51,10706.35,61,181.72,161.84,"BallSpeed",2012
21,21,"Jason Kokrak",79,175.38,10873.38,62,181.52,170.55,"BallSpeed",2012
22,22,"Sergio Garcia",57,175.35,7715.53,44,179.03,170.74,"BallSpeed",2012
23,23,"Martin Flores",95,175.33,11572.08,66,182.73,168.61,"BallSpeed",2012
24,24,"Seung Yul Noh",105,175.08,14006.33,80,179.34,170.19,"BallSpeed",2012
25,25,"Martin Laird",77,174.88,8394.3,48,178.98,171.13,"BallSpeed",2012
26,26,"Mark Anderson",75,174.62,8382,48,178.78,169.67,"BallSpeed",2012
27,27,"Chris Couch",61,174.46,6803.92,39,181.03,167.15,"BallSpeed",2012
28,28,"Scott Piercy",95,174.42,12209.43,70,179.88,169.42,"BallSpeed",2012
29,29,"Greg Owen",90,174.25,10978.01,63,180.81,147.2,"BallSpeed",2012
30,30,"Harris English",98,174.24,13939.43,80,179.48,162.05,"BallSpeed",2012
31,31,"Jimmy Walker",101,174.04,12878.6,74,179.19,157.48,"BallSpeed",2012
32,32,"Charles Howell III",98,173.88,11302.09,65,179.04,168.05,"BallSpeed",2012
33,33,"Robert Karlsson",54,173.74,6775.94,39,179.62,168.22,"BallSpeed",2012
