"HitFairwayPercentage_RANKTHISWEEK_2013","HitFairwayPercentage_RANKLASTWEEK_2013","HitFairwayPercentage_PLAYERNAME_2013","HitFairwayPercentage_ROUNDS_2013","HitFairwayPercentage_Pct_2013","HitFairwayPercentage_FAIRWAYSHIT_2013","HitFairwayPercentage_POSSIBLEFAIRWAYS_2013","HitFairwayPercentage_RELATIVETOPAR_2013","stat_name","year"
1,1,"Henrik Stenson",65,72.65,441,607,-0.19,"HitFairwayPercentage",2013
2,2,"Steve Stricker",51,72.24,354,490,-0.28,"HitFairwayPercentage",2013
3,3,"Jerry Kelly",75,71.51,635,888,-0.16,"HitFairwayPercentage",2013
4,4,"Mark Wilson",56,71.26,496,696,-0.11,"HitFairwayPercentage",2013
5,5,"Jim Furyk",80,70.87,630,889,-0.18,"HitFairwayPercentage",2013
6,6,"Chez Reavie",72,70.28,655,932,-0.12,"HitFairwayPercentage",2013
7,7,"Ken Duke",87,70.18,732,1043,-0.11,"HitFairwayPercentage",2013
8,8,"Zach Johnson",84,70.09,656,936,-0.16,"HitFairwayPercentage",2013
9,9,"Graeme McDowell",53,69.5,360,518,-0.09,"HitFairwayPercentage",2013
10,10,"Tim Clark",64,69.23,414,598,-0.1,"HitFairwayPercentage",2013
11,11,"Justin Hicks",79,69.1,633,916,-0.08,"HitFairwayPercentage",2013
11,11,"Ryan Moore",72,69.1,550,796,-0.16,"HitFairwayPercentage",2013
13,13,"Darron Stiles",51,69.07,402,582,-0.09,"HitFairwayPercentage",2013
14,14,"KJ Choi",85,69.06,605,876,-0.18,"HitFairwayPercentage",2013
15,15,"Brian Davis",91,68.95,795,1153,-0.13,"HitFairwayPercentage",2013
16,16,"Jordan Spieth",82,68.39,636,930,-0.19,"HitFairwayPercentage",2013
17,17,"John Huh",88,68.35,717,1049,-0.09,"HitFairwayPercentage",2013
18,18,"Jin Park",52,68.34,408,597,-0.08,"HitFairwayPercentage",2013
19,19,"Ted Potter Jr",65,68.23,524,768,-0.11,"HitFairwayPercentage",2013
20,20,"Jeff Maggert",63,68.22,543,796,-0.13,"HitFairwayPercentage",2013
21,21,"Roberto Castro",97,68.19,793,1163,-0.16,"HitFairwayPercentage",2013
22,22,"Doug LaBelle II",72,68.02,553,813,-0.1,"HitFairwayPercentage",2013
23,23,"Ben Kohles",75,67.52,578,856,-0.09,"HitFairwayPercentage",2013
