"StrokeDifferentialFieldAverage_RANKTHISWEEK_2006","StrokeDifferentialFieldAverage_RANKLASTWEEK_2006","StrokeDifferentialFieldAverage_PLAYERNAME_2006","StrokeDifferentialFieldAverage_ROUNDS_2006","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2006","StrokeDifferentialFieldAverage_PLAYERSSCORE_2006","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2006","stat_name","year"
1,1,"Tiger Woods",55,3.39,68.73,72.12,"StrokeDifferentialFieldAverage",2006
2,2,"Jim Furyk",89,2.4,69.45,71.85,"StrokeDifferentialFieldAverage",2006
3,3,"Adam Scott",70,2.15,70.01,72.16,"StrokeDifferentialFieldAverage",2006
4,4,"Phil Mickelson",74,2.1,70.07,72.17,"StrokeDifferentialFieldAverage",2006
5,5,"Luke Donald",66,2.08,70.06,72.14,"StrokeDifferentialFieldAverage",2006
6,6,"Steve Stricker",64,1.85,69.55,71.4,"StrokeDifferentialFieldAverage",2006
7,7,"Vijay Singh",103,1.7,70.21,71.91,"StrokeDifferentialFieldAverage",2006
8,8,"Trevor Immelman",86,1.63,69.93,71.56,"StrokeDifferentialFieldAverage",2006
9,9,"Ernie Els",69,1.49,70.63,72.12,"StrokeDifferentialFieldAverage",2006
10,10,"Robert Allenby",79,1.35,70.48,71.83,"StrokeDifferentialFieldAverage",2006
11,11,"Jose Maria Olazabal",62,1.3,71.09,72.39,"StrokeDifferentialFieldAverage",2006
12,12,"Jonathan Byrd",66,1.29,69.97,71.26,"StrokeDifferentialFieldAverage",2006
12,12,"Stewart Cink",93,1.29,70.3,71.59,"StrokeDifferentialFieldAverage",2006
14,14,"Ian Poulter",53,1.25,71.04,72.29,"StrokeDifferentialFieldAverage",2006
15,15,"Arron Oberholser",82,1.23,70.37,71.6,"StrokeDifferentialFieldAverage",2006
16,16,"Retief Goosen",68,1.21,70.98,72.19,"StrokeDifferentialFieldAverage",2006
17,17,"Stuart Appleby",83,1.19,70.87,72.06,"StrokeDifferentialFieldAverage",2006
17,17,"Lucas Glover",105,1.19,70.56,71.75,"StrokeDifferentialFieldAverage",2006
19,19,"Brett Quigley",109,1.18,70.31,71.49,"StrokeDifferentialFieldAverage",2006
19,19,"David Toms",76,1.18,70.57,71.75,"StrokeDifferentialFieldAverage",2006
21,21,"Mike Weir",88,1.16,70.76,71.92,"StrokeDifferentialFieldAverage",2006
22,22,"Geoff Ogilvy",76,1.13,71.19,72.32,"StrokeDifferentialFieldAverage",2006
23,23,"Padraig Harrington",54,1.11,70.92,72.03,"StrokeDifferentialFieldAverage",2006
24,24,"Sergio Garcia",59,1.09,71.45,72.54,"StrokeDifferentialFieldAverage",2006
25,25,"Stephen Ames",63,1.08,70.79,71.87,"StrokeDifferentialFieldAverage",2006
26,26,"KJ Choi",93,0.96,70.65,71.61,"StrokeDifferentialFieldAverage",2006
27,27,"John Senden",96,0.92,70.51,71.43,"StrokeDifferentialFieldAverage",2006
28,28,"Tim Clark",80,0.91,71.04,71.95,"StrokeDifferentialFieldAverage",2006
29,29,"Justin Rose",98,0.86,70.35,71.21,"StrokeDifferentialFieldAverage",2006
29,29,"Rory Sabbatini",84,0.86,70.8,71.66,"StrokeDifferentialFieldAverage",2006
29,29,"Vaughn Taylor",88,0.86,70.86,71.72,"StrokeDifferentialFieldAverage",2006
32,32,"Jason Bohn",104,0.82,70.82,71.64,"StrokeDifferentialFieldAverage",2006
33,33,"Tom Pernice Jr",108,0.81,70.65,71.46,"StrokeDifferentialFieldAverage",2006
34,34,"Jesper Parnevik",84,0.8,70.64,71.44,"StrokeDifferentialFieldAverage",2006
35,35,"Briny Baird",81,0.77,70.51,71.28,"StrokeDifferentialFieldAverage",2006
35,35,"Bo Van Pelt",102,0.77,70.79,71.56,"StrokeDifferentialFieldAverage",2006
37,37,"JJ Henry",96,0.76,70.84,71.6,"StrokeDifferentialFieldAverage",2006
37,37,"Frank Lickliter II",99,0.76,70.47,71.23,"StrokeDifferentialFieldAverage",2006
39,39,"Charley Hoffman",100,0.75,70.62,71.37,"StrokeDifferentialFieldAverage",2006
40,40,"Zach Johnson",98,0.74,70.85,71.59,"StrokeDifferentialFieldAverage",2006
40,40,"Rod Pampling",89,0.74,70.98,71.72,"StrokeDifferentialFieldAverage",2006
42,42,"Brian Gay",107,0.73,70.32,71.05,"StrokeDifferentialFieldAverage",2006
43,43,"Davis Love III",85,0.71,71.11,71.82,"StrokeDifferentialFieldAverage",2006
44,44,"Shaun Micheel",96,0.7,70.91,71.61,"StrokeDifferentialFieldAverage",2006
44,44,"Greg Owen",79,0.7,71,71.7,"StrokeDifferentialFieldAverage",2006
46,46,"Scott Verplank",88,0.69,70.57,71.26,"StrokeDifferentialFieldAverage",2006
47,47,"Daniel Chopra",110,0.67,70.65,71.32,"StrokeDifferentialFieldAverage",2006
48,48,"Carl Pettersson",95,0.64,71.31,71.95,"StrokeDifferentialFieldAverage",2006
49,49,"Charles Warren",93,0.63,70.69,71.32,"StrokeDifferentialFieldAverage",2006
50,50,"Chad Campbell",91,0.62,70.9,71.52,"StrokeDifferentialFieldAverage",2006
50,50,"Joe Durant",101,0.62,70.75,71.37,"StrokeDifferentialFieldAverage",2006
52,52,"Fred Funk",106,0.61,70.9,71.51,"StrokeDifferentialFieldAverage",2006
53,53,"Brett Wetterich",82,0.57,70.68,71.25,"StrokeDifferentialFieldAverage",2006
54,54,"Ben Crane",85,0.56,71.23,71.79,"StrokeDifferentialFieldAverage",2006
54,54,"David Howell",52,0.56,71.67,72.23,"StrokeDifferentialFieldAverage",2006
54,54,"Nick Watney",97,0.56,70.82,71.38,"StrokeDifferentialFieldAverage",2006
57,57,"Shigeki Maruyama",94,0.55,70.72,71.27,"StrokeDifferentialFieldAverage",2006
58,58,"Chris DiMarco",83,0.53,71.04,71.57,"StrokeDifferentialFieldAverage",2006
58,58,"Jerry Kelly",100,0.53,70.8,71.33,"StrokeDifferentialFieldAverage",2006
58,58,"Billy Mayfair",94,0.53,71,71.53,"StrokeDifferentialFieldAverage",2006
58,58,"Dean Wilson",115,0.53,70.71,71.24,"StrokeDifferentialFieldAverage",2006
62,62,"Fred Couples",52,0.51,71.72,72.23,"StrokeDifferentialFieldAverage",2006
62,62,"Ryuji Imada",105,0.51,70.76,71.27,"StrokeDifferentialFieldAverage",2006
62,62,"Kevin Sutherland",100,0.51,70.68,71.19,"StrokeDifferentialFieldAverage",2006
65,65,"Richard Johnson",94,0.5,70.85,71.35,"StrokeDifferentialFieldAverage",2006
65,65,"Hunter Mahan",98,0.5,70.7,71.2,"StrokeDifferentialFieldAverage",2006
67,67,"Bob Estes",85,0.49,70.68,71.17,"StrokeDifferentialFieldAverage",2006
68,68,"Steve Flesch",119,0.48,70.79,71.27,"StrokeDifferentialFieldAverage",2006
68,68,"Brandt Jobe",91,0.48,71.2,71.68,"StrokeDifferentialFieldAverage",2006
68,68,"Kenny Perry",73,0.48,70.94,71.42,"StrokeDifferentialFieldAverage",2006
68,68,"Jeff Sluman",101,0.48,70.93,71.41,"StrokeDifferentialFieldAverage",2006
72,72,"Camilo Villegas",95,0.47,71.08,71.55,"StrokeDifferentialFieldAverage",2006
73,73,"Bart Bryant",87,0.46,71.24,71.7,"StrokeDifferentialFieldAverage",2006
74,74,"Joe Ogilvie",95,0.45,70.84,71.29,"StrokeDifferentialFieldAverage",2006
75,75,"Jeff Gove",91,0.44,70.74,71.18,"StrokeDifferentialFieldAverage",2006
75,75,"Freddie Jacobson",56,0.44,71.32,71.76,"StrokeDifferentialFieldAverage",2006
77,77,"Bubba Watson",83,0.43,70.66,71.09,"StrokeDifferentialFieldAverage",2006
78,78,"Charles Howell III",96,0.4,71.46,71.86,"StrokeDifferentialFieldAverage",2006
79,79,"Harrison Frazar",95,0.38,70.77,71.15,"StrokeDifferentialFieldAverage",2006
80,80,"Billy Andrade",78,0.37,71.09,71.46,"StrokeDifferentialFieldAverage",2006
80,80,"Nathan Green",108,0.37,70.96,71.33,"StrokeDifferentialFieldAverage",2006
80,80,"Tom Lehman",70,0.37,71.6,71.97,"StrokeDifferentialFieldAverage",2006
83,83,"Corey Pavin",74,0.35,70.91,71.26,"StrokeDifferentialFieldAverage",2006
83,83,"John Rollins",93,0.35,71.12,71.47,"StrokeDifferentialFieldAverage",2006
85,85,"Stephen Leaney",84,0.34,70.79,71.13,"StrokeDifferentialFieldAverage",2006
86,86,"Craig Barlow",77,0.32,71.22,71.54,"StrokeDifferentialFieldAverage",2006
86,86,"Justin Leonard",83,0.32,71.28,71.6,"StrokeDifferentialFieldAverage",2006
86,86,"Heath Slocum",96,0.32,71.04,71.36,"StrokeDifferentialFieldAverage",2006
89,89,"Bernhard Langer",77,0.31,71.13,71.44,"StrokeDifferentialFieldAverage",2006
90,90,"Mark Wilson",79,0.3,70.8,71.1,"StrokeDifferentialFieldAverage",2006
91,91,"John Cook",67,0.28,71.04,71.32,"StrokeDifferentialFieldAverage",2006
91,91,"Steve Lowery",99,0.28,71.22,71.5,"StrokeDifferentialFieldAverage",2006
