"ProximitytoHolefromFringe_RANKTHISWEEK_2015","ProximitytoHolefromFringe_RANKLASTWEEK_2015","ProximitytoHolefromFringe_PLAYERNAME_2015","ProximitytoHolefromFringe_ROUNDS_2015","ProximitytoHolefromFringe_AVGDTP_2015","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2015","ProximitytoHolefromFringe_OFSHOTS_2015","ProximitytoHolefromFringe_SCRAMBLINGRANK_2015","stat_name","year"
1,1,"Jordan Spieth",91,NA,108.833,66,4,"ProximitytoHolefromFringe",2015
2,2,"Adam Scott",51,NA,55.75,28,173,"ProximitytoHolefromFringe",2015
3,3,"Robert Allenby",63,NA,123.75,56,180,"ProximitytoHolefromFringe",2015
3,3,"Bill Haas",89,NA,163.667,72,31,"ProximitytoHolefromFringe",2015
3,3,"Davis Love III",51,NA,116.5,51,136,"ProximitytoHolefromFringe",2015
6,6,"Jim Furyk",71,NA,115.667,49,18,"ProximitytoHolefromFringe",2015
6,6,"Russell Henley",87,NA,168.083,71,130,"ProximitytoHolefromFringe",2015
8,8,"Blayne Barber",76,NA,199.25,83,80,"ProximitytoHolefromFringe",2015
8,8,"Ricky Barnes",82,NA,152.75,63,69,"ProximitytoHolefromFringe",2015
8,8,"Luke Guthrie",84,NA,173.917,73,127,"ProximitytoHolefromFringe",2015
8,8,"Phil Mickelson",70,NA,113.583,47,84,"ProximitytoHolefromFringe",2015
8,8,"Cameron Tringale",96,NA,185.5,76,27,"ProximitytoHolefromFringe",2015
13,13,"Jason Bohn",95,NA,217.167,87,51,"ProximitytoHolefromFringe",2015
13,13,"Paul Casey",87,NA,123.667,50,150,"ProximitytoHolefromFringe",2015
13,13,"Mark Hubbard",79,NA,132.75,54,38,"ProximitytoHolefromFringe",2015
13,13,"Kevin Na",98,NA,149.333,59,19,"ProximitytoHolefromFringe",2015
13,13,"Louis Oosthuizen",68,NA,111.417,45,41,"ProximitytoHolefromFringe",2015
13,13,"John Peterson",84,NA,222.917,88,14,"ProximitytoHolefromFringe",2015
19,19,"Roberto Castro",54,NA,97,37,169,"ProximitytoHolefromFringe",2015
19,19,"Greg Chalmers",58,NA,97.333,38,132,"ProximitytoHolefromFringe",2015
19,19,"Tom Hoge",83,NA,158.75,61,106,"ProximitytoHolefromFringe",2015
19,19,"Whee Kim",71,NA,132.75,51,123,"ProximitytoHolefromFringe",2015
19,19,"Brooks Koepka",84,NA,130.417,50,143,"ProximitytoHolefromFringe",2015
19,19,"Carlos Ortiz",100,NA,201.083,77,158,"ProximitytoHolefromFringe",2015
19,19,"Ryan Palmer",80,NA,150.667,58,60,"ProximitytoHolefromFringe",2015
19,19,"Charl Schwartzel",67,NA,132.417,51,168,"ProximitytoHolefromFringe",2015
19,19,"Vijay Singh",78,NA,209.417,80,50,"ProximitytoHolefromFringe",2015
19,19,"Chris Stroud",84,NA,215,83,71,"ProximitytoHolefromFringe",2015
19,19,"Camilo Villegas",83,NA,186.167,73,96,"ProximitytoHolefromFringe",2015
30,30,"Charlie Beljan",76,NA,138.5,52,184,"ProximitytoHolefromFringe",2015
30,30,"Scott Brown",97,NA,289.75,107,55,"ProximitytoHolefromFringe",2015
30,30,"Ben Crane",62,NA,95.833,36,29,"ProximitytoHolefromFringe",2015
30,30,"Brian Davis",86,NA,197.083,74,56,"ProximitytoHolefromFringe",2015
30,30,"Brendon de Jonge",106,NA,267.833,100,91,"ProximitytoHolefromFringe",2015
30,30,"Graham DeLaet",65,NA,124.5,46,133,"ProximitytoHolefromFringe",2015
30,30,"Padraig Harrington",60,NA,167.5,63,137,"ProximitytoHolefromFringe",2015
30,30,"Billy Horschel",99,NA,202.833,75,126,"ProximitytoHolefromFringe",2015
30,30,"William McGirt",103,NA,252.583,94,11,"ProximitytoHolefromFringe",2015
30,30,"Jeff Overton",94,NA,189.25,71,98,"ProximitytoHolefromFringe",2015
30,30,"Cameron Percy",72,NA,184.083,68,148,"ProximitytoHolefromFringe",2015
30,30,"Patrick Rodgers",57,NA,101.833,38,145,"ProximitytoHolefromFringe",2015
42,42,"Steven Alker",62,NA,137.5,50,39,"ProximitytoHolefromFringe",2015
42,42,"Jason Day",75,NA,136.667,50,2,"ProximitytoHolefromFringe",2015
42,42,"Gonzalo Fdez Castano",81,NA,203.25,73,120,"ProximitytoHolefromFringe",2015
42,42,"Robert Garrigus",70,NA,150.167,55,176,"ProximitytoHolefromFringe",2015
42,42,"Adam Hadwin",95,NA,224.167,82,110,"ProximitytoHolefromFringe",2015
42,42,"James Hahn",94,NA,220.917,80,108,"ProximitytoHolefromFringe",2015
