"DrivingPctMeasured_RANKTHISWEEK_2015","DrivingPctMeasured_RANKLASTWEEK_2015","DrivingPctMeasured_PLAYERNAME_2015","DrivingPctMeasured_ROUNDS_2015","DrivingPctMeasured_Pct_2015","DrivingPctMeasured_TOTALDRIVESFOR_2015","DrivingPctMeasured_TOTALDRVSOVERALL_2015","DrivingPctMeasured_RELATIVETOPAR_2015","stat_name","year"
1,1,"Ricky Barnes",82,6.85,10,146,0.6,"DrivingPctMeasured",2015
2,2,"Jon Curran",83,5.92,9,152,0,"DrivingPctMeasured",2015
3,3,"Kevin Na",98,5.33,8,150,0.25,"DrivingPctMeasured",2015
4,4,"Billy Hurley III",83,4.93,7,142,0.43,"DrivingPctMeasured",2015
5,5,"Jim Renner",68,4.62,6,130,1.33,"DrivingPctMeasured",2015
6,6,"Tim Wilkinson",73,4.55,6,132,0.83,"DrivingPctMeasured",2015
7,7,"Mark Hubbard",79,4.05,6,148,0.5,"DrivingPctMeasured",2015
8,8,"Andrew Putnam",68,3.97,5,126,1,"DrivingPctMeasured",2015
9,9,"Scott Stallings",60,3.85,4,104,1.75,"DrivingPctMeasured",2015
10,10,"Ben Crane",62,3.64,4,110,0.5,"DrivingPctMeasured",2015
11,11,"Roberto Castro",54,3.57,3,84,1,"DrivingPctMeasured",2015
12,12,"Luke Donald",71,3.51,4,114,0.25,"DrivingPctMeasured",2015
13,13,"Brian Stuard",97,3.41,6,176,0.33,"DrivingPctMeasured",2015
14,14,"Justin Leonard",61,3.39,4,118,0,"DrivingPctMeasured",2015
15,15,"Francesco Molinari",56,3.33,3,90,0.33,"DrivingPctMeasured",2015
16,16,"Chad Collins",79,3.29,5,152,0.4,"DrivingPctMeasured",2015
17,17,"Chad Campbell",97,3.13,6,192,0,"DrivingPctMeasured",2015
17,17,"Chris Stroud",84,3.13,5,160,0.2,"DrivingPctMeasured",2015
19,19,"Jason Dufner",76,3,3,100,0.67,"DrivingPctMeasured",2015
20,20,"Zac Blair",108,2.97,6,202,0.83,"DrivingPctMeasured",2015
21,21,"Mark Wilson",89,2.94,5,170,0.6,"DrivingPctMeasured",2015
22,22,"Matt Jones",89,2.82,4,142,0,"DrivingPctMeasured",2015
23,23,"Kyle Reifers",96,2.81,5,178,0,"DrivingPctMeasured",2015
24,24,"Robert Allenby",63,2.78,3,108,0.33,"DrivingPctMeasured",2015
24,24,"Jim Furyk",71,2.78,3,108,0,"DrivingPctMeasured",2015
24,24,"Sergio Garcia",59,2.78,2,72,1,"DrivingPctMeasured",2015
24,24,"Byron Smith",59,2.78,3,108,1,"DrivingPctMeasured",2015
28,28,"Bo Van Pelt",81,2.67,4,150,0.75,"DrivingPctMeasured",2015
29,29,"Matt Every",73,2.63,3,114,1.33,"DrivingPctMeasured",2015
30,30,"Daniel Summerhays",101,2.58,5,194,0.6,"DrivingPctMeasured",2015
31,31,"Kevin Chappell",86,2.56,4,156,0,"DrivingPctMeasured",2015
32,32,"Kevin Kisner",104,2.55,5,196,0,"DrivingPctMeasured",2015
33,33,"Steve Wheatcroft",87,2.47,4,162,0.25,"DrivingPctMeasured",2015
34,34,"Ken Duke",93,2.33,4,172,0.25,"DrivingPctMeasured",2015
35,35,"Retief Goosen",81,2.24,3,134,0.67,"DrivingPctMeasured",2015
35,35,"Cameron Percy",72,2.24,3,134,0.67,"DrivingPctMeasured",2015
37,37,"Angel Cabrera",53,2.22,2,90,0.5,"DrivingPctMeasured",2015
38,38,"Pat Perez",96,2.17,4,184,0.75,"DrivingPctMeasured",2015
39,39,"John Merrick",78,2.11,3,142,0.33,"DrivingPctMeasured",2015
40,40,"Zach Johnson",90,2.08,3,144,0.33,"DrivingPctMeasured",2015
41,41,"Tom Hoge",83,1.97,3,152,0.67,"DrivingPctMeasured",2015
41,41,"Jerry Kelly",79,1.97,3,152,0,"DrivingPctMeasured",2015
43,43,"Ian Poulter",68,1.96,2,102,0.5,"DrivingPctMeasured",2015
44,44,"Erik Compton",86,1.95,3,154,0.67,"DrivingPctMeasured",2015
44,44,"Andrew Svoboda",80,1.95,3,154,0.33,"DrivingPctMeasured",2015
46,46,"William McGirt",103,1.94,4,206,0.25,"DrivingPctMeasured",2015
47,47,"Brian Davis",86,1.92,3,156,0,"DrivingPctMeasured",2015
47,47,"Michael Thompson",83,1.92,3,156,1.33,"DrivingPctMeasured",2015
49,49,"Nicholas Thompson",90,1.9,3,158,1,"DrivingPctMeasured",2015
50,50,"Oscar Fraustro",58,1.89,2,106,0.5,"DrivingPctMeasured",2015
51,51,"Brandt Snedeker",98,1.88,3,160,1,"DrivingPctMeasured",2015
