"BounceBack_RANKTHISWEEK_2011","BounceBack_RANKLASTWEEK_2011","BounceBack_PLAYERNAME_2011","BounceBack_ROUNDS_2011","BounceBack_Pct_2011","stat_name","year"
1,1,"Aron Price",58,27.71,"BounceBack",2011
2,2,"Webb Simpson",98,27.4,"BounceBack",2011
3,3,"Dustin Johnson",72,26.58,"BounceBack",2011
4,4,"Boo Weekley",66,26.5,"BounceBack",2011
5,5,"Aaron Baddeley",77,26.15,"BounceBack",2011
6,6,"JB Holmes",57,26.09,"BounceBack",2011
7,7,"Luke Donald",73,25.9,"BounceBack",2011
8,8,"Will Strickler",51,25.68,"BounceBack",2011
9,9,"Blake Adams",116,25.32,"BounceBack",2011
10,10,"Rickie Fowler",84,25.1,"BounceBack",2011
11,11,"Brandt Jobe",100,25,"BounceBack",2011
11,11,"Adam Scott",60,25,"BounceBack",2011
13,13,"DA Points",89,24.91,"BounceBack",2011
14,14,"Hunter Mahan",92,24.79,"BounceBack",2011
15,15,"Nate Smith",66,24.63,"BounceBack",2011
16,16,"Sergio Garcia",61,24.52,"BounceBack",2011
17,17,"John Merrick",71,24.19,"BounceBack",2011
18,18,"KJ Choi",77,24.14,"BounceBack",2011
19,19,"Charley Hoffman",93,23.7,"BounceBack",2011
20,20,"Kyle Stanley",98,23.67,"BounceBack",2011
21,21,"Matt Jones",71,23.64,"BounceBack",2011
22,22,"Martin Laird",77,23.53,"BounceBack",2011
23,23,"Robert Karlsson",61,23.42,"BounceBack",2011
24,24,"Fabian Gomez",84,23.33,"BounceBack",2011
25,25,"Chris Kirk",87,23.14,"BounceBack",2011
26,26,"Brian Davis",105,23.02,"BounceBack",2011
27,27,"Bill Lunde",92,22.87,"BounceBack",2011
27,27,"Steve Marino",76,22.87,"BounceBack",2011
29,29,"Scott Gutschewski",67,22.86,"BounceBack",2011
30,30,"Billy Horschel",75,22.83,"BounceBack",2011
31,31,"Kevin Stadler",88,22.81,"BounceBack",2011
32,32,"Davis Love III",70,22.73,"BounceBack",2011
33,33,"Jonathan Byrd",83,22.65,"BounceBack",2011
34,34,"Shane Bertsch",62,22.6,"BounceBack",2011
35,35,"Lucas Glover",74,22.57,"BounceBack",2011
36,36,"Justin Rose",79,22.55,"BounceBack",2011
37,37,"Geoff Ogilvy",69,22.4,"BounceBack",2011
38,38,"Marc Turnesa",54,22.35,"BounceBack",2011
38,38,"Jhonattan Vegas",84,22.35,"BounceBack",2011
40,40,"Tommy Gainey",104,22.33,"BounceBack",2011
40,40,"Cameron Tringale",110,22.33,"BounceBack",2011
42,42,"Scott Piercy",78,22.32,"BounceBack",2011
43,43,"Tim Petrovic",88,22.27,"BounceBack",2011
44,44,"Ryan Palmer",82,22.22,"BounceBack",2011
