"ScramblingfromOtherLocations_RANKTHISWEEK_2005","ScramblingfromOtherLocations_RANKLASTWEEK_2005","ScramblingfromOtherLocations_PLAYERNAME_2005","ScramblingfromOtherLocations_ROUNDS_2005","ScramblingfromOtherLocations_Pct_2005","ScramblingfromOtherLocations_SUCCESSES_2005","ScramblingfromOtherLocations_ATTEMPTS_2005","stat_name","year"
1,1,"Jeff Brehaut",71,65.31,64,98,"ScramblingfromOtherLocations",2005
2,2,"Tom Pernice Jr",111,65.15,86,132,"ScramblingfromOtherLocations",2005
3,3,"Jim Furyk",94,63.37,64,101,"ScramblingfromOtherLocations",2005
4,4,"Steve Elkington",67,63.01,46,73,"ScramblingfromOtherLocations",2005
5,5,"Darron Stiles",78,62.5,75,120,"ScramblingfromOtherLocations",2005
6,6,"Justin Rose",99,62.14,64,103,"ScramblingfromOtherLocations",2005
7,7,"Jose Maria Olazabal",55,61.76,42,68,"ScramblingfromOtherLocations",2005
8,8,"Fred Funk",102,60.95,64,105,"ScramblingfromOtherLocations",2005
9,9,"Jay Williamson",53,60.76,48,79,"ScramblingfromOtherLocations",2005
10,10,"Brad Faxon",75,60.36,67,111,"ScramblingfromOtherLocations",2005
11,11,"Tim Herron",100,60.33,73,121,"ScramblingfromOtherLocations",2005
12,12,"Mark OMeara",66,60,66,110,"ScramblingfromOtherLocations",2005
13,13,"Mario Tiziani",67,59.79,58,97,"ScramblingfromOtherLocations",2005
14,14,"Steve Jones",56,59.72,43,72,"ScramblingfromOtherLocations",2005
15,15,"Adam Scott",72,59.62,31,52,"ScramblingfromOtherLocations",2005
16,16,"Ben Curtis",65,59.55,53,89,"ScramblingfromOtherLocations",2005
17,17,"Charlie Wi",67,59.46,66,111,"ScramblingfromOtherLocations",2005
18,18,"Dean Wilson",86,59.42,82,138,"ScramblingfromOtherLocations",2005
19,19,"Corey Pavin",77,59.41,60,101,"ScramblingfromOtherLocations",2005
20,20,"JJ Henry",102,59.4,79,133,"ScramblingfromOtherLocations",2005
21,21,"Shaun Micheel",81,59.29,67,113,"ScramblingfromOtherLocations",2005
22,22,"Ryuji Imada",78,59.2,74,125,"ScramblingfromOtherLocations",2005
23,23,"Shigeki Maruyama",99,59,59,100,"ScramblingfromOtherLocations",2005
24,24,"Nick Watney",91,58.62,68,116,"ScramblingfromOtherLocations",2005
25,25,"Patrick Sheehan",114,58.49,93,159,"ScramblingfromOtherLocations",2005
26,26,"Phil Mickelson",81,58.23,46,79,"ScramblingfromOtherLocations",2005
27,27,"Jay Haas",54,58.18,32,55,"ScramblingfromOtherLocations",2005
28,28,"Joey Snyder III",102,58.12,68,117,"ScramblingfromOtherLocations",2005
29,29,"KJ Choi",78,58.11,43,74,"ScramblingfromOtherLocations",2005
30,30,"Bob Estes",92,57.89,77,133,"ScramblingfromOtherLocations",2005
31,31,"Bob Heintz",67,57.85,70,121,"ScramblingfromOtherLocations",2005
32,32,"Richard Johnson",50,57.69,30,52,"ScramblingfromOtherLocations",2005
33,33,"Charles Howell III",95,57.65,49,85,"ScramblingfromOtherLocations",2005
34,34,"Mark Brooks",72,57.48,73,127,"ScramblingfromOtherLocations",2005
35,35,"Justin Bolli",65,57.45,54,94,"ScramblingfromOtherLocations",2005
36,36,"Luke Donald",67,57.41,31,54,"ScramblingfromOtherLocations",2005
37,37,"Brett Quigley",96,57.34,82,143,"ScramblingfromOtherLocations",2005
38,38,"Brian Davis",75,57.14,60,105,"ScramblingfromOtherLocations",2005
38,38,"Jeff Sluman",94,57.14,52,91,"ScramblingfromOtherLocations",2005
