"LaunchAngle_RANKTHISWEEK_2010","LaunchAngle_RANKLASTWEEK_2010","LaunchAngle_PLAYERNAME_2010","LaunchAngle_ROUNDS_2010","LaunchAngle_AVG_2010","LaunchAngle_TOTALVERTLAUNCHANGLE_2010","LaunchAngle_TOTALATTEMPTS_2010","LaunchAngle_LOWESTLAUNCHANGLE_2010","LaunchAngle_STEEPESTLAUNCHANGLE_2010","stat_name","year"
1,1,"Mark Wilson",87,13.56,935.55,69,10.5,16.89,"LaunchAngle",2010
2,2,"Alex Cejka",81,13.09,759,58,9.27,17.21,"LaunchAngle",2010
3,3,"Ryan Palmer",84,12.99,896.28,69,8.51,18.89,"LaunchAngle",2010
4,4,"Greg Kraft",52,12.94,426.99,33,9.94,15.69,"LaunchAngle",2010
5,5,"Craig Bowden",56,12.82,448.66,35,9.73,15.91,"LaunchAngle",2010
6,6,"David Toms",86,12.67,823.69,65,10.22,16.31,"LaunchAngle",2010
7,7,"Joe Ogilvie",99,12.66,1025.41,81,8.68,15.61,"LaunchAngle",2010
8,8,"John Daly",63,12.65,379.43,30,9.46,17.18,"LaunchAngle",2010
9,9,"Vaughn Taylor",87,12.64,885.12,70,10.12,16.75,"LaunchAngle",2010
10,10,"Heath Slocum",97,12.57,942.75,75,8.93,16.63,"LaunchAngle",2010
11,11,"Ben Crane",85,12.55,903.94,72,8.92,16.38,"LaunchAngle",2010
12,12,"Jeff Gove",57,12.52,438.04,35,10.2,15.11,"LaunchAngle",2010
13,13,"Aron Price",70,12.49,612.22,49,9.31,15.21,"LaunchAngle",2010
14,14,"JP Hayes",79,12.46,797.76,64,8.54,15.35,"LaunchAngle",2010
15,15,"John Mallinger",78,12.45,610.07,49,8.65,15.87,"LaunchAngle",2010
15,15,"Paul Stankowski",62,12.45,473.1,38,8.64,17.02,"LaunchAngle",2010
17,17,"Brandt Snedeker",89,12.39,991.59,80,8.85,16.98,"LaunchAngle",2010
18,18,"Scott Piercy",88,12.33,789.11,64,7.79,17.25,"LaunchAngle",2010
19,19,"Kenny Perry",69,12.31,714.07,58,9.69,16.03,"LaunchAngle",2010
20,20,"Phil Mickelson",76,12.27,588.94,48,3.41,17.42,"LaunchAngle",2010
21,21,"Roland Thatcher",72,12.24,734.7,60,8.34,16.06,"LaunchAngle",2010
22,22,"Jeff Maggert",76,12.23,709.59,58,9.4,14.48,"LaunchAngle",2010
23,23,"Andres Romero",73,12.18,767.57,63,0.57,18.71,"LaunchAngle",2010
24,24,"Jerod Turner",54,12.17,474.73,39,8.91,16.26,"LaunchAngle",2010
25,25,"Brian Davis",101,12.13,910.1,75,9.02,15.01,"LaunchAngle",2010
25,25,"Vijay Singh",75,12.13,715.64,59,7.89,19.78,"LaunchAngle",2010
27,27,"Webb Simpson",98,12.09,1064.18,88,8.19,17.15,"LaunchAngle",2010
28,28,"Mark Calcavecchia",50,12.07,470.72,39,7.54,17.84,"LaunchAngle",2010
29,29,"Kevin Stadler",86,12.05,735.09,61,8.54,15.44,"LaunchAngle",2010
30,30,"JB Holmes",100,11.99,863.03,72,8.2,15.37,"LaunchAngle",2010
31,31,"Roger Tambellini",77,11.97,670.29,56,6.73,17.27,"LaunchAngle",2010
32,32,"Chris DiMarco",88,11.96,753.23,63,7.65,17.12,"LaunchAngle",2010
33,33,"Kevin Sutherland",86,11.94,883.9,74,9.26,14.32,"LaunchAngle",2010
34,34,"Carl Pettersson",99,11.86,1055.95,89,7.88,17.26,"LaunchAngle",2010
35,35,"Davis Love III",79,11.85,711.28,60,7.8,16.33,"LaunchAngle",2010
36,36,"Ted Purdy",86,11.84,698.39,59,9.01,15,"LaunchAngle",2010
37,37,"Ernie Els",72,11.83,674.55,57,8.81,15.68,"LaunchAngle",2010
38,38,"Derek Lamely",81,11.81,673.3,57,9.17,15.47,"LaunchAngle",2010
39,39,"Brenden Pappas",66,11.79,495.1,42,8.58,15.28,"LaunchAngle",2010
39,39,"Nicholas Thompson",88,11.79,778.35,66,8.7,16.73,"LaunchAngle",2010
41,41,"Padraig Harrington",57,11.77,518.07,44,10.08,15.09,"LaunchAngle",2010
42,42,"Justin Bolli",55,11.75,446.68,38,8.89,15.22,"LaunchAngle",2010
43,43,"Billy Mayfair",78,11.74,634.13,54,6.66,15.16,"LaunchAngle",2010
43,43,"John Merrick",109,11.74,1021.5,87,8.64,14.91,"LaunchAngle",2010
45,45,"Cliff Kresge",50,11.73,398.79,34,6.44,16.5,"LaunchAngle",2010
46,46,"Mathias Gronberg",61,11.71,468.5,40,9.56,14.24,"LaunchAngle",2010
47,47,"Tim Herron",79,11.68,677.19,58,8.52,17.71,"LaunchAngle",2010
48,48,"Rory McIlroy",54,11.67,490.15,42,6.44,15.24,"LaunchAngle",2010
49,49,"Jeff Overton",89,11.65,815.24,70,8.72,15.72,"LaunchAngle",2010
49,49,"Brian Stuard",81,11.65,792.21,68,7.37,16.03,"LaunchAngle",2010
51,51,"Tim Clark",88,11.63,767.85,66,9.58,14.05,"LaunchAngle",2010
52,52,"Brett Quigley",96,11.62,859.7,74,7.54,15.18,"LaunchAngle",2010
53,53,"Zach Johnson",93,11.59,903.95,78,8.06,14.28,"LaunchAngle",2010
54,54,"Rickie Fowler",98,11.44,961.36,84,7.1,14.79,"LaunchAngle",2010
55,55,"Jason Bohn",84,11.37,909.56,80,8.54,13.91,"LaunchAngle",2010
55,55,"Jerry Kelly",99,11.37,818.98,72,7.83,14.83,"LaunchAngle",2010
57,57,"Robert Allenby",76,11.3,677.83,60,9.05,14.26,"LaunchAngle",2010
58,58,"Skip Kendall",58,11.27,405.86,36,8.29,14.21,"LaunchAngle",2010
59,59,"Marc Leishman",87,11.22,808.1,72,4.79,17.08,"LaunchAngle",2010
59,59,"Cameron Percy",73,11.22,594.74,53,8.31,14.1,"LaunchAngle",2010
61,61,"Troy Matteson",84,11.21,762.21,68,7.64,18.87,"LaunchAngle",2010
62,62,"Rory Sabbatini",79,11.2,571.08,51,6.51,18.81,"LaunchAngle",2010
63,63,"Hunter Mahan",85,11.19,827.75,74,9.05,14.01,"LaunchAngle",2010
64,64,"Cameron Beckman",68,11.18,614.77,55,8.41,14.32,"LaunchAngle",2010
65,65,"Will Ma Kenzie",72,11.16,647.57,58,8.2,14.4,"LaunchAngle",2010
66,66,"Woody Austin",93,11.12,756.15,68,8.22,17.82,"LaunchAngle",2010
66,66,"Jonathan Byrd",85,11.12,800.57,72,7.75,16.2,"LaunchAngle",2010
68,68,"Cameron Tringale",55,11.11,422.23,38,5.6,16.06,"LaunchAngle",2010
69,69,"Steve Stricker",73,11.1,688.1,62,7.85,13.52,"LaunchAngle",2010
69,69,"Charles Warren",64,11.1,477.46,43,8.11,13.19,"LaunchAngle",2010
71,71,"Scott Verplank",74,11.08,642.92,58,7.33,14.66,"LaunchAngle",2010
72,72,"Garth Mulroy",53,11.05,408.7,37,8.91,13.8,"LaunchAngle",2010
72,72,"Tom Pernice Jr",74,11.05,486.11,44,4.12,14.35,"LaunchAngle",2010
74,74,"Rocco Mediate",71,11.02,606.17,55,8.03,14.21,"LaunchAngle",2010
74,74,"Josh Teater",101,11.02,837.4,76,7.62,16.76,"LaunchAngle",2010
76,76,"Ryuji Imada",90,10.98,900.76,82,7.75,17.53,"LaunchAngle",2010
76,76,"Bill Lunde",79,10.98,648.1,59,7.55,14.05,"LaunchAngle",2010
