"TotalPutting_RANKTHISWEEK_2008","TotalPutting_RANKLASTWEEK_2008","TotalPutting_PLAYERNAME_2008","TotalPutting_EVENTS_2008","TotalPutting_TOTAL_2008","stat_name","year"
1,1,"Daniel Chopra",27,39.4,"TotalPutting",2008
2,2,"Ian Poulter",15,50.3,"TotalPutting",2008
3,3,"Aaron Baddeley",22,58.3,"TotalPutting",2008
3,3,"Ben Crane",25,58.3,"TotalPutting",2008
5,5,"Marc Turnesa",29,59.5,"TotalPutting",2008
6,6,"Bob Tway",20,68.7,"TotalPutting",2008
7,7,"Eric Axley",35,71.4,"TotalPutting",2008
8,8,"Corey Pavin",20,86.8,"TotalPutting",2008
9,9,"Dudley Hart",22,88.9,"TotalPutting",2008
10,10,"Dean Wilson",32,90,"TotalPutting",2008
11,11,"Brian Gay",31,90.9,"TotalPutting",2008
12,12,"Nathan Green",30,91.8,"TotalPutting",2008
13,13,"Craig Kanada",23,92.6,"TotalPutting",2008
14,14,"Carl Pettersson",29,93.4,"TotalPutting",2008
15,15,"Jeff Quinney",28,97.7,"TotalPutting",2008
16,16,"Joe Ogilvie",29,99.3,"TotalPutting",2008
17,17,"Ben Curtis",22,102.9,"TotalPutting",2008
18,18,"Anthony Kim",22,105.3,"TotalPutting",2008
19,19,"Chad Collins",24,107.3,"TotalPutting",2008
20,20,"Justin Leonard",25,110.1,"TotalPutting",2008
21,21,"Stephen Ames",24,111.3,"TotalPutting",2008
22,22,"Richard Johnson",29,116.3,"TotalPutting",2008
23,23,"Ken Duke",33,120.3,"TotalPutting",2008
24,24,"Kevin Sutherland",26,120.4,"TotalPutting",2008
25,25,"Ryan Palmer",22,121.8,"TotalPutting",2008
26,26,"Mark Wilson",29,122.3,"TotalPutting",2008
27,27,"KJ Choi",21,123.6,"TotalPutting",2008
28,28,"Jesper Parnevik",29,124.7,"TotalPutting",2008
29,29,"Stuart Appleby",23,127.2,"TotalPutting",2008
30,30,"Andres Romero",20,127.3,"TotalPutting",2008
31,31,"Parker McLachlin",27,127.7,"TotalPutting",2008
31,31,"Brenden Pappas",24,127.7,"TotalPutting",2008
33,33,"Stewart Cink",23,128.3,"TotalPutting",2008
34,34,"Ryuji Imada",25,129.7,"TotalPutting",2008
35,35,"Freddie Jacobson",24,130,"TotalPutting",2008
36,36,"Tim Herron",28,135.8,"TotalPutting",2008
37,37,"Jason Day",28,136,"TotalPutting",2008
38,38,"John Mallinger",29,137.8,"TotalPutting",2008
39,39,"Steve Elkington",25,138.3,"TotalPutting",2008
40,40,"Tom Pernice Jr",30,139.8,"TotalPutting",2008
41,41,"James Driscoll",28,140.4,"TotalPutting",2008
42,42,"Gavin Coles",16,142.3,"TotalPutting",2008
43,43,"Pat Perez",27,142.8,"TotalPutting",2008
44,44,"Stephen Leaney",17,143.2,"TotalPutting",2008
45,45,"Jim Furyk",26,143.7,"TotalPutting",2008
47,47,"Nick OHern",26,145.5,"TotalPutting",2008
48,48,"Phil Mickelson",21,145.9,"TotalPutting",2008
49,49,"Mike Weir",26,147,"TotalPutting",2008
50,50,"John Huston",18,148.3,"TotalPutting",2008
51,51,"Tim Wilkinson",29,148.5,"TotalPutting",2008
52,52,"Patrick Sheehan",35,152.8,"TotalPutting",2008
53,53,"Steve Stricker",22,152.9,"TotalPutting",2008
54,54,"Brett Quigley",25,153.6,"TotalPutting",2008
55,55,"Jerry Kelly",31,156.7,"TotalPutting",2008
56,56,"Chris Riley",17,157.8,"TotalPutting",2008
57,57,"Shane Bertsch",29,159,"TotalPutting",2008
57,57,"Brad Elder",23,159,"TotalPutting",2008
59,59,"Alejandro Canizares",16,162.6,"TotalPutting",2008
60,60,"Jeff Overton",32,163,"TotalPutting",2008
61,61,"Mathew Goggin",27,164.1,"TotalPutting",2008
62,62,"Tim Clark",27,164.8,"TotalPutting",2008
63,63,"Doug LaBelle II",22,169.3,"TotalPutting",2008
64,64,"Shigeki Maruyama",18,170,"TotalPutting",2008
65,65,"Zach Johnson",25,171.8,"TotalPutting",2008
66,66,"Ryan Moore",24,172.8,"TotalPutting",2008
66,66,"Geoff Ogilvy",20,172.8,"TotalPutting",2008
68,68,"Steve Marino",32,175.7,"TotalPutting",2008
69,69,"Todd Hamilton",28,177,"TotalPutting",2008
70,70,"Jason Gore",33,178.8,"TotalPutting",2008
71,71,"Sean OHair",25,179.8,"TotalPutting",2008
72,72,"Greg Kraft",21,180.5,"TotalPutting",2008
73,73,"Paul Claxton",23,181.1,"TotalPutting",2008
74,74,"Camilo Villegas",22,184.3,"TotalPutting",2008
75,75,"JJ Henry",34,184.8,"TotalPutting",2008
76,76,"Bob Estes",28,187.8,"TotalPutting",2008
76,76,"Frank Lickliter II",32,187.8,"TotalPutting",2008
78,78,"Woody Austin",30,188.3,"TotalPutting",2008
79,79,"Hunter Mahan",27,190.8,"TotalPutting",2008
80,80,"Jonathan Byrd",27,194.3,"TotalPutting",2008
81,81,"Carlos Franco",25,195.2,"TotalPutting",2008
82,82,"Michael Letzig",29,197.3,"TotalPutting",2008
83,83,"Steve Allan",21,197.7,"TotalPutting",2008
83,83,"Kenny Perry",26,197.7,"TotalPutting",2008
85,85,"Brandt Snedeker",26,201.4,"TotalPutting",2008
86,86,"Martin Laird",29,203.1,"TotalPutting",2008
87,87,"Mark Hensby",26,203.8,"TotalPutting",2008
88,88,"Nick Watney",27,206.2,"TotalPutting",2008
89,89,"Vaughn Taylor",32,207.1,"TotalPutting",2008
90,90,"Lee Janzen",28,207.7,"TotalPutting",2008
91,91,"Glen Day",19,213.6,"TotalPutting",2008
92,92,"Chris DiMarco",29,215.2,"TotalPutting",2008
93,93,"Kevin Na",29,217.8,"TotalPutting",2008
93,93,"John Rollins",28,217.8,"TotalPutting",2008
95,95,"Matt Kuchar",27,219.6,"TotalPutting",2008
96,96,"Bill Haas",31,220.1,"TotalPutting",2008
97,97,"Marco Dawson",21,220.3,"TotalPutting",2008
98,98,"Brian Davis",34,221.3,"TotalPutting",2008
99,99,"Bart Bryant",23,222.1,"TotalPutting",2008
100,100,"Chad Campbell",28,223.4,"TotalPutting",2008
101,101,"Lucas Glover",26,223.9,"TotalPutting",2008
102,102,"Jin Park",30,225.1,"TotalPutting",2008
103,103,"YE Yang",29,225.2,"TotalPutting",2008
104,104,"Cody Freeman",26,225.5,"TotalPutting",2008
105,105,"Kenneth Ferrie",25,226.2,"TotalPutting",2008
106,106,"George McNeill",29,226.3,"TotalPutting",2008
107,107,"Tommy Armour III",25,226.8,"TotalPutting",2008
108,108,"JB Holmes",26,228.5,"TotalPutting",2008
108,108,"Bo Van Pelt",32,228.5,"TotalPutting",2008
110,110,"Michael Allen",28,230.3,"TotalPutting",2008
111,111,"Charley Hoffman",29,231.4,"TotalPutting",2008
112,112,"Kevin Streelman",32,233.5,"TotalPutting",2008
113,113,"Cliff Kresge",28,235.2,"TotalPutting",2008
114,114,"Jimmy Walker",24,235.3,"TotalPutting",2008
115,115,"JP Hayes",26,236.2,"TotalPutting",2008
116,116,"Charlie Wi",27,236.8,"TotalPutting",2008
117,117,"Johnson Wagner",26,237.3,"TotalPutting",2008
118,118,"Matt Jones",31,238,"TotalPutting",2008
119,119,"Todd Demsey",25,241.6,"TotalPutting",2008
120,120,"Mathias Gronberg",30,243.4,"TotalPutting",2008
121,121,"Retief Goosen",18,245.1,"TotalPutting",2008
122,122,"Tim Petrovic",32,245.4,"TotalPutting",2008
123,123,"Steve Lowery",25,245.5,"TotalPutting",2008
124,124,"Peter Lonard",30,245.8,"TotalPutting",2008
125,125,"Scott Sterling",28,247,"TotalPutting",2008
126,126,"Ryan Armour",32,249.5,"TotalPutting",2008
127,127,"Sergio Garcia",19,250,"TotalPutting",2008
128,128,"Tom Scherrer",20,250.8,"TotalPutting",2008
129,129,"Kent Jones",23,255.1,"TotalPutting",2008
130,130,"Robert Allenby",28,255.4,"TotalPutting",2008
131,131,"Robert Garrigus",29,256.8,"TotalPutting",2008
132,132,"Rocco Mediate",27,257.6,"TotalPutting",2008
