"Total3PuttsInside5_RANKTHISWEEK_2014","Total3PuttsInside5_RANKLASTWEEK_2014","Total3PuttsInside5_PLAYERNAME_2014","Total3PuttsInside5_ROUNDS_2014","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2014","Total3PuttsInside5_TOTAL3PUTTS_2014","stat_name","year"
1,1,"Lucas Glover",68,5,41,"Total3PuttsInside5",2014
2,2,"Rickie Fowler",91,3,26,"Total3PuttsInside5",2014
2,2,"Matt Kuchar",91,3,28,"Total3PuttsInside5",2014
2,2,"Geoff Ogilvy",84,3,49,"Total3PuttsInside5",2014
5,5,"Aaron Baddeley",74,2,24,"Total3PuttsInside5",2014
5,5,"Brian Davis",93,2,38,"Total3PuttsInside5",2014
5,5,"Jason Dufner",57,2,27,"Total3PuttsInside5",2014
5,5,"Matt Every",85,2,31,"Total3PuttsInside5",2014
5,5,"David Hearn",97,2,30,"Total3PuttsInside5",2014
5,5,"Scott Langley",95,2,30,"Total3PuttsInside5",2014
5,5,"Davis Love III",74,2,41,"Total3PuttsInside5",2014
5,5,"Hideki Matsuyama",82,2,47,"Total3PuttsInside5",2014
5,5,"George McNeill",79,2,39,"Total3PuttsInside5",2014
5,5,"Carl Pettersson",91,2,46,"Total3PuttsInside5",2014
5,5,"DA Points",75,2,32,"Total3PuttsInside5",2014
5,5,"Cameron Tringale",111,2,45,"Total3PuttsInside5",2014
5,5,"Camilo Villegas",95,2,46,"Total3PuttsInside5",2014
18,18,"Stuart Appleby",92,1,38,"Total3PuttsInside5",2014
18,18,"Charlie Beljan",76,1,36,"Total3PuttsInside5",2014
18,18,"Jonas Blixt",64,1,15,"Total3PuttsInside5",2014
18,18,"Jason Bohn",81,1,22,"Total3PuttsInside5",2014
18,18,"Keegan Bradley",89,1,26,"Total3PuttsInside5",2014
18,18,"Angel Cabrera",69,1,38,"Total3PuttsInside5",2014
18,18,"Roberto Castro",76,1,24,"Total3PuttsInside5",2014
18,18,"Bud Cauley",56,1,24,"Total3PuttsInside5",2014
18,18,"Tim Clark",75,1,29,"Total3PuttsInside5",2014
18,18,"Brendon de Jonge",109,1,33,"Total3PuttsInside5",2014
18,18,"Harris English",95,1,38,"Total3PuttsInside5",2014
18,18,"Jim Furyk",84,1,32,"Total3PuttsInside5",2014
18,18,"Brice Garnett",92,1,38,"Total3PuttsInside5",2014
18,18,"Retief Goosen",94,1,33,"Total3PuttsInside5",2014
18,18,"Bill Haas",107,1,38,"Total3PuttsInside5",2014
18,18,"Charley Hoffman",93,1,33,"Total3PuttsInside5",2014
18,18,"Billy Horschel",92,1,39,"Total3PuttsInside5",2014
18,18,"John Huh",87,1,36,"Total3PuttsInside5",2014
18,18,"Billy Hurley III",86,1,33,"Total3PuttsInside5",2014
18,18,"Matt Jones",83,1,22,"Total3PuttsInside5",2014
18,18,"Martin Kaymer",65,1,23,"Total3PuttsInside5",2014
18,18,"Jerry Kelly",80,1,27,"Total3PuttsInside5",2014
18,18,"Bronson La Cassie",51,1,17,"Total3PuttsInside5",2014
18,18,"Martin Laird",66,1,29,"Total3PuttsInside5",2014
18,18,"Danny Lee",84,1,39,"Total3PuttsInside5",2014
18,18,"Richard Lee",80,1,28,"Total3PuttsInside5",2014
18,18,"Marc Leishman",81,1,30,"Total3PuttsInside5",2014
18,18,"Jeff Maggert",54,1,29,"Total3PuttsInside5",2014
18,18,"William McGirt",96,1,27,"Total3PuttsInside5",2014
18,18,"Rory McIlroy",66,1,18,"Total3PuttsInside5",2014
18,18,"Phil Mickelson",71,1,28,"Total3PuttsInside5",2014
18,18,"Ted Potter Jr",68,1,31,"Total3PuttsInside5",2014
18,18,"Ian Poulter",57,1,27,"Total3PuttsInside5",2014
18,18,"Michael Putnam",106,1,58,"Total3PuttsInside5",2014
18,18,"Patrick Reed",92,1,35,"Total3PuttsInside5",2014
18,18,"Andres Romero",81,1,46,"Total3PuttsInside5",2014
18,18,"Scott Stallings",77,1,39,"Total3PuttsInside5",2014
18,18,"Brendan Steele",89,1,41,"Total3PuttsInside5",2014
18,18,"Chris Stroud",88,1,28,"Total3PuttsInside5",2014
18,18,"Nicholas Thompson",85,1,55,"Total3PuttsInside5",2014
18,18,"Michael Thompson",74,1,35,"Total3PuttsInside5",2014
18,18,"Brendon Todd",108,1,32,"Total3PuttsInside5",2014
18,18,"Jhonattan Vegas",77,1,45,"Total3PuttsInside5",2014
18,18,"Jimmy Walker",98,1,26,"Total3PuttsInside5",2014
18,18,"Charlie Wi",72,1,32,"Total3PuttsInside5",2014
