"TotalHoleOuts_RANKTHISWEEK_2015","TotalHoleOuts_RANKLASTWEEK_2015","TotalHoleOuts_PLAYERNAME_2015","TotalHoleOuts_ROUNDS_2015","TotalHoleOuts_HOLEOUTS_2015","stat_name","year"
1,1,"Steven Bowditch",103,22,"TotalHoleOuts",2015
2,2,"Kevin Kisner",104,21,"TotalHoleOuts",2015
2,2,"William McGirt",103,21,"TotalHoleOuts",2015
4,4,"Danny Lee",120,20,"TotalHoleOuts",2015
5,5,"Sean OHair",86,19,"TotalHoleOuts",2015
6,6,"Scott Brown",97,18,"TotalHoleOuts",2015
6,6,"John Huh",102,18,"TotalHoleOuts",2015
6,6,"Robert Streb",110,18,"TotalHoleOuts",2015
9,9,"Ken Duke",93,17,"TotalHoleOuts",2015
9,9,"Troy Merritt",91,17,"TotalHoleOuts",2015
9,9,"Patrick Reed",103,17,"TotalHoleOuts",2015
12,12,"Daniel Berger",97,16,"TotalHoleOuts",2015
12,12,"Alex Cejka",94,16,"TotalHoleOuts",2015
12,12,"Derek Fathauer",81,16,"TotalHoleOuts",2015
12,12,"Gonzalo Fdez Castano",81,16,"TotalHoleOuts",2015
12,12,"Morgan Hoffmann",85,16,"TotalHoleOuts",2015
12,12,"Jeff Overton",94,16,"TotalHoleOuts",2015
12,12,"Pat Perez",96,16,"TotalHoleOuts",2015
12,12,"Jordan Spieth",91,16,"TotalHoleOuts",2015
12,12,"Shawn Stefani",94,16,"TotalHoleOuts",2015
12,12,"Boo Weekley",79,16,"TotalHoleOuts",2015
22,22,"Tony Finau",106,15,"TotalHoleOuts",2015
22,22,"Adam Hadwin",95,15,"TotalHoleOuts",2015
22,22,"JB Holmes",89,15,"TotalHoleOuts",2015
22,22,"Max Homa",78,15,"TotalHoleOuts",2015
22,22,"Dustin Johnson",75,15,"TotalHoleOuts",2015
22,22,"John Peterson",84,15,"TotalHoleOuts",2015
22,22,"Brandt Snedeker",98,15,"TotalHoleOuts",2015
22,22,"Nick Watney",91,15,"TotalHoleOuts",2015
30,30,"Ricky Barnes",82,14,"TotalHoleOuts",2015
30,30,"Chad Campbell",97,14,"TotalHoleOuts",2015
30,30,"Jason Kokrak",88,14,"TotalHoleOuts",2015
30,30,"David Lingmerth",90,14,"TotalHoleOuts",2015
30,30,"Andres Romero",69,14,"TotalHoleOuts",2015
30,30,"Sam Saunders",83,14,"TotalHoleOuts",2015
30,30,"Justin Thomas",106,14,"TotalHoleOuts",2015
37,37,"Sangmoon Bae",98,13,"TotalHoleOuts",2015
37,37,"Zac Blair",108,13,"TotalHoleOuts",2015
37,37,"Chad Collins",79,13,"TotalHoleOuts",2015
37,37,"Erik Compton",86,13,"TotalHoleOuts",2015
37,37,"Jason Dufner",76,13,"TotalHoleOuts",2015
37,37,"Harris English",105,13,"TotalHoleOuts",2015
37,37,"Martin Flores",95,13,"TotalHoleOuts",2015
37,37,"Robert Garrigus",70,13,"TotalHoleOuts",2015
37,37,"Ryo Ishikawa",90,13,"TotalHoleOuts",2015
37,37,"Ben Martin",93,13,"TotalHoleOuts",2015
37,37,"Phil Mickelson",70,13,"TotalHoleOuts",2015
37,37,"Kevin Na",98,13,"TotalHoleOuts",2015
37,37,"Scott Piercy",90,13,"TotalHoleOuts",2015
37,37,"Brian Stuard",97,13,"TotalHoleOuts",2015
37,37,"Daniel Summerhays",101,13,"TotalHoleOuts",2015
