"AveragePuttingDistanceAll2putts_RANKTHISWEEK_2008","AveragePuttingDistanceAll2putts_RANKLASTWEEK_2008","AveragePuttingDistanceAll2putts_PLAYERNAME_2008","AveragePuttingDistanceAll2putts_ROUNDS_2008","AveragePuttingDistanceAll2putts_AVG_2008","AveragePuttingDistanceAll2putts_DISTANCEFEET_2008","AveragePuttingDistanceAll2putts_TOTALPUTTS_2008","stat_name","year"
1,1,"Dudley Hart",74,NA,16159.417,658,"AveragePuttingDistanceAll2putts",2008
2,2,"Jesper Parnevik",88,NA,17174.333,706,"AveragePuttingDistanceAll2putts",2008
3,3,"Stephen Leaney",53,NA,11391.25,471,"AveragePuttingDistanceAll2putts",2008
4,4,"Steve Allan",58,NA,12169.583,506,"AveragePuttingDistanceAll2putts",2008
4,4,"JJ Henry",108,NA,26877.917,1116,"AveragePuttingDistanceAll2putts",2008
6,6,"Todd Demsey",80,NA,17309.167,722,"AveragePuttingDistanceAll2putts",2008
7,7,"KJ Choi",74,NA,14232.583,595,"AveragePuttingDistanceAll2putts",2008
8,8,"James Driscoll",85,NA,19268.75,809,"AveragePuttingDistanceAll2putts",2008
8,8,"Carlos Franco",73,NA,15751.917,661,"AveragePuttingDistanceAll2putts",2008
8,8,"Richard Johnson",60,NA,12611.083,529,"AveragePuttingDistanceAll2putts",2008
8,8,"Martin Laird",98,NA,20872.667,875,"AveragePuttingDistanceAll2putts",2008
12,12,"Jim Furyk",95,NA,18875.667,796,"AveragePuttingDistanceAll2putts",2008
12,12,"Mathew Goggin",91,NA,20920.75,880,"AveragePuttingDistanceAll2putts",2008
12,12,"Mark Wilson",107,NA,25394.333,1068,"AveragePuttingDistanceAll2putts",2008
15,15,"Eric Axley",113,NA,22560.667,958,"AveragePuttingDistanceAll2putts",2008
15,15,"Carl Pettersson",110,NA,22662.583,962,"AveragePuttingDistanceAll2putts",2008
17,17,"Bart Bryant",81,NA,16150.5,688,"AveragePuttingDistanceAll2putts",2008
17,17,"Tim Herron",97,NA,19965.5,849,"AveragePuttingDistanceAll2putts",2008
17,17,"Pat Perez",93,NA,18718.333,797,"AveragePuttingDistanceAll2putts",2008
17,17,"John Senden",93,NA,21347.333,907,"AveragePuttingDistanceAll2putts",2008
17,17,"Dean Wilson",109,NA,22158.333,944,"AveragePuttingDistanceAll2putts",2008
22,22,"Stewart Cink",87,NA,15324.5,654,"AveragePuttingDistanceAll2putts",2008
22,22,"Nathan Green",95,NA,19903.25,849,"AveragePuttingDistanceAll2putts",2008
