"ShortGameRating_RANKTHISWEEK_2014","ShortGameRating_RANKLASTWEEK_2014","ShortGameRating_PLAYERNAME_2014","ShortGameRating_EVENTS_2014","ShortGameRating_RATING_2014","stat_name","year"
1,1,"Chris Williams",1,8.1,"ShortGameRating",2014
2,2,"Matteo Manassero",3,8,"ShortGameRating",2014
3,3,"Scott Hend",1,7.6,"ShortGameRating",2014
4,4,"Jason Day",7,7.5,"ShortGameRating",2014
5,5,"Jon Curran",1,7.4,"ShortGameRating",2014
6,6,"Patrick Cantlay",2,7.3,"ShortGameRating",2014
6,6,"Austin Cook",1,7.3,"ShortGameRating",2014
6,6,"Robert Karlsson",2,7.3,"ShortGameRating",2014
6,6,"Spencer Levin",7,7.3,"ShortGameRating",2014
6,6,"Steve Stricker",8,7.3,"ShortGameRating",2014
6,6,"Brady Watt",1,7.3,"ShortGameRating",2014
12,12,"Thomas Bjorn",2,7.2,"ShortGameRating",2014
12,12,"Keegan Bradley",12,7.2,"ShortGameRating",2014
12,12,"George Coetzee",1,7.2,"ShortGameRating",2014
12,12,"Brad Fritsch",6,7.2,"ShortGameRating",2014
12,12,"Matt Kuchar",17,7.2,"ShortGameRating",2014
12,12,"Justin Leonard",12,7.2,"ShortGameRating",2014
12,12,"Bryce Molder",12,7.2,"ShortGameRating",2014
12,12,"Scottie Scheffler",1,7.2,"ShortGameRating",2014
20,20,"Rafa Cabrera Bello",1,7.1,"ShortGameRating",2014
20,20,"Kevin Na",15,7.1,"ShortGameRating",2014
20,20,"Patrick Rodgers",3,7.1,"ShortGameRating",2014
20,20,"Justin Rose",11,7.1,"ShortGameRating",2014
20,20,"Mike Weir",6,7.1,"ShortGameRating",2014
25,25,"Stuart Appleby",16,7,"ShortGameRating",2014
25,25,"Bill Haas",19,7,"ShortGameRating",2014
25,25,"Chesson Hadley",9,7,"ShortGameRating",2014
25,25,"David Howell",1,7,"ShortGameRating",2014
25,25,"Vijay Singh",15,7,"ShortGameRating",2014
25,25,"Charlie Wi",8,7,"ShortGameRating",2014
31,31,"Joe Durant",3,6.9,"ShortGameRating",2014
31,31,"Mikko Ilonen",2,6.9,"ShortGameRating",2014
31,31,"Jin Jeong",1,6.9,"ShortGameRating",2014
31,31,"Shane Lowry",1,6.9,"ShortGameRating",2014
31,31,"Will Wilcox",6,6.9,"ShortGameRating",2014
36,36,"Sangmoon Bae",12,6.8,"ShortGameRating",2014
36,36,"Josh Broadaway",1,6.8,"ShortGameRating",2014
36,36,"Bud Cauley",7,6.8,"ShortGameRating",2014
36,36,"Graham DeLaet",12,6.8,"ShortGameRating",2014
36,36,"Jason Dufner",10,6.8,"ShortGameRating",2014
36,36,"Jim Furyk",16,6.8,"ShortGameRating",2014
36,36,"Lee Janzen",2,6.8,"ShortGameRating",2014
36,36,"Zach Johnson",18,6.8,"ShortGameRating",2014
36,36,"Chris Kirk",20,6.8,"ShortGameRating",2014
36,36,"Pablo Larrazabal",1,6.8,"ShortGameRating",2014
36,36,"Alexander Levy",2,6.8,"ShortGameRating",2014
36,36,"Graeme McDowell",12,6.8,"ShortGameRating",2014
36,36,"Sean OHair",12,6.8,"ShortGameRating",2014
36,36,"Ted Potter Jr",7,6.8,"ShortGameRating",2014
36,36,"Webb Simpson",15,6.8,"ShortGameRating",2014
36,36,"Jordan Spieth",19,6.8,"ShortGameRating",2014
36,36,"Hideto Tanihara",1,6.8,"ShortGameRating",2014
36,36,"Chris Wood",1,6.8,"ShortGameRating",2014
36,36,"Fabrizio Zanotti",1,6.8,"ShortGameRating",2014
55,55,"Mark Anderson",2,6.7,"ShortGameRating",2014
55,55,"Jonas Blixt",6,6.7,"ShortGameRating",2014
55,55,"Roberto Castro",10,6.7,"ShortGameRating",2014
55,55,"KJ Choi",14,6.7,"ShortGameRating",2014
55,55,"Jeff Curl",1,6.7,"ShortGameRating",2014
55,55,"Brian Davis",16,6.7,"ShortGameRating",2014
55,55,"Luke Donald",10,6.7,"ShortGameRating",2014
55,55,"Victor Dubuisson",5,6.7,"ShortGameRating",2014
55,55,"Retief Goosen",17,6.7,"ShortGameRating",2014
55,55,"Padraig Harrington",5,6.7,"ShortGameRating",2014
55,55,"Tim Herron",6,6.7,"ShortGameRating",2014
55,55,"Freddie Jacobson",16,6.7,"ShortGameRating",2014
55,55,"Thongchai Jaidee",2,6.7,"ShortGameRating",2014
55,55,"Richard Lee",9,6.7,"ShortGameRating",2014
55,55,"Phil Mickelson",10,6.7,"ShortGameRating",2014
55,55,"Francesco Molinari",5,6.7,"ShortGameRating",2014
55,55,"Geoff Ogilvy",12,6.7,"ShortGameRating",2014
