"EarlyRound1ScoringAverage_RANKTHISWEEK_2016","EarlyRound1ScoringAverage_RANKLASTWEEK_2016","EarlyRound1ScoringAverage_PLAYERNAME_2016","EarlyRound1ScoringAverage__2016","EarlyRound1ScoringAverage_AVG_2016","EarlyRound1ScoringAverage_TOTALSTROKES_2016","EarlyRound1ScoringAverage_TOTALROUNDS_2016","stat_name","year"
87,85,"David Lingmerth",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
87,85,"Sean OHair",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
87,93,"Daniel Summerhays",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
91,95,"Kevin Chappell",NA,70.6,353,5,"EarlyRound1ScoringAverage",2016
92,98,"Greg Owen",NA,70.64,777,11,"EarlyRound1ScoringAverage",2016
93,99,"Ben Crane",NA,70.67,424,6,"EarlyRound1ScoringAverage",2016
93,99,"Dawie van der Walt",NA,70.67,636,9,"EarlyRound1ScoringAverage",2016
95,115,"John Senden",NA,70.7,707,10,"EarlyRound1ScoringAverage",2016
96,101,"Bill Haas",NA,70.75,283,4,"EarlyRound1ScoringAverage",2016
96,101,"JJ Henry",NA,70.75,566,8,"EarlyRound1ScoringAverage",2016
96,101,"Billy Hurley III",NA,70.75,283,4,"EarlyRound1ScoringAverage",2016
96,101,"Ollie Schniederjans",NA,70.75,283,4,"EarlyRound1ScoringAverage",2016
96,101,"Brett Stegmaier",NA,70.75,566,8,"EarlyRound1ScoringAverage",2016
96,101,"Jimmy Walker",NA,70.75,283,4,"EarlyRound1ScoringAverage",2016
102,108,"Brian Harman",NA,70.78,637,9,"EarlyRound1ScoringAverage",2016
102,101,"Mark Wilson",NA,70.78,637,9,"EarlyRound1ScoringAverage",2016
104,110,"Colt Knost",NA,70.8,354,5,"EarlyRound1ScoringAverage",2016
104,110,"Pat Perez",NA,70.8,354,5,"EarlyRound1ScoringAverage",2016
106,73,"Padraig Harrington",NA,70.83,425,6,"EarlyRound1ScoringAverage",2016
106,112,"Russell Knox",NA,70.83,425,6,"EarlyRound1ScoringAverage",2016
106,73,"Ben Martin",NA,70.83,425,6,"EarlyRound1ScoringAverage",2016
109,113,"Whee Kim",NA,70.88,567,8,"EarlyRound1ScoringAverage",2016
109,93,"Kyle Stanley",NA,70.88,567,8,"EarlyRound1ScoringAverage",2016
111,95,"Brendon de Jonge",NA,70.91,780,11,"EarlyRound1ScoringAverage",2016
112,115,"Jonas Blixt",NA,71,568,8,"EarlyRound1ScoringAverage",2016
112,108,"Bronson Burgoon",NA,71,710,10,"EarlyRound1ScoringAverage",2016
112,115,"Jason Day",NA,71,284,4,"EarlyRound1ScoringAverage",2016
112,115,"Graham DeLaet",NA,71,426,6,"EarlyRound1ScoringAverage",2016
112,115,"Robert Garrigus",NA,71,497,7,"EarlyRound1ScoringAverage",2016
112,115,"Justin Hicks",NA,71,355,5,"EarlyRound1ScoringAverage",2016
112,92,"Morgan Hoffmann",NA,71,710,10,"EarlyRound1ScoringAverage",2016
112,115,"Zach Johnson",NA,71,355,5,"EarlyRound1ScoringAverage",2016
112,115,"Kelly Kraft",NA,71,426,6,"EarlyRound1ScoringAverage",2016
112,115,"Andrew Landry",NA,71,284,4,"EarlyRound1ScoringAverage",2016
112,115,"Andrew Loupe",NA,71,639,9,"EarlyRound1ScoringAverage",2016
112,115,"Peter Malnati",NA,71,781,11,"EarlyRound1ScoringAverage",2016
112,115,"Seung Yul Noh",NA,71,710,10,"EarlyRound1ScoringAverage",2016
112,115,"Louis Oosthuizen",NA,71,213,3,"EarlyRound1ScoringAverage",2016
112,115,"Martin Piller",NA,71,284,4,"EarlyRound1ScoringAverage",2016
112,95,"Cameron Smith",NA,71,426,6,"EarlyRound1ScoringAverage",2016
112,115,"Hudson Swafford",NA,71,639,9,"EarlyRound1ScoringAverage",2016
129,114,"Justin Thomas",NA,71.1,711,10,"EarlyRound1ScoringAverage",2016
130,136,"Luke List",NA,71.11,640,9,"EarlyRound1ScoringAverage",2016
130,115,"Patrick Rodgers",NA,71.11,640,9,"EarlyRound1ScoringAverage",2016
132,138,"JB Holmes",NA,71.2,356,5,"EarlyRound1ScoringAverage",2016
132,138,"Justin Leonard",NA,71.2,356,5,"EarlyRound1ScoringAverage",2016
132,138,"Nick Taylor",NA,71.2,712,10,"EarlyRound1ScoringAverage",2016
135,141,"Jason Dufner",NA,71.25,570,8,"EarlyRound1ScoringAverage",2016
