"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2012","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2012","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2012","AverageDistancetoHoleAfterTeeShot_ROUNDS_2012","AverageDistancetoHoleAfterTeeShot_AVG_2012","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2012","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2012","stat_name","year"
1,1,"Bubba Watson",68,152.2,3885791,709,"AverageDistancetoHoleAfterTeeShot",2012
2,2,"John Daly",50,154.5,2886568,519,"AverageDistancetoHoleAfterTeeShot",2012
3,3,"Charlie Beljan",61,155.3,3316190,593,"AverageDistancetoHoleAfterTeeShot",2012
4,4,"JB Holmes",90,158,6070610,1067,"AverageDistancetoHoleAfterTeeShot",2012
5,5,"Scott Stallings",78,161.2,5436851,937,"AverageDistancetoHoleAfterTeeShot",2012
6,6,"Dustin Johnson",70,161.3,4232966,729,"AverageDistancetoHoleAfterTeeShot",2012
7,7,"Edward Loar",59,161.8,3430532,589,"AverageDistancetoHoleAfterTeeShot",2012
8,8,"Robert Garrigus",89,161.9,5944747,1020,"AverageDistancetoHoleAfterTeeShot",2012
9,9,"Kyle Stanley",86,163.1,5695790,970,"AverageDistancetoHoleAfterTeeShot",2012
10,10,"Harrison Frazar",56,163.2,3883788,661,"AverageDistancetoHoleAfterTeeShot",2012
11,11,"Rory McIlroy",60,163.3,3273939,557,"AverageDistancetoHoleAfterTeeShot",2012
12,12,"Jason Kokrak",79,163.5,5516299,937,"AverageDistancetoHoleAfterTeeShot",2012
12,12,"Gary Woodland",70,163.5,4244625,721,"AverageDistancetoHoleAfterTeeShot",2012
14,14,"Keegan Bradley",90,164.9,5829569,982,"AverageDistancetoHoleAfterTeeShot",2012
15,15,"Jhonattan Vegas",77,165.1,5592410,941,"AverageDistancetoHoleAfterTeeShot",2012
16,16,"Sean OHair",84,165.2,6227452,1047,"AverageDistancetoHoleAfterTeeShot",2012
17,17,"Ryan Palmer",81,165.3,5784312,972,"AverageDistancetoHoleAfterTeeShot",2012
17,17,"Scott Piercy",95,165.3,7049766,1185,"AverageDistancetoHoleAfterTeeShot",2012
19,19,"Josh Teater",97,165.5,6796602,1141,"AverageDistancetoHoleAfterTeeShot",2012
20,20,"Graham DeLaet",79,165.6,5811062,975,"AverageDistancetoHoleAfterTeeShot",2012
21,21,"Daniel Chopra",55,165.8,3498719,586,"AverageDistancetoHoleAfterTeeShot",2012
21,21,"Billy Horschel",63,165.8,3962135,664,"AverageDistancetoHoleAfterTeeShot",2012
23,23,"Robert Karlsson",54,166.6,3375722,563,"AverageDistancetoHoleAfterTeeShot",2012
24,24,"Rory Sabbatini",84,167.2,5953088,989,"AverageDistancetoHoleAfterTeeShot",2012
25,25,"Troy Kelly",68,167.5,4203669,697,"AverageDistancetoHoleAfterTeeShot",2012
26,26,"Angel Cabrera",54,167.8,3038178,503,"AverageDistancetoHoleAfterTeeShot",2012
27,27,"Garth Mulroy",59,168.3,3829406,632,"AverageDistancetoHoleAfterTeeShot",2012
28,28,"Scott Brown",65,168.5,4247240,700,"AverageDistancetoHoleAfterTeeShot",2012
28,28,"Martin Flores",95,168.5,6828292,1126,"AverageDistancetoHoleAfterTeeShot",2012
28,28,"Boo Weekley",74,168.5,4865125,802,"AverageDistancetoHoleAfterTeeShot",2012
31,31,"Harris English",98,168.6,7271360,1198,"AverageDistancetoHoleAfterTeeShot",2012
31,31,"Tommy Gainey",98,168.6,7479890,1232,"AverageDistancetoHoleAfterTeeShot",2012
31,31,"Bobby Gates",87,168.6,6354531,1047,"AverageDistancetoHoleAfterTeeShot",2012
31,31,"Martin Laird",77,168.6,4509220,743,"AverageDistancetoHoleAfterTeeShot",2012
31,31,"Troy Matteson",100,168.6,6893949,1136,"AverageDistancetoHoleAfterTeeShot",2012
36,36,"Davis Love III",64,168.7,4365461,719,"AverageDistancetoHoleAfterTeeShot",2012
37,37,"Matt Jones",53,168.8,3608813,594,"AverageDistancetoHoleAfterTeeShot",2012
38,38,"Mark Anderson",75,168.9,5089164,837,"AverageDistancetoHoleAfterTeeShot",2012
38,38,"Jason Day",57,168.9,3920923,645,"AverageDistancetoHoleAfterTeeShot",2012
40,40,"Seung Yul Noh",105,169.2,7127856,1170,"AverageDistancetoHoleAfterTeeShot",2012
40,40,"Louis Oosthuizen",65,169.2,4086544,671,"AverageDistancetoHoleAfterTeeShot",2012
42,42,"Kevin Kisner",69,169.3,4425189,726,"AverageDistancetoHoleAfterTeeShot",2012
42,42,"Vijay Singh",99,169.3,6787629,1114,"AverageDistancetoHoleAfterTeeShot",2012
44,44,"Aaron Baddeley",73,169.4,4629758,759,"AverageDistancetoHoleAfterTeeShot",2012
44,44,"Adam Scott",59,169.4,3463436,568,"AverageDistancetoHoleAfterTeeShot",2012
44,44,"Roland Thatcher",55,169.4,3652133,599,"AverageDistancetoHoleAfterTeeShot",2012
47,47,"John Rollins",81,169.9,5956230,974,"AverageDistancetoHoleAfterTeeShot",2012
48,48,"Erik Compton",81,170.3,5414494,883,"AverageDistancetoHoleAfterTeeShot",2012
48,48,"Jeff Overton",101,170.3,7784110,1270,"AverageDistancetoHoleAfterTeeShot",2012
50,50,"Charley Hoffman",88,170.4,6393126,1042,"AverageDistancetoHoleAfterTeeShot",2012
50,50,"DJ Trahan",73,170.4,5201003,848,"AverageDistancetoHoleAfterTeeShot",2012
52,52,"Chris Couch",61,170.6,4490219,731,"AverageDistancetoHoleAfterTeeShot",2012
53,53,"Bill Lunde",83,170.7,5627717,916,"AverageDistancetoHoleAfterTeeShot",2012
54,54,"Charles Howell III",98,170.9,6540754,1063,"AverageDistancetoHoleAfterTeeShot",2012
54,54,"Carl Pettersson",92,170.9,6711083,1091,"AverageDistancetoHoleAfterTeeShot",2012
56,56,"Will Claxton",99,171,7318814,1189,"AverageDistancetoHoleAfterTeeShot",2012
57,57,"Stephen Gangluff",57,171.1,3572345,580,"AverageDistancetoHoleAfterTeeShot",2012
58,58,"Bo Van Pelt",84,171.4,5547401,899,"AverageDistancetoHoleAfterTeeShot",2012
59,59,"Webb Simpson",77,171.6,5634808,912,"AverageDistancetoHoleAfterTeeShot",2012
60,60,"Bill Haas",79,171.7,5272597,853,"AverageDistancetoHoleAfterTeeShot",2012
60,60,"Brian Harman",101,171.7,7484955,1211,"AverageDistancetoHoleAfterTeeShot",2012
62,62,"Kevin Chappell",91,171.8,6116348,989,"AverageDistancetoHoleAfterTeeShot",2012
62,62,"Jason Dufner",83,171.8,5416600,876,"AverageDistancetoHoleAfterTeeShot",2012
62,62,"Chris Kirk",93,171.8,7278481,1177,"AverageDistancetoHoleAfterTeeShot",2012
62,62,"Greg Owen",90,171.8,6586968,1065,"AverageDistancetoHoleAfterTeeShot",2012
66,66,"Miguel Angel Carballo",73,172.2,4860575,784,"AverageDistancetoHoleAfterTeeShot",2012
66,66,"Roberto Castro",92,172.2,6433509,1038,"AverageDistancetoHoleAfterTeeShot",2012
68,68,"Mathew Goggin",65,172.3,4694262,757,"AverageDistancetoHoleAfterTeeShot",2012
69,69,"Bud Cauley",99,172.4,7715194,1243,"AverageDistancetoHoleAfterTeeShot",2012
69,69,"Danny Lee",74,172.4,5014038,808,"AverageDistancetoHoleAfterTeeShot",2012
71,71,"Kevin Streelman",89,172.5,6568375,1058,"AverageDistancetoHoleAfterTeeShot",2012
71,71,"Nick Watney",97,172.5,6488144,1045,"AverageDistancetoHoleAfterTeeShot",2012
73,73,"Charl Schwartzel",56,172.7,3462062,557,"AverageDistancetoHoleAfterTeeShot",2012
73,73,"Camilo Villegas",79,172.7,6216897,1000,"AverageDistancetoHoleAfterTeeShot",2012
75,75,"Tim Herron",88,172.9,6543687,1051,"AverageDistancetoHoleAfterTeeShot",2012
75,75,"Kevin Stadler",85,172.9,6006448,965,"AverageDistancetoHoleAfterTeeShot",2012
77,77,"Lee Westwood",60,173,3456279,555,"AverageDistancetoHoleAfterTeeShot",2012
78,78,"Freddie Jacobson",61,173.5,3821599,612,"AverageDistancetoHoleAfterTeeShot",2012
79,79,"Ryo Ishikawa",54,173.7,3182055,509,"AverageDistancetoHoleAfterTeeShot",2012
79,79,"Steve Wheatcroft",56,173.7,3614057,578,"AverageDistancetoHoleAfterTeeShot",2012
81,81,"Kyle Thompson",51,173.8,3178783,508,"AverageDistancetoHoleAfterTeeShot",2012
82,82,"Daniel Summerhays",81,173.9,5903966,943,"AverageDistancetoHoleAfterTeeShot",2012
83,83,"Phil Mickelson",79,174,5130415,819,"AverageDistancetoHoleAfterTeeShot",2012
84,84,"Jonathan Byrd",69,174.1,4843751,773,"AverageDistancetoHoleAfterTeeShot",2012
84,84,"Richard Lee",71,174.1,4919546,785,"AverageDistancetoHoleAfterTeeShot",2012
86,86,"Matt Every",80,174.4,5513224,878,"AverageDistancetoHoleAfterTeeShot",2012
86,86,"JJ Killeen",101,174.4,7287684,1161,"AverageDistancetoHoleAfterTeeShot",2012
88,88,"Jeff Maggert",83,174.6,6790068,1080,"AverageDistancetoHoleAfterTeeShot",2012
88,88,"John Merrick",83,174.6,6240609,993,"AverageDistancetoHoleAfterTeeShot",2012
88,88,"Tiger Woods",69,174.6,4204705,669,"AverageDistancetoHoleAfterTeeShot",2012
91,91,"Rickie Fowler",84,174.8,5733010,911,"AverageDistancetoHoleAfterTeeShot",2012
91,91,"Derek Lamely",64,174.8,4787753,761,"AverageDistancetoHoleAfterTeeShot",2012
93,93,"Chad Campbell",84,175,6349883,1008,"AverageDistancetoHoleAfterTeeShot",2012
94,94,"Kyle Reifers",86,175.1,6435633,1021,"AverageDistancetoHoleAfterTeeShot",2012
94,94,"Brendan Steele",77,175.1,5572951,884,"AverageDistancetoHoleAfterTeeShot",2012
96,96,"Jimmy Walker",101,175.2,7878236,1249,"AverageDistancetoHoleAfterTeeShot",2012
97,97,"Sergio Garcia",57,175.3,3810952,604,"AverageDistancetoHoleAfterTeeShot",2012
97,97,"Padraig Harrington",67,175.3,3906438,619,"AverageDistancetoHoleAfterTeeShot",2012
99,99,"Matt Bettencourt",80,175.4,5165693,818,"AverageDistancetoHoleAfterTeeShot",2012
99,99,"Hunter Haas",69,175.4,4547404,720,"AverageDistancetoHoleAfterTeeShot",2012
101,101,"Stuart Appleby",75,175.5,5630910,891,"AverageDistancetoHoleAfterTeeShot",2012
101,101,"Tommy Biershenk",74,175.5,4991044,790,"AverageDistancetoHoleAfterTeeShot",2012
101,101,"Andres Romero",68,175.5,4644012,735,"AverageDistancetoHoleAfterTeeShot",2012
104,104,"Blake Adams",107,175.6,7688676,1216,"AverageDistancetoHoleAfterTeeShot",2012
104,104,"Chris Stroud",86,175.6,6522689,1032,"AverageDistancetoHoleAfterTeeShot",2012
104,104,"Vaughn Taylor",81,175.6,5519138,873,"AverageDistancetoHoleAfterTeeShot",2012
107,107,"Arjun Atwal",79,175.7,5731889,906,"AverageDistancetoHoleAfterTeeShot",2012
108,108,"Scott Dunlap",57,175.8,4056464,641,"AverageDistancetoHoleAfterTeeShot",2012
108,108,"Brandt Jobe",57,175.8,3929354,621,"AverageDistancetoHoleAfterTeeShot",2012
108,108,"Hunter Mahan",88,175.8,5652361,893,"AverageDistancetoHoleAfterTeeShot",2012
108,108,"Billy Mayfair",90,175.8,6785481,1072,"AverageDistancetoHoleAfterTeeShot",2012
108,108,"John Senden",81,175.8,5431119,858,"AverageDistancetoHoleAfterTeeShot",2012
113,113,"Steve Stricker",73,176,4765233,752,"AverageDistancetoHoleAfterTeeShot",2012
114,114,"Ernie Els",80,176.1,5692619,898,"AverageDistancetoHoleAfterTeeShot",2012
114,114,"DA Points",88,176.1,6999710,1104,"AverageDistancetoHoleAfterTeeShot",2012
114,114,"Alexandre Rocha",62,176.1,4405271,695,"AverageDistancetoHoleAfterTeeShot",2012
114,114,"Cameron Tringale",88,176.1,6733693,1062,"AverageDistancetoHoleAfterTeeShot",2012
118,118,"Tom Gillis",75,176.2,6006041,947,"AverageDistancetoHoleAfterTeeShot",2012
118,118,"Henrik Stenson",51,176.2,3690744,582,"AverageDistancetoHoleAfterTeeShot",2012
120,120,"Russell Knox",72,176.3,4930281,777,"AverageDistancetoHoleAfterTeeShot",2012
121,121,"JJ Henry",93,176.4,6237363,982,"AverageDistancetoHoleAfterTeeShot",2012
122,122,"Marco Dawson",60,176.6,3973718,625,"AverageDistancetoHoleAfterTeeShot",2012
123,123,"James Driscoll",83,176.8,6080048,955,"AverageDistancetoHoleAfterTeeShot",2012
123,123,"John Huh",99,176.8,7517615,1181,"AverageDistancetoHoleAfterTeeShot",2012
125,125,"Matt Kuchar",86,176.9,5802585,911,"AverageDistancetoHoleAfterTeeShot",2012
126,126,"Ricky Barnes",92,177,7193077,1129,"AverageDistancetoHoleAfterTeeShot",2012
126,126,"Ben Crane",73,177,5442005,854,"AverageDistancetoHoleAfterTeeShot",2012
126,126,"Rod Pampling",88,177,6065226,952,"AverageDistancetoHoleAfterTeeShot",2012
126,126,"Heath Slocum",93,177,6647603,1043,"AverageDistancetoHoleAfterTeeShot",2012
130,130,"Rocco Mediate",70,177.1,5113084,802,"AverageDistancetoHoleAfterTeeShot",2012
131,131,"Jonas Blixt",72,177.3,5628974,882,"AverageDistancetoHoleAfterTeeShot",2012
132,132,"Sangmoon Bae",81,177.4,5026814,787,"AverageDistancetoHoleAfterTeeShot",2012
133,133,"Ken Duke",104,177.6,7927414,1240,"AverageDistancetoHoleAfterTeeShot",2012
134,134,"Gary Christian",91,177.7,6660831,1041,"AverageDistancetoHoleAfterTeeShot",2012
134,134,"Patrick Sheehan",58,177.7,3876323,606,"AverageDistancetoHoleAfterTeeShot",2012
136,136,"Tim Clark",60,177.8,4454021,696,"AverageDistancetoHoleAfterTeeShot",2012
136,136,"Ted Potter Jr",77,177.8,5390466,842,"AverageDistancetoHoleAfterTeeShot",2012
138,138,"Michael Bradley",63,177.9,4770262,745,"AverageDistancetoHoleAfterTeeShot",2012
138,138,"Brendon de Jonge",115,177.9,9041448,1412,"AverageDistancetoHoleAfterTeeShot",2012
140,140,"Spencer Levin",81,178.1,5885037,918,"AverageDistancetoHoleAfterTeeShot",2012
