"GreensinRegulationPercentage_RANKTHISWEEK_2007","GreensinRegulationPercentage_RANKLASTWEEK_2007","GreensinRegulationPercentage_PLAYERNAME_2007","GreensinRegulationPercentage_ROUNDS_2007","GreensinRegulationPercentage_Pct_2007","GreensinRegulationPercentage_GREENSHIT_2007","GreensinRegulationPercentage_HOLES_2007","GreensinRegulationPercentage_RELATIVEPAR_2007","stat_name","year"
1,1,"Tiger Woods",63,71.02,767,1080,-0.32,"GreensinRegulationPercentage",2007
2,2,"John Senden",97,70.33,1228,1746,-0.22,"GreensinRegulationPercentage",2007
3,3,"Jeff Gove",103,70.17,1301,1854,-0.22,"GreensinRegulationPercentage",2007
4,4,"Cameron Beckman",96,69.87,1157,1656,-0.24,"GreensinRegulationPercentage",2007
5,5,"Tommy Armour III",81,69.84,968,1386,-0.24,"GreensinRegulationPercentage",2007
6,6,"Alex Cejka",80,69.44,975,1404,-0.25,"GreensinRegulationPercentage",2007
6,6,"Jim Furyk",84,69.44,1025,1476,-0.24,"GreensinRegulationPercentage",2007
8,8,"Briny Baird",115,69.27,1384,1998,-0.24,"GreensinRegulationPercentage",2007
9,9,"John Merrick",92,69.13,1095,1584,-0.22,"GreensinRegulationPercentage",2007
10,10,"Jeff Overton",60,68.87,719,1044,-0.26,"GreensinRegulationPercentage",2007
11,11,"Mathew Goggin",97,68.84,1202,1746,-0.22,"GreensinRegulationPercentage",2007
12,12,"Joe Durant",88,68.52,1073,1566,-0.19,"GreensinRegulationPercentage",2007
13,13,"Stephen Leaney",82,68.43,1010,1476,-0.22,"GreensinRegulationPercentage",2007
14,14,"Charles Warren",101,68.37,1243,1818,-0.26,"GreensinRegulationPercentage",2007
15,15,"Robert Allenby",90,68.29,1094,1602,-0.24,"GreensinRegulationPercentage",2007
16,16,"Tom Lehman",62,68.19,761,1116,-0.22,"GreensinRegulationPercentage",2007
17,17,"Greg Owen",81,68.14,969,1422,-0.22,"GreensinRegulationPercentage",2007
18,18,"Billy Mayfair",98,68.08,1201,1764,-0.23,"GreensinRegulationPercentage",2007
19,19,"Johnson Wagner",97,67.75,1183,1746,-0.24,"GreensinRegulationPercentage",2007
20,20,"Kenny Perry",83,67.54,1009,1494,-0.22,"GreensinRegulationPercentage",2007
21,21,"Ted Purdy",102,67.23,1186,1764,-0.22,"GreensinRegulationPercentage",2007
22,22,"Craig Barlow",52,67.2,629,936,-0.24,"GreensinRegulationPercentage",2007
23,23,"Sean OHair",98,67.12,1184,1764,-0.25,"GreensinRegulationPercentage",2007
24,24,"Michael Putnam",96,67.03,1110,1656,-0.24,"GreensinRegulationPercentage",2007
25,25,"Robert Garrigus",95,67.02,1146,1710,-0.27,"GreensinRegulationPercentage",2007
26,26,"Duffy Waldorf",69,66.99,832,1242,-0.24,"GreensinRegulationPercentage",2007
27,27,"Kent Jones",97,66.95,1169,1746,-0.25,"GreensinRegulationPercentage",2007
27,27,"DJ Trahan",99,66.95,1193,1782,-0.21,"GreensinRegulationPercentage",2007
29,29,"Hunter Mahan",91,66.91,1096,1638,-0.25,"GreensinRegulationPercentage",2007
