"Approachesfrominside100yards_RANKTHISWEEK_2008","Approachesfrominside100yards_RANKLASTWEEK_2008","Approachesfrominside100yards_PLAYERNAME_2008","Approachesfrominside100yards_ROUNDS_2008","Approachesfrominside100yards_AVG_2008","Approachesfrominside100yards_TOTALDISTANCEFEET_2008","Approachesfrominside100yards_OFATTEMPTS_2008","Approachesfrominside100yards_RELATIVETOPAR_2008","stat_name","year"
1,1,"Corey Pavin",69,NA,1117.917,87,-0.18,"Approachesfrominside100yards",2008
2,2,"Matt Kuchar",88,NA,1421.083,106,-0.29,"Approachesfrominside100yards",2008
3,3,"Stephen Ames",83,NA,1377.25,102,-0.24,"Approachesfrominside100yards",2008
4,4,"John Senden",93,NA,1423.917,104,-0.05,"Approachesfrominside100yards",2008
5,5,"Brian Gay",102,NA,2044.75,149,-0.37,"Approachesfrominside100yards",2008
5,5,"Scott Verplank",82,NA,1500.25,109,-0.17,"Approachesfrominside100yards",2008
7,7,"Nick OHern",82,NA,1808.417,131,-0.31,"Approachesfrominside100yards",2008
8,8,"Mike Weir",88,NA,1319.417,95,-0.13,"Approachesfrominside100yards",2008
9,9,"Justin Leonard",101,NA,1703,122,-0.27,"Approachesfrominside100yards",2008
10,10,"Shigeki Maruyama",50,NA,843.917,60,-0.3,"Approachesfrominside100yards",2008
10,10,"Tim Wilkinson",95,NA,1675.5,119,-0.29,"Approachesfrominside100yards",2008
12,12,"Jimmy Walker",73,NA,707.5,50,0.06,"Approachesfrominside100yards",2008
13,13,"Aaron Baddeley",76,NA,913.417,64,-0.2,"Approachesfrominside100yards",2008
14,14,"Fred Couples",60,NA,1120.333,78,-0.09,"Approachesfrominside100yards",2008
14,14,"Rod Pampling",83,NA,1031.333,72,-0.19,"Approachesfrominside100yards",2008
16,16,"Shane Bertsch",96,NA,2470.667,171,-0.17,"Approachesfrominside100yards",2008
16,16,"Steve Stricker",75,NA,1423.25,99,-0.18,"Approachesfrominside100yards",2008
18,18,"Brian Davis",108,NA,2517.583,174,-0.19,"Approachesfrominside100yards",2008
18,18,"Ryuji Imada",80,NA,1335.917,92,-0.29,"Approachesfrominside100yards",2008
20,20,"Jonathan Byrd",88,NA,1516.667,104,-0.17,"Approachesfrominside100yards",2008
20,20,"Cody Freeman",66,NA,785.917,54,-0.06,"Approachesfrominside100yards",2008
20,20,"Jim Furyk",95,NA,1665.333,114,-0.24,"Approachesfrominside100yards",2008
20,20,"Vaughn Taylor",103,NA,1863.25,128,-0.17,"Approachesfrominside100yards",2008
24,24,"Stuart Appleby",87,NA,1410.75,96,-0.17,"Approachesfrominside100yards",2008
24,24,"Jeff Gove",50,NA,998.833,68,-0.18,"Approachesfrominside100yards",2008
24,24,"Stephen Leaney",53,NA,1127.083,77,-0.22,"Approachesfrominside100yards",2008
24,24,"John Riegger",73,NA,1654.583,113,-0.15,"Approachesfrominside100yards",2008
28,28,"Justin Bolli",87,NA,1708.25,116,-0.08,"Approachesfrominside100yards",2008
28,28,"Joe Durant",92,NA,1429,97,-0.16,"Approachesfrominside100yards",2008
28,28,"Brett Rumford",72,NA,1368.417,93,-0.18,"Approachesfrominside100yards",2008
31,31,"Paul Goydos",78,NA,1747.083,118,-0.26,"Approachesfrominside100yards",2008
31,31,"Rory Sabbatini",77,NA,1514.5,102,-0.18,"Approachesfrominside100yards",2008
33,33,"Pat Perez",93,NA,1446.333,97,-0.13,"Approachesfrominside100yards",2008
33,33,"Camilo Villegas",79,NA,792.583,53,-0.11,"Approachesfrominside100yards",2008
35,35,"Eric Axley",113,NA,1667,111,-0.11,"Approachesfrominside100yards",2008
35,35,"Bart Bryant",81,NA,1470.25,98,-0.18,"Approachesfrominside100yards",2008
35,35,"Harrison Frazar",73,NA,1517.667,101,-0.12,"Approachesfrominside100yards",2008
35,35,"Tom Pernice Jr",104,NA,2326.833,155,-0.1,"Approachesfrominside100yards",2008
39,39,"Steve Flesch",95,NA,1961.75,129,-0.1,"Approachesfrominside100yards",2008
39,39,"Davis Love III",78,NA,924.75,61,-0.07,"Approachesfrominside100yards",2008
39,39,"Geoff Ogilvy",65,NA,942,62,-0.16,"Approachesfrominside100yards",2008
39,39,"Brandt Snedeker",85,NA,1322.417,87,-0.05,"Approachesfrominside100yards",2008
39,39,"David Toms",70,NA,1243.5,82,-0.16,"Approachesfrominside100yards",2008
44,44,"Tim Clark",90,NA,2074.583,136,-0.22,"Approachesfrominside100yards",2008
44,44,"Charlie Wi",97,NA,1845.25,121,-0.13,"Approachesfrominside100yards",2008
