"ClubHeadSpeed_RANKTHISWEEK_2009","ClubHeadSpeed_RANKLASTWEEK_2009","ClubHeadSpeed_PLAYERNAME_2009","ClubHeadSpeed_ROUNDS_2009","ClubHeadSpeed_AVG_2009","ClubHeadSpeed_TOTALCLUBHEADSPEED_2009","ClubHeadSpeed_TOTALATTEMPTS_2009","ClubHeadSpeed_FASTESTSPEED_2009","ClubHeadSpeed_SLOWESTSPEED_2009","stat_name","year"
1,1,"Bubba Watson",73,124.02,6201.24,50,127.33,120.72,"ClubHeadSpeed",2009
2,2,"JB Holmes",74,122.76,6628.92,54,126.76,116.15,"ClubHeadSpeed",2009
3,3,"Gary Woodland",53,122.57,3922.18,32,126.37,107.62,"ClubHeadSpeed",2009
4,4,"Dustin Johnson",85,121.12,7872.5,65,124.58,114.69,"ClubHeadSpeed",2009
5,5,"Tiger Woods",64,120.52,4820.89,40,123.85,117.01,"ClubHeadSpeed",2009
6,6,"Robert Garrigus",83,120.35,7220.94,60,125.29,113.64,"ClubHeadSpeed",2009
7,7,"Phil Mickelson",66,120.08,5403.49,45,125.62,111.72,"ClubHeadSpeed",2009
8,8,"Tag Ridings",50,119.96,4918.31,41,124.47,112.2,"ClubHeadSpeed",2009
9,9,"Angel Cabrera",55,119.68,4547.84,38,122.74,116.38,"ClubHeadSpeed",2009
10,10,"Nick Watney",86,119.64,8733.4,73,124.11,114.54,"ClubHeadSpeed",2009
11,11,"Charley Hoffman",97,118.95,9753.78,82,121.96,114.18,"ClubHeadSpeed",2009
12,12,"Adam Scott",53,118.87,5230.35,44,122.46,97.61,"ClubHeadSpeed",2009
13,13,"Sergio Garcia",59,118.42,5329.09,45,122.04,114.68,"ClubHeadSpeed",2009
14,14,"Bill Haas",91,118.11,9567.28,81,125.02,111.81,"ClubHeadSpeed",2009
15,15,"Andres Romero",58,117.91,6131.3,52,120.92,115,"ClubHeadSpeed",2009
16,16,"John Senden",100,117.42,9511.17,81,121.43,113.4,"ClubHeadSpeed",2009
17,17,"Martin Laird",72,117.35,6336.65,54,122.97,112.44,"ClubHeadSpeed",2009
18,18,"Troy Matteson",95,117.18,9960.64,85,121.25,113.71,"ClubHeadSpeed",2009
19,19,"Davis Love III",89,117.08,8078.62,69,122.18,98.01,"ClubHeadSpeed",2009
20,20,"Charles Howell III",99,116.71,10037.11,86,119.64,111.65,"ClubHeadSpeed",2009
21,21,"Leif Olson",51,116.68,4433.88,38,120.36,107.54,"ClubHeadSpeed",2009
22,22,"Lucas Glover",93,116.63,8397.69,72,120.57,111.72,"ClubHeadSpeed",2009
23,23,"George McNeill",82,116.42,8848.03,76,119.41,112.53,"ClubHeadSpeed",2009
24,24,"Daniel Chopra",89,116.37,10472.99,90,119.99,98.65,"ClubHeadSpeed",2009
25,25,"Jimmy Walker",74,116.34,5817.12,50,119.33,111.4,"ClubHeadSpeed",2009
26,26,"Ricky Barnes",67,116.33,5933.05,51,120.03,108.41,"ClubHeadSpeed",2009
27,27,"Retief Goosen",74,116.32,6514.05,56,119.54,108.06,"ClubHeadSpeed",2009
28,28,"JJ Henry",97,116.16,9641.13,83,120.08,108.48,"ClubHeadSpeed",2009
29,29,"Marc Leishman",91,116.14,8826.77,76,118.93,112.73,"ClubHeadSpeed",2009
30,30,"Anthony Kim",76,115.98,7306.69,63,123.02,110.64,"ClubHeadSpeed",2009
31,31,"Jonathan Byrd",89,115.77,7177.96,62,119.88,112.33,"ClubHeadSpeed",2009
32,32,"Fred Couples",54,115.54,4968.35,43,118.96,112.77,"ClubHeadSpeed",2009
33,33,"Jason Day",61,115.52,5544.85,48,118.84,110.36,"ClubHeadSpeed",2009
