"Back9Par5ScoringAverage_RANKTHISWEEK_2005","Back9Par5ScoringAverage_RANKLASTWEEK_2005","Back9Par5ScoringAverage_PLAYERNAME_2005","Back9Par5ScoringAverage_ROUNDS_2005","Back9Par5ScoringAverage_AVG_2005","Back9Par5ScoringAverage_TOTALSTROKES_2005","Back9Par5ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Retief Goosen",71,4.51,437,97,"Back9Par5ScoringAverage",2005
2,2,"Tiger Woods",76,4.52,556,123,"Back9Par5ScoringAverage",2005
3,3,"Sergio Garcia",73,4.53,467,103,"Back9Par5ScoringAverage",2005
4,4,"Hunter Mahan",103,4.55,769,169,"Back9Par5ScoringAverage",2005
4,4,"Tag Ridings",93,4.55,724,159,"Back9Par5ScoringAverage",2005
6,6,"Charles Warren",89,4.56,698,153,"Back9Par5ScoringAverage",2005
7,7,"Billy Andrade",83,4.57,658,144,"Back9Par5ScoringAverage",2005
7,7,"Steve Stricker",62,4.57,466,102,"Back9Par5ScoringAverage",2005
9,9,"Charles Howell III",95,4.58,700,153,"Back9Par5ScoringAverage",2005
10,10,"Arjun Atwal",65,4.59,491,107,"Back9Par5ScoringAverage",2005
10,10,"Tim Clark",92,4.59,620,135,"Back9Par5ScoringAverage",2005
10,10,"Harrison Frazar",105,4.59,790,172,"Back9Par5ScoringAverage",2005
10,10,"Jim Furyk",94,4.59,675,147,"Back9Par5ScoringAverage",2005
10,10,"Frank Lickliter II",100,4.59,757,165,"Back9Par5ScoringAverage",2005
10,10,"Vijay Singh",111,4.59,826,180,"Back9Par5ScoringAverage",2005
16,16,"Briny Baird",98,4.6,736,160,"Back9Par5ScoringAverage",2005
16,16,"James Driscoll",73,4.6,594,129,"Back9Par5ScoringAverage",2005
16,16,"Mark Hensby",70,4.6,506,110,"Back9Par5ScoringAverage",2005
16,16,"Phil Mickelson",81,4.6,566,123,"Back9Par5ScoringAverage",2005
20,20,"Stuart Appleby",84,4.61,590,128,"Back9Par5ScoringAverage",2005
20,20,"Fred Couples",72,4.61,526,114,"Back9Par5ScoringAverage",2005
22,22,"Greg Owen",84,4.62,638,138,"Back9Par5ScoringAverage",2005
22,22,"Ted Purdy",122,4.62,919,199,"Back9Par5ScoringAverage",2005
22,22,"David Toms",87,4.62,591,128,"Back9Par5ScoringAverage",2005
25,25,"Bart Bryant",91,4.63,658,142,"Back9Par5ScoringAverage",2005
25,25,"KJ Choi",78,4.63,551,119,"Back9Par5ScoringAverage",2005
25,25,"Brett Quigley",96,4.63,741,160,"Back9Par5ScoringAverage",2005
25,25,"Darron Stiles",78,4.63,606,131,"Back9Par5ScoringAverage",2005
25,25,"Bo Van Pelt",112,4.63,898,194,"Back9Par5ScoringAverage",2005
30,30,"Brian Bateman",98,4.64,757,163,"Back9Par5ScoringAverage",2005
30,30,"Jonathan Byrd",103,4.64,766,165,"Back9Par5ScoringAverage",2005
30,30,"JJ Henry",102,4.64,807,174,"Back9Par5ScoringAverage",2005
30,30,"Rocco Mediate",73,4.64,543,117,"Back9Par5ScoringAverage",2005
30,30,"Scott Verplank",87,4.64,659,142,"Back9Par5ScoringAverage",2005
35,35,"Woody Austin",100,4.65,791,170,"Back9Par5ScoringAverage",2005
35,35,"Robert Damron",89,4.65,730,157,"Back9Par5ScoringAverage",2005
35,35,"Lee Janzen",75,4.65,581,125,"Back9Par5ScoringAverage",2005
35,35,"Zach Johnson",96,4.65,720,155,"Back9Par5ScoringAverage",2005
35,35,"Neal Lancaster",95,4.65,739,159,"Back9Par5ScoringAverage",2005
35,35,"Billy Mayfair",114,4.65,856,184,"Back9Par5ScoringAverage",2005
35,35,"Adam Scott",72,4.65,502,108,"Back9Par5ScoringAverage",2005
35,35,"Kevin Sutherland",89,4.65,712,153,"Back9Par5ScoringAverage",2005
35,35,"DJ Trahan",81,4.65,619,133,"Back9Par5ScoringAverage",2005
44,44,"Jason Bohn",91,4.66,689,148,"Back9Par5ScoringAverage",2005
44,44,"Dan Forsman",52,4.66,396,85,"Back9Par5ScoringAverage",2005
44,44,"Carlos Franco",78,4.66,625,134,"Back9Par5ScoringAverage",2005
44,44,"Mathias Gronberg",60,4.66,415,89,"Back9Par5ScoringAverage",2005
44,44,"Brendan Jones",81,4.66,615,132,"Back9Par5ScoringAverage",2005
44,44,"Bernhard Langer",67,4.66,545,117,"Back9Par5ScoringAverage",2005
