"TenthTeeLateScoringAverage_RANKTHISWEEK_2008","TenthTeeLateScoringAverage_RANKLASTWEEK_2008","TenthTeeLateScoringAverage_PLAYERNAME_2008","TenthTeeLateScoringAverage_ROUNDS_2008","TenthTeeLateScoringAverage_AVG_2008","TenthTeeLateScoringAverage_TOTALSTROKES_2008","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2008","stat_name","year"
1,1,"Jim Furyk",95,69,207,3,"TenthTeeLateScoringAverage",2008
1,1,"John Huston",56,69,621,9,"TenthTeeLateScoringAverage",2008
1,1,"Geoff Ogilvy",65,69,414,6,"TenthTeeLateScoringAverage",2008
4,4,"Stewart Cink",87,69.29,485,7,"TenthTeeLateScoringAverage",2008
4,4,"Steve Stricker",75,69.29,485,7,"TenthTeeLateScoringAverage",2008
6,6,"Kenny Perry",97,69.45,764,11,"TenthTeeLateScoringAverage",2008
7,7,"Craig Kanada",65,69.5,973,14,"TenthTeeLateScoringAverage",2008
7,7,"Camilo Villegas",79,69.5,556,8,"TenthTeeLateScoringAverage",2008
9,9,"Brian Gay",102,69.58,835,12,"TenthTeeLateScoringAverage",2008
9,9,"Nick OHern",82,69.58,835,12,"TenthTeeLateScoringAverage",2008
11,11,"Anthony Kim",81,69.67,836,12,"TenthTeeLateScoringAverage",2008
12,12,"DJ Trahan",94,69.72,1255,18,"TenthTeeLateScoringAverage",2008
13,13,"Tim Clark",90,69.82,768,11,"TenthTeeLateScoringAverage",2008
14,14,"JB Holmes",86,69.91,769,11,"TenthTeeLateScoringAverage",2008
15,15,"Kevin Streelman",114,69.92,1818,26,"TenthTeeLateScoringAverage",2008
16,16,"Steve Marino",119,69.96,1609,23,"TenthTeeLateScoringAverage",2008
17,17,"John Merrick",98,70,1610,23,"TenthTeeLateScoringAverage",2008
18,18,"Peter Lonard",92,70.06,1121,16,"TenthTeeLateScoringAverage",2008
18,18,"Vaughn Taylor",103,70.06,1261,18,"TenthTeeLateScoringAverage",2008
20,20,"Glen Day",64,70.09,771,11,"TenthTeeLateScoringAverage",2008
21,21,"Gavin Coles",54,70.11,631,9,"TenthTeeLateScoringAverage",2008
21,21,"Ben Crane",86,70.11,1262,18,"TenthTeeLateScoringAverage",2008
23,23,"Matt Jones",95,70.17,842,12,"TenthTeeLateScoringAverage",2008
23,23,"Vijay Singh",82,70.17,421,6,"TenthTeeLateScoringAverage",2008
25,25,"Woody Austin",109,70.18,1193,17,"TenthTeeLateScoringAverage",2008
26,26,"Brian Davis",108,70.21,1685,24,"TenthTeeLateScoringAverage",2008
26,26,"Mathias Gronberg",87,70.21,1334,19,"TenthTeeLateScoringAverage",2008
26,26,"Matt Kuchar",88,70.21,983,14,"TenthTeeLateScoringAverage",2008
29,29,"Kent Jones",68,70.23,913,13,"TenthTeeLateScoringAverage",2008
29,29,"Charlie Wi",97,70.23,1545,22,"TenthTeeLateScoringAverage",2008
31,31,"Rory Sabbatini",77,70.3,703,10,"TenthTeeLateScoringAverage",2008
32,32,"Fred Couples",60,70.33,844,12,"TenthTeeLateScoringAverage",2008
32,32,"Justin Leonard",101,70.33,633,9,"TenthTeeLateScoringAverage",2008
32,32,"Kevin Stadler",90,70.33,1055,15,"TenthTeeLateScoringAverage",2008
35,35,"Stuart Appleby",87,70.36,774,11,"TenthTeeLateScoringAverage",2008
35,35,"Ryan Palmer",69,70.36,774,11,"TenthTeeLateScoringAverage",2008
37,37,"Jeff Overton",103,70.41,1549,22,"TenthTeeLateScoringAverage",2008
38,38,"Paul Goydos",78,70.43,986,14,"TenthTeeLateScoringAverage",2008
39,39,"Mathew Goggin",91,70.44,1127,16,"TenthTeeLateScoringAverage",2008
40,40,"Frank Lickliter II",107,70.48,1480,21,"TenthTeeLateScoringAverage",2008
41,41,"Pat Perez",93,70.53,1058,15,"TenthTeeLateScoringAverage",2008
41,41,"John Senden",93,70.53,1340,19,"TenthTeeLateScoringAverage",2008
41,41,"Nick Watney",96,70.53,1340,19,"TenthTeeLateScoringAverage",2008
44,44,"Bob Estes",90,70.56,1270,18,"TenthTeeLateScoringAverage",2008
44,44,"Tim Herron",97,70.56,1270,18,"TenthTeeLateScoringAverage",2008
44,44,"John Riegger",73,70.56,1270,18,"TenthTeeLateScoringAverage",2008
47,47,"Robert Garrigus",90,70.57,988,14,"TenthTeeLateScoringAverage",2008
48,48,"Padraig Harrington",52,70.6,353,5,"TenthTeeLateScoringAverage",2008
49,49,"Sergio Garcia",72,70.63,565,8,"TenthTeeLateScoringAverage",2008
50,50,"Briny Baird",113,70.64,1554,22,"TenthTeeLateScoringAverage",2008
51,51,"Kevin Na",97,70.65,1413,20,"TenthTeeLateScoringAverage",2008
51,51,"Chez Reavie",102,70.65,1837,26,"TenthTeeLateScoringAverage",2008
53,53,"Jerry Kelly",89,70.67,1484,21,"TenthTeeLateScoringAverage",2008
53,53,"Bob Tway",70,70.67,848,12,"TenthTeeLateScoringAverage",2008
