"FirstTeeLatePar3ScoringAverage_RANKTHISWEEK_2007","FirstTeeLatePar3ScoringAverage_RANKLASTWEEK_2007","FirstTeeLatePar3ScoringAverage_PLAYERNAME_2007","FirstTeeLatePar3ScoringAverage_ROUNDS_2007","FirstTeeLatePar3ScoringAverage_AVG_2007","FirstTeeLatePar3ScoringAverage_TOTALSTROKES_2007","FirstTeeLatePar3ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Ken Duke",112,2.91,326,112,"FirstTeeLatePar3ScoringAverage",2007
2,2,"Justin Rose",63,2.95,277,94,"FirstTeeLatePar3ScoringAverage",2007
3,3,"Freddie Jacobson",70,2.96,394,133,"FirstTeeLatePar3ScoringAverage",2007
4,4,"Jeff Overton",60,2.97,205,69,"FirstTeeLatePar3ScoringAverage",2007
5,5,"Jonathan Byrd",73,2.98,349,117,"FirstTeeLatePar3ScoringAverage",2007
5,5,"Jose Coceres",50,2.98,238,80,"FirstTeeLatePar3ScoringAverage",2007
5,5,"Chris Stroud",66,2.98,247,83,"FirstTeeLatePar3ScoringAverage",2007
5,5,"Dean Wilson",92,2.98,316,106,"FirstTeeLatePar3ScoringAverage",2007
9,9,"Tim Clark",66,2.99,356,119,"FirstTeeLatePar3ScoringAverage",2007
9,9,"Craig Kanada",109,2.99,416,139,"FirstTeeLatePar3ScoringAverage",2007
9,9,"Tom Lehman",62,2.99,272,91,"FirstTeeLatePar3ScoringAverage",2007
9,9,"Heath Slocum",101,2.99,427,143,"FirstTeeLatePar3ScoringAverage",2007
9,9,"Scott Verplank",82,2.99,427,143,"FirstTeeLatePar3ScoringAverage",2007
14,14,"Tommy Armour III",81,3,255,85,"FirstTeeLatePar3ScoringAverage",2007
14,14,"Steve Flesch",100,3,318,106,"FirstTeeLatePar3ScoringAverage",2007
14,14,"Robert Garrigus",95,3,339,113,"FirstTeeLatePar3ScoringAverage",2007
14,14,"Tim Petrovic",106,3,327,109,"FirstTeeLatePar3ScoringAverage",2007
14,14,"Jay Williamson",50,3,132,44,"FirstTeeLatePar3ScoringAverage",2007
19,19,"Paul Goydos",60,3.01,217,72,"FirstTeeLatePar3ScoringAverage",2007
19,19,"Anders Hansen",55,3.01,250,83,"FirstTeeLatePar3ScoringAverage",2007
19,19,"Shaun Micheel",91,3.01,307,102,"FirstTeeLatePar3ScoringAverage",2007
19,19,"Kenny Perry",83,3.01,361,120,"FirstTeeLatePar3ScoringAverage",2007
19,19,"Rory Sabbatini",81,3.01,412,137,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Brian Bateman",55,3.02,130,43,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Tom Johnson",74,3.02,181,60,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Justin Leonard",95,3.02,296,98,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Ian Poulter",63,3.02,190,63,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Brett Quigley",79,3.02,290,96,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Camilo Villegas",82,3.02,435,144,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Nick Watney",87,3.02,320,106,"FirstTeeLatePar3ScoringAverage",2007
24,24,"Tiger Woods",63,3.02,486,161,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Michael Allen",74,3.03,233,77,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Chad Campbell",96,3.03,309,102,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Ernie Els",59,3.03,355,117,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Fred Funk",65,3.03,221,73,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Richard Johnson",93,3.03,209,69,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Craig Lile",77,3.03,270,89,"FirstTeeLatePar3ScoringAverage",2007
32,32,"George McNeill",95,3.03,358,118,"FirstTeeLatePar3ScoringAverage",2007
32,32,"Jeff Quinney",95,3.03,352,116,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Stewart Cink",91,3.04,416,137,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Brian Davis",101,3.04,292,96,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Jim Furyk",84,3.04,569,187,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Sergio Garcia",68,3.04,411,135,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Charles Howell III",89,3.04,408,134,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Stephen Leaney",82,3.04,362,119,"FirstTeeLatePar3ScoringAverage",2007
40,40,"John Senden",97,3.04,420,138,"FirstTeeLatePar3ScoringAverage",2007
40,40,"Boo Weekley",101,3.04,374,123,"FirstTeeLatePar3ScoringAverage",2007
48,48,"Rich Beem",89,3.05,363,119,"FirstTeeLatePar3ScoringAverage",2007
48,48,"Daniel Chopra",106,3.05,397,130,"FirstTeeLatePar3ScoringAverage",2007
48,48,"Brian Gay",107,3.05,449,147,"FirstTeeLatePar3ScoringAverage",2007
48,48,"Ryuji Imada",104,3.05,442,145,"FirstTeeLatePar3ScoringAverage",2007
48,48,"Will Ma Kenzie",100,3.05,363,119,"FirstTeeLatePar3ScoringAverage",2007
48,48,"Troy Matteson",87,3.05,354,116,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Steve Allan",63,3.06,263,86,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Jeff Brehaut",59,3.06,199,65,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Bill Haas",93,3.06,395,129,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Matt Hendrix",63,3.06,239,78,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Peter Lonard",85,3.06,343,112,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Billy Mayfair",98,3.06,404,132,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Tom Pernice Jr",104,3.06,465,152,"FirstTeeLatePar3ScoringAverage",2007
54,54,"Michael Sim",52,3.06,202,66,"FirstTeeLatePar3ScoringAverage",2007
54,54,"David Toms",80,3.06,337,110,"FirstTeeLatePar3ScoringAverage",2007
63,63,"Cameron Beckman",96,3.07,421,137,"FirstTeeLatePar3ScoringAverage",2007
63,63,"Gavin Coles",87,3.07,267,87,"FirstTeeLatePar3ScoringAverage",2007
63,63,"Charley Hoffman",97,3.07,396,129,"FirstTeeLatePar3ScoringAverage",2007
63,63,"Zach Johnson",76,3.07,430,140,"FirstTeeLatePar3ScoringAverage",2007
