"NonmemberEarnings_RANKTHISWEEK_2007","NonmemberEarnings_RANKLASTWEEK_2007","NonmemberEarnings_PLAYERNAME_2007","NonmemberEarnings_EVENTS_2007","NonmemberEarnings_MONEY_2007","NonmemberEarnings_TOTAL_2007","stat_name","year"
1,1,"Jay Williamson",14,835515,835515,"NonmemberEarnings",2007
2,2,"Andres Romero",3,596414,798414,"NonmemberEarnings",2007
3,3,"Paul Casey",10,553270,1012770,"NonmemberEarnings",2007
4,4,"Richard Green",5,446070,544070,"NonmemberEarnings",2007
5,5,"Robert Karlsson",13,424870,609370,"NonmemberEarnings",2007
6,6,"Niclas Fasth",10,404655,813405,"NonmemberEarnings",2007
7,7,"Nick Dougherty",3,227922,227922,"NonmemberEarnings",2007
8,8,"Simon Dyson",1,227500,227500,"NonmemberEarnings",2007
9,9,"Paul McGinley",5,144152,195152,"NonmemberEarnings",2007
10,10,"Miguel Angel Jimenez",5,142991,182991,"NonmemberEarnings",2007
11,11,"Markus Brier",2,120458,120458,"NonmemberEarnings",2007
11,11,"Paul Broadhurst",2,120458,169458,"NonmemberEarnings",2007
11,11,"Pelle Edberg",1,120458,120458,"NonmemberEarnings",2007
14,14,"Peter Hanson",3,116159,116159,"NonmemberEarnings",2007
15,15,"Alejandro Canizares",3,111900,111900,"NonmemberEarnings",2007
16,16,"Todd Fischer",4,92000,92000,"NonmemberEarnings",2007
17,17,"Jeev Milkha Singh",12,79179,227679,"NonmemberEarnings",2007
18,18,"Charl Schwartzel",6,77803,134303,"NonmemberEarnings",2007
19,19,"Shingo Katayama",7,74928,194928,"NonmemberEarnings",2007
20,20,"YE Yang",9,53480,170980,"NonmemberEarnings",2007
21,21,"Graeme McDowell",3,52768,52768,"NonmemberEarnings",2007
22,22,"Andy Bare",1,52143,52143,"NonmemberEarnings",2007
23,23,"Johan Edfors",8,51005,140005,"NonmemberEarnings",2007
24,24,"Pablo Martin Benavides",6,45313,45313,"NonmemberEarnings",2007
25,25,"Kyle Thompson",1,42900,42900,"NonmemberEarnings",2007
26,26,"Mark Foster",1,41352,41352,"NonmemberEarnings",2007
27,27,"Michael Campbell",9,39582,159832,"NonmemberEarnings",2007
28,28,"Thomas Bjorn",6,37044,188044,"NonmemberEarnings",2007
29,29,"Colin Montgomerie",9,35989,216989,"NonmemberEarnings",2007
30,30,"Kenneth Ferrie",2,31084,31084,"NonmemberEarnings",2007
31,31,"Franklin Langham",1,30720,30720,"NonmemberEarnings",2007
32,32,"Ross Bain",1,29821,29821,"NonmemberEarnings",2007
33,33,"Colt Knost",4,27483,27483,"NonmemberEarnings",2007
34,34,"Won Joon Lee",1,26736,26736,"NonmemberEarnings",2007
35,35,"Fabrizio Zanotti",1,25900,25900,"NonmemberEarnings",2007
36,36,"Marcus Fraser",1,25016,25016,"NonmemberEarnings",2007
37,37,"Gregory Bourdy",1,23394,23394,"NonmemberEarnings",2007
38,38,"Bradley Dredge",4,22533,112533,"NonmemberEarnings",2007
39,39,"Toru Taniguchi",4,21594,21594,"NonmemberEarnings",2007
40,40,"Jon Bevan",1,21080,21080,"NonmemberEarnings",2007
41,41,"Raphael Jacquelin",3,20669,52419,"NonmemberEarnings",2007
42,42,"Alastair Forsyth",1,20258,20258,"NonmemberEarnings",2007
43,43,"Fredrik Andersson Hed",1,19846,19846,"NonmemberEarnings",2007
44,44,"Andrew Ruthkoski",2,19112,19112,"NonmemberEarnings",2007
45,45,"Kaname Yokoo",2,16640,16640,"NonmemberEarnings",2007
46,46,"Kelly Mitchum",4,16326,16326,"NonmemberEarnings",2007
47,47,"Graeme Storm",3,13650,47150,"NonmemberEarnings",2007
48,48,"Yusaku Miyazato",1,13537,13537,"NonmemberEarnings",2007
49,49,"Mike Small",2,13050,13050,"NonmemberEarnings",2007
50,50,"Ryan Benzel",1,12900,12900,"NonmemberEarnings",2007
51,51,"Ricky Barnes",2,12540,12540,"NonmemberEarnings",2007
52,52,"Matt Every",2,12420,12420,"NonmemberEarnings",2007
53,53,"Todd Demsey",1,12411,12411,"NonmemberEarnings",2007
54,54,"Esteban Toledo",2,12250,12250,"NonmemberEarnings",2007
55,55,"Bill Lunde",1,12093,12093,"NonmemberEarnings",2007
56,56,"Martin Rominger",1,11163,11163,"NonmemberEarnings",2007
57,57,"Tom Gillis",3,11152,11152,"NonmemberEarnings",2007
57,57,"Lee Williams",2,11152,11152,"NonmemberEarnings",2007
59,59,"Alan Morin",1,11000,11000,"NonmemberEarnings",2007
60,60,"Joe Daley",2,10920,10920,"NonmemberEarnings",2007
60,60,"Azuma Yano",1,10920,10920,"NonmemberEarnings",2007
62,62,"David Hearn",1,10850,10850,"NonmemberEarnings",2007
63,63,"Mike Grob",1,10200,10200,"NonmemberEarnings",2007
64,64,"Chris Baryla",1,9800,9800,"NonmemberEarnings",2007
65,65,"Brady Schnell",1,9102,9102,"NonmemberEarnings",2007
66,66,"Ryan Blaum",1,8800,8800,"NonmemberEarnings",2007
67,67,"Bronson La Cassie",1,8692,8692,"NonmemberEarnings",2007
68,68,"Tony Finau",1,7960,7960,"NonmemberEarnings",2007
69,69,"Paul Trittler",1,7640,7640,"NonmemberEarnings",2007
70,70,"Oliver Thomson",2,7630,7630,"NonmemberEarnings",2007
71,71,"Andres Gonzales",1,7120,7120,"NonmemberEarnings",2007
