"FinalRoundPerformance_RANKTHISWEEK_2009","FinalRoundPerformance_RANKLASTWEEK_2009","FinalRoundPerformance_PLAYERNAME_2009","FinalRoundPerformance_EVENTS_2009","FinalRoundPerformance_Pct_2009","stat_name","year"
1,1,"Tiger Woods",17,93.33,"FinalRoundPerformance",2009
2,2,"Justin Rose",22,85.71,"FinalRoundPerformance",2009
3,3,"Sergio Garcia",17,84.62,"FinalRoundPerformance",2009
4,4,"Ricky Barnes",23,81.82,"FinalRoundPerformance",2009
5,5,"Mathew Goggin",26,76.92,"FinalRoundPerformance",2009
5,5,"Jeff Quinney",26,76.92,"FinalRoundPerformance",2009
7,7,"Camilo Villegas",21,76.47,"FinalRoundPerformance",2009
8,8,"Ian Poulter",17,75,"FinalRoundPerformance",2009
8,8,"Jay Williamson",22,75,"FinalRoundPerformance",2009
10,10,"Ben Crane",27,73.68,"FinalRoundPerformance",2009
11,11,"KJ Choi",22,72.73,"FinalRoundPerformance",2009
11,11,"Fred Couples",16,72.73,"FinalRoundPerformance",2009
13,13,"Ken Duke",29,71.43,"FinalRoundPerformance",2009
14,14,"Ryan Moore",27,70.59,"FinalRoundPerformance",2009
15,15,"Jim Furyk",23,70,"FinalRoundPerformance",2009
15,15,"JJ Henry",28,70,"FinalRoundPerformance",2009
15,15,"Jeff Klauk",29,70,"FinalRoundPerformance",2009
15,15,"Andres Romero",20,70,"FinalRoundPerformance",2009
19,19,"Kevin Stadler",20,69.23,"FinalRoundPerformance",2009
20,20,"Nick Watney",24,68.42,"FinalRoundPerformance",2009
21,21,"Robert Allenby",21,66.67,"FinalRoundPerformance",2009
21,21,"Eric Axley",30,66.67,"FinalRoundPerformance",2009
21,21,"Ernie Els",19,66.67,"FinalRoundPerformance",2009
21,21,"Derek Fathauer",25,66.67,"FinalRoundPerformance",2009
21,21,"Todd Hamilton",29,66.67,"FinalRoundPerformance",2009
21,21,"Charles Howell III",29,66.67,"FinalRoundPerformance",2009
21,21,"Davis Love III",27,66.67,"FinalRoundPerformance",2009
21,21,"Nick OHern",27,66.67,"FinalRoundPerformance",2009
21,21,"Steve Stricker",22,66.67,"FinalRoundPerformance",2009
21,21,"Brian Vranesh",20,66.67,"FinalRoundPerformance",2009
31,31,"Kevin Na",26,65,"FinalRoundPerformance",2009
32,32,"Sean OHair",23,64.71,"FinalRoundPerformance",2009
32,32,"Tim Petrovic",31,64.71,"FinalRoundPerformance",2009
32,32,"Nicholas Thompson",31,64.71,"FinalRoundPerformance",2009
35,35,"Ben Curtis",18,64.29,"FinalRoundPerformance",2009
35,35,"Jason Day",18,64.29,"FinalRoundPerformance",2009
37,37,"Brad Adamonis",25,63.64,"FinalRoundPerformance",2009
37,37,"Angel Cabrera",17,63.64,"FinalRoundPerformance",2009
37,37,"Mark Calcavecchia",23,63.64,"FinalRoundPerformance",2009
40,40,"Chad Campbell",26,63.16,"FinalRoundPerformance",2009
40,40,"Chris DiMarco",29,63.16,"FinalRoundPerformance",2009
40,40,"Scott Verplank",24,63.16,"FinalRoundPerformance",2009
43,43,"Brendon de Jonge",29,62.5,"FinalRoundPerformance",2009
43,43,"Bob Estes",23,62.5,"FinalRoundPerformance",2009
43,43,"Rory Sabbatini",25,62.5,"FinalRoundPerformance",2009
43,43,"Adam Scott",19,62.5,"FinalRoundPerformance",2009
47,47,"Brian Gay",27,61.9,"FinalRoundPerformance",2009
47,47,"Zach Johnson",26,61.9,"FinalRoundPerformance",2009
47,47,"Kevin Sutherland",27,61.9,"FinalRoundPerformance",2009
50,50,"Dean Wilson",29,61.54,"FinalRoundPerformance",2009
51,51,"Tim Clark",23,61.11,"FinalRoundPerformance",2009
51,51,"Dustin Johnson",25,61.11,"FinalRoundPerformance",2009
53,53,"Stephen Ames",23,60,"FinalRoundPerformance",2009
53,53,"Paul Goydos",25,60,"FinalRoundPerformance",2009
53,53,"Greg Kraft",21,60,"FinalRoundPerformance",2009
53,53,"Cliff Kresge",28,60,"FinalRoundPerformance",2009
53,53,"Phil Mickelson",18,60,"FinalRoundPerformance",2009
53,53,"Pat Perez",22,60,"FinalRoundPerformance",2009
53,53,"John Senden",29,60,"FinalRoundPerformance",2009
60,60,"Hunter Mahan",25,59.09,"FinalRoundPerformance",2009
61,61,"Matt Kuchar",24,58.82,"FinalRoundPerformance",2009
62,62,"Jonathan Byrd",25,57.89,"FinalRoundPerformance",2009
62,62,"Jason Dufner",26,57.89,"FinalRoundPerformance",2009
62,62,"Jerry Kelly",26,57.89,"FinalRoundPerformance",2009
62,62,"Steve Marino",29,57.89,"FinalRoundPerformance",2009
62,62,"YE Yang",23,57.89,"FinalRoundPerformance",2009
67,67,"David Mathis",27,57.14,"FinalRoundPerformance",2009
67,67,"Johnson Wagner",26,57.14,"FinalRoundPerformance",2009
67,67,"Mark Wilson",28,57.14,"FinalRoundPerformance",2009
70,70,"Alex Cejka",25,56.25,"FinalRoundPerformance",2009
70,70,"Bill Haas",29,56.25,"FinalRoundPerformance",2009
72,72,"Kris Blanks",20,55.56,"FinalRoundPerformance",2009
72,72,"Marc Leishman",28,55.56,"FinalRoundPerformance",2009
74,74,"Lucas Glover",26,55,"FinalRoundPerformance",2009
74,74,"Nathan Green",30,55,"FinalRoundPerformance",2009
74,74,"DA Points",29,55,"FinalRoundPerformance",2009
77,77,"Tommy Armour III",19,54.55,"FinalRoundPerformance",2009
77,77,"Aaron Baddeley",23,54.55,"FinalRoundPerformance",2009
77,77,"Martin Laird",24,54.55,"FinalRoundPerformance",2009
80,80,"Steve Flesch",27,53.85,"FinalRoundPerformance",2009
80,80,"Spencer Levin",25,53.85,"FinalRoundPerformance",2009
82,82,"Bill Lunde",27,53.33,"FinalRoundPerformance",2009
82,82,"George McNeill",26,53.33,"FinalRoundPerformance",2009
82,82,"Carl Pettersson",29,53.33,"FinalRoundPerformance",2009
82,82,"Vijay Singh",21,53.33,"FinalRoundPerformance",2009
86,86,"Harrison Frazar",28,52.94,"FinalRoundPerformance",2009
86,86,"Ryuji Imada",25,52.94,"FinalRoundPerformance",2009
86,86,"Brett Quigley",28,52.94,"FinalRoundPerformance",2009
86,86,"Boo Weekley",22,52.94,"FinalRoundPerformance",2009
90,90,"Scott McCarron",27,52.63,"FinalRoundPerformance",2009
90,90,"Mike Weir",24,52.63,"FinalRoundPerformance",2009
92,92,"Ted Purdy",30,52.38,"FinalRoundPerformance",2009
93,93,"Kenny Perry",24,52.17,"FinalRoundPerformance",2009
94,94,"Michael Allen",22,50,"FinalRoundPerformance",2009
94,94,"Mark Brooks",17,50,"FinalRoundPerformance",2009
94,94,"Greg Chalmers",26,50,"FinalRoundPerformance",2009
94,94,"Glen Day",26,50,"FinalRoundPerformance",2009
94,94,"Luke Donald",21,50,"FinalRoundPerformance",2009
94,94,"Steve Elkington",23,50,"FinalRoundPerformance",2009
94,94,"Bob Heintz",20,50,"FinalRoundPerformance",2009
94,94,"Tim Herron",27,50,"FinalRoundPerformance",2009
94,94,"Matt Jones",17,50,"FinalRoundPerformance",2009
94,94,"Justin Leonard",26,50,"FinalRoundPerformance",2009
94,94,"Tag Ridings",16,50,"FinalRoundPerformance",2009
94,94,"Scott Sterling",16,50,"FinalRoundPerformance",2009
94,94,"Kevin Streelman",29,50,"FinalRoundPerformance",2009
94,94,"David Toms",27,50,"FinalRoundPerformance",2009
94,94,"DJ Trahan",30,50,"FinalRoundPerformance",2009
94,94,"Marc Turnesa",30,50,"FinalRoundPerformance",2009
110,110,"Woody Austin",24,47.06,"FinalRoundPerformance",2009
110,110,"Cameron Beckman",26,47.06,"FinalRoundPerformance",2009
110,110,"Troy Matteson",30,47.06,"FinalRoundPerformance",2009
110,110,"Chris Riley",22,47.06,"FinalRoundPerformance",2009
114,114,"Tom Pernice Jr",26,46.67,"FinalRoundPerformance",2009
114,114,"Brandt Snedeker",26,46.67,"FinalRoundPerformance",2009
116,116,"Rich Beem",26,46.15,"FinalRoundPerformance",2009
116,116,"JB Holmes",25,46.15,"FinalRoundPerformance",2009
116,116,"Lee Janzen",23,46.15,"FinalRoundPerformance",2009
116,116,"Ryan Palmer",26,46.15,"FinalRoundPerformance",2009
116,116,"Jimmy Walker",24,46.15,"FinalRoundPerformance",2009
121,121,"Joe Durant",20,45.45,"FinalRoundPerformance",2009
121,121,"Patrick Sheehan",15,45.45,"FinalRoundPerformance",2009
123,123,"Brian Davis",32,45,"FinalRoundPerformance",2009
123,123,"Bo Van Pelt",30,45,"FinalRoundPerformance",2009
125,125,"Matt Bettencourt",31,44.44,"FinalRoundPerformance",2009
125,125,"Greg Owen",30,44.44,"FinalRoundPerformance",2009
125,125,"Aron Price",27,44.44,"FinalRoundPerformance",2009
125,125,"Charlie Wi",28,44.44,"FinalRoundPerformance",2009
129,129,"Chris Stroud",28,43.75,"FinalRoundPerformance",2009
130,130,"Padraig Harrington",20,42.86,"FinalRoundPerformance",2009
130,130,"Charley Hoffman",27,42.86,"FinalRoundPerformance",2009
130,130,"Michael Letzig",28,42.86,"FinalRoundPerformance",2009
130,130,"Steve Lowery",27,42.86,"FinalRoundPerformance",2009
134,134,"Jason Bohn",25,42.11,"FinalRoundPerformance",2009
135,135,"Peter Lonard",30,41.67,"FinalRoundPerformance",2009
135,135,"Jeff Maggert",28,41.67,"FinalRoundPerformance",2009
135,135,"Charles Warren",20,41.67,"FinalRoundPerformance",2009
138,138,"Freddie Jacobson",25,41.18,"FinalRoundPerformance",2009
138,138,"Rocco Mediate",22,41.18,"FinalRoundPerformance",2009
138,138,"Webb Simpson",30,41.18,"FinalRoundPerformance",2009
138,138,"Heath Slocum",30,41.18,"FinalRoundPerformance",2009
142,142,"Will Ma Kenzie",24,40,"FinalRoundPerformance",2009
142,142,"James Nitties",27,40,"FinalRoundPerformance",2009
142,142,"Scott Piercy",28,40,"FinalRoundPerformance",2009
145,145,"John Mallinger",27,38.89,"FinalRoundPerformance",2009
146,146,"Rod Pampling",23,38.46,"FinalRoundPerformance",2009
146,146,"Corey Pavin",23,38.46,"FinalRoundPerformance",2009
146,146,"Bubba Watson",24,38.46,"FinalRoundPerformance",2009
149,149,"Briny Baird",28,37.5,"FinalRoundPerformance",2009
149,149,"Anthony Kim",22,37.5,"FinalRoundPerformance",2009
149,149,"Vaughn Taylor",28,37.5,"FinalRoundPerformance",2009
152,152,"Parker McLachlin",25,36.36,"FinalRoundPerformance",2009
152,152,"Matt Weibring",22,36.36,"FinalRoundPerformance",2009
152,152,"Casey Wittenberg",25,36.36,"FinalRoundPerformance",2009
155,155,"Bryce Molder",21,35.71,"FinalRoundPerformance",2009
155,155,"Joe Ogilvie",29,35.71,"FinalRoundPerformance",2009
157,157,"Daniel Chopra",28,35.29,"FinalRoundPerformance",2009
