"CarryEfficiency_RANKTHISWEEK_2015","CarryEfficiency_RANKLASTWEEK_2015","CarryEfficiency_PLAYERNAME_2015","CarryEfficiency_ROUNDS_2015","CarryEfficiency_AVG_2015","CarryEfficiency_AVERAGECARRYDISTYARDS_2015","CarryEfficiency_AVERAGECLUBHEADSPEED_2015","CarryEfficiency_TOTALATTEMPTS_2015","CarryEfficiency_HIGHESTCARRYEFFICIENCY_2015","stat_name","year"
1,1,"Justin Thomas",106,2.56,297.7,116.297,83,2.84,"CarryEfficiency",2015
2,2,"Ernie Els",57,2.548,282,110.663,31,2.692,"CarryEfficiency",2015
3,3,"Ryan Palmer",80,2.535,292.1,115.221,55,2.84,"CarryEfficiency",2015
4,4,"Nick Taylor",91,2.533,282.6,111.565,75,2.763,"CarryEfficiency",2015
5,5,"Jason Day",75,2.525,303.5,120.18,53,2.72,"CarryEfficiency",2015
6,6,"Dustin Johnson",75,2.521,305.7,121.26,36,2.736,"CarryEfficiency",2015
7,7,"Scott Piercy",90,2.519,290.6,115.348,74,2.833,"CarryEfficiency",2015
8,8,"Davis Love III",51,2.516,283.8,112.814,36,2.816,"CarryEfficiency",2015
9,9,"Retief Goosen",81,2.513,286.1,113.853,61,2.901,"CarryEfficiency",2015
9,9,"Michael Thompson",83,2.513,282.4,112.357,70,2.827,"CarryEfficiency",2015
11,11,"Carlos Ortiz",100,2.511,289.6,115.315,77,2.846,"CarryEfficiency",2015
12,12,"Aaron Baddeley",76,2.509,295.7,117.868,29,2.652,"CarryEfficiency",2015
13,13,"Jordan Spieth",91,2.508,283.5,113.026,56,2.801,"CarryEfficiency",2015
14,14,"Morgan Hoffmann",85,2.506,284.9,113.673,68,2.708,"CarryEfficiency",2015
15,15,"Charley Hoffman",97,2.502,290.3,116.055,69,2.916,"CarryEfficiency",2015
16,16,"JB Holmes",89,2.501,301.6,120.604,55,2.776,"CarryEfficiency",2015
16,16,"David Lingmerth",90,2.501,276.1,110.411,74,2.761,"CarryEfficiency",2015
18,18,"Sean OHair",86,2.5,285.9,114.384,55,2.776,"CarryEfficiency",2015
19,19,"Robert Garrigus",70,2.499,294.8,117.944,35,2.767,"CarryEfficiency",2015
19,19,"James Hahn",94,2.499,285.2,114.117,60,2.77,"CarryEfficiency",2015
19,19,"David Toms",62,2.499,254.5,101.862,58,2.667,"CarryEfficiency",2015
22,22,"Billy Horschel",99,2.497,283.2,113.414,72,2.728,"CarryEfficiency",2015
23,23,"Cameron Percy",72,2.496,279.4,111.956,53,2.665,"CarryEfficiency",2015
23,23,"Chez Reavie",56,2.496,272.7,109.239,53,2.696,"CarryEfficiency",2015
25,25,"Oscar Fraustro",58,2.495,276.8,110.933,33,2.622,"CarryEfficiency",2015
25,25,"Danny Lee",120,2.495,273.1,109.456,94,2.812,"CarryEfficiency",2015
25,25,"Andres Romero",69,2.495,284.5,114.033,39,2.654,"CarryEfficiency",2015
28,28,"Jason Kokrak",88,2.494,298.8,119.811,73,2.823,"CarryEfficiency",2015
29,29,"Martin Laird",77,2.493,289.8,116.236,52,2.745,"CarryEfficiency",2015
29,29,"Nicholas Thompson",90,2.493,274.5,110.085,69,2.743,"CarryEfficiency",2015
31,31,"Chesson Hadley",101,2.492,278.9,111.929,69,2.824,"CarryEfficiency",2015
32,32,"Hunter Mahan",88,2.491,278.8,111.924,59,2.703,"CarryEfficiency",2015
32,32,"Justin Rose",69,2.491,291.9,117.195,44,2.732,"CarryEfficiency",2015
34,34,"Carl Pettersson",106,2.488,278.2,111.821,83,2.694,"CarryEfficiency",2015
35,35,"Scott Stallings",60,2.487,285.6,114.845,45,2.925,"CarryEfficiency",2015
36,36,"Brian Davis",86,2.486,261.9,105.343,71,2.686,"CarryEfficiency",2015
36,36,"Luke Guthrie",84,2.486,276,111.002,70,2.703,"CarryEfficiency",2015
38,38,"Graham DeLaet",65,2.485,292.4,117.685,45,2.7,"CarryEfficiency",2015
38,38,"Harris English",105,2.485,292.6,117.758,77,2.718,"CarryEfficiency",2015
40,40,"Alex Prugh",84,2.484,287.2,115.646,69,2.738,"CarryEfficiency",2015
41,41,"Patrick Rodgers",57,2.483,298.7,120.281,38,2.663,"CarryEfficiency",2015
42,42,"Angel Cabrera",53,2.482,290.7,117.102,41,2.831,"CarryEfficiency",2015
43,43,"Zach Johnson",90,2.481,267.2,107.683,74,2.672,"CarryEfficiency",2015
44,44,"KJ Choi",66,2.48,265.3,107.002,47,2.713,"CarryEfficiency",2015
44,44,"Matt Kuchar",97,2.48,273.9,110.441,70,2.721,"CarryEfficiency",2015
44,44,"Sam Saunders",83,2.48,282.9,114.035,58,2.707,"CarryEfficiency",2015
47,47,"Keegan Bradley",87,2.479,292.5,118.026,65,2.746,"CarryEfficiency",2015
47,47,"Bill Lunde",50,2.479,272.1,109.767,33,2.696,"CarryEfficiency",2015
47,47,"Brendan Steele",88,2.479,292.6,118.05,77,2.682,"CarryEfficiency",2015
50,50,"Roger Sloan",56,2.477,284.2,114.752,34,2.672,"CarryEfficiency",2015
51,51,"Ben Crane",62,2.475,258.9,104.602,45,2.678,"CarryEfficiency",2015
51,51,"Vijay Singh",78,2.475,277.6,112.143,57,2.648,"CarryEfficiency",2015
53,53,"David Hearn",97,2.474,266.9,107.879,83,2.902,"CarryEfficiency",2015
53,53,"Geoff Ogilvy",50,2.474,281.8,113.906,34,2.699,"CarryEfficiency",2015
55,55,"Jimmy Walker",89,2.472,288.6,116.77,51,2.721,"CarryEfficiency",2015
56,56,"Hideki Matsuyama",95,2.469,282.8,114.521,67,2.705,"CarryEfficiency",2015
57,57,"Rickie Fowler",76,2.468,289.6,117.371,48,2.765,"CarryEfficiency",2015
57,57,"Bill Haas",89,2.468,276.8,112.181,66,2.675,"CarryEfficiency",2015
57,57,"Heath Slocum",57,2.468,255.6,103.565,40,2.651,"CarryEfficiency",2015
60,60,"Robert Allenby",63,2.467,271.1,109.897,52,2.704,"CarryEfficiency",2015
61,61,"Blayne Barber",76,2.466,276.1,111.954,55,2.635,"CarryEfficiency",2015
62,62,"Steven Alker",62,2.465,261.8,106.205,50,2.673,"CarryEfficiency",2015
62,62,"Cameron Tringale",96,2.465,268.1,108.732,78,2.693,"CarryEfficiency",2015
62,62,"Bo Van Pelt",81,2.465,276.3,112.066,59,2.744,"CarryEfficiency",2015
62,62,"Mark Wilson",89,2.465,264,107.136,69,2.769,"CarryEfficiency",2015
66,66,"Andres Gonzales",90,2.464,285.3,115.789,72,2.778,"CarryEfficiency",2015
67,67,"Daniel Berger",97,2.46,293.8,119.443,48,2.647,"CarryEfficiency",2015
67,67,"Padraig Harrington",60,2.46,280.4,113.974,42,2.63,"CarryEfficiency",2015
69,69,"Seung Yul Noh",65,2.459,288.5,117.334,47,2.714,"CarryEfficiency",2015
69,69,"Rory Sabbatini",81,2.459,274.7,111.734,61,2.73,"CarryEfficiency",2015
69,69,"Brandt Snedeker",98,2.459,272.2,110.68,77,2.698,"CarryEfficiency",2015
72,72,"Brian Harman",90,2.457,270.8,110.219,67,2.664,"CarryEfficiency",2015
73,73,"Brice Garnett",81,2.456,271.8,110.672,63,2.809,"CarryEfficiency",2015
74,74,"Jonas Blixt",78,2.455,273.7,111.478,47,2.624,"CarryEfficiency",2015
74,74,"Chris Stroud",84,2.455,267.9,109.137,59,2.672,"CarryEfficiency",2015
76,76,"Brian Stuard",97,2.454,261.1,106.396,78,2.862,"CarryEfficiency",2015
77,77,"Scott Brown",97,2.453,273.9,111.647,69,2.684,"CarryEfficiency",2015
78,78,"Jonathan Byrd",69,2.452,274,111.749,44,2.605,"CarryEfficiency",2015
78,78,"Phil Mickelson",70,2.452,289.5,118.089,45,2.824,"CarryEfficiency",2015
80,80,"Alex Cejka",94,2.451,265.1,108.158,70,2.625,"CarryEfficiency",2015
