"Par5GoingfortheGreen_RANKTHISWEEK_2006","Par5GoingfortheGreen_RANKLASTWEEK_2006","Par5GoingfortheGreen_PLAYERNAME_2006","Par5GoingfortheGreen_ROUNDS_2006","Par5GoingfortheGreen_Pct_2006","Par5GoingfortheGreen_ATTEMPTS_2006","Par5GoingfortheGreen_NONATTEMPTS_2006","stat_name","year"
1,1,"Chris Couch",75,69.2,155,69,"Par5GoingfortheGreen",2006
2,2,"JB Holmes",81,69.19,146,65,"Par5GoingfortheGreen",2006
3,3,"Tiger Woods",55,69.05,87,39,"Par5GoingfortheGreen",2006
4,4,"Nick Watney",97,69,207,93,"Par5GoingfortheGreen",2006
5,5,"Mathias Gronberg",92,68.28,183,85,"Par5GoingfortheGreen",2006
6,6,"Phil Mickelson",74,67.86,114,54,"Par5GoingfortheGreen",2006
7,7,"Mathew Goggin",72,67.71,130,62,"Par5GoingfortheGreen",2006
8,8,"Charley Hoffman",100,67.42,209,101,"Par5GoingfortheGreen",2006
9,9,"Fred Couples",52,66.35,69,35,"Par5GoingfortheGreen",2006
10,10,"Bubba Watson",83,65.73,163,85,"Par5GoingfortheGreen",2006
11,11,"Robert Garrigus",85,65.08,164,88,"Par5GoingfortheGreen",2006
12,12,"Hunter Mahan",98,64.69,185,101,"Par5GoingfortheGreen",2006
13,13,"Ernie Els",69,64.29,99,55,"Par5GoingfortheGreen",2006
13,13,"Jesper Parnevik",84,64.29,162,90,"Par5GoingfortheGreen",2006
15,15,"Vijay Singh",103,64.03,178,100,"Par5GoingfortheGreen",2006
16,16,"Retief Goosen",68,63.75,102,58,"Par5GoingfortheGreen",2006
17,17,"John Daly",51,63.58,96,55,"Par5GoingfortheGreen",2006
18,18,"Lucas Glover",105,63.36,185,107,"Par5GoingfortheGreen",2006
19,19,"Camilo Villegas",95,62.96,170,100,"Par5GoingfortheGreen",2006
20,20,"Harrison Frazar",95,62.8,157,93,"Par5GoingfortheGreen",2006
21,21,"Greg Owen",79,62.72,143,85,"Par5GoingfortheGreen",2006
22,22,"Davis Love III",85,62.37,121,73,"Par5GoingfortheGreen",2006
23,23,"Scott Gutschewski",53,62.34,96,58,"Par5GoingfortheGreen",2006
24,24,"DJ Trahan",92,62,155,95,"Par5GoingfortheGreen",2006
25,25,"Brett Wetterich",82,61.89,151,93,"Par5GoingfortheGreen",2006
26,26,"Sergio Garcia",59,61.87,86,53,"Par5GoingfortheGreen",2006
27,27,"Sean OHair",100,61.72,158,98,"Par5GoingfortheGreen",2006
28,28,"Bill Haas",99,60.81,180,116,"Par5GoingfortheGreen",2006
29,29,"Ryan Palmer",101,60.23,159,105,"Par5GoingfortheGreen",2006
30,30,"Jonathan Byrd",66,60,114,76,"Par5GoingfortheGreen",2006
30,30,"Bubba Dickerson",98,60,171,114,"Par5GoingfortheGreen",2006
30,30,"Charles Warren",93,60,162,108,"Par5GoingfortheGreen",2006
33,33,"Craig Barlow",77,59.71,123,83,"Par5GoingfortheGreen",2006
34,34,"Joe Durant",101,59.39,196,134,"Par5GoingfortheGreen",2006
35,35,"Jeff Overton",95,59.29,166,114,"Par5GoingfortheGreen",2006
36,36,"Steve Lowery",99,59.22,167,115,"Par5GoingfortheGreen",2006
37,37,"Eric Axley",91,59.09,156,108,"Par5GoingfortheGreen",2006
38,38,"Rich Beem",85,59.01,131,91,"Par5GoingfortheGreen",2006
39,39,"Troy Matteson",101,58.84,173,121,"Par5GoingfortheGreen",2006
40,40,"David Howell",52,58.65,61,43,"Par5GoingfortheGreen",2006
41,41,"Adam Scott",70,58.44,90,64,"Par5GoingfortheGreen",2006
42,42,"Charles Howell III",96,58.36,157,112,"Par5GoingfortheGreen",2006
43,43,"John Rollins",93,57.89,154,112,"Par5GoingfortheGreen",2006
44,44,"Robert Allenby",79,57.79,115,84,"Par5GoingfortheGreen",2006
45,45,"Roger Tambellini",64,57.78,104,76,"Par5GoingfortheGreen",2006
46,46,"Aaron Baddeley",78,57.73,127,93,"Par5GoingfortheGreen",2006
47,47,"Padraig Harrington",54,57.58,76,56,"Par5GoingfortheGreen",2006
48,48,"Geoff Ogilvy",76,57.47,100,74,"Par5GoingfortheGreen",2006
49,49,"Ted Purdy",103,57.45,162,120,"Par5GoingfortheGreen",2006
50,50,"Kevin Sutherland",100,57.43,170,126,"Par5GoingfortheGreen",2006
51,51,"Will Ma Kenzie",91,57.14,144,108,"Par5GoingfortheGreen",2006
52,52,"Trevor Immelman",86,56.9,132,100,"Par5GoingfortheGreen",2006
53,53,"Carlos Franco",86,56.82,150,114,"Par5GoingfortheGreen",2006
54,54,"Stuart Appleby",83,56.48,122,94,"Par5GoingfortheGreen",2006
55,55,"Mark Calcavecchia",94,56.44,149,115,"Par5GoingfortheGreen",2006
