"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2016","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2016","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2016","AveragePuttingDistanceGIR1Putts_ROUNDS_2016","AveragePuttingDistanceGIR1Putts_AVG_2016","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2016","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2016","stat_name","year"
1,1,"Robert Allenby",35,NA,700,50,"AveragePuttingDistanceGIR1Putts",2016
2,2,"JJ Henry",44,NA,1466.75,106,"AveragePuttingDistanceGIR1Putts",2016
3,3,"Matthew Fitzpatrick",23,NA,465.833,35,"AveragePuttingDistanceGIR1Putts",2016
4,7,"Cameron Percy",22,NA,498.667,39,"AveragePuttingDistanceGIR1Putts",2016
4,4,"Scott Pinckney",53,NA,1364.25,107,"AveragePuttingDistanceGIR1Putts",2016
6,4,"Shane Lowry",35,NA,745.083,59,"AveragePuttingDistanceGIR1Putts",2016
6,6,"Mark Wilson",42,NA,997.917,79,"AveragePuttingDistanceGIR1Putts",2016
8,9,"Brian Gay",22,NA,648.083,52,"AveragePuttingDistanceGIR1Putts",2016
8,9,"Darron Stiles",28,NA,486.333,39,"AveragePuttingDistanceGIR1Putts",2016
8,9,"Bernd Wiesberger",23,NA,450.333,36,"AveragePuttingDistanceGIR1Putts",2016
11,9,"Hiroshi Iwata",51,NA,1017.917,82,"AveragePuttingDistanceGIR1Putts",2016
11,19,"Ben Martin",48,NA,1633.917,132,"AveragePuttingDistanceGIR1Putts",2016
11,15,"George McNeill",33,NA,1005.667,81,"AveragePuttingDistanceGIR1Putts",2016
14,7,"Ryan Moore",40,NA,1101.25,89,"AveragePuttingDistanceGIR1Putts",2016
15,16,"Zac Blair",56,NA,1362.417,112,"AveragePuttingDistanceGIR1Putts",2016
15,16,"Brendon Todd",43,NA,997.917,82,"AveragePuttingDistanceGIR1Putts",2016
17,20,"Andy Sullivan",25,NA,532.083,44,"AveragePuttingDistanceGIR1Putts",2016
18,16,"Jamie Donaldson",28,NA,779.75,65,"AveragePuttingDistanceGIR1Putts",2016
18,30,"Charles Howell III",63,NA,1865.75,156,"AveragePuttingDistanceGIR1Putts",2016
18,21,"Steve Stricker",25,NA,852.083,71,"AveragePuttingDistanceGIR1Putts",2016
21,23,"Russell Henley",42,NA,1362,114,"AveragePuttingDistanceGIR1Putts",2016
21,23,"Charley Hoffman",49,NA,1484.583,125,"AveragePuttingDistanceGIR1Putts",2016
21,23,"Zach Johnson",42,NA,1441.75,121,"AveragePuttingDistanceGIR1Putts",2016
21,9,"Sam Saunders",40,NA,836.917,70,"AveragePuttingDistanceGIR1Putts",2016
25,28,"Louis Oosthuizen",25,NA,331.667,28,"AveragePuttingDistanceGIR1Putts",2016
25,21,"Rob Oppenheim",37,NA,983,83,"AveragePuttingDistanceGIR1Putts",2016
25,31,"Michael Thompson",46,NA,1122.417,95,"AveragePuttingDistanceGIR1Putts",2016
25,14,"Jhonattan Vegas",49,NA,1444.333,122,"AveragePuttingDistanceGIR1Putts",2016
29,23,"Thomas Aiken",42,NA,800.667,68,"AveragePuttingDistanceGIR1Putts",2016
29,23,"Patton Kizzire",57,NA,1663.25,142,"AveragePuttingDistanceGIR1Putts",2016
29,38,"Rory McIlroy",37,NA,903.917,77,"AveragePuttingDistanceGIR1Putts",2016
32,31,"Jason Dufner",53,NA,1307.583,112,"AveragePuttingDistanceGIR1Putts",2016
32,31,"Jordan Spieth",34,NA,921.083,79,"AveragePuttingDistanceGIR1Putts",2016
34,35,"Pat Perez",28,NA,589.5,51,"AveragePuttingDistanceGIR1Putts",2016
34,31,"Kyle Reifers",63,NA,1747.5,151,"AveragePuttingDistanceGIR1Putts",2016
36,41,"Shane Bertsch",30,NA,640.167,56,"AveragePuttingDistanceGIR1Putts",2016
36,28,"Colt Knost",56,NA,1373,120,"AveragePuttingDistanceGIR1Putts",2016
36,38,"DH Lee",35,NA,719.667,63,"AveragePuttingDistanceGIR1Putts",2016
39,57,"Jason Gore",51,NA,1254,111,"AveragePuttingDistanceGIR1Putts",2016
39,35,"William McGirt",54,NA,1881.667,166,"AveragePuttingDistanceGIR1Putts",2016
39,43,"Brian Stuard",24,NA,692.25,61,"AveragePuttingDistanceGIR1Putts",2016
39,72,"Boo Weekley",53,NA,1398.083,123,"AveragePuttingDistanceGIR1Putts",2016
43,63,"Angel Cabrera",42,NA,1057.583,94,"AveragePuttingDistanceGIR1Putts",2016
43,46,"KJ Choi",47,NA,1359.917,121,"AveragePuttingDistanceGIR1Putts",2016
43,43,"Ben Crane",48,NA,1292.917,115,"AveragePuttingDistanceGIR1Putts",2016
43,46,"David Hearn",55,NA,1380.75,123,"AveragePuttingDistanceGIR1Putts",2016
