"Par5EagleLeaders_RANKTHISWEEK_2009","Par5EagleLeaders_RANKLASTWEEK_2009","Par5EagleLeaders_PLAYERNAME_2009","Par5EagleLeaders_ROUNDS_2009","Par5EagleLeaders_TOTAL_2009","Par5EagleLeaders_TOTALPAR5HOLES_2009","Par5EagleLeaders_TOTALHOLEOUTS_2009","stat_name","year"
1,1,"Retief Goosen",74,16,229,2,"Par5EagleLeaders",2009
2,2,"John Senden",100,14,310,1,"Par5EagleLeaders",2009
3,3,"Bubba Watson",73,13,240,2,"Par5EagleLeaders",2009
4,4,"Robert Garrigus",83,12,261,5,"Par5EagleLeaders",2009
4,4,"Pat Perez",74,12,233,1,"Par5EagleLeaders",2009
4,4,"Chris Stroud",88,12,262,2,"Par5EagleLeaders",2009
4,4,"Nick Watney",86,12,281,2,"Par5EagleLeaders",2009
8,8,"Zach Johnson",94,11,274,2,"Par5EagleLeaders",2009
8,8,"Kevin Stadler",65,11,203,4,"Par5EagleLeaders",2009
10,10,"Cameron Beckman",87,10,262,2,"Par5EagleLeaders",2009
10,10,"Harrison Frazar",93,10,273,2,"Par5EagleLeaders",2009
10,10,"Charley Hoffman",97,10,313,1,"Par5EagleLeaders",2009
10,10,"Dustin Johnson",85,10,273,2,"Par5EagleLeaders",2009
10,10,"Michael Letzig",96,10,302,1,"Par5EagleLeaders",2009
10,10,"Kevin Na",91,10,290,1,"Par5EagleLeaders",2009
10,10,"Chris Riley",77,10,229,5,"Par5EagleLeaders",2009
10,10,"DJ Trahan",96,10,303,3,"Par5EagleLeaders",2009
18,18,"Jonathan Byrd",89,9,302,1,"Par5EagleLeaders",2009
18,18,"Daniel Chopra",89,9,288,2,"Par5EagleLeaders",2009
18,18,"JJ Henry",97,9,279,2,"Par5EagleLeaders",2009
18,18,"Martin Laird",72,9,224,NA,"Par5EagleLeaders",2009
18,18,"Bill Lunde",83,9,245,NA,"Par5EagleLeaders",2009
18,18,"John Mallinger",90,9,289,2,"Par5EagleLeaders",2009
18,18,"Phil Mickelson",66,9,203,1,"Par5EagleLeaders",2009
18,18,"John Rollins",92,9,303,2,"Par5EagleLeaders",2009
18,18,"Nicholas Thompson",96,9,313,1,"Par5EagleLeaders",2009
18,18,"Johnson Wagner",81,9,254,1,"Par5EagleLeaders",2009
18,18,"Jimmy Walker",74,9,233,NA,"Par5EagleLeaders",2009
18,18,"Mike Weir",85,9,253,NA,"Par5EagleLeaders",2009
18,18,"YE Yang",83,9,261,NA,"Par5EagleLeaders",2009
31,31,"Brad Adamonis",70,8,221,1,"Par5EagleLeaders",2009
31,31,"Robert Allenby",71,8,208,3,"Par5EagleLeaders",2009
31,31,"Aaron Baddeley",66,8,208,NA,"Par5EagleLeaders",2009
31,31,"Rich Beem",77,8,243,2,"Par5EagleLeaders",2009
31,31,"Ben Crane",93,8,291,3,"Par5EagleLeaders",2009
31,31,"Sergio Garcia",59,8,168,NA,"Par5EagleLeaders",2009
31,31,"Davis Love III",89,8,269,3,"Par5EagleLeaders",2009
31,31,"Brett Quigley",92,8,290,2,"Par5EagleLeaders",2009
31,31,"Tag Ridings",50,8,147,2,"Par5EagleLeaders",2009
31,31,"David Toms",98,8,289,2,"Par5EagleLeaders",2009
31,31,"Camilo Villegas",76,8,241,3,"Par5EagleLeaders",2009
31,31,"Tiger Woods",64,8,192,1,"Par5EagleLeaders",2009
43,43,"Matt Bettencourt",98,7,306,NA,"Par5EagleLeaders",2009
43,43,"Bill Haas",91,7,284,2,"Par5EagleLeaders",2009
