"PuttingAverage_RANKTHISWEEK_2015","PuttingAverage_RANKLASTWEEK_2015","PuttingAverage_PLAYERNAME_2015","PuttingAverage_ROUNDS_2015","PuttingAverage_AVG_2015","PuttingAverage_GIRPUTTS_2015","PuttingAverage_GREENSHIT_2015","PuttingAverage_BIRDIECONVERSION_2015","PuttingAverage_GIRRANK_2015","stat_name","year"
1,1,"Jordan Spieth",91,1.699,1826,1075,35.51,49,"PuttingAverage",2015
2,2,"Jason Day",75,1.712,1572,918,36.76,7,"PuttingAverage",2015
3,3,"Dustin Johnson",75,1.715,1490,869,34.72,70,"PuttingAverage",2015
4,4,"Jason Bohn",95,1.724,2031,1178,31.09,28,"PuttingAverage",2015
5,5,"Daniel Summerhays",101,1.726,2059,1193,31.18,113,"PuttingAverage",2015
6,6,"Morgan Hoffmann",85,1.729,1617,935,32.08,180,"PuttingAverage",2015
7,7,"JB Holmes",89,1.73,1685,974,34.64,154,"PuttingAverage",2015
8,8,"Matt Jones",89,1.731,1696,980,33.57,147,"PuttingAverage",2015
9,9,"Danny Lee",120,1.732,2458,1419,32.16,111,"PuttingAverage",2015
9,9,"Patrick Reed",103,1.732,1988,1148,32.34,141,"PuttingAverage",2015
11,11,"Matt Kuchar",97,1.733,1951,1126,32.2,85,"PuttingAverage",2015
12,12,"Rickie Fowler",76,1.734,1458,841,32.54,106,"PuttingAverage",2015
13,13,"Zach Johnson",90,1.735,1863,1074,31.06,37,"PuttingAverage",2015
14,14,"Justin Rose",69,1.736,1455,838,34.25,9,"PuttingAverage",2015
14,14,"Justin Thomas",106,1.736,2283,1315,33.61,27,"PuttingAverage",2015
16,16,"Phil Mickelson",70,1.737,1346,775,34.33,177,"PuttingAverage",2015
16,16,"Ryan Moore",81,1.737,1591,916,31.76,123,"PuttingAverage",2015
16,16,"Pat Perez",96,1.737,2038,1173,31.14,48,"PuttingAverage",2015
19,19,"Kevin Na",98,1.739,1920,1104,32.12,138,"PuttingAverage",2015
19,19,"Brandt Snedeker",98,1.739,1932,1111,31.14,129,"PuttingAverage",2015
21,21,"Jerry Kelly",79,1.74,1632,938,31.45,104,"PuttingAverage",2015
21,21,"Hideki Matsuyama",95,1.74,1951,1121,32.41,21,"PuttingAverage",2015
21,21,"Brendon Todd",96,1.74,1907,1096,30.71,118,"PuttingAverage",2015
24,24,"Ricky Barnes",82,1.741,1478,849,30.41,182,"PuttingAverage",2015
25,25,"Chesson Hadley",101,1.742,2014,1156,32.64,156,"PuttingAverage",2015
26,26,"Jimmy Walker",89,1.743,1783,1023,33.43,101,"PuttingAverage",2015
27,27,"Aaron Baddeley",76,1.744,1451,832,31.52,172,"PuttingAverage",2015
27,27,"Sean OHair",86,1.744,1737,996,30.65,144,"PuttingAverage",2015
