"SpinRate_RANKTHISWEEK_2015","SpinRate_RANKLASTWEEK_2015","SpinRate_PLAYERNAME_2015","SpinRate_ROUNDS_2015","SpinRate_AVG_2015","SpinRate_TOTALSPINSPEED_2015","SpinRate_TOTALATTEMPTS_2015","SpinRate_HIGHESTSPINRATE_2015","SpinRate_LOWESTSPINRATE_2015","stat_name","year"
1,1,"Brendon de Jonge",106,3117.3,305500,98,3878,1566,"SpinRate",2015
2,2,"Mark Hubbard",79,3102.2,204748,66,3865,2018,"SpinRate",2015
3,3,"Luke Donald",71,3061.1,137749,45,3937,2243,"SpinRate",2015
4,4,"Troy Merritt",91,3044.4,234418,77,3968,1932,"SpinRate",2015
5,5,"Andrew Putnam",68,3038.4,157998,52,3950,1728,"SpinRate",2015
6,6,"Nick Watney",91,3032.1,257729,85,3817,1633,"SpinRate",2015
7,7,"Brooks Koepka",84,3000,239998,80,4057,1644,"SpinRate",2015
8,8,"Hudson Swafford",97,2991.2,242290,81,3926,1715,"SpinRate",2015
9,9,"John Senden",80,2983.7,167086,56,3841,1832,"SpinRate",2015
10,10,"Ben Martin",93,2982.9,235651,79,3898,1955,"SpinRate",2015
11,11,"Billy Hurley III",83,2971.1,207978,70,3799,2040,"SpinRate",2015
12,12,"William McGirt",103,2949.6,289065,98,3745,1534,"SpinRate",2015
13,13,"Pat Perez",96,2943,226614,77,3983,1929,"SpinRate",2015
14,14,"Michael Putnam",87,2939.3,188118,64,3880,2073,"SpinRate",2015
15,15,"Sergio Garcia",59,2938.2,108713,37,3880,1820,"SpinRate",2015
16,16,"Adam Hadwin",95,2924.1,239775,82,3889,1724,"SpinRate",2015
17,17,"Zac Blair",108,2892.1,266075,92,3583,1634,"SpinRate",2015
18,18,"Scott Pinckney",88,2887,207867,72,3711,1706,"SpinRate",2015
19,19,"George McNeill",93,2870.4,212408,74,3995,1980,"SpinRate",2015
20,20,"Ryo Ishikawa",90,2863.7,229099,80,8394,1840,"SpinRate",2015
21,21,"Kevin Na",98,2847.8,219279,77,3901,1573,"SpinRate",2015
22,22,"Rickie Fowler",76,2843,173420,61,3921,1702,"SpinRate",2015
23,23,"Ken Duke",93,2827.4,243160,86,3636,2024,"SpinRate",2015
24,24,"Ian Poulter",68,2825.7,146935,52,3704,1955,"SpinRate",2015
25,25,"Roberto Castro",54,2822.5,104434,37,3488,1637,"SpinRate",2015
26,26,"Martin Flores",95,2820.8,228488,81,3693,1869,"SpinRate",2015
