"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2006","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2006","TotalMoneyOfficialandUnofficial_PLAYERNAME_2006","TotalMoneyOfficialandUnofficial_EVENTS_2006","TotalMoneyOfficialandUnofficial_MONEY_2006","stat_name","year"
1,1,"Tiger Woods",17,11291563,"TotalMoneyOfficialandUnofficial",2006
2,2,"Jim Furyk",25,7213316,"TotalMoneyOfficialandUnofficial",2006
3,5,"Geoff Ogilvy",21,5194969,"TotalMoneyOfficialandUnofficial",2006
4,3,"Adam Scott",20,5156358,"TotalMoneyOfficialandUnofficial",2006
5,4,"Vijay Singh",27,4602416,"TotalMoneyOfficialandUnofficial",2006
6,6,"Phil Mickelson",20,4256505,"TotalMoneyOfficialandUnofficial",2006
7,7,"Trevor Immelman",26,4043356,"TotalMoneyOfficialandUnofficial",2006
8,8,"Stuart Appleby",23,3470457,"TotalMoneyOfficialandUnofficial",2006
9,9,"Luke Donald",21,3391658,"TotalMoneyOfficialandUnofficial",2006
10,16,"David Toms",24,3131187,"TotalMoneyOfficialandUnofficial",2006
11,10,"Rory Sabbatini",26,3065917,"TotalMoneyOfficialandUnofficial",2006
12,11,"Brett Wetterich",26,3023185,"TotalMoneyOfficialandUnofficial",2006
13,12,"Stephen Ames",23,3006405,"TotalMoneyOfficialandUnofficial",2006
14,13,"Rod Pampling",25,3002173,"TotalMoneyOfficialandUnofficial",2006
15,14,"Stewart Cink",29,2985911,"TotalMoneyOfficialandUnofficial",2006
16,19,"Davis Love III",24,2952206,"TotalMoneyOfficialandUnofficial",2006
17,15,"Chad Campbell",27,2915234,"TotalMoneyOfficialandUnofficial",2006
18,17,"Carl Pettersson",29,2847982,"TotalMoneyOfficialandUnofficial",2006
19,18,"Joe Durant",28,2811139,"TotalMoneyOfficialandUnofficial",2006
20,20,"Zach Johnson",29,2618917,"TotalMoneyOfficialandUnofficial",2006
21,21,"Retief Goosen",18,2617453,"TotalMoneyOfficialandUnofficial",2006
22,22,"Brett Quigley",33,2617419,"TotalMoneyOfficialandUnofficial",2006
23,23,"Lucas Glover",31,2587982,"TotalMoneyOfficialandUnofficial",2006
24,24,"Dean Wilson",34,2509857,"TotalMoneyOfficialandUnofficial",2006
25,25,"Arron Oberholser",23,2467772,"TotalMoneyOfficialandUnofficial",2006
26,26,"JJ Henry",31,2438564,"TotalMoneyOfficialandUnofficial",2006
27,27,"Tom Pernice Jr",33,2396548,"TotalMoneyOfficialandUnofficial",2006
