"BallStriking_RANKTHISWEEK_2006","BallStriking_RANKLASTWEEK_2006","BallStriking_PLAYERNAME_2006","BallStriking_ROUNDS_2006","BallStriking_VALUE_2006","BallStriking_TOTALDRVRANK_2006","BallStriking_GIRRANK_2006","stat_name","year"
1,1,"Joe Durant",101,12,6,6,"BallStriking",2006
1,1,"Chris Smith",67,12,2,10,"BallStriking",2006
3,3,"John Senden",96,15,12,3,"BallStriking",2006
4,4,"Jonathan Byrd",66,19,11,8,"BallStriking",2006
5,5,"Kenny Perry",73,23,8,15,"BallStriking",2006
6,6,"Greg Owen",79,25,7,18,"BallStriking",2006
7,7,"David Branshaw",98,29,22,7,"BallStriking",2006
7,7,"Steve Elkington",52,29,21,8,"BallStriking",2006
7,7,"Tiger Woods",55,29,28,1,"BallStriking",2006
10,10,"Adam Scott",70,32,20,12,"BallStriking",2006
11,11,"Robert Allenby",79,34,5,29,"BallStriking",2006
12,12,"Jonathan Kaye",95,36,17,19,"BallStriking",2006
13,13,"Jeff Gove",91,37,35,2,"BallStriking",2006
13,13,"Charles Warren",93,37,9,28,"BallStriking",2006
15,15,"Briny Baird",81,39,34,5,"BallStriking",2006
16,16,"Hunter Mahan",98,43,4,39,"BallStriking",2006
17,17,"Kevin Sutherland",100,46,26,20,"BallStriking",2006
18,18,"Brett Wetterich",82,49,16,33,"BallStriking",2006
19,19,"Lucas Glover",105,50,10,40,"BallStriking",2006
20,20,"Will Ma Kenzie",91,51,26,25,"BallStriking",2006
21,21,"Scott Gutschewski",53,53,1,52,"BallStriking",2006
22,22,"Jim Furyk",89,57,53,4,"BallStriking",2006
23,23,"Bart Bryant",87,69,53,16,"BallStriking",2006
23,23,"Mathew Goggin",72,69,25,44,"BallStriking",2006
25,25,"Alex Cejka",93,71,36,35,"BallStriking",2006
26,26,"Trevor Immelman",86,74,60,14,"BallStriking",2006
27,27,"Justin Rose",98,86,57,29,"BallStriking",2006
28,28,"Phil Mickelson",74,87,66,21,"BallStriking",2006
29,29,"Ian Poulter",53,89,14,75,"BallStriking",2006
30,30,"Heath Slocum",96,90,56,34,"BallStriking",2006
31,31,"John Rollins",93,91,18,73,"BallStriking",2006
32,32,"Brandt Jobe",91,93,51,42,"BallStriking",2006
32,32,"Ted Purdy",103,93,46,47,"BallStriking",2006
34,34,"Davis Love III",85,96,42,54,"BallStriking",2006
35,35,"Matt Hansen",68,97,49,48,"BallStriking",2006
36,36,"KJ Choi",93,99,76,23,"BallStriking",2006
37,37,"Rich Beem",85,100,30,70,"BallStriking",2006
37,37,"Frank Lickliter II",99,100,74,26,"BallStriking",2006
37,37,"Bob May",65,100,87,13,"BallStriking",2006
40,40,"Steve Stricker",64,101,77,24,"BallStriking",2006
41,41,"Nicholas Thompson",96,102,3,99,"BallStriking",2006
42,42,"Duffy Waldorf",96,104,36,68,"BallStriking",2006
43,43,"Mathias Gronberg",92,106,49,57,"BallStriking",2006
43,43,"Zach Johnson",98,106,57,49,"BallStriking",2006
45,45,"Daisuke Maruyama",83,107,39,68,"BallStriking",2006
46,46,"JJ Henry",96,108,86,22,"BallStriking",2006
47,47,"Bubba Dickerson",98,109,19,90,"BallStriking",2006
48,48,"Chris Couch",75,112,40,72,"BallStriking",2006
48,48,"Skip Kendall",72,112,69,43,"BallStriking",2006
50,50,"Jason Bohn",104,117,33,84,"BallStriking",2006
51,51,"Jeff Brehaut",100,118,77,41,"BallStriking",2006
51,51,"Billy Mayfair",94,118,63,55,"BallStriking",2006
51,51,"David Toms",76,118,47,71,"BallStriking",2006
54,54,"Brian Davis",92,119,22,97,"BallStriking",2006
54,54,"Charley Hoffman",100,119,66,53,"BallStriking",2006
56,56,"Bo Van Pelt",102,120,60,60,"BallStriking",2006
56,56,"Nick Watney",97,120,24,96,"BallStriking",2006
58,58,"Padraig Harrington",54,122,13,109,"BallStriking",2006
59,59,"Eric Axley",91,124,36,88,"BallStriking",2006
59,59,"Kent Jones",103,124,32,92,"BallStriking",2006
61,61,"Omar Uresti",61,130,66,64,"BallStriking",2006
62,62,"Troy Matteson",101,138,72,66,"BallStriking",2006
63,63,"Mark Wilson",79,139,113,26,"BallStriking",2006
64,64,"Joey Sindelar",90,141,124,17,"BallStriking",2006
