"StrokesGainedTeetoGreen_RANKTHISWEEK_2012","StrokesGainedTeetoGreen_RANKLASTWEEK_2012","StrokesGainedTeetoGreen_PLAYERNAME_2012","StrokesGainedTeetoGreen_ROUNDS_2012","StrokesGainedTeetoGreen_AVERAGE_2012","StrokesGainedTeetoGreen_TOTALSGT2G_2012","StrokesGainedTeetoGreen_SGTOTAL_2012","StrokesGainedTeetoGreen_TOTALSGP_2012","StrokesGainedTeetoGreen_MEASUREDROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,2.317,92.682,96.228,3.546,40,"StrokesGainedTeetoGreen",2012
2,2,"Tiger Woods",69,1.91,91.656,109.322,17.666,48,"StrokesGainedTeetoGreen",2012
3,3,"Bubba Watson",68,1.719,87.682,74.959,-12.723,51,"StrokesGainedTeetoGreen",2012
4,4,"Justin Rose",69,1.7,90.103,83.307,-6.796,53,"StrokesGainedTeetoGreen",2012
5,5,"Adam Scott",59,1.318,54.033,47.709,-6.324,41,"StrokesGainedTeetoGreen",2012
6,6,"Jason Dufner",83,1.283,82.108,91.882,9.774,64,"StrokesGainedTeetoGreen",2012
7,7,"Jim Furyk",85,1.279,83.14,112.334,29.194,65,"StrokesGainedTeetoGreen",2012
8,8,"Lee Westwood",60,1.266,50.653,31.351,-19.302,40,"StrokesGainedTeetoGreen",2012
9,9,"Dustin Johnson",70,1.22,64.642,74.199,9.557,53,"StrokesGainedTeetoGreen",2012
10,10,"Steve Stricker",73,1.188,64.134,69.922,5.788,54,"StrokesGainedTeetoGreen",2012
11,11,"Kyle Stanley",86,1.112,77.86,22.653,-55.207,70,"StrokesGainedTeetoGreen",2012
12,12,"Vijay Singh",99,1.076,87.189,56.682,-30.507,81,"StrokesGainedTeetoGreen",2012
13,13,"Robert Garrigus",89,1.057,78.225,65.298,-12.927,74,"StrokesGainedTeetoGreen",2012
14,14,"Louis Oosthuizen",65,1.028,50.372,47.814,-2.558,49,"StrokesGainedTeetoGreen",2012
15,15,"Matt Kuchar",86,0.993,65.509,90.537,25.028,66,"StrokesGainedTeetoGreen",2012
16,16,"Padraig Harrington",67,0.926,41.661,37.516,-4.145,45,"StrokesGainedTeetoGreen",2012
17,17,"Webb Simpson",77,0.908,59.958,74.11,14.152,66,"StrokesGainedTeetoGreen",2012
18,18,"John Senden",81,0.905,56.137,60.718,4.581,62,"StrokesGainedTeetoGreen",2012
19,19,"Brendon de Jonge",115,0.883,90.028,103.814,13.786,102,"StrokesGainedTeetoGreen",2012
20,20,"Charl Schwartzel",56,0.856,34.245,36.981,2.736,40,"StrokesGainedTeetoGreen",2012
21,21,"Boo Weekley",74,0.846,49.072,-12.566,-61.638,58,"StrokesGainedTeetoGreen",2012
22,22,"Luke Donald",63,0.838,40.216,78.789,38.573,48,"StrokesGainedTeetoGreen",2012
23,23,"Henrik Stenson",51,0.828,34.756,36.628,1.872,42,"StrokesGainedTeetoGreen",2012
24,24,"Davis Love III",64,0.79,41.077,41.784,0.707,52,"StrokesGainedTeetoGreen",2012
25,25,"Bo Van Pelt",84,0.786,51.089,88.547,37.458,65,"StrokesGainedTeetoGreen",2012
26,26,"Keegan Bradley",90,0.741,52.636,76.633,23.997,71,"StrokesGainedTeetoGreen",2012
27,27,"Phil Mickelson",79,0.721,43.282,78.904,35.622,60,"StrokesGainedTeetoGreen",2012
28,28,"Sergio Garcia",57,0.672,29.573,48.594,19.021,44,"StrokesGainedTeetoGreen",2012
29,29,"Chad Campbell",84,0.663,48.379,17.606,-30.773,73,"StrokesGainedTeetoGreen",2012
30,30,"Ernie Els",80,0.645,41.895,40.402,-1.493,65,"StrokesGainedTeetoGreen",2012
30,30,"Greg Owen",90,0.645,49.673,16.054,-33.619,77,"StrokesGainedTeetoGreen",2012
32,32,"Rickie Fowler",84,0.638,42.088,28.743,-13.345,66,"StrokesGainedTeetoGreen",2012
33,33,"Jeff Overton",101,0.637,58.576,80.604,22.028,92,"StrokesGainedTeetoGreen",2012
34,34,"KJ Choi",71,0.634,35.485,14.262,-21.223,56,"StrokesGainedTeetoGreen",2012
35,35,"Graeme McDowell",55,0.62,23.562,14.135,-9.427,38,"StrokesGainedTeetoGreen",2012
36,36,"Scott Piercy",95,0.619,53.193,69.432,16.239,86,"StrokesGainedTeetoGreen",2012
37,37,"Kevin Stadler",85,0.608,42.54,26.172,-16.368,70,"StrokesGainedTeetoGreen",2012
