"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2014","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2014","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2014","FirstTeeLatePar5ScoringAverage_ROUNDS_2014","FirstTeeLatePar5ScoringAverage_AVG_2014","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2014","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Sangmoon Bae",76,4.41,216,49,"FirstTeeLatePar5ScoringAverage",2014
2,2,"Adam Scott",68,4.46,629,141,"FirstTeeLatePar5ScoringAverage",2014
3,3,"Charles Howell III",106,4.5,351,78,"FirstTeeLatePar5ScoringAverage",2014
3,3,"Wes Roach",67,4.5,234,52,"FirstTeeLatePar5ScoringAverage",2014
3,3,"Will Wilcox",51,4.5,189,42,"FirstTeeLatePar5ScoringAverage",2014
6,6,"Robert Streb",75,4.51,365,81,"FirstTeeLatePar5ScoringAverage",2014
7,7,"John Senden",99,4.52,475,105,"FirstTeeLatePar5ScoringAverage",2014
8,8,"Jason Dufner",57,4.53,344,76,"FirstTeeLatePar5ScoringAverage",2014
8,8,"Zach Johnson",97,4.53,675,149,"FirstTeeLatePar5ScoringAverage",2014
8,8,"Chris Kirk",105,4.53,530,117,"FirstTeeLatePar5ScoringAverage",2014
8,8,"Henrik Stenson",56,4.53,399,88,"FirstTeeLatePar5ScoringAverage",2014
12,12,"Charl Schwartzel",64,4.54,368,81,"FirstTeeLatePar5ScoringAverage",2014
13,13,"John Rollins",84,4.55,182,40,"FirstTeeLatePar5ScoringAverage",2014
13,13,"Webb Simpson",87,4.55,441,97,"FirstTeeLatePar5ScoringAverage",2014
13,13,"Vijay Singh",83,4.55,273,60,"FirstTeeLatePar5ScoringAverage",2014
13,13,"Jhonattan Vegas",77,4.55,250,55,"FirstTeeLatePar5ScoringAverage",2014
17,17,"Rickie Fowler",91,4.56,502,110,"FirstTeeLatePar5ScoringAverage",2014
17,17,"Brice Garnett",92,4.56,283,62,"FirstTeeLatePar5ScoringAverage",2014
17,17,"Dustin Johnson",58,4.56,488,107,"FirstTeeLatePar5ScoringAverage",2014
20,20,"Jason Bohn",81,4.57,352,77,"FirstTeeLatePar5ScoringAverage",2014
20,20,"Angel Cabrera",69,4.57,315,69,"FirstTeeLatePar5ScoringAverage",2014
20,20,"Rory McIlroy",66,4.57,580,127,"FirstTeeLatePar5ScoringAverage",2014
20,20,"Jim Renner",61,4.57,247,54,"FirstTeeLatePar5ScoringAverage",2014
24,24,"Ken Duke",80,4.58,238,52,"FirstTeeLatePar5ScoringAverage",2014
24,24,"Bryce Molder",77,4.58,316,69,"FirstTeeLatePar5ScoringAverage",2014
24,24,"Justin Rose",70,4.58,582,127,"FirstTeeLatePar5ScoringAverage",2014
27,27,"Ricky Barnes",92,4.59,317,69,"FirstTeeLatePar5ScoringAverage",2014
27,27,"Martin Flores",85,4.59,294,64,"FirstTeeLatePar5ScoringAverage",2014
27,27,"Kevin Na",94,4.59,487,106,"FirstTeeLatePar5ScoringAverage",2014
27,27,"Jimmy Walker",98,4.59,675,147,"FirstTeeLatePar5ScoringAverage",2014
31,31,"Graham DeLaet",80,4.6,442,96,"FirstTeeLatePar5ScoringAverage",2014
31,31,"Jim Furyk",84,4.6,695,151,"FirstTeeLatePar5ScoringAverage",2014
31,31,"Geoff Ogilvy",84,4.6,253,55,"FirstTeeLatePar5ScoringAverage",2014
31,31,"Brian Stuard",91,4.6,377,82,"FirstTeeLatePar5ScoringAverage",2014
35,35,"Robert Garrigus",80,4.61,341,74,"FirstTeeLatePar5ScoringAverage",2014
35,35,"Ryan Palmer",85,4.61,433,94,"FirstTeeLatePar5ScoringAverage",2014
35,35,"Kevin Tway",64,4.61,235,51,"FirstTeeLatePar5ScoringAverage",2014
35,35,"Bubba Watson",76,4.61,539,117,"FirstTeeLatePar5ScoringAverage",2014
39,39,"Scott Brown",100,4.62,314,68,"FirstTeeLatePar5ScoringAverage",2014
39,39,"Paul Casey",56,4.62,217,47,"FirstTeeLatePar5ScoringAverage",2014
39,39,"Luke Donald",57,4.62,254,55,"FirstTeeLatePar5ScoringAverage",2014
39,39,"Matt Every",85,4.62,356,77,"FirstTeeLatePar5ScoringAverage",2014
39,39,"Sergio Garcia",61,4.62,453,98,"FirstTeeLatePar5ScoringAverage",2014
