"GIRPercentage150175yards_RANKTHISWEEK_2012","GIRPercentage150175yards_RANKLASTWEEK_2012","GIRPercentage150175yards_PLAYERNAME_2012","GIRPercentage150175yards_ROUNDS_2012","GIRPercentage150175yards_Pct_2012","GIRPercentage150175yards_GREENSHIT_2012","GIRPercentage150175yards_TOTALHOLES_2012","GIRPercentage150175yards_RELATIVETOPAR_2012","stat_name","year"
1,1,"Ted Potter Jr",77,72.57,164,226,-0.15,"GIRPercentage150175yards",2012
2,2,"Kevin Stadler",85,70.68,188,266,-0.16,"GIRPercentage150175yards",2012
3,3,"Lee Westwood",60,70.52,122,173,-0.2,"GIRPercentage150175yards",2012
4,4,"Tim Clark",60,70.5,141,200,-0.16,"GIRPercentage150175yards",2012
5,5,"Hunter Mahan",88,70.43,181,257,-0.18,"GIRPercentage150175yards",2012
6,6,"Alexandre Rocha",62,70.11,129,184,-0.2,"GIRPercentage150175yards",2012
7,7,"Brandt Snedeker",81,69.96,177,253,-0.22,"GIRPercentage150175yards",2012
8,8,"Greg Owen",90,69.86,204,292,-0.15,"GIRPercentage150175yards",2012
9,9,"John Merrick",83,69.79,201,288,-0.13,"GIRPercentage150175yards",2012
10,10,"Robert Allenby",76,69.49,189,272,-0.22,"GIRPercentage150175yards",2012
11,11,"Chris Kirk",93,69.44,225,324,-0.2,"GIRPercentage150175yards",2012
12,12,"Matt Every",80,69.32,174,251,-0.22,"GIRPercentage150175yards",2012
13,13,"Tiger Woods",69,69.27,142,205,-0.27,"GIRPercentage150175yards",2012
14,14,"Brendan Steele",77,69.08,172,249,-0.1,"GIRPercentage150175yards",2012
15,15,"Blake Adams",107,68.68,239,348,-0.23,"GIRPercentage150175yards",2012
16,16,"John Senden",81,68.64,162,236,-0.1,"GIRPercentage150175yards",2012
17,17,"JJ Henry",93,68.54,220,321,-0.17,"GIRPercentage150175yards",2012
18,18,"Angel Cabrera",54,68.53,98,143,-0.16,"GIRPercentage150175yards",2012
19,19,"Chad Campbell",84,68.47,215,314,-0.14,"GIRPercentage150175yards",2012
20,20,"Tim Herron",88,68.4,197,288,-0.14,"GIRPercentage150175yards",2012
21,21,"Steve Stricker",73,68.34,136,199,-0.21,"GIRPercentage150175yards",2012
22,22,"Ryan Moore",89,68.22,219,321,-0.22,"GIRPercentage150175yards",2012
23,23,"Jim Furyk",85,68.09,175,257,-0.2,"GIRPercentage150175yards",2012
24,24,"Justin Rose",69,67.98,138,203,-0.18,"GIRPercentage150175yards",2012
25,25,"Brendon de Jonge",115,67.95,282,415,-0.2,"GIRPercentage150175yards",2012
26,26,"Bo Van Pelt",84,67.86,190,280,-0.21,"GIRPercentage150175yards",2012
27,27,"Johnson Wagner",88,67.81,198,292,-0.14,"GIRPercentage150175yards",2012
28,28,"Camilo Villegas",79,67.77,185,273,-0.09,"GIRPercentage150175yards",2012
29,29,"Tom Pernice Jr",62,67.72,128,189,-0.14,"GIRPercentage150175yards",2012
30,30,"Graham DeLaet",79,67.61,192,284,-0.13,"GIRPercentage150175yards",2012
31,31,"Boo Weekley",74,67.36,163,242,-0.07,"GIRPercentage150175yards",2012
32,32,"Graeme McDowell",55,67.33,101,150,-0.2,"GIRPercentage150175yards",2012
32,32,"David Toms",60,67.33,101,150,-0.19,"GIRPercentage150175yards",2012
34,34,"Chez Reavie",83,67.29,181,269,-0.21,"GIRPercentage150175yards",2012
35,35,"Russell Knox",72,67.27,148,220,-0.2,"GIRPercentage150175yards",2012
36,36,"Sergio Garcia",57,67.2,125,186,-0.21,"GIRPercentage150175yards",2012
37,37,"Nathan Green",73,67.12,149,222,-0.19,"GIRPercentage150175yards",2012
38,38,"Keegan Bradley",90,67.03,187,279,-0.19,"GIRPercentage150175yards",2012
39,39,"Kris Blanks",65,66.95,156,233,-0.1,"GIRPercentage150175yards",2012
40,40,"Webb Simpson",77,66.93,168,251,-0.25,"GIRPercentage150175yards",2012
41,41,"Ben Curtis",62,66.89,101,151,-0.18,"GIRPercentage150175yards",2012
42,42,"Billy Horschel",63,66.85,119,178,-0.17,"GIRPercentage150175yards",2012
43,43,"Jason Dufner",83,66.8,161,241,-0.27,"GIRPercentage150175yards",2012
44,44,"Sean OHair",84,66.78,199,298,-0.17,"GIRPercentage150175yards",2012
45,45,"John Mallinger",74,66.67,184,276,-0.16,"GIRPercentage150175yards",2012
45,45,"Vaughn Taylor",81,66.67,172,258,-0.18,"GIRPercentage150175yards",2012
47,47,"Adam Scott",59,66.46,109,164,-0.22,"GIRPercentage150175yards",2012
48,48,"Brian Gay",91,66.43,188,283,-0.17,"GIRPercentage150175yards",2012
49,49,"Gavin Coles",72,66.38,156,235,-0.18,"GIRPercentage150175yards",2012
50,50,"Seung Yul Noh",105,66.36,217,327,-0.15,"GIRPercentage150175yards",2012
51,51,"Padraig Harrington",67,66.31,124,187,-0.18,"GIRPercentage150175yards",2012
52,52,"Charles Howell III",98,66.25,210,317,-0.16,"GIRPercentage150175yards",2012
53,53,"Cameron Tringale",88,66.21,192,290,-0.09,"GIRPercentage150175yards",2012
54,54,"John Rollins",81,66.19,184,278,-0.18,"GIRPercentage150175yards",2012
55,55,"Roland Thatcher",55,66.09,115,174,-0.15,"GIRPercentage150175yards",2012
56,56,"Nick OHern",78,66,165,250,-0.17,"GIRPercentage150175yards",2012
57,57,"Gary Christian",91,65.99,196,297,-0.15,"GIRPercentage150175yards",2012
58,58,"Kyle Reifers",86,65.96,188,285,-0.07,"GIRPercentage150175yards",2012
59,59,"Kyle Stanley",86,65.95,184,279,-0.05,"GIRPercentage150175yards",2012
60,60,"Scott Piercy",95,65.86,191,290,-0.18,"GIRPercentage150175yards",2012
61,61,"Ian Poulter",57,65.82,104,158,-0.22,"GIRPercentage150175yards",2012
62,62,"Jeff Maggert",83,65.7,203,309,-0.21,"GIRPercentage150175yards",2012
63,63,"Bryce Molder",83,65.66,174,265,-0.19,"GIRPercentage150175yards",2012
63,63,"Dicky Pride",62,65.66,130,198,-0.18,"GIRPercentage150175yards",2012
63,63,"Bubba Watson",68,65.66,109,166,-0.07,"GIRPercentage150175yards",2012
66,66,"Harris English",98,65.65,216,329,-0.19,"GIRPercentage150175yards",2012
67,67,"Stewart Cink",71,65.63,147,224,-0.16,"GIRPercentage150175yards",2012
68,68,"Kevin Na",80,65.57,160,244,-0.23,"GIRPercentage150175yards",2012
69,69,"Jonathan Byrd",69,65.55,137,209,-0.21,"GIRPercentage150175yards",2012
70,70,"Louis Oosthuizen",65,65.32,113,173,-0.17,"GIRPercentage150175yards",2012
71,71,"Mathew Goggin",65,65.26,139,213,-0.11,"GIRPercentage150175yards",2012
72,72,"Troy Matteson",100,65.2,193,296,-0.17,"GIRPercentage150175yards",2012
73,73,"Vijay Singh",99,65.19,206,316,-0.18,"GIRPercentage150175yards",2012
74,74,"Charl Schwartzel",56,65.16,101,155,-0.2,"GIRPercentage150175yards",2012
75,75,"Bill Lunde",83,65.15,157,241,-0.17,"GIRPercentage150175yards",2012
76,76,"Bill Haas",79,65.04,147,226,-0.15,"GIRPercentage150175yards",2012
77,77,"Roberto Castro",92,65.02,210,323,-0.12,"GIRPercentage150175yards",2012
78,78,"Will Claxton",99,64.94,213,328,-0.15,"GIRPercentage150175yards",2012
78,78,"Patrick Sheehan",58,64.94,113,174,-0.21,"GIRPercentage150175yards",2012
80,80,"Michael Bradley",63,64.93,137,211,-0.17,"GIRPercentage150175yards",2012
