"TenthTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2006","TenthTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2006","TenthTeeEarlyPar5ScoringAverage_PLAYERNAME_2006","TenthTeeEarlyPar5ScoringAverage_ROUNDS_2006","TenthTeeEarlyPar5ScoringAverage_AVG_2006","TenthTeeEarlyPar5ScoringAverage_TOTALSTROKES_2006","TenthTeeEarlyPar5ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Lucas Glover",105,4.44,200,45,"TenthTeeEarlyPar5ScoringAverage",2006
2,2,"Robert Allenby",79,4.46,174,39,"TenthTeeEarlyPar5ScoringAverage",2006
2,2,"JB Holmes",81,4.46,241,54,"TenthTeeEarlyPar5ScoringAverage",2006
2,2,"Tiger Woods",55,4.46,165,37,"TenthTeeEarlyPar5ScoringAverage",2006
5,5,"Ryan Palmer",101,4.47,210,47,"TenthTeeEarlyPar5ScoringAverage",2006
6,6,"Fred Couples",52,4.48,148,33,"TenthTeeEarlyPar5ScoringAverage",2006
6,6,"Phil Mickelson",74,4.48,188,42,"TenthTeeEarlyPar5ScoringAverage",2006
6,6,"Bo Van Pelt",102,4.48,251,56,"TenthTeeEarlyPar5ScoringAverage",2006
9,9,"Luke Donald",66,4.5,225,50,"TenthTeeEarlyPar5ScoringAverage",2006
9,9,"Brian Gay",107,4.5,351,78,"TenthTeeEarlyPar5ScoringAverage",2006
11,11,"Harrison Frazar",95,4.51,302,67,"TenthTeeEarlyPar5ScoringAverage",2006
11,11,"Steve Stricker",64,4.51,248,55,"TenthTeeEarlyPar5ScoringAverage",2006
13,13,"Craig Barlow",77,4.52,244,54,"TenthTeeEarlyPar5ScoringAverage",2006
13,13,"Trevor Immelman",86,4.52,226,50,"TenthTeeEarlyPar5ScoringAverage",2006
13,13,"Justin Rose",98,4.52,262,58,"TenthTeeEarlyPar5ScoringAverage",2006
13,13,"Kevin Sutherland",100,4.52,276,61,"TenthTeeEarlyPar5ScoringAverage",2006
17,17,"Jim Furyk",89,4.53,195,43,"TenthTeeEarlyPar5ScoringAverage",2006
17,17,"Sean OHair",100,4.53,172,38,"TenthTeeEarlyPar5ScoringAverage",2006
17,17,"Tom Pernice Jr",108,4.53,349,77,"TenthTeeEarlyPar5ScoringAverage",2006
20,20,"Kent Jones",103,4.54,245,54,"TenthTeeEarlyPar5ScoringAverage",2006
21,21,"Rich Beem",85,4.55,173,38,"TenthTeeEarlyPar5ScoringAverage",2006
21,21,"Tim Clark",80,4.55,214,47,"TenthTeeEarlyPar5ScoringAverage",2006
21,21,"Padraig Harrington",54,4.55,150,33,"TenthTeeEarlyPar5ScoringAverage",2006
21,21,"JJ Henry",96,4.55,241,53,"TenthTeeEarlyPar5ScoringAverage",2006
21,21,"Ryan Moore",68,4.55,182,40,"TenthTeeEarlyPar5ScoringAverage",2006
26,26,"Ernie Els",69,4.56,196,43,"TenthTeeEarlyPar5ScoringAverage",2006
26,26,"John Huston",74,4.56,283,62,"TenthTeeEarlyPar5ScoringAverage",2006
26,26,"Daisuke Maruyama",83,4.56,246,54,"TenthTeeEarlyPar5ScoringAverage",2006
26,26,"John Rollins",93,4.56,356,78,"TenthTeeEarlyPar5ScoringAverage",2006
30,30,"Paul Azinger",87,4.57,311,68,"TenthTeeEarlyPar5ScoringAverage",2006
30,30,"Heath Slocum",96,4.57,242,53,"TenthTeeEarlyPar5ScoringAverage",2006
30,30,"Vance Veazey",59,4.57,224,49,"TenthTeeEarlyPar5ScoringAverage",2006
