"DistancetoApex_RANKTHISWEEK_2007","DistancetoApex_RANKLASTWEEK_2007","DistancetoApex_PLAYERNAME_2007","DistancetoApex_ROUNDS_2007","DistancetoApex_AVG_2007","DistancetoApex_TOTALAPEXRANGE_2007","DistancetoApex_TOTALATTEMPTS_2007","DistancetoApex_LONGESTDISTTOAPEX_2007","DistancetoApex_SHORTESTDISTTOAPEX_2007","stat_name","year"
1,1,"Tiger Woods",63,200.7,6622.3,33,216.5,147.1,"DistancetoApex",2007
2,2,"JB Holmes",71,199.7,6790,34,216.2,179.4,"DistancetoApex",2007
3,3,"Bubba Watson",80,198.7,6359.6,32,221.1,150.8,"DistancetoApex",2007
4,4,"Charley Hoffman",97,196.8,11608.8,59,213.3,170.8,"DistancetoApex",2007
5,5,"Robert Garrigus",95,195.7,10762.2,55,214.1,167.8,"DistancetoApex",2007
6,6,"Chris Couch",76,195.5,9970.6,51,210.8,169.4,"DistancetoApex",2007
7,7,"Nick Watney",87,194.8,9934.5,51,216.7,174.6,"DistancetoApex",2007
8,8,"John Daly",59,194,4073.9,21,240.8,138.5,"DistancetoApex",2007
8,8,"Anthony Kim",93,194,10281.9,53,222.8,162.1,"DistancetoApex",2007
10,10,"Charles Howell III",89,193.6,9486.3,49,211.7,166.4,"DistancetoApex",2007
11,11,"Bill Haas",93,193.5,9674.8,50,214.8,172,"DistancetoApex",2007
12,12,"Brett Wetterich",88,193.3,8893.8,46,219.6,171.6,"DistancetoApex",2007
13,13,"Tag Ridings",52,193.1,4827.3,25,205.2,172.2,"DistancetoApex",2007
14,14,"Scott Gutschewski",67,192.9,5208.6,27,208.4,164.7,"DistancetoApex",2007
15,15,"Lucas Glover",98,192.5,10010.6,52,210.4,170,"DistancetoApex",2007
16,16,"Jason Gore",86,192.4,9236.5,48,208.1,171.5,"DistancetoApex",2007
17,17,"Henrik Stenson",52,191.4,5359.6,28,211.7,173.9,"DistancetoApex",2007
18,18,"John Senden",97,191.2,10708.5,56,212.6,161.3,"DistancetoApex",2007
19,19,"Charles Warren",101,191.1,11850.5,62,209,160.7,"DistancetoApex",2007
20,20,"Davis Love III",66,190.4,7805.5,41,207.2,168.5,"DistancetoApex",2007
21,21,"Geoff Ogilvy",84,190.2,8939.8,47,203.2,152.7,"DistancetoApex",2007
22,22,"Troy Matteson",87,190.1,9126.3,48,207,148.7,"DistancetoApex",2007
23,23,"Phil Mickelson",73,189.8,5314.9,28,201.4,147.2,"DistancetoApex",2007
24,24,"Adam Scott",69,189.7,8158.7,43,204.7,170.6,"DistancetoApex",2007
25,25,"Pat Perez",84,189.6,6825.1,36,202.4,148.2,"DistancetoApex",2007
26,26,"Paul Stankowski",52,189.1,4350.3,23,198.4,176.2,"DistancetoApex",2007
27,27,"Retief Goosen",50,188.8,4153.6,22,200.5,177.8,"DistancetoApex",2007
28,28,"Harrison Frazar",88,188.1,7524.8,40,203.6,164.8,"DistancetoApex",2007
29,29,"Sergio Garcia",68,187.7,7695.5,41,205.5,142.4,"DistancetoApex",2007
30,30,"Robert Allenby",90,187.5,9565,51,200.6,172.4,"DistancetoApex",2007
31,31,"Michael Putnam",96,187.3,8054,43,201.7,152.4,"DistancetoApex",2007
32,32,"George McNeill",95,185.9,9109.8,49,201.9,159.6,"DistancetoApex",2007
33,33,"Padraig Harrington",64,185.8,6317.5,34,198.5,172.5,"DistancetoApex",2007
34,34,"Ernie Els",59,185.7,5570.3,30,199.6,172.9,"DistancetoApex",2007
