"LongestHoleOutsinyards_RANKTHISWEEK_2006","LongestHoleOutsinyards_RANKLASTWEEK_2006","LongestHoleOutsinyards_PLAYERNAME_2006","LongestHoleOutsinyards_ROUNDS_2006","LongestHoleOutsinyards_DISTANCE_2006","LongestHoleOutsinyards_TOURNAMENT_2006","LongestHoleOutsinyards_ROUNDCOURSE_2006","LongestHoleOutsinyards_HOLE_2006","stat_name","year"
1,1,"Jeff Overton",95,239,NA,2,18,"LongestHoleOutsinyards",2006
2,2,"Yusaku Miyazato",6,231,NA,2,7,"LongestHoleOutsinyards",2006
3,3,"Patrick Sheehan",104,213,NA,2,5,"LongestHoleOutsinyards",2006
4,4,"Robert Allenby",79,211,NA,2,16,"LongestHoleOutsinyards",2006
5,5,"Victor Ciesielski",4,210,NA,2,6,"LongestHoleOutsinyards",2006
6,6,"Scott Verplank",88,206,NA,2,17,"LongestHoleOutsinyards",2006
6,7,"Jim Furyk",89,206,NA,2,15,"LongestHoleOutsinyards",2006
8,8,"Jonathan Byrd",66,205,NA,2,11,"LongestHoleOutsinyards",2006
9,9,"Lucas Glover",105,203,NA,3,8,"LongestHoleOutsinyards",2006
10,10,"Paul Stankowski",70,200,NA,3,4,"LongestHoleOutsinyards",2006
11,11,"Wes Short Jr",96,197,NA,2,16,"LongestHoleOutsinyards",2006
12,12,"Brian Gay",107,194,NA,2,1,"LongestHoleOutsinyards",2006
13,13,"Tim Clark",80,193,NA,1,14,"LongestHoleOutsinyards",2006
14,14,"Justin Leonard",83,192,NA,2,13,"LongestHoleOutsinyards",2006
14,15,"Jesper Parnevik",84,192,NA,2,13,"LongestHoleOutsinyards",2006
16,16,"Nick OHern",48,191,NA,4,18,"LongestHoleOutsinyards",2006
17,17,"Gavin Coles",17,189,NA,1,17,"LongestHoleOutsinyards",2006
18,18,"Geoff Ogilvy",76,180,NA,1,6,"LongestHoleOutsinyards",2006
18,19,"Len Mattiace",59,180,NA,1,12,"LongestHoleOutsinyards",2006
20,20,"Kirk Triplett",58,179,NA,3,15,"LongestHoleOutsinyards",2006
21,21,"Brian Davis",92,178,NA,3,18,"LongestHoleOutsinyards",2006
22,22,"Bo Van Pelt",102,177,NA,3,18,"LongestHoleOutsinyards",2006
23,23,"John Cook",67,176,NA,4,17,"LongestHoleOutsinyards",2006
24,24,"Greg Kraft",79,175,NA,2,12,"LongestHoleOutsinyards",2006
24,25,"Henrik Stenson",34,175,NA,3,13,"LongestHoleOutsinyards",2006
27,27,"Corey Pavin",74,172,NA,4,8,"LongestHoleOutsinyards",2006
27,28,"Steve Jones",83,172,NA,1,5,"LongestHoleOutsinyards",2006
27,29,"KJ Choi",93,172,NA,3,3,"LongestHoleOutsinyards",2006
30,30,"Hunter Mahan",98,170,NA,1,8,"LongestHoleOutsinyards",2006
30,31,"Cody Freeman",2,170,NA,1,8,"LongestHoleOutsinyards",2006
32,32,"Stuart Appleby",83,168,NA,4,18,"LongestHoleOutsinyards",2006
33,33,"Jimmy Walker",60,165,NA,2,6,"LongestHoleOutsinyards",2006
33,34,"Trevor Immelman",86,165,NA,2,16,"LongestHoleOutsinyards",2006
37,37,"Aaron Baddeley",78,160,NA,2,18,"LongestHoleOutsinyards",2006
38,38,"Fred Couples",52,159,NA,4,13,"LongestHoleOutsinyards",2006
39,39,"Craig Perks",37,158,NA,2,3,"LongestHoleOutsinyards",2006
40,40,"Adam Scott",70,157,NA,1,15,"LongestHoleOutsinyards",2006
41,41,"Brad Faxon",78,155,NA,4,13,"LongestHoleOutsinyards",2006
41,42,"Tommy Armour III",65,155,NA,1,11,"LongestHoleOutsinyards",2006
41,43,"Charles Warren",93,155,NA,2,8,"LongestHoleOutsinyards",2006
44,45,"Steve Schneiter",4,152,NA,1,6,"LongestHoleOutsinyards",2006
47,47,"Vaughn Taylor",88,149,NA,4,5,"LongestHoleOutsinyards",2006
47,48,"Kevin Stadler",22,149,NA,3,11,"LongestHoleOutsinyards",2006
47,49,"Roger Tambellini",64,149,NA,4,5,"LongestHoleOutsinyards",2006
50,50,"Charles Howell III",96,148,NA,2,6,"LongestHoleOutsinyards",2006
50,51,"Stewart Cink",93,148,NA,4,10,"LongestHoleOutsinyards",2006
52,52,"Mark Wilson",79,147,NA,4,4,"LongestHoleOutsinyards",2006
52,53,"Brian Henninger",39,147,NA,2,6,"LongestHoleOutsinyards",2006
54,54,"Kent Jones",103,146,NA,4,6,"LongestHoleOutsinyards",2006
54,55,"Ken Duke",8,146,NA,3,11,"LongestHoleOutsinyards",2006
56,56,"John Senden",96,145,NA,1,18,"LongestHoleOutsinyards",2006
58,58,"Ryuji Imada",105,143,NA,1,6,"LongestHoleOutsinyards",2006
59,59,"Mike Weir",88,141,NA,1,16,"LongestHoleOutsinyards",2006
59,60,"Bob Estes",85,141,NA,5,1,"LongestHoleOutsinyards",2006
61,61,"Bob Burns",23,138,NA,2,13,"LongestHoleOutsinyards",2006
61,62,"Skip Kendall",72,138,NA,3,1,"LongestHoleOutsinyards",2006
63,63,"Brett Wetterich",82,137,NA,3,11,"LongestHoleOutsinyards",2006
64,64,"Zach Johnson",98,136,NA,3,17,"LongestHoleOutsinyards",2006
64,65,"Nicholas Thompson",96,136,NA,1,11,"LongestHoleOutsinyards",2006
66,66,"Henrik Bjornstad",97,135,NA,3,6,"LongestHoleOutsinyards",2006
68,68,"Kris Cox",83,133,NA,1,5,"LongestHoleOutsinyards",2006
69,69,"Azuma Yano",4,132,NA,4,2,"LongestHoleOutsinyards",2006
70,70,"Ricky Barnes",7,131,NA,1,11,"LongestHoleOutsinyards",2006
70,71,"Scott Gutschewski",53,131,NA,1,15,"LongestHoleOutsinyards",2006
72,72,"Matt Hansen",68,130,NA,2,5,"LongestHoleOutsinyards",2006
72,74,"John Rollins",93,130,NA,1,14,"LongestHoleOutsinyards",2006
75,76,"Chris Couch",75,128,NA,2,6,"LongestHoleOutsinyards",2006
78,78,"Bill Glasson",47,127,NA,1,3,"LongestHoleOutsinyards",2006
78,79,"David Branshaw",98,127,NA,3,10,"LongestHoleOutsinyards",2006
78,81,"Jason Bohn",104,127,NA,3,10,"LongestHoleOutsinyards",2006
83,85,"Shane Bertsch",104,124,NA,2,13,"LongestHoleOutsinyards",2006
87,87,"Carl Pettersson",95,122,NA,2,4,"LongestHoleOutsinyards",2006
88,89,"Jerry Kelly",100,121,NA,1,10,"LongestHoleOutsinyards",2006
88,90,"Chris Riley",86,121,NA,2,8,"LongestHoleOutsinyards",2006
91,91,"James Driscoll",80,120,NA,1,13,"LongestHoleOutsinyards",2006
92,93,"David Duval",71,119,NA,2,1,"LongestHoleOutsinyards",2006
94,94,"Graeme McDowell",44,118,NA,1,9,"LongestHoleOutsinyards",2006
94,95,"Brendan Jones",22,118,NA,1,16,"LongestHoleOutsinyards",2006
97,97,"Briny Baird",81,115,NA,3,12,"LongestHoleOutsinyards",2006
97,99,"Jeff Maggert",81,115,NA,2,7,"LongestHoleOutsinyards",2006
97,98,"Troy Matteson",101,115,NA,4,10,"LongestHoleOutsinyards",2006
101,101,"Bubba Dickerson",98,113,NA,2,9,"LongestHoleOutsinyards",2006
101,104,"Bubba Watson",83,113,NA,1,13,"LongestHoleOutsinyards",2006
101,105,"Tag Ridings",103,113,NA,1,3,"LongestHoleOutsinyards",2006
106,106,"Todd Hamilton",72,112,NA,4,7,"LongestHoleOutsinyards",2006
106,108,"JP Hayes",55,112,NA,1,17,"LongestHoleOutsinyards",2006
109,109,"Steve Flesch",119,111,NA,4,5,"LongestHoleOutsinyards",2006
109,111,"Tim Petrovic",95,111,NA,4,6,"LongestHoleOutsinyards",2006
109,112,"Tim Herron",82,111,NA,1,3,"LongestHoleOutsinyards",2006
113,114,"John Riegger",49,110,NA,3,1,"LongestHoleOutsinyards",2006
117,117,"Ryan Palmer",101,108,NA,2,7,"LongestHoleOutsinyards",2006
120,120,"Ted Purdy",103,107,NA,1,7,"LongestHoleOutsinyards",2006
120,122,"Bob Tway",81,107,NA,3,6,"LongestHoleOutsinyards",2006
124,124,"Jeff Sluman",101,105,NA,3,8,"LongestHoleOutsinyards",2006
124,126,"Camilo Villegas",95,105,NA,3,6,"LongestHoleOutsinyards",2006
124,128,"Daisuke Maruyama",83,105,NA,1,14,"LongestHoleOutsinyards",2006
129,129,"Robert Gamez",94,104,NA,2,2,"LongestHoleOutsinyards",2006
131,131,"Omar Uresti",61,103,NA,2,15,"LongestHoleOutsinyards",2006
132,133,"Fred Funk",106,101,NA,5,15,"LongestHoleOutsinyards",2006
134,134,"Alex Cejka",93,100,NA,2,10,"LongestHoleOutsinyards",2006
134,135,"Chris Smith",67,100,NA,3,13,"LongestHoleOutsinyards",2006
136,136,"Eric Axley",91,99,NA,2,3,"LongestHoleOutsinyards",2006
136,137,"Jose Maria Olazabal",62,99,NA,4,16,"LongestHoleOutsinyards",2006
136,138,"Dudley Hart",83,99,NA,3,8,"LongestHoleOutsinyards",2006
136,139,"Greg Chalmers",71,99,NA,1,13,"LongestHoleOutsinyards",2006
141,141,"Jason Schultz",77,97,NA,1,6,"LongestHoleOutsinyards",2006
145,145,"Michael Connell",51,93,NA,3,16,"LongestHoleOutsinyards",2006
145,146,"Donnie Hammond",33,93,NA,1,3,"LongestHoleOutsinyards",2006
145,147,"Chad Campbell",91,93,NA,1,6,"LongestHoleOutsinyards",2006
145,148,"Steven Bowditch",43,93,NA,2,6,"LongestHoleOutsinyards",2006
149,149,"Vance Veazey",59,92,NA,4,3,"LongestHoleOutsinyards",2006
150,151,"Robert Damron",91,91,NA,1,7,"LongestHoleOutsinyards",2006
152,152,"Kevin Sutherland",100,89,NA,2,3,"LongestHoleOutsinyards",2006
154,154,"Bob May",65,87,NA,2,6,"LongestHoleOutsinyards",2006
156,157,"Greg Owen",79,86,NA,1,12,"LongestHoleOutsinyards",2006
160,160,"David Hearn",4,84,NA,1,10,"LongestHoleOutsinyards",2006
161,162,"Brandt Jobe",91,83,NA,2,16,"LongestHoleOutsinyards",2006
164,164,"Paul Goydos",72,80,NA,2,8,"LongestHoleOutsinyards",2006
168,168,"Arron Oberholser",82,78,NA,4,13,"LongestHoleOutsinyards",2006
169,170,"Brett Quigley",109,77,NA,1,13,"LongestHoleOutsinyards",2006
169,171,"Nathan Green",108,77,NA,4,13,"LongestHoleOutsinyards",2006
169,174,"Ben Crane",85,77,NA,2,2,"LongestHoleOutsinyards",2006
175,175,"JB Holmes",81,75,NA,2,16,"LongestHoleOutsinyards",2006
175,177,"Glen Day",30,75,NA,4,18,"LongestHoleOutsinyards",2006
180,181,"Louis Oosthuizen",6,73,NA,2,10,"LongestHoleOutsinyards",2006
182,182,"Paul Casey",26,71,NA,2,2,"LongestHoleOutsinyards",2006
184,184,"John Huston",74,67,NA,2,2,"LongestHoleOutsinyards",2006
185,185,"Carlos Franco",86,66,NA,1,13,"LongestHoleOutsinyards",2006
185,186,"Stephen Leaney",84,66,NA,1,11,"LongestHoleOutsinyards",2006
187,187,"Ian Leggatt",80,64,NA,4,13,"LongestHoleOutsinyards",2006
189,189,"Rory Sabbatini",84,60,NA,3,9,"LongestHoleOutsinyards",2006
190,190,"Billy Andrade",78,58,NA,4,2,"LongestHoleOutsinyards",2006
191,191,"Mike Small",27,56,NA,2,8,"LongestHoleOutsinyards",2006
191,192,"Tom Pernice Jr",108,56,NA,1,17,"LongestHoleOutsinyards",2006
193,193,"BJ Staten",49,55,NA,3,13,"LongestHoleOutsinyards",2006
195,195,"Scott Gump",28,54,NA,4,6,"LongestHoleOutsinyards",2006
196,196,"Davis Love III",85,51,NA,4,2,"LongestHoleOutsinyards",2006
196,197,"Willie Wood",26,51,NA,2,6,"LongestHoleOutsinyards",2006
196,199,"Marco Dawson",87,51,NA,2,10,"LongestHoleOutsinyards",2006
200,200,"Nick Watney",97,50,NA,2,9,"LongestHoleOutsinyards",2006
