"ShortGameRating_RANKTHISWEEK_2005","ShortGameRating_RANKLASTWEEK_2005","ShortGameRating_PLAYERNAME_2005","ShortGameRating_EVENTS_2005","ShortGameRating_RATING_2005","stat_name","year"
1,NA,"Gavin Flint",1,8.3,"ShortGameRating",2005
2,NA,"Jason Hartwick",1,8.1,"ShortGameRating",2005
3,NA,"Nick Gilliam",1,8,"ShortGameRating",2005
3,NA,"Jim McGovern",1,8,"ShortGameRating",2005
3,NA,"Steve Pate",1,8,"ShortGameRating",2005
6,NA,"Stephen Gangluff",1,7.7,"ShortGameRating",2005
7,NA,"Charl Schwartzel",1,7.5,"ShortGameRating",2005
8,NA,"Dicky Pride",2,7.4,"ShortGameRating",2005
9,NA,"Nick Faldo",2,7.3,"ShortGameRating",2005
9,NA,"Gene Sauers",1,7.3,"ShortGameRating",2005
9,NA,"Mike Small",1,7.3,"ShortGameRating",2005
12,NA,"Colby Beckstrom",1,7.2,"ShortGameRating",2005
12,NA,"Jim Furyk",18,7.2,"ShortGameRating",2005
12,NA,"Shigeki Maruyama",21,7.2,"ShortGameRating",2005
12,NA,"Tom Scherrer",2,7.2,"ShortGameRating",2005
12,NA,"Mark Wilson",11,7.2,"ShortGameRating",2005
17,NA,"Craig Bowden",6,7.1,"ShortGameRating",2005
17,NA,"Carlos Franco",14,7.1,"ShortGameRating",2005
17,NA,"Michael Harris",2,7.1,"ShortGameRating",2005
17,NA,"Glen Hnatiuk",6,7.1,"ShortGameRating",2005
17,NA,"Mike Weir",8,7.1,"ShortGameRating",2005
17,NA,"Casey Wittenberg",3,7.1,"ShortGameRating",2005
23,NA,"Tim Clark",15,7,"ShortGameRating",2005
23,NA,"Paul Goydos",8,7,"ShortGameRating",2005
23,NA,"Richard Johnson",8,7,"ShortGameRating",2005
23,NA,"Craig Parry",6,7,"ShortGameRating",2005
23,NA,"Kenny Perry",12,7,"ShortGameRating",2005
23,NA,"Marcel Siem",1,7,"ShortGameRating",2005
29,NA,"Doug Barron",11,6.9,"ShortGameRating",2005
29,NA,"David Howell",5,6.9,"ShortGameRating",2005
29,NA,"Ryuji Imada",14,6.9,"ShortGameRating",2005
29,NA,"Peter Jacobsen",3,6.9,"ShortGameRating",2005
29,NA,"Jason Knutzon",1,6.9,"ShortGameRating",2005
29,NA,"Justin Leonard",13,6.9,"ShortGameRating",2005
29,NA,"Dick Mast",1,6.9,"ShortGameRating",2005
29,NA,"David Peoples",4,6.9,"ShortGameRating",2005
29,NA,"Darron Stiles",13,6.9,"ShortGameRating",2005
29,NA,"Omar Uresti",13,6.9,"ShortGameRating",2005
29,NA,"Charlie Wi",11,6.9,"ShortGameRating",2005
40,NA,"Brian Davis",14,6.8,"ShortGameRating",2005
40,NA,"Danny Ellis",4,6.8,"ShortGameRating",2005
40,NA,"Paul Gow",12,6.8,"ShortGameRating",2005
40,NA,"SK Ho",1,6.8,"ShortGameRating",2005
40,NA,"Charles Howell III",17,6.8,"ShortGameRating",2005
40,NA,"JL Lewis",14,6.8,"ShortGameRating",2005
40,NA,"Kevin Na",14,6.8,"ShortGameRating",2005
40,NA,"Nick OHern",6,6.8,"ShortGameRating",2005
40,NA,"Vijay Singh",20,6.8,"ShortGameRating",2005
49,NA,"Steven Bowditch",1,6.7,"ShortGameRating",2005
49,NA,"Mark Brooks",9,6.7,"ShortGameRating",2005
49,NA,"Mark Calcavecchia",18,6.7,"ShortGameRating",2005
49,NA,"Fred Couples",9,6.7,"ShortGameRating",2005
49,NA,"James Driscoll",10,6.7,"ShortGameRating",2005
49,NA,"Niclas Fasth",2,6.7,"ShortGameRating",2005
49,NA,"Fred Funk",20,6.7,"ShortGameRating",2005
49,NA,"Hunter Haas",13,6.7,"ShortGameRating",2005
49,NA,"Trevor Immelman",5,6.7,"ShortGameRating",2005
49,NA,"Spike McRoy",4,6.7,"ShortGameRating",2005
49,NA,"Colin Montgomerie",3,6.7,"ShortGameRating",2005
49,NA,"Joe Ogilvie",16,6.7,"ShortGameRating",2005
49,NA,"Brett Quigley",16,6.7,"ShortGameRating",2005
49,NA,"Toru Taniguchi",2,6.7,"ShortGameRating",2005
49,NA,"Tjaart van der Walt",8,6.7,"ShortGameRating",2005
64,NA,"Stuart Appleby",13,6.6,"ShortGameRating",2005
64,NA,"Justin Bolli",10,6.6,"ShortGameRating",2005
64,NA,"KJ Choi",11,6.6,"ShortGameRating",2005
64,NA,"Daniel Chopra",17,6.6,"ShortGameRating",2005
64,NA,"Paul Claxton",9,6.6,"ShortGameRating",2005
64,NA,"Luke Donald",8,6.6,"ShortGameRating",2005
64,NA,"Bob Estes",19,6.6,"ShortGameRating",2005
64,NA,"Bill Haas",4,6.6,"ShortGameRating",2005
64,NA,"Zach Johnson",18,6.6,"ShortGameRating",2005
64,NA,"Bernhard Langer",9,6.6,"ShortGameRating",2005
64,NA,"Arron Oberholser",12,6.6,"ShortGameRating",2005
64,NA,"Jose Maria Olazabal",10,6.6,"ShortGameRating",2005
64,NA,"Loren Roberts",10,6.6,"ShortGameRating",2005
