"AveragePuttingDistanceAll2putts_RANKTHISWEEK_2006","AveragePuttingDistanceAll2putts_RANKLASTWEEK_2006","AveragePuttingDistanceAll2putts_PLAYERNAME_2006","AveragePuttingDistanceAll2putts_ROUNDS_2006","AveragePuttingDistanceAll2putts_AVG_2006","AveragePuttingDistanceAll2putts_DISTANCEFEET_2006","AveragePuttingDistanceAll2putts_TOTALPUTTS_2006","stat_name","year"
1,1,"Roger Tambellini",64,NA,13972.5,563,"AveragePuttingDistanceAll2putts",2006
2,2,"Chris Smith",67,NA,15686.583,637,"AveragePuttingDistanceAll2putts",2006
3,3,"James Driscoll",80,NA,18211,746,"AveragePuttingDistanceAll2putts",2006
4,4,"KJ Choi",93,NA,20490.583,844,"AveragePuttingDistanceAll2putts",2006
4,4,"Jesper Parnevik",84,NA,18159,748,"AveragePuttingDistanceAll2putts",2006
6,6,"Brent Geiberger",99,NA,22109.667,919,"AveragePuttingDistanceAll2putts",2006
6,6,"Brett Quigley",109,NA,22968.25,953,"AveragePuttingDistanceAll2putts",2006
6,6,"Tiger Woods",55,NA,9357.417,388,"AveragePuttingDistanceAll2putts",2006
9,9,"Mathew Goggin",72,NA,14456.5,604,"AveragePuttingDistanceAll2putts",2006
9,9,"Charles Howell III",96,NA,19840.917,831,"AveragePuttingDistanceAll2putts",2006
9,9,"Billy Mayfair",94,NA,19605.75,819,"AveragePuttingDistanceAll2putts",2006
9,9,"Kevin Sutherland",100,NA,21924.417,917,"AveragePuttingDistanceAll2putts",2006
13,13,"Steve Elkington",52,NA,11526.25,484,"AveragePuttingDistanceAll2putts",2006
13,13,"John Engler Jr",69,NA,15660.5,658,"AveragePuttingDistanceAll2putts",2006
13,13,"Tjaart van der Walt",60,NA,12408.75,521,"AveragePuttingDistanceAll2putts",2006
13,13,"Dean Wilson",115,NA,21998.25,922,"AveragePuttingDistanceAll2putts",2006
17,17,"Ben Curtis",86,NA,16753.333,705,"AveragePuttingDistanceAll2putts",2006
18,18,"Ben Crane",85,NA,14027,592,"AveragePuttingDistanceAll2putts",2006
18,18,"Nathan Green",108,NA,21309.167,901,"AveragePuttingDistanceAll2putts",2006
18,18,"Ryan Hietala",61,NA,12588.167,531,"AveragePuttingDistanceAll2putts",2006
18,18,"David Howell",52,NA,7177.75,303,"AveragePuttingDistanceAll2putts",2006
18,18,"Richard Johnson",94,NA,21090.667,891,"AveragePuttingDistanceAll2putts",2006
23,23,"David McKenzie",82,NA,16709.5,709,"AveragePuttingDistanceAll2putts",2006
23,23,"Larry Mize",53,NA,10260.25,435,"AveragePuttingDistanceAll2putts",2006
23,23,"Duffy Waldorf",96,NA,20288.333,859,"AveragePuttingDistanceAll2putts",2006
23,23,"Jimmy Walker",60,NA,13666.167,579,"AveragePuttingDistanceAll2putts",2006
27,27,"Rod Pampling",89,NA,14334.667,609,"AveragePuttingDistanceAll2putts",2006
27,27,"Jason Schultz",77,NA,16032.417,682,"AveragePuttingDistanceAll2putts",2006
29,29,"Henrik Bjornstad",97,NA,21224.333,905,"AveragePuttingDistanceAll2putts",2006
29,29,"Jeff Gove",91,NA,20848.167,890,"AveragePuttingDistanceAll2putts",2006
29,29,"Shaun Micheel",96,NA,19684.083,841,"AveragePuttingDistanceAll2putts",2006
29,29,"John Senden",96,NA,19893.25,850,"AveragePuttingDistanceAll2putts",2006
29,29,"Mark Wilson",79,NA,17208.583,736,"AveragePuttingDistanceAll2putts",2006
34,34,"Daniel Chopra",110,NA,20469.167,877,"AveragePuttingDistanceAll2putts",2006
34,34,"Dudley Hart",83,NA,16540.5,708,"AveragePuttingDistanceAll2putts",2006
34,34,"Charley Hoffman",100,NA,21077.917,904,"AveragePuttingDistanceAll2putts",2006
34,34,"Ryan Moore",68,NA,13667.083,586,"AveragePuttingDistanceAll2putts",2006
38,38,"Will Ma Kenzie",91,NA,18451.833,794,"AveragePuttingDistanceAll2putts",2006
