"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2016","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2016","AveragePuttingDistanceAll1putts_PLAYERNAME_2016","AveragePuttingDistanceAll1putts_ROUNDS_2016","AveragePuttingDistanceAll1putts_AVG_2016","AveragePuttingDistanceAll1putts_DISTANCEFEET_2016","AveragePuttingDistanceAll1putts_TOTALPUTTS_2016","stat_name","year"
1,1,"Bernd Wiesberger",23,NA,632.583,71,"AveragePuttingDistanceAll1putts",2016
2,2,"JJ Henry",44,NA,2064.917,237,"AveragePuttingDistanceAll1putts",2016
3,5,"Zach Johnson",42,NA,1990.333,237,"AveragePuttingDistanceAll1putts",2016
3,5,"Ben Martin",48,NA,2359.667,281,"AveragePuttingDistanceAll1putts",2016
5,7,"Cameron Percy",22,NA,659.583,79,"AveragePuttingDistanceAll1putts",2016
5,3,"Scott Pinckney",53,NA,2032.667,244,"AveragePuttingDistanceAll1putts",2016
5,3,"Jhonattan Vegas",49,NA,2043.583,245,"AveragePuttingDistanceAll1putts",2016
8,8,"Matthew Fitzpatrick",23,NA,726.667,89,"AveragePuttingDistanceAll1putts",2016
8,12,"Rory McIlroy",37,NA,1352,165,"AveragePuttingDistanceAll1putts",2016
10,9,"Jason Day",36,NA,1420.667,176,"AveragePuttingDistanceAll1putts",2016
10,9,"Louis Oosthuizen",25,NA,478.5,59,"AveragePuttingDistanceAll1putts",2016
12,12,"Jason Dufner",53,NA,1902.583,238,"AveragePuttingDistanceAll1putts",2016
12,12,"Pat Perez",28,NA,867.75,108,"AveragePuttingDistanceAll1putts",2016
14,12,"Robert Allenby",35,NA,1307,165,"AveragePuttingDistanceAll1putts",2016
14,18,"Russell Henley",42,NA,2085,264,"AveragePuttingDistanceAll1putts",2016
14,9,"Patton Kizzire",57,NA,2577.083,325,"AveragePuttingDistanceAll1putts",2016
17,19,"Charley Hoffman",49,NA,2146.167,273,"AveragePuttingDistanceAll1putts",2016
17,28,"Charles Howell III",63,NA,2727.167,348,"AveragePuttingDistanceAll1putts",2016
17,19,"Brooks Koepka",39,NA,1595.75,204,"AveragePuttingDistanceAll1putts",2016
17,12,"Ryan Moore",40,NA,1618.75,206,"AveragePuttingDistanceAll1putts",2016
17,12,"Kyle Reifers",63,NA,2519.333,321,"AveragePuttingDistanceAll1putts",2016
17,52,"Ollie Schniederjans",23,NA,998.25,127,"AveragePuttingDistanceAll1putts",2016
17,24,"Adam Scott",39,NA,1366,175,"AveragePuttingDistanceAll1putts",2016
24,24,"Thomas Aiken",42,NA,1297.75,167,"AveragePuttingDistanceAll1putts",2016
24,19,"Justin Hicks",26,NA,1189.5,153,"AveragePuttingDistanceAll1putts",2016
24,24,"Bubba Watson",30,NA,839.667,108,"AveragePuttingDistanceAll1putts",2016
27,28,"Shane Bertsch",30,NA,989.25,129,"AveragePuttingDistanceAll1putts",2016
27,28,"Adam Hadwin",53,NA,2596.667,337,"AveragePuttingDistanceAll1putts",2016
27,19,"Shane Lowry",35,NA,1096.5,143,"AveragePuttingDistanceAll1putts",2016
27,28,"Steve Stricker",25,NA,1340.167,174,"AveragePuttingDistanceAll1putts",2016
27,28,"Hudson Swafford",52,NA,2107.667,275,"AveragePuttingDistanceAll1putts",2016
27,19,"Johnson Wagner",44,NA,1786,232,"AveragePuttingDistanceAll1putts",2016
27,52,"Boo Weekley",53,NA,2134.917,278,"AveragePuttingDistanceAll1putts",2016
34,65,"Chesson Hadley",51,NA,1999.5,265,"AveragePuttingDistanceAll1putts",2016
34,42,"Michael Kim",62,NA,2896.833,380,"AveragePuttingDistanceAll1putts",2016
34,35,"Marc Leishman",41,NA,1436.583,189,"AveragePuttingDistanceAll1putts",2016
34,28,"William McGirt",54,NA,2649.5,349,"AveragePuttingDistanceAll1putts",2016
34,42,"George McNeill",33,NA,1564.417,207,"AveragePuttingDistanceAll1putts",2016
34,28,"Brian Stuard",24,NA,1101.75,146,"AveragePuttingDistanceAll1putts",2016
34,35,"Andy Sullivan",25,NA,844.917,112,"AveragePuttingDistanceAll1putts",2016
41,24,"Daniel Berger",52,NA,1803.5,241,"AveragePuttingDistanceAll1putts",2016
41,35,"David Hearn",55,NA,2152.333,287,"AveragePuttingDistanceAll1putts",2016
41,42,"Morgan Hoffmann",43,NA,1990.5,265,"AveragePuttingDistanceAll1putts",2016
41,42,"Dustin Johnson",37,NA,1143.833,153,"AveragePuttingDistanceAll1putts",2016
41,35,"Kevin Kisner",49,NA,1777.417,237,"AveragePuttingDistanceAll1putts",2016
41,35,"Brett Stegmaier",57,NA,2372.167,317,"AveragePuttingDistanceAll1putts",2016
41,65,"Chris Stroud",52,NA,2154.083,288,"AveragePuttingDistanceAll1putts",2016
41,42,"Michael Thompson",46,NA,1506.917,201,"AveragePuttingDistanceAll1putts",2016
41,42,"Dawie van der Walt",48,NA,1675.917,223,"AveragePuttingDistanceAll1putts",2016
50,35,"Jamie Donaldson",28,NA,1235.917,166,"AveragePuttingDistanceAll1putts",2016
50,75,"JB Holmes",39,NA,1581.583,214,"AveragePuttingDistanceAll1putts",2016
50,52,"Danny Lee",53,NA,1922.583,260,"AveragePuttingDistanceAll1putts",2016
50,75,"Steve Marino",40,NA,1353.25,182,"AveragePuttingDistanceAll1putts",2016
50,52,"Jordan Spieth",34,NA,1185.333,159,"AveragePuttingDistanceAll1putts",2016
50,52,"Darron Stiles",28,NA,763.75,103,"AveragePuttingDistanceAll1putts",2016
50,35,"Mark Wilson",42,NA,1700.167,230,"AveragePuttingDistanceAll1putts",2016
57,52,"Rickie Fowler",42,NA,1686.917,231,"AveragePuttingDistanceAll1putts",2016
57,65,"Brice Garnett",29,NA,768.333,105,"AveragePuttingDistanceAll1putts",2016
57,75,"Brian Harman",60,NA,2671.833,366,"AveragePuttingDistanceAll1putts",2016
57,65,"Smylie Kaufman",57,NA,2113.417,287,"AveragePuttingDistanceAll1putts",2016
57,42,"Colt Knost",56,NA,2312.417,314,"AveragePuttingDistanceAll1putts",2016
57,65,"Rory Sabbatini",40,NA,1255.833,172,"AveragePuttingDistanceAll1putts",2016
57,75,"Kyle Stanley",57,NA,2349.083,322,"AveragePuttingDistanceAll1putts",2016
64,75,"KJ Choi",47,NA,2159.917,298,"AveragePuttingDistanceAll1putts",2016
64,52,"Ben Crane",48,NA,2013,277,"AveragePuttingDistanceAll1putts",2016
64,100,"Jason Gore",51,NA,1893,261,"AveragePuttingDistanceAll1putts",2016
64,65,"Hiroshi Iwata",51,NA,1866.25,256,"AveragePuttingDistanceAll1putts",2016
64,75,"Russell Knox",48,NA,1382.583,191,"AveragePuttingDistanceAll1putts",2016
64,42,"Kelly Kraft",35,NA,1004.833,138,"AveragePuttingDistanceAll1putts",2016
64,65,"DH Lee",35,NA,1276.583,177,"AveragePuttingDistanceAll1putts",2016
64,75,"Peter Malnati",53,NA,2276.083,315,"AveragePuttingDistanceAll1putts",2016
64,52,"Hideki Matsuyama",40,NA,1349.583,187,"AveragePuttingDistanceAll1putts",2016
64,42,"Henrik Norlander",41,NA,1273.333,176,"AveragePuttingDistanceAll1putts",2016
64,65,"Sean OHair",45,NA,2146.083,297,"AveragePuttingDistanceAll1putts",2016
64,52,"Sam Saunders",40,NA,1366,188,"AveragePuttingDistanceAll1putts",2016
64,52,"John Senden",48,NA,2060.25,283,"AveragePuttingDistanceAll1putts",2016
64,52,"Robert Streb",51,NA,1554.75,214,"AveragePuttingDistanceAll1putts",2016
64,52,"Daniel Summerhays",55,NA,2327,321,"AveragePuttingDistanceAll1putts",2016
79,75,"Tyler Aldridge",53,NA,2028.083,282,"AveragePuttingDistanceAll1putts",2016
79,90,"Abraham Ancer",26,NA,762.083,106,"AveragePuttingDistanceAll1putts",2016
79,75,"Zac Blair",56,NA,2245.583,313,"AveragePuttingDistanceAll1putts",2016
79,129,"Jonas Blixt",46,NA,2087.917,292,"AveragePuttingDistanceAll1putts",2016
79,100,"Angel Cabrera",42,NA,1697.75,237,"AveragePuttingDistanceAll1putts",2016
79,90,"Miguel Angel Carballo",24,NA,665.917,93,"AveragePuttingDistanceAll1putts",2016
79,90,"Stewart Cink",45,NA,1441.667,201,"AveragePuttingDistanceAll1putts",2016
79,90,"Derek Fathauer",58,NA,2389.667,333,"AveragePuttingDistanceAll1putts",2016
79,75,"Tony Finau",49,NA,1868.333,261,"AveragePuttingDistanceAll1putts",2016
79,172,"Matt Jones",45,NA,1348.583,189,"AveragePuttingDistanceAll1putts",2016
79,90,"Kevin Na",52,NA,1711.5,238,"AveragePuttingDistanceAll1putts",2016
79,65,"Rob Oppenheim",37,NA,1442.917,201,"AveragePuttingDistanceAll1putts",2016
79,110,"Greg Owen",56,NA,1880.5,262,"AveragePuttingDistanceAll1putts",2016
79,90,"Ryan Palmer",46,NA,2105.083,295,"AveragePuttingDistanceAll1putts",2016
79,90,"Harold Varner III",58,NA,2508.583,350,"AveragePuttingDistanceAll1putts",2016
79,90,"Jimmy Walker",43,NA,1726,242,"AveragePuttingDistanceAll1putts",2016
95,100,"Blayne Barber",44,NA,1797.25,254,"AveragePuttingDistanceAll1putts",2016
95,42,"Paul Casey",39,NA,1131.167,160,"AveragePuttingDistanceAll1putts",2016
95,110,"Ernie Els",34,NA,1536.167,217,"AveragePuttingDistanceAll1putts",2016
95,129,"Matt Every",34,NA,1355.417,192,"AveragePuttingDistanceAll1putts",2016
95,100,"Fabian Gomez",49,NA,2112.25,299,"AveragePuttingDistanceAll1putts",2016
95,75,"Andres Gonzales",46,NA,1581.333,222,"AveragePuttingDistanceAll1putts",2016
95,52,"Bill Haas",42,NA,1285.5,181,"AveragePuttingDistanceAll1putts",2016
95,100,"Billy Horschel",45,NA,1773.25,250,"AveragePuttingDistanceAll1putts",2016
95,75,"Phil Mickelson",37,NA,1592.833,225,"AveragePuttingDistanceAll1putts",2016
95,100,"Dicky Pride",33,NA,1237.083,175,"AveragePuttingDistanceAll1putts",2016
95,100,"Charl Schwartzel",29,NA,1098.917,156,"AveragePuttingDistanceAll1putts",2016
95,75,"Webb Simpson",34,NA,1470.167,207,"AveragePuttingDistanceAll1putts",2016
95,129,"Kevin Streelman",46,NA,1433,203,"AveragePuttingDistanceAll1putts",2016
95,90,"Brendon Todd",43,NA,1915.917,272,"AveragePuttingDistanceAll1putts",2016
109,172,"Byeong Hun An",23,NA,656.083,94,"AveragePuttingDistanceAll1putts",2016
109,75,"Jason Bohn",37,NA,1439.833,205,"AveragePuttingDistanceAll1putts",2016
109,110,"Alex Cejka",47,NA,1512,215,"AveragePuttingDistanceAll1putts",2016
109,65,"Harris English",51,NA,1716.833,246,"AveragePuttingDistanceAll1putts",2016
109,110,"Rhein Gibson",36,NA,1224.917,174,"AveragePuttingDistanceAll1putts",2016
109,142,"Jason Kokrak",52,NA,1851.25,266,"AveragePuttingDistanceAll1putts",2016
109,110,"Matt Kuchar",46,NA,1577.917,226,"AveragePuttingDistanceAll1putts",2016
109,160,"Andrew Loupe",50,NA,2217.667,316,"AveragePuttingDistanceAll1putts",2016
109,110,"Seung Yul Noh",54,NA,2226.833,317,"AveragePuttingDistanceAll1putts",2016
109,110,"Scott Piercy",45,NA,1335.75,191,"AveragePuttingDistanceAll1putts",2016
109,129,"Justin Rose",35,NA,1247.25,178,"AveragePuttingDistanceAll1putts",2016
