"BirdietoBogeyRatio_RANKTHISWEEK_2012","BirdietoBogeyRatio_RANKLASTWEEK_2012","BirdietoBogeyRatio_PLAYERNAME_2012","BirdietoBogeyRatio_ROUNDS_2012","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2012","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2012","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2012","stat_name","year"
1,1,"Jason Dufner",83,1.6,331,207,"BirdietoBogeyRatio",2012
2,2,"Tiger Woods",69,1.58,270,171,"BirdietoBogeyRatio",2012
3,3,"Rory McIlroy",60,1.54,236,153,"BirdietoBogeyRatio",2012
4,4,"Webb Simpson",77,1.49,318,213,"BirdietoBogeyRatio",2012
4,4,"Steve Stricker",73,1.49,272,182,"BirdietoBogeyRatio",2012
6,6,"Justin Rose",69,1.48,257,174,"BirdietoBogeyRatio",2012
7,7,"Bubba Watson",68,1.47,264,179,"BirdietoBogeyRatio",2012
8,8,"Brandt Snedeker",81,1.45,318,220,"BirdietoBogeyRatio",2012
9,9,"Jim Furyk",85,1.42,279,196,"BirdietoBogeyRatio",2012
10,10,"Jonas Blixt",72,1.41,286,203,"BirdietoBogeyRatio",2012
11,11,"Brendon de Jonge",115,1.4,442,315,"BirdietoBogeyRatio",2012
11,11,"Phil Mickelson",79,1.4,318,227,"BirdietoBogeyRatio",2012
13,13,"Luke Donald",63,1.39,226,163,"BirdietoBogeyRatio",2012
13,13,"Matt Kuchar",86,1.39,302,218,"BirdietoBogeyRatio",2012
15,15,"Ben Curtis",62,1.38,224,162,"BirdietoBogeyRatio",2012
15,15,"Jeff Overton",101,1.38,396,286,"BirdietoBogeyRatio",2012
17,17,"Dustin Johnson",70,1.37,259,189,"BirdietoBogeyRatio",2012
17,17,"Scott Piercy",95,1.37,380,277,"BirdietoBogeyRatio",2012
19,19,"Robert Garrigus",89,1.36,367,269,"BirdietoBogeyRatio",2012
19,19,"Zach Johnson",95,1.36,367,269,"BirdietoBogeyRatio",2012
21,21,"Pat Perez",81,1.35,302,224,"BirdietoBogeyRatio",2012
21,21,"John Senden",81,1.35,298,220,"BirdietoBogeyRatio",2012
23,23,"Bud Cauley",99,1.33,359,269,"BirdietoBogeyRatio",2012
23,23,"Louis Oosthuizen",65,1.33,246,185,"BirdietoBogeyRatio",2012
25,25,"Keegan Bradley",90,1.32,358,271,"BirdietoBogeyRatio",2012
25,25,"Billy Horschel",63,1.32,213,161,"BirdietoBogeyRatio",2012
25,25,"Ryan Moore",89,1.32,357,270,"BirdietoBogeyRatio",2012
25,25,"Carl Pettersson",92,1.32,346,263,"BirdietoBogeyRatio",2012
25,25,"Bo Van Pelt",84,1.32,337,256,"BirdietoBogeyRatio",2012
30,30,"Will Claxton",99,1.3,364,279,"BirdietoBogeyRatio",2012
30,30,"Ben Crane",73,1.3,292,225,"BirdietoBogeyRatio",2012
30,30,"Ryan Palmer",81,1.3,320,247,"BirdietoBogeyRatio",2012
33,33,"Matt Every",80,1.29,308,238,"BirdietoBogeyRatio",2012
33,33,"Sergio Garcia",57,1.29,210,163,"BirdietoBogeyRatio",2012
33,33,"Chris Kirk",93,1.29,345,268,"BirdietoBogeyRatio",2012
33,33,"Seung Yul Noh",105,1.29,369,287,"BirdietoBogeyRatio",2012
37,37,"Brian Gay",91,1.28,294,229,"BirdietoBogeyRatio",2012
38,38,"Russell Knox",72,1.27,234,184,"BirdietoBogeyRatio",2012
38,38,"Sean OHair",84,1.27,320,251,"BirdietoBogeyRatio",2012
38,38,"Kevin Stadler",85,1.27,288,227,"BirdietoBogeyRatio",2012
38,38,"Camilo Villegas",79,1.27,287,226,"BirdietoBogeyRatio",2012
38,38,"Jimmy Walker",101,1.27,389,307,"BirdietoBogeyRatio",2012
43,43,"Ken Duke",104,1.26,394,312,"BirdietoBogeyRatio",2012
43,43,"Adam Scott",59,1.26,226,180,"BirdietoBogeyRatio",2012
45,45,"Roberto Castro",92,1.25,318,254,"BirdietoBogeyRatio",2012
45,45,"Richard Lee",71,1.25,248,198,"BirdietoBogeyRatio",2012
47,47,"Henrik Stenson",51,1.24,190,153,"BirdietoBogeyRatio",2012
48,48,"Nathan Green",73,1.23,254,207,"BirdietoBogeyRatio",2012
48,48,"Kevin Na",80,1.23,282,229,"BirdietoBogeyRatio",2012
48,48,"Vaughn Taylor",81,1.23,291,237,"BirdietoBogeyRatio",2012
51,51,"Bill Haas",79,1.22,274,225,"BirdietoBogeyRatio",2012
51,51,"David Hearn",95,1.22,328,268,"BirdietoBogeyRatio",2012
51,51,"Geoff Ogilvy",73,1.22,256,209,"BirdietoBogeyRatio",2012
51,51,"Ian Poulter",57,1.22,195,160,"BirdietoBogeyRatio",2012
51,51,"Vijay Singh",99,1.22,367,301,"BirdietoBogeyRatio",2012
56,56,"Daniel Summerhays",81,1.21,285,236,"BirdietoBogeyRatio",2012
56,56,"David Toms",60,1.21,201,166,"BirdietoBogeyRatio",2012
58,58,"Tom Gillis",75,1.2,288,241,"BirdietoBogeyRatio",2012
58,58,"Bill Lunde",83,1.2,278,232,"BirdietoBogeyRatio",2012
58,58,"John Merrick",83,1.2,286,238,"BirdietoBogeyRatio",2012
58,58,"Bryce Molder",83,1.2,264,220,"BirdietoBogeyRatio",2012
58,58,"Josh Teater",97,1.2,356,297,"BirdietoBogeyRatio",2012
63,63,"Jason Day",57,1.19,205,172,"BirdietoBogeyRatio",2012
63,63,"Graham DeLaet",79,1.19,280,236,"BirdietoBogeyRatio",2012
63,63,"Martin Flores",95,1.19,338,285,"BirdietoBogeyRatio",2012
63,63,"Brian Harman",101,1.19,359,302,"BirdietoBogeyRatio",2012
63,63,"John Huh",99,1.19,368,310,"BirdietoBogeyRatio",2012
63,63,"William McGirt",96,1.19,329,277,"BirdietoBogeyRatio",2012
63,63,"John Rollins",81,1.19,283,238,"BirdietoBogeyRatio",2012
63,63,"Cameron Tringale",88,1.19,313,262,"BirdietoBogeyRatio",2012
71,71,"Charlie Beljan",61,1.18,216,183,"BirdietoBogeyRatio",2012
71,71,"Harris English",98,1.18,363,308,"BirdietoBogeyRatio",2012
71,71,"Danny Lee",74,1.18,260,220,"BirdietoBogeyRatio",2012
71,71,"Hunter Mahan",88,1.18,286,243,"BirdietoBogeyRatio",2012
71,71,"Graeme McDowell",55,1.18,208,177,"BirdietoBogeyRatio",2012
71,71,"DA Points",88,1.18,322,273,"BirdietoBogeyRatio",2012
71,71,"Charl Schwartzel",56,1.18,197,167,"BirdietoBogeyRatio",2012
71,71,"Lee Westwood",60,1.18,213,181,"BirdietoBogeyRatio",2012
79,79,"Blake Adams",107,1.17,400,341,"BirdietoBogeyRatio",2012
79,79,"Chris Couch",61,1.17,215,183,"BirdietoBogeyRatio",2012
79,79,"Brian Davis",91,1.17,325,277,"BirdietoBogeyRatio",2012
79,79,"Ernie Els",80,1.17,258,221,"BirdietoBogeyRatio",2012
79,79,"Padraig Harrington",67,1.17,227,194,"BirdietoBogeyRatio",2012
79,79,"Greg Owen",90,1.17,337,289,"BirdietoBogeyRatio",2012
79,79,"Dicky Pride",62,1.17,203,173,"BirdietoBogeyRatio",2012
79,79,"Chris Stroud",86,1.17,287,246,"BirdietoBogeyRatio",2012
87,87,"Greg Chalmers",88,1.16,302,261,"BirdietoBogeyRatio",2012
