"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2007","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2007","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2007","PercentageofYardagecoveredbyTeeShots_ROUNDS_2007","PercentageofYardagecoveredbyTeeShots_AVGPct_2007","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2007","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2007","stat_name","year"
1,1,"John Daly",59,66.5,207785,312449,"PercentageofYardagecoveredbyTeeShots",2007
2,2,"JB Holmes",71,66.31,269779.7,406848,"PercentageofYardagecoveredbyTeeShots",2007
3,3,"Bubba Watson",80,65.62,277293.1,422551,"PercentageofYardagecoveredbyTeeShots",2007
4,4,"Robert Garrigus",95,65.07,356670.4,548122,"PercentageofYardagecoveredbyTeeShots",2007
5,5,"Brett Wetterich",88,64.62,288702.3,446773,"PercentageofYardagecoveredbyTeeShots",2007
6,6,"Jeff Overton",60,64.23,219915.9,342406,"PercentageofYardagecoveredbyTeeShots",2007
7,7,"Harrison Frazar",88,64.13,299107.7,466390,"PercentageofYardagecoveredbyTeeShots",2007
8,8,"Tag Ridings",52,64.01,184432.2,288151,"PercentageofYardagecoveredbyTeeShots",2007
9,9,"Scott Gutschewski",67,63.84,236226.4,370022,"PercentageofYardagecoveredbyTeeShots",2007
10,10,"Chris Couch",76,63.74,297025.3,465975,"PercentageofYardagecoveredbyTeeShots",2007
10,10,"Bubba Dickerson",51,63.74,174112.3,273161,"PercentageofYardagecoveredbyTeeShots",2007
12,12,"Geoff Ogilvy",84,63.72,261014.6,409640,"PercentageofYardagecoveredbyTeeShots",2007
12,12,"Nick Watney",87,63.72,284583.8,446589,"PercentageofYardagecoveredbyTeeShots",2007
14,14,"Adam Scott",69,63.71,222001,348429,"PercentageofYardagecoveredbyTeeShots",2007
15,15,"Anthony Kim",93,63.7,322832.8,506819,"PercentageofYardagecoveredbyTeeShots",2007
16,16,"Boo Weekley",101,63.67,316907.9,497731,"PercentageofYardagecoveredbyTeeShots",2007
17,17,"Bill Haas",93,63.6,332619.7,522957,"PercentageofYardagecoveredbyTeeShots",2007
17,17,"Henrik Stenson",52,63.6,147147.2,231353,"PercentageofYardagecoveredbyTeeShots",2007
19,19,"Jason Gore",86,63.58,315653.7,496473,"PercentageofYardagecoveredbyTeeShots",2007
