"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2016","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2016","AverageGoingforitShotDistanceinYards_PLAYERNAME_2016","AverageGoingforitShotDistanceinYards_EVENTS_2016","AverageGoingforitShotDistanceinYards_AVG_2016","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2016","AverageGoingforitShotDistanceinYards_ATTEMPTS_2016","stat_name","year"
1,2,"Ken Duke",9,241.4,165105,19,"AverageGoingforitShotDistanceinYards",2016
2,3,"Luke Donald",13,246.5,381646,43,"AverageGoingforitShotDistanceinYards",2016
3,1,"Cameron Smith",14,246.9,293352,33,"AverageGoingforitShotDistanceinYards",2016
4,8,"Justin Leonard",8,247.4,106871,12,"AverageGoingforitShotDistanceinYards",2016
5,9,"Charlie Beljan",13,248.2,303830,34,"AverageGoingforitShotDistanceinYards",2016
6,7,"Thomas Aiken",13,248.3,384342,43,"AverageGoingforitShotDistanceinYards",2016
7,11,"Hudson Swafford",17,249,779894,87,"AverageGoingforitShotDistanceinYards",2016
8,5,"Ricky Barnes",18,249.6,682888,76,"AverageGoingforitShotDistanceinYards",2016
9,14,"Russell Knox",14,249.7,476355,53,"AverageGoingforitShotDistanceinYards",2016
10,17,"Russell Henley",14,250.3,648760,72,"AverageGoingforitShotDistanceinYards",2016
11,10,"Byeong Hun An",7,250.4,306475,34,"AverageGoingforitShotDistanceinYards",2016
11,12,"Camilo Villegas",16,250.4,658090,73,"AverageGoingforitShotDistanceinYards",2016
13,18,"Zach Johnson",12,250.6,469151,52,"AverageGoingforitShotDistanceinYards",2016
14,4,"Ian Poulter",10,250.9,379392,42,"AverageGoingforitShotDistanceinYards",2016
15,20,"Matt Kuchar",12,251,460918,51,"AverageGoingforitShotDistanceinYards",2016
16,16,"Jason Kokrak",17,251.3,1031428,114,"AverageGoingforitShotDistanceinYards",2016
17,22,"Lucas Glover",16,251.4,941106,104,"AverageGoingforitShotDistanceinYards",2016
18,26,"Stewart Cink",14,252.1,571698,63,"AverageGoingforitShotDistanceinYards",2016
18,14,"Bill Haas",12,252.1,526409,58,"AverageGoingforitShotDistanceinYards",2016
20,23,"Morgan Hoffmann",15,252.4,617824,68,"AverageGoingforitShotDistanceinYards",2016
20,29,"Ryan Palmer",12,252.4,972160,107,"AverageGoingforitShotDistanceinYards",2016
22,13,"Gary Woodland",12,252.8,873641,96,"AverageGoingforitShotDistanceinYards",2016
23,21,"Rory McIlroy",9,252.9,710104,78,"AverageGoingforitShotDistanceinYards",2016
24,35,"Jerry Kelly",12,253.3,319163,35,"AverageGoingforitShotDistanceinYards",2016
24,35,"Carl Pettersson",14,253.3,328237,36,"AverageGoingforitShotDistanceinYards",2016
26,37,"KJ Choi",14,253.6,356023,39,"AverageGoingforitShotDistanceinYards",2016
27,44,"Michael Thompson",14,253.7,447542,49,"AverageGoingforitShotDistanceinYards",2016
28,25,"Spencer Levin",19,253.8,667013,73,"AverageGoingforitShotDistanceinYards",2016
29,27,"Charles Howell III",17,254,1015148,111,"AverageGoingforitShotDistanceinYards",2016
29,29,"Martin Laird",13,254,767955,84,"AverageGoingforitShotDistanceinYards",2016
29,38,"Justin Thomas",15,254,804624,88,"AverageGoingforitShotDistanceinYards",2016
32,46,"Marc Leishman",12,254.3,530963,58,"AverageGoingforitShotDistanceinYards",2016
33,46,"Tyler Aldridge",18,254.4,558637,61,"AverageGoingforitShotDistanceinYards",2016
33,41,"Kevin Kisner",14,254.4,723609,79,"AverageGoingforitShotDistanceinYards",2016
35,50,"Seung Yul Noh",17,254.5,769565,84,"AverageGoingforitShotDistanceinYards",2016
