"StrokesGainedTotal_RANKTHISWEEK_2012","StrokesGainedTotal_RANKLASTWEEK_2012","StrokesGainedTotal_PLAYERNAME_2012","StrokesGainedTotal_ROUNDS_2012","StrokesGainedTotal_AVERAGE_2012","StrokesGainedTotal_TOTALSGT_2012","StrokesGainedTotal_TOTALSGT2G_2012","StrokesGainedTotal_TOTALSGP_2012","StrokesGainedTotal_MEASUREDROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,2.406,96.228,92.682,3.546,40,"StrokesGainedTotal",2012
2,2,"Tiger Woods",69,2.278,109.322,91.656,17.666,48,"StrokesGainedTotal",2012
3,3,"Jim Furyk",85,1.728,112.334,83.14,29.194,65,"StrokesGainedTotal",2012
4,4,"Luke Donald",63,1.641,78.789,40.216,38.573,48,"StrokesGainedTotal",2012
5,5,"Justin Rose",69,1.572,83.307,90.103,-6.796,53,"StrokesGainedTotal",2012
6,6,"Bubba Watson",68,1.47,74.959,87.682,-12.723,51,"StrokesGainedTotal",2012
7,7,"Jason Dufner",83,1.436,91.882,82.108,9.774,64,"StrokesGainedTotal",2012
8,8,"Dustin Johnson",70,1.4,74.199,64.642,9.557,53,"StrokesGainedTotal",2012
9,9,"Matt Kuchar",86,1.372,90.537,65.509,25.028,66,"StrokesGainedTotal",2012
10,10,"Bo Van Pelt",84,1.362,88.547,51.089,37.458,65,"StrokesGainedTotal",2012
11,11,"Phil Mickelson",79,1.315,78.904,43.282,35.622,60,"StrokesGainedTotal",2012
12,12,"Steve Stricker",73,1.295,69.922,64.134,5.788,54,"StrokesGainedTotal",2012
13,13,"Adam Scott",59,1.164,47.709,54.033,-6.324,41,"StrokesGainedTotal",2012
14,14,"Zach Johnson",95,1.155,85.472,41.391,44.081,74,"StrokesGainedTotal",2012
15,15,"Webb Simpson",77,1.123,74.11,59.958,14.152,66,"StrokesGainedTotal",2012
16,16,"Sergio Garcia",57,1.104,48.594,29.573,19.021,44,"StrokesGainedTotal",2012
17,17,"Keegan Bradley",90,1.079,76.633,52.636,23.997,71,"StrokesGainedTotal",2012
18,18,"Jason Day",57,1.024,48.135,21.847,26.288,47,"StrokesGainedTotal",2012
19,19,"Brendon de Jonge",115,1.018,103.814,90.028,13.786,102,"StrokesGainedTotal",2012
20,20,"John Senden",81,0.979,60.718,56.137,4.581,62,"StrokesGainedTotal",2012
21,21,"Louis Oosthuizen",65,0.976,47.814,50.372,-2.558,49,"StrokesGainedTotal",2012
22,22,"Brandt Snedeker",81,0.945,61.444,5.572,55.872,65,"StrokesGainedTotal",2012
23,23,"Ryan Palmer",81,0.931,66.077,35.264,30.813,71,"StrokesGainedTotal",2012
24,24,"Jonas Blixt",72,0.926,59.285,5.61,53.675,64,"StrokesGainedTotal",2012
25,25,"Charl Schwartzel",56,0.925,36.981,34.245,2.736,40,"StrokesGainedTotal",2012
26,26,"Robert Garrigus",89,0.882,65.298,78.225,-12.927,74,"StrokesGainedTotal",2012
27,27,"Jeff Overton",101,0.876,80.604,58.576,22.028,92,"StrokesGainedTotal",2012
28,28,"Henrik Stenson",51,0.872,36.628,34.756,1.872,42,"StrokesGainedTotal",2012
29,29,"Ben Curtis",62,0.869,41.704,17.981,23.723,48,"StrokesGainedTotal",2012
30,30,"Carl Pettersson",92,0.852,68.141,30.273,37.868,80,"StrokesGainedTotal",2012
31,31,"Padraig Harrington",67,0.834,37.516,41.661,-4.145,45,"StrokesGainedTotal",2012
32,32,"Scott Piercy",95,0.807,69.432,53.193,16.239,86,"StrokesGainedTotal",2012
33,33,"Davis Love III",64,0.804,41.784,41.077,0.707,52,"StrokesGainedTotal",2012
34,34,"Lee Westwood",60,0.784,31.351,50.653,-19.302,40,"StrokesGainedTotal",2012
35,35,"Ryan Moore",89,0.768,62.199,26.577,35.622,81,"StrokesGainedTotal",2012
36,36,"Vijay Singh",99,0.7,56.682,87.189,-30.507,81,"StrokesGainedTotal",2012
37,37,"Seung Yul Noh",105,0.678,57.672,42.933,14.739,85,"StrokesGainedTotal",2012
38,38,"Pat Perez",81,0.666,45.961,38.864,7.097,69,"StrokesGainedTotal",2012
39,39,"Bud Cauley",99,0.657,59.742,52.454,7.243,91,"StrokesGainedTotal",2012
40,40,"Ernie Els",80,0.622,40.402,41.895,-1.493,65,"StrokesGainedTotal",2012
41,41,"Charles Howell III",98,0.609,46.859,42.221,4.638,77,"StrokesGainedTotal",2012
42,42,"Bill Haas",79,0.608,37.104,32.567,4.537,61,"StrokesGainedTotal",2012
43,43,"Greg Chalmers",88,0.585,43.905,11.33,32.575,75,"StrokesGainedTotal",2012
44,44,"Geoff Ogilvy",73,0.581,31.966,17.194,14.772,55,"StrokesGainedTotal",2012
45,45,"Ken Duke",104,0.565,50.824,18.741,32.083,90,"StrokesGainedTotal",2012
46,46,"Brian Davis",91,0.537,42.457,12.929,29.528,79,"StrokesGainedTotal",2012
47,47,"Ben Crane",73,0.533,33.025,2.963,30.062,62,"StrokesGainedTotal",2012
48,48,"John Huh",99,0.51,43.392,30.511,12.881,85,"StrokesGainedTotal",2012
49,49,"Martin Laird",77,0.507,27.385,19.955,7.43,54,"StrokesGainedTotal",2012
50,50,"Jonathan Byrd",69,0.506,28.341,11.799,16.542,56,"StrokesGainedTotal",2012
51,51,"Ian Poulter",57,0.501,19.022,13.759,5.263,38,"StrokesGainedTotal",2012
52,52,"Matt Every",80,0.497,31.804,25.827,5.977,64,"StrokesGainedTotal",2012
53,53,"Roberto Castro",92,0.487,36.538,30.64,5.898,75,"StrokesGainedTotal",2012
54,54,"Jimmy Walker",101,0.476,43.33,3.49,39.84,91,"StrokesGainedTotal",2012
55,55,"Nick Watney",97,0.468,35.547,36.949,-1.402,76,"StrokesGainedTotal",2012
56,56,"Hunter Mahan",88,0.447,28.607,33.863,-5.256,64,"StrokesGainedTotal",2012
57,57,"Rickie Fowler",84,0.436,28.743,42.088,-13.345,66,"StrokesGainedTotal",2012
58,58,"Will Claxton",99,0.428,36.849,50.49,-13.641,86,"StrokesGainedTotal",2012
59,59,"JB Holmes",90,0.418,32.626,34.325,-1.699,78,"StrokesGainedTotal",2012
60,60,"Kevin Na",80,0.411,26.736,13.601,13.135,65,"StrokesGainedTotal",2012
61,61,"Johnson Wagner",88,0.376,28.591,1.831,26.76,76,"StrokesGainedTotal",2012
62,62,"Kevin Stadler",85,0.374,26.172,42.54,-16.368,70,"StrokesGainedTotal",2012
63,63,"Graeme McDowell",55,0.372,14.135,23.562,-9.427,38,"StrokesGainedTotal",2012
64,64,"John Rollins",81,0.347,24.615,26.712,-2.097,71,"StrokesGainedTotal",2012
65,65,"Martin Flores",95,0.335,27.51,-24.951,52.461,82,"StrokesGainedTotal",2012
66,66,"Bob Estes",78,0.328,21.313,18.399,2.914,65,"StrokesGainedTotal",2012
67,67,"Kyle Stanley",86,0.324,22.653,77.86,-55.207,70,"StrokesGainedTotal",2012
68,68,"Sean OHair",84,0.317,24.069,45.224,-21.155,76,"StrokesGainedTotal",2012
69,69,"Billy Horschel",63,0.305,14.63,18.805,-4.175,48,"StrokesGainedTotal",2012
70,70,"Tim Clark",60,0.301,15.048,21.258,-6.21,50,"StrokesGainedTotal",2012
71,71,"Blake Adams",107,0.27,23.717,6.405,17.312,88,"StrokesGainedTotal",2012
72,72,"Cameron Tringale",88,0.265,20.404,12.16,8.244,77,"StrokesGainedTotal",2012
73,73,"KJ Choi",71,0.255,14.262,35.485,-21.223,56,"StrokesGainedTotal",2012
74,74,"Graham DeLaet",79,0.242,17.182,39.009,-21.827,71,"StrokesGainedTotal",2012
75,75,"Chad Campbell",84,0.241,17.606,48.379,-30.773,73,"StrokesGainedTotal",2012
76,76,"Tom Gillis",75,0.229,15.83,-0.825,16.655,69,"StrokesGainedTotal",2012
77,77,"Bryce Molder",83,0.228,16.16,-31.829,47.989,71,"StrokesGainedTotal",2012
78,78,"Tim Herron",88,0.227,17.267,29.861,-12.594,76,"StrokesGainedTotal",2012
79,79,"Trevor Immelman",76,0.221,12.591,19.803,-7.212,57,"StrokesGainedTotal",2012
80,80,"David Hearn",95,0.213,18.713,-6.644,25.357,88,"StrokesGainedTotal",2012
81,81,"Harris English",98,0.212,18.439,7.191,11.248,87,"StrokesGainedTotal",2012
82,82,"Greg Owen",90,0.208,16.054,49.673,-33.619,77,"StrokesGainedTotal",2012
83,83,"DA Points",88,0.198,15.847,24.099,-8.252,80,"StrokesGainedTotal",2012
84,84,"Bill Lunde",83,0.192,12.88,26.575,-13.695,67,"StrokesGainedTotal",2012
85,85,"Charlie Wi",86,0.168,12.27,-10.054,22.324,73,"StrokesGainedTotal",2012
86,86,"Chris Kirk",93,0.167,14.162,28.225,-14.063,85,"StrokesGainedTotal",2012
87,87,"Kevin Streelman",89,0.166,12.801,16.498,-3.697,77,"StrokesGainedTotal",2012
88,88,"Marc Leishman",84,0.164,12.485,37.121,-24.636,76,"StrokesGainedTotal",2012
89,89,"David Toms",60,0.162,7.143,11.804,-4.661,44,"StrokesGainedTotal",2012
90,90,"Spencer Levin",81,0.16,10.585,-11.151,21.736,66,"StrokesGainedTotal",2012
91,91,"JJ Henry",93,0.152,10.826,14.93,-4.104,71,"StrokesGainedTotal",2012
92,92,"William McGirt",96,0.146,11.541,-11.099,22.64,79,"StrokesGainedTotal",2012
93,93,"John Merrick",83,0.133,9.546,27.096,-17.55,72,"StrokesGainedTotal",2012
94,94,"Freddie Jacobson",61,0.109,4.812,12.136,-7.324,44,"StrokesGainedTotal",2012
95,95,"Brian Harman",101,0.108,9.469,-0.817,10.286,88,"StrokesGainedTotal",2012
96,96,"John Mallinger",74,0.099,6.218,13.756,-7.538,63,"StrokesGainedTotal",2012
97,97,"Brian Gay",91,0.097,7.586,-46.664,54.25,78,"StrokesGainedTotal",2012
