"Back9Par4ScoringAverage_RANKTHISWEEK_2007","Back9Par4ScoringAverage_RANKLASTWEEK_2007","Back9Par4ScoringAverage_PLAYERNAME_2007","Back9Par4ScoringAverage_ROUNDS_2007","Back9Par4ScoringAverage_AVG_2007","Back9Par4ScoringAverage_TOTALSTROKES_2007","Back9Par4ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Jay Williamson",50,3.97,1035,261,"Back9Par4ScoringAverage",2007
2,2,"Tiger Woods",63,3.99,1326,332,"Back9Par4ScoringAverage",2007
3,3,"Tommy Armour III",81,4,1700,425,"Back9Par4ScoringAverage",2007
3,3,"Freddie Jacobson",70,4,1531,383,"Back9Par4ScoringAverage",2007
3,3,"Sean OHair",98,4,2117,529,"Back9Par4ScoringAverage",2007
3,3,"Jeff Overton",60,4,1267,317,"Back9Par4ScoringAverage",2007
7,7,"DJ Brigman",67,4.01,1428,356,"Back9Par4ScoringAverage",2007
7,7,"Alex Cejka",80,4.01,1692,422,"Back9Par4ScoringAverage",2007
7,7,"Marco Dawson",73,4.01,1552,387,"Back9Par4ScoringAverage",2007
7,7,"Jim Furyk",84,4.01,1813,452,"Back9Par4ScoringAverage",2007
7,7,"Bob Heintz",85,4.01,1794,447,"Back9Par4ScoringAverage",2007
12,12,"Steve Allan",63,4.02,1342,334,"Back9Par4ScoringAverage",2007
12,12,"Ryan Armour",107,4.02,2305,573,"Back9Par4ScoringAverage",2007
12,12,"Woody Austin",95,4.02,2062,513,"Back9Par4ScoringAverage",2007
12,12,"KJ Choi",87,4.02,1855,462,"Back9Par4ScoringAverage",2007
12,12,"Gavin Coles",87,4.02,1846,459,"Back9Par4ScoringAverage",2007
12,12,"Jason Gore",86,4.02,1835,456,"Back9Par4ScoringAverage",2007
12,12,"Mathias Gronberg",95,4.02,2000,498,"Back9Par4ScoringAverage",2007
12,12,"Stephen Leaney",82,4.02,1745,434,"Back9Par4ScoringAverage",2007
12,12,"Justin Leonard",95,4.02,2084,518,"Back9Par4ScoringAverage",2007
21,21,"Brian Gay",107,4.03,2302,571,"Back9Par4ScoringAverage",2007
21,21,"Kent Jones",97,4.03,2028,503,"Back9Par4ScoringAverage",2007
21,21,"Peter Lonard",85,4.03,1847,458,"Back9Par4ScoringAverage",2007
21,21,"Jarrod Lyle",77,4.03,1648,409,"Back9Par4ScoringAverage",2007
21,21,"Joe Ogilvie",102,4.03,2193,544,"Back9Par4ScoringAverage",2007
21,21,"John Rollins",102,4.03,2208,548,"Back9Par4ScoringAverage",2007
21,21,"Rory Sabbatini",81,4.03,1750,434,"Back9Par4ScoringAverage",2007
21,21,"Adam Scott",69,4.03,1514,376,"Back9Par4ScoringAverage",2007
21,21,"Bob Tway",103,4.03,2207,547,"Back9Par4ScoringAverage",2007
21,21,"Bo Van Pelt",104,4.03,2254,560,"Back9Par4ScoringAverage",2007
21,21,"Boo Weekley",101,4.03,2234,555,"Back9Par4ScoringAverage",2007
21,21,"Mark Wilson",87,4.03,1884,467,"Back9Par4ScoringAverage",2007
33,33,"Craig Bowden",78,4.04,1627,403,"Back9Par4ScoringAverage",2007
33,33,"Michael Boyd",61,4.04,1293,320,"Back9Par4ScoringAverage",2007
33,33,"Daniel Chopra",106,4.04,2234,553,"Back9Par4ScoringAverage",2007
33,33,"Tim Clark",66,4.04,1413,350,"Back9Par4ScoringAverage",2007
33,33,"Steve Flesch",100,4.04,2167,536,"Back9Par4ScoringAverage",2007
33,33,"JP Hayes",89,4.04,1886,467,"Back9Par4ScoringAverage",2007
33,33,"JB Holmes",71,4.04,1552,384,"Back9Par4ScoringAverage",2007
33,33,"Matt Kuchar",85,4.04,1851,458,"Back9Par4ScoringAverage",2007
33,33,"Jeff Maggert",79,4.04,1739,430,"Back9Par4ScoringAverage",2007
33,33,"Ryan Moore",92,4.04,1980,490,"Back9Par4ScoringAverage",2007
33,33,"Carl Pettersson",111,4.04,2413,597,"Back9Par4ScoringAverage",2007
