"TenthTeeLateScoringAverage_RANKTHISWEEK_2016","TenthTeeLateScoringAverage_RANKLASTWEEK_2016","TenthTeeLateScoringAverage_PLAYERNAME_2016","TenthTeeLateScoringAverage_ROUNDS_2016","TenthTeeLateScoringAverage_AVG_2016","TenthTeeLateScoringAverage_TOTALSTROKES_2016","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2016","stat_name","year"
1,1,"Branden Grace",31,63,63,1,"TenthTeeLateScoringAverage",2016
2,2,"Matt Kuchar",46,66,132,2,"TenthTeeLateScoringAverage",2016
2,2,"Phil Mickelson",37,66,66,1,"TenthTeeLateScoringAverage",2016
2,2,"Jordan Spieth",34,66,66,1,"TenthTeeLateScoringAverage",2016
5,5,"Kevin Kisner",49,66.5,133,2,"TenthTeeLateScoringAverage",2016
6,6,"Rickie Fowler",42,67.5,135,2,"TenthTeeLateScoringAverage",2016
7,7,"Bill Haas",42,68,272,4,"TenthTeeLateScoringAverage",2016
7,7,"Dustin Johnson",37,68,136,2,"TenthTeeLateScoringAverage",2016
7,7,"Hideki Matsuyama",40,68,136,2,"TenthTeeLateScoringAverage",2016
7,7,"Rory McIlroy",37,68,68,1,"TenthTeeLateScoringAverage",2016
7,7,"Charl Schwartzel",29,68,68,1,"TenthTeeLateScoringAverage",2016
7,7,"Bubba Watson",30,68,68,1,"TenthTeeLateScoringAverage",2016
13,13,"Lucas Glover",53,68.11,613,9,"TenthTeeLateScoringAverage",2016
14,14,"Jimmy Walker",43,68.25,273,4,"TenthTeeLateScoringAverage",2016
15,16,"Justin Thomas",53,68.33,205,3,"TenthTeeLateScoringAverage",2016
16,18,"Gary Woodland",45,68.5,411,6,"TenthTeeLateScoringAverage",2016
17,19,"Brooks Koepka",39,68.67,206,3,"TenthTeeLateScoringAverage",2016
18,20,"Daniel Berger",52,68.8,344,5,"TenthTeeLateScoringAverage",2016
19,21,"Jonas Blixt",46,69,414,6,"TenthTeeLateScoringAverage",2016
19,16,"Jason Bohn",37,69,690,10,"TenthTeeLateScoringAverage",2016
19,21,"JB Holmes",39,69,138,2,"TenthTeeLateScoringAverage",2016
19,15,"William McGirt",54,69,552,8,"TenthTeeLateScoringAverage",2016
19,21,"Patrick Reed",53,69,207,3,"TenthTeeLateScoringAverage",2016
19,21,"Ollie Schniederjans",23,69,138,2,"TenthTeeLateScoringAverage",2016
25,25,"Kevin Chappell",49,69.11,622,9,"TenthTeeLateScoringAverage",2016
26,27,"Patton Kizzire",57,69.29,485,7,"TenthTeeLateScoringAverage",2016
27,28,"Jamie Lovemark",57,69.44,625,9,"TenthTeeLateScoringAverage",2016
28,29,"Brandt Snedeker",47,69.5,139,2,"TenthTeeLateScoringAverage",2016
28,29,"Bernd Wiesberger",23,69.5,139,2,"TenthTeeLateScoringAverage",2016
30,31,"Dawie van der Walt",48,69.54,904,13,"TenthTeeLateScoringAverage",2016
31,32,"Jason Dufner",53,69.56,626,9,"TenthTeeLateScoringAverage",2016
32,42,"Roberto Castro",55,69.57,974,14,"TenthTeeLateScoringAverage",2016
33,34,"Webb Simpson",34,69.75,279,4,"TenthTeeLateScoringAverage",2016
34,35,"Aaron Baddeley",51,69.78,628,9,"TenthTeeLateScoringAverage",2016
34,35,"Stewart Cink",45,69.78,628,9,"TenthTeeLateScoringAverage",2016
34,35,"Kevin Streelman",46,69.78,628,9,"TenthTeeLateScoringAverage",2016
37,38,"Smylie Kaufman",57,69.8,349,5,"TenthTeeLateScoringAverage",2016
37,38,"Vijay Singh",42,69.8,698,10,"TenthTeeLateScoringAverage",2016
39,41,"Harold Varner III",58,69.83,1257,18,"TenthTeeLateScoringAverage",2016
40,33,"Rob Oppenheim",37,69.86,489,7,"TenthTeeLateScoringAverage",2016
41,43,"Tony Finau",49,69.89,629,9,"TenthTeeLateScoringAverage",2016
42,45,"Charley Hoffman",49,69.9,699,10,"TenthTeeLateScoringAverage",2016
