"TenthTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2005","TenthTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2005","TenthTeeEarlyPar4ScoringAverage_PLAYERNAME_2005","TenthTeeEarlyPar4ScoringAverage_ROUNDS_2005","TenthTeeEarlyPar4ScoringAverage_AVG_2005","TenthTeeEarlyPar4ScoringAverage_TOTALSTROKES_2005","TenthTeeEarlyPar4ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Mark Calcavecchia",92,3.89,401,103,"TenthTeeEarlyPar4ScoringAverage",2005
1,1,"David Toms",87,3.89,580,149,"TenthTeeEarlyPar4ScoringAverage",2005
1,1,"Tiger Woods",76,3.89,509,131,"TenthTeeEarlyPar4ScoringAverage",2005
4,4,"Woody Austin",100,3.9,312,80,"TenthTeeEarlyPar4ScoringAverage",2005
5,5,"Arron Oberholser",65,3.92,290,74,"TenthTeeEarlyPar4ScoringAverage",2005
5,5,"Kenny Perry",82,3.92,561,143,"TenthTeeEarlyPar4ScoringAverage",2005
7,7,"Ryuji Imada",78,3.94,614,156,"TenthTeeEarlyPar4ScoringAverage",2005
8,8,"Daniel Chopra",108,3.95,718,182,"TenthTeeEarlyPar4ScoringAverage",2005
8,8,"Justin Leonard",78,3.95,474,120,"TenthTeeEarlyPar4ScoringAverage",2005
10,10,"Arjun Atwal",65,3.96,547,138,"TenthTeeEarlyPar4ScoringAverage",2005
10,10,"Luke Donald",67,3.96,479,121,"TenthTeeEarlyPar4ScoringAverage",2005
10,10,"Tim Herron",100,3.96,653,165,"TenthTeeEarlyPar4ScoringAverage",2005
10,10,"Brandt Jobe",96,3.96,745,188,"TenthTeeEarlyPar4ScoringAverage",2005
10,10,"Phil Mickelson",81,3.96,491,124,"TenthTeeEarlyPar4ScoringAverage",2005
15,15,"Richard Johnson",50,3.97,373,94,"TenthTeeEarlyPar4ScoringAverage",2005
15,15,"Shigeki Maruyama",99,3.97,909,229,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"Jim Furyk",94,3.98,502,126,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"JJ Henry",102,3.98,1087,273,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"Charles Howell III",95,3.98,728,183,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"Tom Lehman",69,3.98,418,105,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"Phillip Price",77,3.98,621,156,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"John Senden",101,3.98,807,203,"TenthTeeEarlyPar4ScoringAverage",2005
17,17,"Dean Wilson",86,3.98,745,187,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Aaron Baddeley",84,3.99,659,165,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Craig Barlow",81,3.99,731,183,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Jason Bohn",91,3.99,662,166,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Bart Bryant",91,3.99,459,115,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Marco Dawson",82,3.99,495,124,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Retief Goosen",71,3.99,371,93,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Dudley Hart",84,3.99,630,158,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"JL Lewis",98,3.99,627,157,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Davis Love III",80,3.99,566,142,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Rocco Mediate",73,3.99,694,174,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Geoff Ogilvy",97,3.99,635,159,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Tom Pernice Jr",111,3.99,738,185,"TenthTeeEarlyPar4ScoringAverage",2005
24,24,"Bob Tway",87,3.99,591,148,"TenthTeeEarlyPar4ScoringAverage",2005
37,37,"Briny Baird",98,4,1048,262,"TenthTeeEarlyPar4ScoringAverage",2005
37,37,"JP Hayes",63,4,460,115,"TenthTeeEarlyPar4ScoringAverage",2005
37,37,"Steve Lowery",100,4,564,141,"TenthTeeEarlyPar4ScoringAverage",2005
37,37,"Charlie Wi",67,4,584,146,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Alex Cejka",84,4.01,706,176,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Sergio Garcia",73,4.01,389,97,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Brent Geiberger",61,4.01,493,123,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"John Huston",90,4.01,690,172,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Zach Johnson",96,4.01,742,185,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Ryan Palmer",101,4.01,789,197,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Jesper Parnevik",84,4.01,445,111,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Pat Perez",89,4.01,562,140,"TenthTeeEarlyPar4ScoringAverage",2005
41,41,"Patrick Sheehan",114,4.01,815,203,"TenthTeeEarlyPar4ScoringAverage",2005
