"CareerMoneyLeaders_RANKTHISWEEK_2014","CareerMoneyLeaders_RANKLASTWEEK_2014","CareerMoneyLeaders_PLAYERNAME_2014","CareerMoneyLeaders__2014","CareerMoneyLeaders_MONEY_2014","stat_name","year"
1,1,"Tiger Woods",NA,109612414,"CareerMoneyLeaders",2014
2,2,"Phil Mickelson",NA,75298510,"CareerMoneyLeaders",2014
3,3,"Vijay Singh",NA,68576122,"CareerMoneyLeaders",2014
4,4,"Jim Furyk",NA,61911633,"CareerMoneyLeaders",2014
5,5,"Ernie Els",NA,47744740,"CareerMoneyLeaders",2014
6,6,"Davis Love III",NA,42796746,"CareerMoneyLeaders",2014
7,7,"Steve Stricker",NA,40674840,"CareerMoneyLeaders",2014
8,8,"David Toms",NA,40313294,"CareerMoneyLeaders",2014
9,9,"Sergio Garcia",NA,37773319,"CareerMoneyLeaders",2014
10,10,"Adam Scott",NA,37297653,"CareerMoneyLeaders",2014
11,11,"Zach Johnson",NA,33675219,"CareerMoneyLeaders",2014
12,12,"Justin Leonard",NA,33363488,"CareerMoneyLeaders",2014
13,13,"Stewart Cink",NA,32818873,"CareerMoneyLeaders",2014
14,14,"Luke Donald",NA,32242519,"CareerMoneyLeaders",2014
15,15,"Kenny Perry",NA,31980740,"CareerMoneyLeaders",2014
16,16,"Matt Kuchar",NA,31111543,"CareerMoneyLeaders",2014
17,17,"KJ Choi",NA,30025453,"CareerMoneyLeaders",2014
18,18,"Justin Rose",NA,29204533,"CareerMoneyLeaders",2014
19,19,"Stuart Appleby",NA,28774161,"CareerMoneyLeaders",2014
20,20,"Retief Goosen",NA,28667416,"CareerMoneyLeaders",2014
21,21,"Geoff Ogilvy",NA,28440710,"CareerMoneyLeaders",2014
22,22,"Mike Weir",NA,27870873,"CareerMoneyLeaders",2014
23,23,"Hunter Mahan",NA,27857040,"CareerMoneyLeaders",2014
24,24,"Rory Sabbatini",NA,27817395,"CareerMoneyLeaders",2014
25,25,"Charles Howell III",NA,27623015,"CareerMoneyLeaders",2014
26,26,"Scott Verplank",NA,27474543,"CareerMoneyLeaders",2014
27,27,"Robert Allenby",NA,27127382,"CareerMoneyLeaders",2014
28,28,"Jerry Kelly",NA,26128629,"CareerMoneyLeaders",2014
29,29,"Bubba Watson",NA,25055896,"CareerMoneyLeaders",2014
30,30,"Mark Calcavecchia",NA,24216436,"CareerMoneyLeaders",2014
31,31,"Dustin Johnson",NA,24157093,"CareerMoneyLeaders",2014
32,32,"Rory McIlroy",NA,23440098,"CareerMoneyLeaders",2014
33,33,"Brandt Snedeker",NA,23068691,"CareerMoneyLeaders",2014
34,34,"Tim Clark",NA,22803821,"CareerMoneyLeaders",2014
35,35,"Chris DiMarco",NA,22656443,"CareerMoneyLeaders",2014
36,36,"Fred Couples",NA,22595874,"CareerMoneyLeaders",2014
37,37,"Padraig Harrington",NA,22526233,"CareerMoneyLeaders",2014
38,38,"Chad Campbell",NA,22262675,"CareerMoneyLeaders",2014
39,39,"Nick Watney",NA,22123311,"CareerMoneyLeaders",2014
40,40,"Bob Estes",NA,21536179,"CareerMoneyLeaders",2014
41,41,"Tom Lehman",NA,21495878,"CareerMoneyLeaders",2014
42,42,"Carl Pettersson",NA,21227059,"CareerMoneyLeaders",2014
43,43,"Fred Funk",NA,21130324,"CareerMoneyLeaders",2014
44,44,"Nick Price",NA,20576104,"CareerMoneyLeaders",2014
45,45,"Bill Haas",NA,20416477,"CareerMoneyLeaders",2014
46,46,"Billy Mayfair",NA,20244211,"CareerMoneyLeaders",2014
47,47,"Bo Van Pelt",NA,19830885,"CareerMoneyLeaders",2014
48,48,"Stephen Ames",NA,19710547,"CareerMoneyLeaders",2014
49,49,"Jeff Maggert",NA,19364566,"CareerMoneyLeaders",2014
50,50,"Ben Crane",NA,19311408,"CareerMoneyLeaders",2014
51,51,"David Duval",NA,18947092,"CareerMoneyLeaders",2014
52,52,"John Senden",NA,18867849,"CareerMoneyLeaders",2014
53,53,"Tim Herron",NA,18781482,"CareerMoneyLeaders",2014
54,54,"Ryan Moore",NA,18566241,"CareerMoneyLeaders",2014
55,55,"Webb Simpson",NA,18542390,"CareerMoneyLeaders",2014
56,56,"Scott Hoch",NA,18530156,"CareerMoneyLeaders",2014
57,57,"Jeff Sluman",NA,18165266,"CareerMoneyLeaders",2014
58,58,"Steve Flesch",NA,18153356,"CareerMoneyLeaders",2014
59,59,"John Rollins",NA,18098041,"CareerMoneyLeaders",2014
60,60,"Brian Gay",NA,17795366,"CareerMoneyLeaders",2014
61,61,"Brad Faxon",NA,17769249,"CareerMoneyLeaders",2014
62,62,"Jason Day",NA,17617930,"CareerMoneyLeaders",2014
63,63,"Jonathan Byrd",NA,17531317,"CareerMoneyLeaders",2014
64,64,"Sean OHair",NA,17381821,"CareerMoneyLeaders",2014
65,65,"Jason Dufner",NA,17229767,"CareerMoneyLeaders",2014
66,66,"Camilo Villegas",NA,17201949,"CareerMoneyLeaders",2014
67,67,"Ryan Palmer",NA,17180814,"CareerMoneyLeaders",2014
68,68,"Aaron Baddeley",NA,16977493,"CareerMoneyLeaders",2014
69,69,"Lee Westwood",NA,16949243,"CareerMoneyLeaders",2014
70,70,"Rocco Mediate",NA,16792617,"CareerMoneyLeaders",2014
71,71,"Woody Austin",NA,16552358,"CareerMoneyLeaders",2014
72,72,"Kevin Na",NA,16417708,"CareerMoneyLeaders",2014
73,73,"Henrik Stenson",NA,16406520,"CareerMoneyLeaders",2014
74,74,"Freddie Jacobson",NA,16215614,"CareerMoneyLeaders",2014
75,75,"Corey Pavin",NA,16021370,"CareerMoneyLeaders",2014
76,76,"Lee Janzen",NA,15997139,"CareerMoneyLeaders",2014
77,77,"Ian Poulter",NA,15960790,"CareerMoneyLeaders",2014
78,78,"Lucas Glover",NA,15932963,"CareerMoneyLeaders",2014
79,79,"Bob Tway",NA,15785815,"CareerMoneyLeaders",2014
80,80,"Heath Slocum",NA,15781722,"CareerMoneyLeaders",2014
81,81,"Kevin Sutherland",NA,15658171,"CareerMoneyLeaders",2014
82,82,"Steve Elkington",NA,15505418,"CareerMoneyLeaders",2014
83,83,"Pat Perez",NA,15482655,"CareerMoneyLeaders",2014
84,84,"Jesper Parnevik",NA,15321627,"CareerMoneyLeaders",2014
85,85,"Hal Sutton",NA,15267685,"CareerMoneyLeaders",2014
86,86,"Rickie Fowler",NA,15202030,"CareerMoneyLeaders",2014
87,87,"Loren Roberts",NA,15154767,"CareerMoneyLeaders",2014
88,88,"Steve Lowery",NA,15121961,"CareerMoneyLeaders",2014
89,89,"John Huston",NA,14967146,"CareerMoneyLeaders",2014
90,90,"Tom Pernice Jr",NA,14950594,"CareerMoneyLeaders",2014
91,91,"Charley Hoffman",NA,14525757,"CareerMoneyLeaders",2014
92,92,"Greg Norman",NA,14484458,"CareerMoneyLeaders",2014
93,93,"Paul Azinger",NA,14467496,"CareerMoneyLeaders",2014
94,94,"Jay Haas",NA,14440317,"CareerMoneyLeaders",2014
95,95,"Mark OMeara",NA,14189882,"CareerMoneyLeaders",2014
96,96,"Joe Durant",NA,14181693,"CareerMoneyLeaders",2014
97,97,"Keegan Bradley",NA,14134708,"CareerMoneyLeaders",2014
98,98,"JJ Henry",NA,14108390,"CareerMoneyLeaders",2014
99,99,"Kirk Triplett",NA,14096656,"CareerMoneyLeaders",2014
100,100,"Mark Wilson",NA,14051192,"CareerMoneyLeaders",2014
101,101,"Rod Pampling",NA,13864814,"CareerMoneyLeaders",2014
102,102,"Shigeki Maruyama",NA,13809170,"CareerMoneyLeaders",2014
103,103,"Ben Curtis",NA,13708201,"CareerMoneyLeaders",2014
104,104,"Angel Cabrera",NA,13693729,"CareerMoneyLeaders",2014
105,105,"Briny Baird",NA,13251178,"CareerMoneyLeaders",2014
106,106,"JB Holmes",NA,13092209,"CareerMoneyLeaders",2014
107,107,"Jimmy Walker",NA,13085445,"CareerMoneyLeaders",2014
108,108,"Paul Goydos",NA,12782100,"CareerMoneyLeaders",2014
109,109,"John Cook",NA,12685199,"CareerMoneyLeaders",2014
110,110,"Scott McCarron",NA,12640647,"CareerMoneyLeaders",2014
111,111,"Brian Davis",NA,12610797,"CareerMoneyLeaders",2014
112,112,"Dudley Hart",NA,12606712,"CareerMoneyLeaders",2014
113,113,"Billy Andrade",NA,12494805,"CareerMoneyLeaders",2014
114,114,"Trevor Immelman",NA,12492720,"CareerMoneyLeaders",2014
115,115,"Jose Maria Olazabal",NA,12335310,"CareerMoneyLeaders",2014
116,116,"Anthony Kim",NA,12206409,"CareerMoneyLeaders",2014
117,117,"Jason Bohn",NA,12124098,"CareerMoneyLeaders",2014
118,118,"Tim Petrovic",NA,11943752,"CareerMoneyLeaders",2014
119,119,"Duffy Waldorf",NA,11902599,"CareerMoneyLeaders",2014
120,120,"Boo Weekley",NA,11834557,"CareerMoneyLeaders",2014
121,121,"Jeff Overton",NA,11818775,"CareerMoneyLeaders",2014
122,122,"Frank Lickliter II",NA,11812529,"CareerMoneyLeaders",2014
123,123,"Robert Garrigus",NA,11733098,"CareerMoneyLeaders",2014
124,124,"Vaughn Taylor",NA,11562644,"CareerMoneyLeaders",2014
125,125,"Martin Laird",NA,11528482,"CareerMoneyLeaders",2014
126,126,"Chris Riley",NA,11510983,"CareerMoneyLeaders",2014
127,127,"Graeme McDowell",NA,11433116,"CareerMoneyLeaders",2014
128,128,"Harrison Frazar",NA,11418840,"CareerMoneyLeaders",2014
129,129,"Kevin Streelman",NA,11244213,"CareerMoneyLeaders",2014
130,130,"Joey Sindelar",NA,11196462,"CareerMoneyLeaders",2014
131,131,"Tom Watson",NA,11069517,"CareerMoneyLeaders",2014
132,132,"Brett Quigley",NA,11058693,"CareerMoneyLeaders",2014
133,133,"Tom Kite",NA,11041042,"CareerMoneyLeaders",2014
134,134,"Paul Casey",NA,10701516,"CareerMoneyLeaders",2014
135,135,"Jonathan Kaye",NA,10584934,"CareerMoneyLeaders",2014
136,136,"Bernhard Langer",NA,10401961,"CareerMoneyLeaders",2014
137,137,"John Daly",NA,10153316,"CareerMoneyLeaders",2014
