"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2013","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2013","GoingfortheGreenBirdieorBetter_PLAYERNAME_2013","GoingfortheGreenBirdieorBetter_ROUNDS_2013","GoingfortheGreenBirdieorBetter_Pct_2013","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2013","GoingfortheGreenBirdieorBetter_ATTEMPTS_2013","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2013","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2013","stat_name","year"
1,1,"Steve Stricker",51,72.31,47,65,-50,-29,"GoingfortheGreenBirdieorBetter",2013
2,2,"Jin Park",52,70.21,33,47,-36,-7,"GoingfortheGreenBirdieorBetter",2013
3,3,"DH Lee",65,68.89,62,90,-67,-1,"GoingfortheGreenBirdieorBetter",2013
4,4,"Colt Knost",69,68.42,39,57,-42,-17,"GoingfortheGreenBirdieorBetter",2013
5,5,"Brandt Snedeker",79,67.01,65,97,-71,-23,"GoingfortheGreenBirdieorBetter",2013
6,6,"Harris English",95,66.26,108,163,-113,7,"GoingfortheGreenBirdieorBetter",2013
7,7,"Daniel Summerhays",83,65.44,89,136,-97,-11,"GoingfortheGreenBirdieorBetter",2013
8,8,"Keegan Bradley",88,65.43,123,188,-132,-4,"GoingfortheGreenBirdieorBetter",2013
9,9,"Graeme McDowell",53,65.38,34,52,-37,-4,"GoingfortheGreenBirdieorBetter",2013
10,10,"Tiger Woods",61,65.26,62,95,-69,-12,"GoingfortheGreenBirdieorBetter",2013
11,11,"Justin Rose",62,65.17,58,89,-61,-5,"GoingfortheGreenBirdieorBetter",2013
12,12,"Vaughn Taylor",50,64.52,40,62,-41,-12,"GoingfortheGreenBirdieorBetter",2013
13,13,"Billy Horschel",96,64.43,96,149,-97,-18,"GoingfortheGreenBirdieorBetter",2013
14,14,"Ryan Moore",72,64.42,67,104,-71,-9,"GoingfortheGreenBirdieorBetter",2013
15,15,"Jason Day",86,64.29,81,126,-88,-9,"GoingfortheGreenBirdieorBetter",2013
15,15,"Phil Mickelson",78,64.29,81,126,-86,-14,"GoingfortheGreenBirdieorBetter",2013
17,17,"Henrik Norlander",70,64.22,70,109,-73,4,"GoingfortheGreenBirdieorBetter",2013
18,18,"Luke Donald",60,64.18,43,67,-44,-19,"GoingfortheGreenBirdieorBetter",2013
19,19,"Roberto Castro",97,63.97,87,136,-94,-32,"GoingfortheGreenBirdieorBetter",2013
20,20,"Charl Schwartzel",69,63.78,81,127,-82,-6,"GoingfortheGreenBirdieorBetter",2013
21,21,"James Hahn",78,63.64,77,121,-86,-11,"GoingfortheGreenBirdieorBetter",2013
22,22,"Rory Sabbatini",86,63.58,96,151,-104,1,"GoingfortheGreenBirdieorBetter",2013
23,23,"Sergio Garcia",65,63.46,66,104,-74,-11,"GoingfortheGreenBirdieorBetter",2013
24,24,"Adam Scott",61,63.21,67,106,-71,-6,"GoingfortheGreenBirdieorBetter",2013
25,25,"David Lingmerth",68,63.1,53,84,-57,-1,"GoingfortheGreenBirdieorBetter",2013
26,26,"Charley Hoffman",84,62.66,99,158,-108,-6,"GoingfortheGreenBirdieorBetter",2013
27,27,"Martin Flores",83,62.41,88,141,-94,-8,"GoingfortheGreenBirdieorBetter",2013
27,27,"Brendan Steele",86,62.41,83,133,-87,-11,"GoingfortheGreenBirdieorBetter",2013
29,29,"Tim Clark",64,62.3,38,61,-41,-15,"GoingfortheGreenBirdieorBetter",2013
30,30,"Andres Romero",63,62.28,71,114,-74,14,"GoingfortheGreenBirdieorBetter",2013
31,31,"Ernie Els",63,62.22,56,90,-59,-4,"GoingfortheGreenBirdieorBetter",2013
32,32,"Henrik Stenson",65,62.16,69,111,-76,7,"GoingfortheGreenBirdieorBetter",2013
33,33,"Bryce Molder",82,62.12,41,66,-44,-34,"GoingfortheGreenBirdieorBetter",2013
34,34,"Rod Pampling",46,61.9,39,63,-39,4,"GoingfortheGreenBirdieorBetter",2013
35,35,"Matt Kuchar",93,61.83,81,131,-88,-27,"GoingfortheGreenBirdieorBetter",2013
36,36,"Brendon de Jonge",110,61.8,110,178,-115,-23,"GoingfortheGreenBirdieorBetter",2013
37,37,"Jim Furyk",80,61.76,42,68,-44,-36,"GoingfortheGreenBirdieorBetter",2013
37,37,"Patrick Reed",83,61.76,84,136,-93,-9,"GoingfortheGreenBirdieorBetter",2013
37,37,"Aaron Watkins",46,61.76,21,34,-22,-18,"GoingfortheGreenBirdieorBetter",2013
40,40,"Russell Henley",80,61.74,71,115,-76,-4,"GoingfortheGreenBirdieorBetter",2013
41,41,"Peter Hanson",45,61.67,37,60,-39,-4,"GoingfortheGreenBirdieorBetter",2013
42,42,"Kevin Streelman",86,61.65,82,133,-88,-9,"GoingfortheGreenBirdieorBetter",2013
43,43,"Doug LaBelle II",72,61.64,45,73,-48,-17,"GoingfortheGreenBirdieorBetter",2013
44,44,"William McGirt",75,61.4,70,114,-75,-1,"GoingfortheGreenBirdieorBetter",2013
45,45,"Stephen Ames",49,61.11,33,54,-36,-11,"GoingfortheGreenBirdieorBetter",2013
46,46,"Steven Bowditch",67,60.9,81,133,-83,0,"GoingfortheGreenBirdieorBetter",2013
47,47,"John Senden",79,60.8,76,125,-78,-2,"GoingfortheGreenBirdieorBetter",2013
48,48,"Bud Cauley",67,60.64,57,94,-60,-9,"GoingfortheGreenBirdieorBetter",2013
49,49,"Jim Herman",59,60.42,58,96,-60,5,"GoingfortheGreenBirdieorBetter",2013
50,50,"Rickie Fowler",75,60,69,115,-75,-19,"GoingfortheGreenBirdieorBetter",2013
50,50,"Scott Langley",79,60,42,70,-46,-23,"GoingfortheGreenBirdieorBetter",2013
50,50,"Brian Stuard",78,60,48,80,-50,-10,"GoingfortheGreenBirdieorBetter",2013
53,53,"Tag Ridings",69,59.8,61,102,-64,16,"GoingfortheGreenBirdieorBetter",2013
54,54,"Dustin Johnson",71,59.68,74,124,-81,-2,"GoingfortheGreenBirdieorBetter",2013
55,55,"Luke List",65,59.46,66,111,-70,3,"GoingfortheGreenBirdieorBetter",2013
56,56,"Chris Stroud",88,59.38,76,128,-78,-17,"GoingfortheGreenBirdieorBetter",2013
56,56,"Jimmy Walker",84,59.38,95,160,-100,-14,"GoingfortheGreenBirdieorBetter",2013
58,58,"Robert Karlsson",56,59.32,35,59,-38,6,"GoingfortheGreenBirdieorBetter",2013
59,59,"Michael Thompson",66,59.21,45,76,-51,-7,"GoingfortheGreenBirdieorBetter",2013
60,60,"Carl Pettersson",82,59.13,68,115,-71,-2,"GoingfortheGreenBirdieorBetter",2013
61,61,"Graham DeLaet",94,59.12,94,159,-99,-15,"GoingfortheGreenBirdieorBetter",2013
62,62,"Kevin Chappell",80,59.09,78,132,-85,0,"GoingfortheGreenBirdieorBetter",2013
62,62,"Alistair Presnell",59,59.09,39,66,-44,-7,"GoingfortheGreenBirdieorBetter",2013
64,64,"YE Yang",56,59.02,36,61,-37,1,"GoingfortheGreenBirdieorBetter",2013
65,65,"Josh Teater",86,58.91,76,129,-79,-7,"GoingfortheGreenBirdieorBetter",2013
66,66,"Fabian Gomez",65,58.89,53,90,-55,-5,"GoingfortheGreenBirdieorBetter",2013
67,67,"Jason Kokrak",78,58.75,94,160,-103,-10,"GoingfortheGreenBirdieorBetter",2013
68,68,"Scott Stallings",79,58.57,82,140,-86,2,"GoingfortheGreenBirdieorBetter",2013
69,69,"Aaron Baddeley",68,58.41,66,113,-74,-18,"GoingfortheGreenBirdieorBetter",2013
70,70,"Scott Gardiner",61,58.33,49,84,-53,8,"GoingfortheGreenBirdieorBetter",2013
