"LatePar3ScoringAverage_RANKTHISWEEK_2009","LatePar3ScoringAverage_RANKLASTWEEK_2009","LatePar3ScoringAverage_PLAYERNAME_2009","LatePar3ScoringAverage_ROUNDS_2009","LatePar3ScoringAverage_AVG_2009","LatePar3ScoringAverage_TOTALSTROKES_2009","LatePar3ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Patrick Sheehan",51,2.86,257,90,"LatePar3ScoringAverage",2009
2,2,"Jason Day",61,2.94,382,130,"LatePar3ScoringAverage",2009
2,2,"Phil Mickelson",66,2.94,368,125,"LatePar3ScoringAverage",2009
4,4,"Freddie Jacobson",83,2.95,449,152,"LatePar3ScoringAverage",2009
5,5,"Mike Weir",85,2.97,478,161,"LatePar3ScoringAverage",2009
5,5,"Tiger Woods",64,2.97,510,172,"LatePar3ScoringAverage",2009
7,7,"Cameron Beckman",87,2.98,503,169,"LatePar3ScoringAverage",2009
7,7,"Matt Weibring",65,2.98,373,125,"LatePar3ScoringAverage",2009
9,9,"Lee Janzen",74,2.99,457,153,"LatePar3ScoringAverage",2009
9,9,"Scott Sterling",51,2.99,281,94,"LatePar3ScoringAverage",2009
11,11,"Richard Johnson",85,3,450,150,"LatePar3ScoringAverage",2009
11,11,"Matt Jones",56,3,306,102,"LatePar3ScoringAverage",2009
11,11,"Matt Kuchar",82,3,607,202,"LatePar3ScoringAverage",2009
11,11,"Bryce Molder",69,3,471,157,"LatePar3ScoringAverage",2009
11,11,"DA Points",99,3,597,199,"LatePar3ScoringAverage",2009
11,11,"Chris Riley",77,3,441,147,"LatePar3ScoringAverage",2009
17,17,"Briny Baird",89,3.01,636,211,"LatePar3ScoringAverage",2009
17,17,"Mark Brooks",55,3.01,247,82,"LatePar3ScoringAverage",2009
17,17,"JJ Henry",97,3.01,562,187,"LatePar3ScoringAverage",2009
17,17,"Jeff Klauk",97,3.01,599,199,"LatePar3ScoringAverage",2009
17,17,"Ryan Moore",89,3.01,612,203,"LatePar3ScoringAverage",2009
17,17,"Brett Quigley",92,3.01,578,192,"LatePar3ScoringAverage",2009
17,17,"Kevin Stadler",65,3.01,431,143,"LatePar3ScoringAverage",2009
17,17,"Jimmy Walker",74,3.01,415,138,"LatePar3ScoringAverage",2009
17,17,"Jay Williamson",69,3.01,343,114,"LatePar3ScoringAverage",2009
17,17,"Casey Wittenberg",71,3.01,446,148,"LatePar3ScoringAverage",2009
27,27,"Kris Blanks",60,3.02,377,125,"LatePar3ScoringAverage",2009
27,27,"Brian Gay",96,3.02,523,173,"LatePar3ScoringAverage",2009
27,27,"Scott McCarron",91,3.02,480,159,"LatePar3ScoringAverage",2009
