"ScramblingRoughRTPScore_RANKTHISWEEK_2016","ScramblingRoughRTPScore_RANKLASTWEEK_2016","ScramblingRoughRTPScore_PLAYERNAME_2016","ScramblingRoughRTPScore_ROUNDS_2016","ScramblingRoughRTPScore_AVGRTP_2016","ScramblingRoughRTPScore_TOTALHOLES_2016","ScramblingRoughRTPScore_TOTALRTP_2016","stat_name","year"
1,4,"Steve Stricker",25,0.284,67,19,"ScramblingRoughRTPScore",2016
2,5,"Jerry Kelly",44,0.288,80,23,"ScramblingRoughRTPScore",2016
3,1,"Kevin Chappell",49,0.3,100,30,"ScramblingRoughRTPScore",2016
4,1,"Patrick Reed",53,0.302,96,29,"ScramblingRoughRTPScore",2016
5,7,"Brian Gay",22,0.31,58,18,"ScramblingRoughRTPScore",2016
6,7,"DA Points",32,0.311,74,23,"ScramblingRoughRTPScore",2016
7,25,"Ian Poulter",37,0.318,66,21,"ScramblingRoughRTPScore",2016
8,10,"Charl Schwartzel",29,0.326,43,14,"ScramblingRoughRTPScore",2016
9,11,"Jamie Lovemark",57,0.336,107,36,"ScramblingRoughRTPScore",2016
10,14,"Tom Hoge",47,0.337,104,35,"ScramblingRoughRTPScore",2016
11,15,"Andy Sullivan",25,0.341,44,15,"ScramblingRoughRTPScore",2016
12,21,"David Hearn",55,0.342,73,25,"ScramblingRoughRTPScore",2016
13,17,"Marc Leishman",41,0.345,58,20,"ScramblingRoughRTPScore",2016
13,6,"Brian Stuard",24,0.345,58,20,"ScramblingRoughRTPScore",2016
15,20,"Kevin Streelman",46,0.347,72,25,"ScramblingRoughRTPScore",2016
16,19,"John Huh",51,0.348,89,31,"ScramblingRoughRTPScore",2016
17,17,"Phil Mickelson",37,0.349,63,22,"ScramblingRoughRTPScore",2016
18,33,"Thomas Aiken",42,0.351,77,27,"ScramblingRoughRTPScore",2016
19,9,"James Hahn",45,0.352,88,31,"ScramblingRoughRTPScore",2016
20,21,"Chez Reavie",56,0.353,116,41,"ScramblingRoughRTPScore",2016
21,25,"Matthew Fitzpatrick",23,0.364,33,12,"ScramblingRoughRTPScore",2016
22,27,"Freddie Jacobson",54,0.365,115,42,"ScramblingRoughRTPScore",2016
23,29,"Russell Knox",48,0.367,79,29,"ScramblingRoughRTPScore",2016
24,11,"Adam Scott",39,0.368,38,14,"ScramblingRoughRTPScore",2016
25,33,"Ollie Schniederjans",23,0.371,62,23,"ScramblingRoughRTPScore",2016
26,31,"Bryce Molder",50,0.373,110,41,"ScramblingRoughRTPScore",2016
27,24,"Martin Piller",37,0.375,72,27,"ScramblingRoughRTPScore",2016
27,33,"Bernd Wiesberger",23,0.375,16,6,"ScramblingRoughRTPScore",2016
27,60,"Tim Wilkinson",40,0.375,96,36,"ScramblingRoughRTPScore",2016
30,31,"Roberto Castro",55,0.378,74,28,"ScramblingRoughRTPScore",2016
30,38,"Brandt Snedeker",47,0.378,82,31,"ScramblingRoughRTPScore",2016
32,40,"KJ Choi",47,0.379,87,33,"ScramblingRoughRTPScore",2016
32,40,"Kevin Na",52,0.379,66,25,"ScramblingRoughRTPScore",2016
34,28,"Peter Malnati",53,0.38,108,41,"ScramblingRoughRTPScore",2016
35,43,"Andrew Landry",24,0.382,55,21,"ScramblingRoughRTPScore",2016
35,43,"Justin Leonard",28,0.382,76,29,"ScramblingRoughRTPScore",2016
37,42,"Daniel Summerhays",55,0.385,122,47,"ScramblingRoughRTPScore",2016
38,51,"Fabian Gomez",49,0.386,83,32,"ScramblingRoughRTPScore",2016
38,64,"Ben Martin",48,0.386,88,34,"ScramblingRoughRTPScore",2016
40,47,"Bill Haas",42,0.388,85,33,"ScramblingRoughRTPScore",2016
41,23,"Charles Howell III",63,0.389,108,42,"ScramblingRoughRTPScore",2016
42,37,"Scott Langley",41,0.39,82,32,"ScramblingRoughRTPScore",2016
43,64,"Jason Bohn",37,0.391,69,27,"ScramblingRoughRTPScore",2016
44,3,"Rory McIlroy",37,0.393,56,22,"ScramblingRoughRTPScore",2016
44,52,"Brendon Todd",43,0.393,112,44,"ScramblingRoughRTPScore",2016
44,48,"Jimmy Walker",43,0.393,84,33,"ScramblingRoughRTPScore",2016
47,52,"Nick Taylor",57,0.395,114,45,"ScramblingRoughRTPScore",2016
48,16,"Padraig Harrington",38,0.398,83,33,"ScramblingRoughRTPScore",2016
49,55,"Shane Bertsch",30,0.4,60,24,"ScramblingRoughRTPScore",2016
49,36,"Scott Brown",59,0.4,90,36,"ScramblingRoughRTPScore",2016
49,62,"Spencer Levin",62,0.4,105,42,"ScramblingRoughRTPScore",2016
52,56,"Billy Hurley III",22,0.403,62,25,"ScramblingRoughRTPScore",2016
53,88,"Alex Cejka",47,0.404,89,36,"ScramblingRoughRTPScore",2016
53,52,"Mark Hubbard",73,0.404,151,61,"ScramblingRoughRTPScore",2016
55,78,"Rickie Fowler",42,0.409,66,27,"ScramblingRoughRTPScore",2016
56,50,"Brett Stegmaier",57,0.41,117,48,"ScramblingRoughRTPScore",2016
57,57,"Chad Collins",45,0.413,109,45,"ScramblingRoughRTPScore",2016
57,57,"Chris Stroud",52,0.413,109,45,"ScramblingRoughRTPScore",2016
59,48,"Patton Kizzire",57,0.414,128,53,"ScramblingRoughRTPScore",2016
60,30,"Steve Wheatcroft",53,0.415,130,54,"ScramblingRoughRTPScore",2016
61,71,"Martin Laird",46,0.417,103,43,"ScramblingRoughRTPScore",2016
62,71,"Abraham Ancer",26,0.419,62,26,"ScramblingRoughRTPScore",2016
63,73,"Jon Curran",55,0.422,90,38,"ScramblingRoughRTPScore",2016
64,105,"Lucas Glover",53,0.424,85,36,"ScramblingRoughRTPScore",2016
64,43,"Henrik Norlander",41,0.424,66,28,"ScramblingRoughRTPScore",2016
66,76,"Jason Kokrak",52,0.425,113,48,"ScramblingRoughRTPScore",2016
67,77,"Aaron Baddeley",51,0.427,124,53,"ScramblingRoughRTPScore",2016
68,66,"Luke Donald",49,0.429,70,30,"ScramblingRoughRTPScore",2016
68,84,"Harris English",51,0.429,77,33,"ScramblingRoughRTPScore",2016
68,61,"Jim Herman",55,0.429,91,39,"ScramblingRoughRTPScore",2016
68,84,"Colt Knost",56,0.429,98,42,"ScramblingRoughRTPScore",2016
68,67,"Ryan Moore",40,0.429,56,24,"ScramblingRoughRTPScore",2016
68,70,"Justin Rose",35,0.429,63,27,"ScramblingRoughRTPScore",2016
68,98,"Mark Wilson",42,0.429,91,39,"ScramblingRoughRTPScore",2016
75,63,"Daniel Berger",52,0.431,72,31,"ScramblingRoughRTPScore",2016
75,79,"Jamie Donaldson",28,0.431,51,22,"ScramblingRoughRTPScore",2016
75,57,"Boo Weekley",53,0.431,102,44,"ScramblingRoughRTPScore",2016
78,118,"Robert Streb",51,0.432,81,35,"ScramblingRoughRTPScore",2016
79,73,"Jonas Blixt",46,0.433,120,52,"ScramblingRoughRTPScore",2016
79,73,"Scott Stallings",46,0.433,90,39,"ScramblingRoughRTPScore",2016
81,80,"Lucas Lee",22,0.434,53,23,"ScramblingRoughRTPScore",2016
81,80,"Ryan Palmer",46,0.434,83,36,"ScramblingRoughRTPScore",2016
