"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2015","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2015","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2015","PercentageofYardagecoveredbyTeeShots_ROUNDS_2015","PercentageofYardagecoveredbyTeeShots_AVGPct_2015","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2015","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2015","stat_name","year"
1,1,"Bubba Watson",71,67.28,242154,359933,"PercentageofYardagecoveredbyTeeShots",2015
2,2,"Dustin Johnson",75,66.11,229239.5,346757,"PercentageofYardagecoveredbyTeeShots",2015
3,3,"Jason Day",75,65.67,241950.7,368424,"PercentageofYardagecoveredbyTeeShots",2015
4,4,"Patrick Rodgers",57,65.62,191276.7,291472,"PercentageofYardagecoveredbyTeeShots",2015
5,5,"JB Holmes",89,65.36,278790.8,426557,"PercentageofYardagecoveredbyTeeShots",2015
6,6,"Brooks Koepka",84,64.54,269711.2,417902,"PercentageofYardagecoveredbyTeeShots",2015
7,7,"Tony Finau",106,64.39,377619.4,586469,"PercentageofYardagecoveredbyTeeShots",2015
8,8,"Jason Kokrak",88,64.26,325624.7,506754,"PercentageofYardagecoveredbyTeeShots",2015
9,9,"Ryan Palmer",80,64.18,220817.3,344075,"PercentageofYardagecoveredbyTeeShots",2015
10,10,"Adam Scott",51,64.17,131390.6,204740,"PercentageofYardagecoveredbyTeeShots",2015
11,11,"Charlie Beljan",76,63.88,231542.4,362485,"PercentageofYardagecoveredbyTeeShots",2015
12,12,"Justin Thomas",106,63.86,389683.5,610233,"PercentageofYardagecoveredbyTeeShots",2015
13,13,"Charles Howell III",105,63.85,403482.1,631945,"PercentageofYardagecoveredbyTeeShots",2015
14,14,"Charley Hoffman",97,63.68,309812.6,486532,"PercentageofYardagecoveredbyTeeShots",2015
15,15,"Steven Bowditch",103,63.67,357924.3,562157,"PercentageofYardagecoveredbyTeeShots",2015
16,16,"Jimmy Walker",89,63.48,260824.3,410885,"PercentageofYardagecoveredbyTeeShots",2015
17,17,"Robert Garrigus",70,63.44,221330.4,348894,"PercentageofYardagecoveredbyTeeShots",2015
