"RightTendency_RANKTHISWEEK_2010","RightTendency_RANKLASTWEEK_2010","RightTendency_PLAYERNAME_2010","RightTendency_EVENTS_2010","RightTendency_Pct_2010","RightTendency_NUMBEROFTIMES_2010","RightTendency_ATTEMPTS_2010","RightTendency_AVGRTPSCORE_2010","stat_name","year"
1,1,"Rod Pampling",26,34.2,106,310,1.51,"RightTendency",2010
2,2,"Garrett Willis",24,37.1,101,272,2.67,"RightTendency",2010
3,3,"David Duval",24,37.7,117,310,1.11,"RightTendency",2010
4,4,"Dean Wilson",18,39.2,78,199,0.26,"RightTendency",2010
5,5,"Garth Mulroy",19,39.5,83,210,2.05,"RightTendency",2010
6,6,"Stuart Appleby",31,40.3,188,467,0.59,"RightTendency",2010
7,7,"Matt Kuchar",26,40.6,131,323,0.23,"RightTendency",2010
7,7,"Brett Quigley",29,40.6,180,443,1.72,"RightTendency",2010
9,9,"Retief Goosen",19,41,98,239,0.1,"RightTendency",2010
9,9,"Paul Stankowski",18,41,94,229,1.28,"RightTendency",2010
11,11,"Andrew McLardy",21,41.6,91,219,1.21,"RightTendency",2010
12,12,"Justin Bolli",23,42.8,80,187,1.38,"RightTendency",2010
13,13,"Phil Mickelson",20,43.1,155,360,0.19,"RightTendency",2010
14,14,"Ben Curtis",24,43.2,114,264,1.32,"RightTendency",2010
15,15,"Paul Casey",17,43.4,99,228,0.51,"RightTendency",2010
15,15,"Spencer Levin",31,43.4,191,440,0.99,"RightTendency",2010
17,17,"Alex Prugh",28,44.2,198,448,1.01,"RightTendency",2010
18,18,"Steve Flesch",25,44.4,131,295,0.46,"RightTendency",2010
19,19,"Kenny Perry",20,44.6,104,233,2.21,"RightTendency",2010
19,19,"Webb Simpson",31,44.6,212,475,1.08,"RightTendency",2010
21,21,"Steve Stricker",19,44.7,106,237,-0.19,"RightTendency",2010
22,22,"Michael Connell",25,44.8,167,373,1.56,"RightTendency",2010
23,23,"Chris Couch",23,45.4,119,262,1.51,"RightTendency",2010
24,24,"Brad Faxon",23,45.7,118,258,4.07,"RightTendency",2010
25,25,"Ted Purdy",30,46.3,170,367,2.65,"RightTendency",2010
25,25,"Camilo Villegas",20,46.3,138,298,1.3,"RightTendency",2010
27,27,"Michael Bradley",24,46.4,161,347,1.99,"RightTendency",2010
28,28,"Trevor Immelman",19,46.7,98,210,0.71,"RightTendency",2010
29,29,"Bill Haas",25,46.9,167,356,0.24,"RightTendency",2010
29,29,"Michael Sim",20,46.9,121,258,0.58,"RightTendency",2010
31,31,"Carl Pettersson",29,47,194,413,1.86,"RightTendency",2010
31,31,"Kevin Sutherland",25,47,159,338,0.88,"RightTendency",2010
33,33,"Brian Gay",30,47.1,138,293,0.94,"RightTendency",2010
34,34,"Alex Cejka",28,47.2,125,265,1.76,"RightTendency",2010
35,35,"JJ Henry",27,47.4,165,348,0.79,"RightTendency",2010
35,35,"Justin Rose",22,47.4,153,323,-0.46,"RightTendency",2010
37,37,"Padraig Harrington",18,47.5,121,255,0.33,"RightTendency",2010
37,37,"Ryuji Imada",28,47.5,190,400,0.89,"RightTendency",2010
37,37,"Brett Wetterich",16,47.5,135,284,0.52,"RightTendency",2010
40,40,"Jason Bohn",25,47.6,152,319,2.76,"RightTendency",2010
41,41,"Shaun Micheel",21,47.8,119,249,1.26,"RightTendency",2010
42,42,"Justin Leonard",27,47.9,147,307,1.43,"RightTendency",2010
42,42,"Roland Thatcher",26,47.9,168,351,1.19,"RightTendency",2010
44,44,"Tom Pernice Jr",22,48.2,122,253,1.72,"RightTendency",2010
45,45,"Mathias Gronberg",22,48.3,115,238,2.26,"RightTendency",2010
45,45,"Will Ma Kenzie",23,48.3,144,298,2.36,"RightTendency",2010
45,45,"Kevin Na",26,48.3,166,344,0.48,"RightTendency",2010
48,48,"Mathew Goggin",28,48.4,166,343,2.17,"RightTendency",2010
49,49,"Jim Furyk",21,48.5,113,233,1.06,"RightTendency",2010
49,49,"Jerod Turner",21,48.5,96,198,3.44,"RightTendency",2010
49,49,"Omar Uresti",27,48.5,95,196,0.74,"RightTendency",2010
52,52,"Woody Austin",29,48.6,178,366,1.74,"RightTendency",2010
52,52,"Tim Clark",24,48.6,118,243,1.61,"RightTendency",2010
54,54,"Luke Donald",20,48.7,135,277,0.59,"RightTendency",2010
54,54,"Adam Scott",20,48.7,131,269,0.38,"RightTendency",2010
56,56,"Stephen Ames",23,49,152,310,1.12,"RightTendency",2010
56,56,"Briny Baird",28,49,175,357,1.49,"RightTendency",2010
58,58,"Matt Jones",27,49.2,217,441,1.71,"RightTendency",2010
59,59,"Charles Warren",21,49.3,113,229,1.86,"RightTendency",2010
60,60,"Jonathan Byrd",26,49.4,199,403,1.66,"RightTendency",2010
60,60,"Jerry Kelly",29,49.4,167,338,2.16,"RightTendency",2010
60,60,"John Mallinger",29,49.4,121,245,1.07,"RightTendency",2010
63,63,"Bubba Watson",22,49.5,183,370,0.98,"RightTendency",2010
64,64,"Martin Flores",26,49.6,210,423,2.05,"RightTendency",2010
64,64,"JB Holmes",26,49.6,253,510,1.62,"RightTendency",2010
64,64,"DA Points",29,49.6,187,377,1.39,"RightTendency",2010
67,67,"Stewart Cink",23,49.8,156,313,1.03,"RightTendency",2010
67,67,"Jeff Maggert",28,49.8,135,271,2,"RightTendency",2010
67,67,"Brenden Pappas",24,49.8,161,323,1.8,"RightTendency",2010
70,70,"Lucas Glover",23,50,142,284,2.18,"RightTendency",2010
70,70,"Ryan Moore",24,50,131,262,0.31,"RightTendency",2010
70,70,"Jeff Quinney",29,50,159,318,2.33,"RightTendency",2010
73,73,"Nathan Green",27,50.2,209,416,2.15,"RightTendency",2010
73,73,"Kevin Stadler",28,50.2,166,331,1.87,"RightTendency",2010
75,75,"Cameron Tringale",22,50.4,119,236,2.02,"RightTendency",2010
76,76,"Richard Johnson",27,50.5,139,275,2.3,"RightTendency",2010
76,76,"Michael Letzig",27,50.5,184,364,1.85,"RightTendency",2010
78,78,"Rich Barcelo",25,50.6,170,336,2.82,"RightTendency",2010
78,78,"John Senden",30,50.6,196,387,1.22,"RightTendency",2010
78,78,"YE Yang",21,50.6,137,271,0.58,"RightTendency",2010
81,81,"Davis Love III",24,50.7,149,294,1.14,"RightTendency",2010
82,82,"Blake Adams",26,50.8,167,329,1.62,"RightTendency",2010
82,82,"Greg Kraft",22,50.8,100,197,3.2,"RightTendency",2010
82,82,"Brandt Snedeker",26,50.8,183,360,0.82,"RightTendency",2010
85,85,"Matt Bettencourt",32,50.9,192,377,1.51,"RightTendency",2010
86,86,"Pat Perez",27,51,185,363,2.38,"RightTendency",2010
87,87,"Ryan Palmer",27,51.1,207,405,0.72,"RightTendency",2010
87,87,"Vaughn Taylor",26,51.1,165,323,1.09,"RightTendency",2010
89,89,"Brent Delahoussaye",21,51.3,102,199,1.47,"RightTendency",2010
89,89,"Jeff Overton",26,51.3,215,419,1.44,"RightTendency",2010
89,89,"Boo Weekley",27,51.3,158,308,1.65,"RightTendency",2010
92,92,"Matt Every",18,51.4,128,249,1.17,"RightTendency",2010
93,93,"Chris Stroud",27,51.7,183,354,0.93,"RightTendency",2010
