"AverageDistanceofPuttsmade_RANKTHISWEEK_2011","AverageDistanceofPuttsmade_RANKLASTWEEK_2011","AverageDistanceofPuttsmade_PLAYERNAME_2011","AverageDistanceofPuttsmade_ROUNDS_2011","AverageDistanceofPuttsmade_AVG_2011","AverageDistanceofPuttsmade_TOTALDISTINCHES_2011","AverageDistanceofPuttsmade_TOTALROUNDS_2011","AverageDistanceofPuttsmade_AVGDIST_2011","AverageDistanceofPuttsmade_BESTROUND_2011","stat_name","year"
1,1,"Jason Day",76,NA,58001,59,NA,NA,"AverageDistanceofPuttsmade",2011
2,2,"Brandt Snedeker",85,NA,65553,67,NA,NA,"AverageDistanceofPuttsmade",2011
3,3,"Hunter Mahan",92,NA,74161,76,NA,NA,"AverageDistanceofPuttsmade",2011
4,4,"Graeme McDowell",50,NA,35998,37,NA,NA,"AverageDistanceofPuttsmade",2011
5,5,"Rickie Fowler",84,NA,64153,66,NA,NA,"AverageDistanceofPuttsmade",2011
6,6,"Lucas Glover",74,NA,59235,61,NA,NA,"AverageDistanceofPuttsmade",2011
6,6,"Johnson Wagner",81,NA,67980,70,NA,NA,"AverageDistanceofPuttsmade",2011
8,8,"David Toms",78,NA,56864,59,NA,NA,"AverageDistanceofPuttsmade",2011
9,9,"Matt McQuillan",59,NA,46062,48,NA,NA,"AverageDistanceofPuttsmade",2011
10,10,"Steve Marino",76,NA,59222,62,NA,NA,"AverageDistanceofPuttsmade",2011
11,11,"Ben Martin",74,NA,61752,65,NA,NA,"AverageDistanceofPuttsmade",2011
12,12,"Kevin Na",84,NA,64540,68,NA,NA,"AverageDistanceofPuttsmade",2011
13,13,"Cameron Beckman",71,NA,60563,64,NA,NA,"AverageDistanceofPuttsmade",2011
13,13,"Martin Piller",63,NA,49215,52,NA,NA,"AverageDistanceofPuttsmade",2011
15,15,"Steve Stricker",70,NA,50060,53,NA,NA,"AverageDistanceofPuttsmade",2011
16,16,"Pat Perez",76,NA,66110,70,NA,NA,"AverageDistanceofPuttsmade",2011
17,17,"Angel Cabrera",50,NA,33008,35,NA,NA,"AverageDistanceofPuttsmade",2011
18,18,"Andres Romero",77,NA,63914,68,NA,NA,"AverageDistanceofPuttsmade",2011
19,19,"Luke Donald",73,NA,48802,52,NA,NA,"AverageDistanceofPuttsmade",2011
20,20,"Fabian Gomez",84,NA,64544,69,NA,NA,"AverageDistanceofPuttsmade",2011
20,20,"Geoff Ogilvy",69,NA,50472,54,NA,NA,"AverageDistanceofPuttsmade",2011
20,20,"Will Strickler",51,NA,40212,43,NA,NA,"AverageDistanceofPuttsmade",2011
