"RightRoughTendencyRTPScore_RANKTHISWEEK_2010","RightRoughTendencyRTPScore_RANKLASTWEEK_2010","RightRoughTendencyRTPScore_PLAYERNAME_2010","RightRoughTendencyRTPScore_ROUNDS_2010","RightRoughTendencyRTPScore_RTPSCORE_2010","stat_name","year"
80,80,"Cameron Tringale",55,0.062,"RightRoughTendencyRTPScore",2010
81,81,"Vijay Singh",75,0.063,"RightRoughTendencyRTPScore",2010
82,82,"Blake Adams",84,0.065,"RightRoughTendencyRTPScore",2010
82,82,"Roland Thatcher",72,0.065,"RightRoughTendencyRTPScore",2010
84,84,"Joe Ogilvie",99,0.068,"RightRoughTendencyRTPScore",2010
84,84,"David Toms",86,0.068,"RightRoughTendencyRTPScore",2010
86,86,"Brent Delahoussaye",57,0.069,"RightRoughTendencyRTPScore",2010
87,87,"Dustin Johnson",83,0.07,"RightRoughTendencyRTPScore",2010
88,88,"Jonathan Byrd",85,0.071,"RightRoughTendencyRTPScore",2010
88,88,"DA Points",90,0.071,"RightRoughTendencyRTPScore",2010
88,88,"Jeff Quinney",91,0.071,"RightRoughTendencyRTPScore",2010
91,91,"Matt Bettencourt",91,0.072,"RightRoughTendencyRTPScore",2010
92,92,"Nicholas Thompson",88,0.074,"RightRoughTendencyRTPScore",2010
93,93,"Tom Gillis",97,0.075,"RightRoughTendencyRTPScore",2010
94,94,"Martin Flores",75,0.076,"RightRoughTendencyRTPScore",2010
95,95,"Stephen Ames",75,0.078,"RightRoughTendencyRTPScore",2010
95,95,"Scott McCarron",90,0.078,"RightRoughTendencyRTPScore",2010
95,95,"Brenden Pappas",66,0.078,"RightRoughTendencyRTPScore",2010
95,95,"Jeev Milkha Singh",59,0.078,"RightRoughTendencyRTPScore",2010
99,99,"JB Holmes",100,0.079,"RightRoughTendencyRTPScore",2010
99,99,"Vaughn Taylor",87,0.079,"RightRoughTendencyRTPScore",2010
101,101,"Matt Jones",89,0.081,"RightRoughTendencyRTPScore",2010
101,101,"Troy Matteson",84,0.081,"RightRoughTendencyRTPScore",2010
103,103,"Justin Leonard",89,0.082,"RightRoughTendencyRTPScore",2010
103,103,"Jeff Overton",89,0.082,"RightRoughTendencyRTPScore",2010
105,105,"Chris Wilson",65,0.083,"RightRoughTendencyRTPScore",2010
106,106,"Kevin Streelman",90,0.086,"RightRoughTendencyRTPScore",2010
107,107,"Justin Bolli",55,0.089,"RightRoughTendencyRTPScore",2010
108,108,"Kevin Stadler",86,0.09,"RightRoughTendencyRTPScore",2010
109,109,"Scott Verplank",74,0.091,"RightRoughTendencyRTPScore",2010
109,109,"Charlie Wi",95,0.091,"RightRoughTendencyRTPScore",2010
111,111,"Marc Leishman",87,0.092,"RightRoughTendencyRTPScore",2010
112,112,"Brendon de Jonge",114,0.093,"RightRoughTendencyRTPScore",2010
113,113,"Chris Couch",66,0.094,"RightRoughTendencyRTPScore",2010
113,113,"Scott Piercy",88,0.094,"RightRoughTendencyRTPScore",2010
115,115,"Freddie Jacobson",83,0.097,"RightRoughTendencyRTPScore",2010
116,116,"Greg Chalmers",93,0.098,"RightRoughTendencyRTPScore",2010
116,116,"Brian Davis",101,0.098,"RightRoughTendencyRTPScore",2010
116,116,"Troy Merritt",86,0.098,"RightRoughTendencyRTPScore",2010
116,116,"Ted Purdy",86,0.098,"RightRoughTendencyRTPScore",2010
116,116,"Brandt Snedeker",89,0.098,"RightRoughTendencyRTPScore",2010
121,121,"Brian Stuard",81,0.099,"RightRoughTendencyRTPScore",2010
122,122,"Henrik Bjornstad",72,0.1,"RightRoughTendencyRTPScore",2010
122,122,"Matt Every",60,0.1,"RightRoughTendencyRTPScore",2010
124,124,"Lee Janzen",77,0.101,"RightRoughTendencyRTPScore",2010
124,124,"Steve Marino",81,0.101,"RightRoughTendencyRTPScore",2010
126,126,"Chris Riley",73,0.102,"RightRoughTendencyRTPScore",2010
127,127,"Bill Lunde",79,0.103,"RightRoughTendencyRTPScore",2010
127,127,"Johnson Wagner",85,0.103,"RightRoughTendencyRTPScore",2010
129,129,"Briny Baird",87,0.104,"RightRoughTendencyRTPScore",2010
130,130,"Chad Campbell",95,0.106,"RightRoughTendencyRTPScore",2010
130,130,"Mark Wilson",87,0.106,"RightRoughTendencyRTPScore",2010
132,132,"James Nitties",92,0.108,"RightRoughTendencyRTPScore",2010
133,133,"Ben Curtis",78,0.109,"RightRoughTendencyRTPScore",2010
133,133,"Charley Hoffman",85,0.109,"RightRoughTendencyRTPScore",2010
135,135,"Alex Cejka",81,0.112,"RightRoughTendencyRTPScore",2010
136,136,"Kris Blanks",91,0.113,"RightRoughTendencyRTPScore",2010
137,137,"Paul Goydos",78,0.114,"RightRoughTendencyRTPScore",2010
137,137,"Tom Pernice Jr",74,0.114,"RightRoughTendencyRTPScore",2010
139,139,"Andres Romero",73,0.117,"RightRoughTendencyRTPScore",2010
140,140,"Richard Johnson",90,0.119,"RightRoughTendencyRTPScore",2010
140,140,"Rod Pampling",77,0.119,"RightRoughTendencyRTPScore",2010
142,142,"Joe Durant",67,0.122,"RightRoughTendencyRTPScore",2010
142,142,"Michael Letzig",84,0.122,"RightRoughTendencyRTPScore",2010
142,142,"David Lutterus",69,0.122,"RightRoughTendencyRTPScore",2010
142,142,"Rory McIlroy",54,0.122,"RightRoughTendencyRTPScore",2010
146,146,"Tim Herron",79,0.124,"RightRoughTendencyRTPScore",2010
147,147,"Michael Connell",89,0.126,"RightRoughTendencyRTPScore",2010
148,148,"Tim Petrovic",105,0.127,"RightRoughTendencyRTPScore",2010
149,149,"Tim Clark",88,0.129,"RightRoughTendencyRTPScore",2010
150,150,"Jason Dufner",87,0.132,"RightRoughTendencyRTPScore",2010
151,151,"Robert Garrigus",71,0.133,"RightRoughTendencyRTPScore",2010
152,152,"JP Hayes",79,0.135,"RightRoughTendencyRTPScore",2010
153,153,"Zach Johnson",93,0.136,"RightRoughTendencyRTPScore",2010
154,154,"Chad Collins",87,0.137,"RightRoughTendencyRTPScore",2010
155,155,"John Merrick",109,0.139,"RightRoughTendencyRTPScore",2010
156,156,"Mathias Gronberg",61,0.14,"RightRoughTendencyRTPScore",2010
156,156,"Steve Wheatcroft",74,0.14,"RightRoughTendencyRTPScore",2010
158,158,"Michael Bradley",77,0.142,"RightRoughTendencyRTPScore",2010
159,159,"Steve Lowery",67,0.143,"RightRoughTendencyRTPScore",2010
159,159,"Roger Tambellini",77,0.143,"RightRoughTendencyRTPScore",2010
