"MoneyLeaders_RANKTHISWEEK_2011","MoneyLeaders_RANKLASTWEEK_2011","MoneyLeaders_PLAYERNAME_2011","MoneyLeaders_EVENTS_2011","MoneyLeaders_MONEY_2011","MoneyLeaders_YTDVICTORIES_2011","stat_name","year"
1,1,"Luke Donald",19,6683214,2,"MoneyLeaders",2011
2,2,"Webb Simpson",26,6347353,2,"MoneyLeaders",2011
3,3,"Nick Watney",22,5290673,2,"MoneyLeaders",2011
4,4,"KJ Choi",22,4434691,1,"MoneyLeaders",2011
5,5,"Dustin Johnson",21,4309961,1,"MoneyLeaders",2011
6,6,"Matt Kuchar",24,4233920,NA,"MoneyLeaders",2011
7,7,"Bill Haas",26,4088637,1,"MoneyLeaders",2011
8,8,"Steve Stricker",19,3992785,2,"MoneyLeaders",2011
9,9,"Jason Day",21,3962647,NA,"MoneyLeaders",2011
10,10,"David Toms",23,3858090,1,"MoneyLeaders",2011
11,11,"Adam Scott",18,3764797,1,"MoneyLeaders",2011
12,12,"Phil Mickelson",21,3763488,1,"MoneyLeaders",2011
13,13,"Keegan Bradley",28,3758600,2,"MoneyLeaders",2011
14,14,"Brandt Snedeker",26,3587206,1,"MoneyLeaders",2011
15,15,"Hunter Mahan",25,3503540,NA,"MoneyLeaders",2011
16,16,"Bubba Watson",22,3477811,2,"MoneyLeaders",2011
17,17,"Gary Woodland",25,3448591,1,"MoneyLeaders",2011
18,18,"Justin Rose",23,3401420,1,"MoneyLeaders",2011
19,19,"Mark Wilson",26,3158477,2,"MoneyLeaders",2011
20,20,"Aaron Baddeley",22,3094693,1,"MoneyLeaders",2011
21,21,"Jason Dufner",23,3057860,NA,"MoneyLeaders",2011
22,22,"Jonathan Byrd",26,2938920,1,"MoneyLeaders",2011
23,23,"Martin Laird",23,2676509,1,"MoneyLeaders",2011
24,24,"Charl Schwartzel",15,2604558,1,"MoneyLeaders",2011
25,25,"Charles Howell III",30,2509223,NA,"MoneyLeaders",2011
26,26,"Freddie Jacobson",25,2488325,1,"MoneyLeaders",2011
27,27,"Rory Sabbatini",24,2420655,1,"MoneyLeaders",2011
28,28,"Vijay Singh",25,2371050,NA,"MoneyLeaders",2011
29,29,"Bo Van Pelt",27,2344546,NA,"MoneyLeaders",2011
30,30,"Kevin Na",26,2336965,1,"MoneyLeaders",2011
31,31,"Spencer Levin",31,2320038,NA,"MoneyLeaders",2011
32,32,"YE Yang",18,2314865,NA,"MoneyLeaders",2011
33,33,"John Senden",26,2294811,NA,"MoneyLeaders",2011
34,34,"Chez Reavie",27,2285067,NA,"MoneyLeaders",2011
35,35,"Tommy Gainey",34,2174191,NA,"MoneyLeaders",2011
36,36,"Rickie Fowler",24,2084681,NA,"MoneyLeaders",2011
37,37,"DA Points",26,2034156,1,"MoneyLeaders",2011
38,38,"Brendan Steele",27,1976310,1,"MoneyLeaders",2011
39,39,"Steve Marino",23,1975076,NA,"MoneyLeaders",2011
40,40,"Bryce Molder",27,1957944,1,"MoneyLeaders",2011
41,41,"Scott Stallings",28,1957162,1,"MoneyLeaders",2011
42,42,"Ryan Moore",22,1942906,NA,"MoneyLeaders",2011
43,43,"Geoff Ogilvy",21,1916994,NA,"MoneyLeaders",2011
44,44,"Zach Johnson",23,1880406,NA,"MoneyLeaders",2011
45,45,"Chris Kirk",28,1877627,1,"MoneyLeaders",2011
46,46,"Jhonattan Vegas",25,1854414,1,"MoneyLeaders",2011
47,47,"Ryan Palmer",24,1850530,NA,"MoneyLeaders",2011
48,48,"Lucas Glover",23,1823327,1,"MoneyLeaders",2011
49,49,"Robert Karlsson",18,1779815,NA,"MoneyLeaders",2011
50,50,"Ben Crane",23,1679595,1,"MoneyLeaders",2011
51,51,"Brandt Jobe",28,1629764,NA,"MoneyLeaders",2011
52,52,"Carl Pettersson",27,1540723,NA,"MoneyLeaders",2011
53,53,"Jim Furyk",26,1529690,NA,"MoneyLeaders",2011
54,54,"Sergio Garcia",16,1524091,NA,"MoneyLeaders",2011
55,55,"Kyle Stanley",28,1523657,NA,"MoneyLeaders",2011
56,56,"Robert Garrigus",26,1503923,NA,"MoneyLeaders",2011
57,57,"Sean OHair",24,1483948,1,"MoneyLeaders",2011
58,58,"Charley Hoffman",27,1462591,NA,"MoneyLeaders",2011
59,59,"George McNeill",21,1458110,NA,"MoneyLeaders",2011
60,60,"Robert Allenby",25,1452567,NA,"MoneyLeaders",2011
61,61,"Jerry Kelly",26,1451797,NA,"MoneyLeaders",2011
62,62,"JB Holmes",16,1398583,NA,"MoneyLeaders",2011
63,63,"Paul Goydos",25,1385328,NA,"MoneyLeaders",2011
64,64,"John Rollins",27,1370566,NA,"MoneyLeaders",2011
65,65,"Kris Blanks",29,1350010,NA,"MoneyLeaders",2011
66,66,"Kevin Chappell",26,1339640,NA,"MoneyLeaders",2011
67,67,"Jimmy Walker",24,1336556,NA,"MoneyLeaders",2011
68,68,"Cameron Tringale",32,1327807,NA,"MoneyLeaders",2011
69,69,"Harrison Frazar",19,1322267,1,"MoneyLeaders",2011
70,70,"Andres Romero",22,1313133,NA,"MoneyLeaders",2011
71,71,"Brian Davis",30,1308009,NA,"MoneyLeaders",2011
72,72,"Kevin Streelman",26,1300006,NA,"MoneyLeaders",2011
73,73,"Pat Perez",24,1295253,NA,"MoneyLeaders",2011
74,74,"Jeff Overton",26,1290962,NA,"MoneyLeaders",2011
75,75,"Scott Piercy",23,1250957,1,"MoneyLeaders",2011
76,76,"Brendon de Jonge",30,1241326,NA,"MoneyLeaders",2011
77,77,"Camilo Villegas",25,1231918,NA,"MoneyLeaders",2011
78,78,"Johnson Wagner",25,1224556,1,"MoneyLeaders",2011
79,79,"Scott Verplank",15,1194178,NA,"MoneyLeaders",2011
80,80,"Charlie Wi",25,1188494,NA,"MoneyLeaders",2011
81,81,"Trevor Immelman",25,1165604,NA,"MoneyLeaders",2011
82,82,"Brian Gay",26,1157525,NA,"MoneyLeaders",2011
83,83,"Chad Campbell",29,1104024,NA,"MoneyLeaders",2011
84,84,"Blake Adams",34,1100558,NA,"MoneyLeaders",2011
85,85,"Chris Stroud",28,1096499,NA,"MoneyLeaders",2011
86,86,"Graeme McDowell",16,1088898,NA,"MoneyLeaders",2011
87,87,"Anthony Kim",26,1085846,NA,"MoneyLeaders",2011
88,88,"Davis Love III",22,1056300,NA,"MoneyLeaders",2011
89,89,"Hunter Haas",30,1039987,NA,"MoneyLeaders",2011
90,90,"Ryuji Imada",29,990319,NA,"MoneyLeaders",2011
91,91,"Justin Leonard",26,952962,NA,"MoneyLeaders",2011
92,92,"Ricky Barnes",23,951587,NA,"MoneyLeaders",2011
93,93,"Ernie Els",21,948872,NA,"MoneyLeaders",2011
94,94,"Troy Matteson",28,946989,NA,"MoneyLeaders",2011
95,95,"Briny Baird",19,942286,NA,"MoneyLeaders",2011
96,96,"Nick OHern",29,940224,NA,"MoneyLeaders",2011
97,97,"Michael Bradley",24,935934,1,"MoneyLeaders",2011
98,98,"Michael Thompson",25,935265,NA,"MoneyLeaders",2011
99,99,"Chris Couch",21,922496,NA,"MoneyLeaders",2011
100,100,"Marc Leishman",27,916330,NA,"MoneyLeaders",2011
101,101,"Stewart Cink",22,909162,NA,"MoneyLeaders",2011
102,102,"Tim Herron",28,909135,NA,"MoneyLeaders",2011
103,103,"JJ Henry",28,873377,NA,"MoneyLeaders",2011
104,104,"David Hearn",26,869072,NA,"MoneyLeaders",2011
105,105,"Greg Chalmers",28,832191,NA,"MoneyLeaders",2011
106,106,"Tom Gillis",19,814147,NA,"MoneyLeaders",2011
107,107,"Padraig Harrington",18,802839,NA,"MoneyLeaders",2011
108,108,"Retief Goosen",16,796360,NA,"MoneyLeaders",2011
109,109,"Billy Mayfair",29,780578,NA,"MoneyLeaders",2011
110,110,"Josh Teater",31,769324,NA,"MoneyLeaders",2011
111,111,"Kevin Stadler",27,768172,NA,"MoneyLeaders",2011
112,112,"Heath Slocum",29,767216,NA,"MoneyLeaders",2011
113,113,"Chris DiMarco",31,761932,NA,"MoneyLeaders",2011
114,114,"James Driscoll",24,741010,NA,"MoneyLeaders",2011
115,115,"Ian Poulter",16,739926,NA,"MoneyLeaders",2011
116,116,"Joe Ogilvie",24,726866,NA,"MoneyLeaders",2011
117,117,"Louis Oosthuizen",15,717965,NA,"MoneyLeaders",2011
118,118,"David Mathis",25,715404,NA,"MoneyLeaders",2011
119,119,"John Merrick",21,704789,NA,"MoneyLeaders",2011
120,120,"Sung Kang",21,702382,NA,"MoneyLeaders",2011
121,121,"Tom Pernice Jr",12,694981,NA,"MoneyLeaders",2011
122,122,"Matt Bettencourt",30,692545,NA,"MoneyLeaders",2011
123,123,"Arjun Atwal",29,690237,NA,"MoneyLeaders",2011
124,124,"Rod Pampling",21,668768,NA,"MoneyLeaders",2011
125,125,"DJ Trahan",30,668166,NA,"MoneyLeaders",2011
126,126,"Bobby Gates",29,666735,NA,"MoneyLeaders",2011
127,127,"Roland Thatcher",22,666371,NA,"MoneyLeaders",2011
128,128,"Tiger Woods",9,660238,NA,"MoneyLeaders",2011
129,129,"Stuart Appleby",24,657150,NA,"MoneyLeaders",2011
130,130,"Bill Lunde",28,639548,NA,"MoneyLeaders",2011
131,131,"Angel Cabrera",17,628079,NA,"MoneyLeaders",2011
132,132,"Steven Bowditch",28,621378,NA,"MoneyLeaders",2011
133,133,"Matt Jones",25,602392,NA,"MoneyLeaders",2011
134,134,"Steve Flesch",27,594622,NA,"MoneyLeaders",2011
135,135,"Bob Estes",12,594104,NA,"MoneyLeaders",2011
136,136,"Paul Casey",15,590386,NA,"MoneyLeaders",2011
137,137,"Matt McQuillan",21,582933,NA,"MoneyLeaders",2011
138,138,"Tim Clark",4,571000,NA,"MoneyLeaders",2011
139,139,"Stephen Ames",22,547589,NA,"MoneyLeaders",2011
140,140,"Billy Horschel",25,533024,NA,"MoneyLeaders",2011
141,141,"William McGirt",32,532933,NA,"MoneyLeaders",2011
142,142,"Garrett Willis",24,526390,NA,"MoneyLeaders",2011
143,143,"Shane Bertsch",20,488584,NA,"MoneyLeaders",2011
144,144,"Cameron Beckman",25,455085,NA,"MoneyLeaders",2011
145,145,"Scott McCarron",22,436270,NA,"MoneyLeaders",2011
146,146,"Tim Petrovic",29,428011,NA,"MoneyLeaders",2011
147,147,"Zack Miller",30,427341,NA,"MoneyLeaders",2011
148,148,"Vaughn Taylor",27,423907,NA,"MoneyLeaders",2011
149,149,"Ben Curtis",23,423466,NA,"MoneyLeaders",2011
150,150,"Jason Bohn",22,411943,NA,"MoneyLeaders",2011
151,151,"Dean Wilson",22,401314,NA,"MoneyLeaders",2011
152,152,"David Duval",24,400654,NA,"MoneyLeaders",2011
153,153,"Michael Putnam",21,398400,NA,"MoneyLeaders",2011
154,154,"Chris Riley",25,397204,NA,"MoneyLeaders",2011
