"Front9ScoringAverage_RANKTHISWEEK_2013","Front9ScoringAverage_RANKLASTWEEK_2013","Front9ScoringAverage_PLAYERNAME_2013","Front9ScoringAverage_ROUNDS_2013","Front9ScoringAverage_AVG_2013","Front9ScoringAverage_TOTALSTROKES_2013","Front9ScoringAverage_TOTALHOLES_2013","stat_name","year"
1,1,"Chris Kirk",89,34.51,3071,89,"Front9ScoringAverage",2013
2,2,"Tiger Woods",61,34.63,2078,60,"Front9ScoringAverage",2013
3,3,"Keegan Bradley",88,34.66,3015,87,"Front9ScoringAverage",2013
4,4,"Bryce Molder",82,34.8,2784,80,"Front9ScoringAverage",2013
4,4,"Kevin Stadler",83,34.8,2749,79,"Front9ScoringAverage",2013
6,6,"Justin Rose",62,34.83,2090,60,"Front9ScoringAverage",2013
6,6,"Henrik Stenson",65,34.83,2229,64,"Front9ScoringAverage",2013
8,8,"Steve Stricker",51,34.85,1638,47,"Front9ScoringAverage",2013
9,9,"Sergio Garcia",65,34.89,2198,63,"Front9ScoringAverage",2013
10,10,"Jordan Spieth",82,34.9,2862,82,"Front9ScoringAverage",2013
11,11,"Charles Howell III",87,34.92,2968,85,"Front9ScoringAverage",2013
11,11,"Brandt Snedeker",79,34.92,2759,79,"Front9ScoringAverage",2013
13,13,"Matt Jones",83,34.93,2899,83,"Front9ScoringAverage",2013
14,14,"Zach Johnson",84,34.98,2903,83,"Front9ScoringAverage",2013
15,15,"James Hahn",78,34.99,2589,74,"Front9ScoringAverage",2013
16,16,"Matt Kuchar",93,35.01,3046,87,"Front9ScoringAverage",2013
17,17,"Jim Furyk",80,35.04,2733,78,"Front9ScoringAverage",2013
18,18,"Roberto Castro",97,35.05,3400,97,"Front9ScoringAverage",2013
18,18,"Jason Dufner",78,35.05,2699,77,"Front9ScoringAverage",2013
20,20,"Brendon de Jonge",110,35.06,3857,110,"Front9ScoringAverage",2013
20,20,"Jimmy Walker",84,35.06,2945,84,"Front9ScoringAverage",2013
22,22,"Rory Sabbatini",86,35.07,2876,82,"Front9ScoringAverage",2013
23,23,"Jerry Kelly",75,35.08,2631,75,"Front9ScoringAverage",2013
24,24,"Bill Haas",85,35.11,2949,84,"Front9ScoringAverage",2013
25,25,"Ben Crane",62,35.12,2037,58,"Front9ScoringAverage",2013
25,25,"Jeff Overton",78,35.12,2739,78,"Front9ScoringAverage",2013
27,27,"Morgan Hoffmann",64,35.13,2248,64,"Front9ScoringAverage",2013
27,27,"Charl Schwartzel",69,35.13,2389,68,"Front9ScoringAverage",2013
27,27,"Robert Streb",75,35.13,2494,71,"Front9ScoringAverage",2013
30,30,"Brad Fritsch",81,35.14,2706,77,"Front9ScoringAverage",2013
30,30,"Justin Leonard",86,35.14,3022,86,"Front9ScoringAverage",2013
32,32,"Brian Davis",91,35.15,3199,91,"Front9ScoringAverage",2013
32,32,"Graham DeLaet",94,35.15,3304,94,"Front9ScoringAverage",2013
32,32,"Chris Stroud",88,35.15,3093,88,"Front9ScoringAverage",2013
35,35,"Phil Mickelson",78,35.17,2743,78,"Front9ScoringAverage",2013
35,35,"Daniel Summerhays",83,35.17,2919,83,"Front9ScoringAverage",2013
37,37,"Jason Day",86,35.18,2814,80,"Front9ScoringAverage",2013
37,37,"Charley Hoffman",84,35.18,2955,84,"Front9ScoringAverage",2013
37,37,"Webb Simpson",92,35.18,3096,88,"Front9ScoringAverage",2013
40,40,"George McNeill",68,35.19,2393,68,"Front9ScoringAverage",2013
41,41,"Ricky Barnes",74,35.2,2464,70,"Front9ScoringAverage",2013
42,42,"William McGirt",75,35.21,2641,75,"Front9ScoringAverage",2013
42,42,"Dicky Pride",71,35.21,2359,67,"Front9ScoringAverage",2013
44,44,"Jason Bohn",70,35.23,2466,70,"Front9ScoringAverage",2013
44,44,"Tim Clark",64,35.23,2149,61,"Front9ScoringAverage",2013
46,46,"Martin Flores",83,35.24,2925,83,"Front9ScoringAverage",2013
47,47,"Freddie Jacobson",63,35.25,2115,60,"Front9ScoringAverage",2013
47,47,"Chez Reavie",72,35.25,2538,72,"Front9ScoringAverage",2013
47,47,"Cameron Tringale",80,35.25,2820,80,"Front9ScoringAverage",2013
50,50,"Bob Estes",66,35.26,2327,66,"Front9ScoringAverage",2013
50,50,"David Hearn",88,35.26,3103,88,"Front9ScoringAverage",2013
52,52,"Erik Compton",74,35.27,2610,74,"Front9ScoringAverage",2013
53,53,"Harris English",95,35.28,3352,95,"Front9ScoringAverage",2013
53,53,"DJ Trahan",48,35.28,1623,46,"Front9ScoringAverage",2013
53,53,"Boo Weekley",100,35.28,3528,100,"Front9ScoringAverage",2013
56,56,"Stephen Ames",49,35.29,1729,49,"Front9ScoringAverage",2013
56,56,"Steven Bowditch",67,35.29,2294,65,"Front9ScoringAverage",2013
56,56,"Russell Henley",80,35.29,2753,78,"Front9ScoringAverage",2013
56,56,"Jason Kokrak",78,35.29,2753,78,"Front9ScoringAverage",2013
56,56,"Jeff Maggert",63,35.29,2223,63,"Front9ScoringAverage",2013
56,56,"Scott Stallings",79,35.29,2788,79,"Front9ScoringAverage",2013
56,56,"Bubba Watson",76,35.29,2576,73,"Front9ScoringAverage",2013
56,56,"Mark Wilson",56,35.29,1835,52,"Front9ScoringAverage",2013
64,64,"John Merrick",79,35.3,2789,79,"Front9ScoringAverage",2013
64,64,"Pat Perez",69,35.3,2436,69,"Front9ScoringAverage",2013
66,66,"Luke Donald",60,35.31,2048,58,"Front9ScoringAverage",2013
66,66,"Brian Stuard",78,35.31,2613,74,"Front9ScoringAverage",2013
68,68,"Tom Gillis",69,35.32,2296,65,"Front9ScoringAverage",2013
69,69,"Matt Every",89,35.33,3144,89,"Front9ScoringAverage",2013
69,69,"Doug LaBelle II",72,35.33,2473,70,"Front9ScoringAverage",2013
69,69,"Hunter Mahan",91,35.33,3003,85,"Front9ScoringAverage",2013
69,69,"Ryan Palmer",79,35.33,2791,79,"Front9ScoringAverage",2013
69,69,"Camilo Villegas",79,35.33,2650,75,"Front9ScoringAverage",2013
69,69,"Nick Watney",88,35.33,3038,86,"Front9ScoringAverage",2013
75,75,"Chad Campbell",78,35.34,2686,76,"Front9ScoringAverage",2013
75,75,"Scott Gardiner",61,35.34,2085,59,"Front9ScoringAverage",2013
75,75,"Fabian Gomez",65,35.34,2297,65,"Front9ScoringAverage",2013
75,75,"Richard Lee",81,35.34,2721,77,"Front9ScoringAverage",2013
75,75,"Nicholas Thompson",99,35.34,3499,99,"Front9ScoringAverage",2013
80,80,"Brian Gay",79,35.35,2793,79,"Front9ScoringAverage",2013
80,80,"Jim Herman",59,35.35,1944,55,"Front9ScoringAverage",2013
82,82,"Cameron Percy",68,35.36,2334,66,"Front9ScoringAverage",2013
82,82,"Patrick Reed",83,35.36,2935,83,"Front9ScoringAverage",2013
82,82,"Kevin Streelman",86,35.36,3041,86,"Front9ScoringAverage",2013
