"LateScoringAverage_RANKTHISWEEK_2011","LateScoringAverage_RANKLASTWEEK_2011","LateScoringAverage_PLAYERNAME_2011","LateScoringAverage_ROUNDS_2011","LateScoringAverage_AVG_2011","LateScoringAverage_TOTALSTROKES_2011","LateScoringAverage_TOTALLATEROUNDS_2011","stat_name","year"
1,1,"Webb Simpson",98,69.05,4281,62,"LateScoringAverage",2011
2,2,"Luke Donald",73,69.17,2905,42,"LateScoringAverage",2011
3,3,"Matt Kuchar",94,69.56,3756,54,"LateScoringAverage",2011
4,4,"Nick Watney",80,69.65,3343,48,"LateScoringAverage",2011
5,5,"Steve Stricker",70,69.66,3274,47,"LateScoringAverage",2011
6,6,"Aaron Baddeley",77,69.69,3136,45,"LateScoringAverage",2011
7,7,"JB Holmes",57,69.7,1882,27,"LateScoringAverage",2011
8,8,"Jason Day",76,69.84,2654,38,"LateScoringAverage",2011
9,9,"Hunter Mahan",92,69.85,3283,47,"LateScoringAverage",2011
10,10,"Bryce Molder",82,69.93,3147,45,"LateScoringAverage",2011
11,11,"David Toms",78,70.05,2802,40,"LateScoringAverage",2011
12,12,"Charles Howell III",108,70.06,4484,64,"LateScoringAverage",2011
13,13,"Robert Karlsson",61,70.07,2032,29,"LateScoringAverage",2011
13,13,"Martin Laird",77,70.07,2943,42,"LateScoringAverage",2011
15,15,"Adam Scott",60,70.08,2663,38,"LateScoringAverage",2011
16,16,"Jimmy Walker",79,70.11,2594,37,"LateScoringAverage",2011
17,17,"Carl Pettersson",95,70.15,3227,46,"LateScoringAverage",2011
18,18,"George McNeill",69,70.18,2316,33,"LateScoringAverage",2011
19,19,"KJ Choi",77,70.19,2948,42,"LateScoringAverage",2011
20,20,"Freddie Jacobson",92,70.2,3440,49,"LateScoringAverage",2011
21,21,"Andres Romero",77,70.21,2668,38,"LateScoringAverage",2011
22,22,"Tommy Gainey",104,70.22,3862,55,"LateScoringAverage",2011
22,22,"Bill Haas",93,70.22,3581,51,"LateScoringAverage",2011
22,22,"Zach Johnson",79,70.22,2598,37,"LateScoringAverage",2011
25,25,"Kevin Stadler",88,70.26,2951,42,"LateScoringAverage",2011
26,26,"Jerry Kelly",85,70.27,3092,44,"LateScoringAverage",2011
27,27,"Briny Baird",60,70.29,1968,28,"LateScoringAverage",2011
27,27,"Chris Couch",73,70.29,2460,35,"LateScoringAverage",2011
29,29,"Jim Furyk",87,70.35,3588,51,"LateScoringAverage",2011
30,30,"Jason Dufner",78,70.4,3027,43,"LateScoringAverage",2011
30,30,"John Rollins",85,70.4,2957,42,"LateScoringAverage",2011
32,32,"Phil Mickelson",79,70.41,2746,39,"LateScoringAverage",2011
33,33,"Gary Woodland",93,70.42,3873,55,"LateScoringAverage",2011
34,34,"John Merrick",71,70.45,2677,38,"LateScoringAverage",2011
34,34,"Geoff Ogilvy",69,70.45,2184,31,"LateScoringAverage",2011
36,36,"Jonathan Byrd",83,70.47,2678,38,"LateScoringAverage",2011
36,36,"Chris Kirk",87,70.47,3030,43,"LateScoringAverage",2011
38,38,"Brandt Jobe",100,70.48,3524,50,"LateScoringAverage",2011
38,38,"Spencer Levin",113,70.48,4299,61,"LateScoringAverage",2011
40,40,"Bill Lunde",92,70.49,2890,41,"LateScoringAverage",2011
40,40,"Bo Van Pelt",92,70.49,3313,47,"LateScoringAverage",2011
42,42,"Kris Blanks",92,70.5,3243,46,"LateScoringAverage",2011
42,42,"Steve Marino",76,70.5,2820,40,"LateScoringAverage",2011
42,42,"Aron Price",58,70.5,1974,28,"LateScoringAverage",2011
42,42,"Chez Reavie",92,70.5,3102,44,"LateScoringAverage",2011
46,46,"Brandt Snedeker",85,70.51,3455,49,"LateScoringAverage",2011
46,46,"Kyle Stanley",98,70.51,3314,47,"LateScoringAverage",2011
48,48,"Brendon de Jonge",105,70.53,3879,55,"LateScoringAverage",2011
48,48,"Ryan Moore",79,70.53,2680,38,"LateScoringAverage",2011
50,50,"Greg Chalmers",88,70.54,2892,41,"LateScoringAverage",2011
