"OnePuttPercentageRound1_RANKTHISWEEK_2006","OnePuttPercentageRound1_RANKLASTWEEK_2006","OnePuttPercentageRound1_PLAYERNAME_2006","OnePuttPercentageRound1_ROUNDS_2006","OnePuttPercentageRound1_Pct_2006","OnePuttPercentageRound1_OF1PUTTS_2006","OnePuttPercentageRound1_OFHOLES_2006","stat_name","year"
1,1,"David Howell",52,44.44,96,216,"OnePuttPercentageRound1",2006
1,1,"Steve Stricker",64,44.44,128,288,"OnePuttPercentageRound1",2006
3,3,"Nathan Green",108,44.06,230,522,"OnePuttPercentageRound1",2006
4,4,"Daniel Chopra",110,43.75,252,576,"OnePuttPercentageRound1",2006
5,5,"Doug Barron",74,43.62,212,486,"OnePuttPercentageRound1",2006
6,6,"Mark OMeara",52,43.46,133,306,"OnePuttPercentageRound1",2006
7,7,"Ryan Moore",68,43.39,164,378,"OnePuttPercentageRound1",2006
8,8,"Lucas Glover",105,43.3,226,522,"OnePuttPercentageRound1",2006
9,9,"Aaron Baddeley",78,43.06,186,432,"OnePuttPercentageRound1",2006
9,9,"Harrison Frazar",95,43.06,217,504,"OnePuttPercentageRound1",2006
11,11,"David Duval",71,42.51,176,414,"OnePuttPercentageRound1",2006
12,12,"Brian Gay",107,42.47,237,558,"OnePuttPercentageRound1",2006
13,13,"John Huston",74,42.36,183,432,"OnePuttPercentageRound1",2006
14,14,"Robert Damron",91,42.29,236,558,"OnePuttPercentageRound1",2006
15,15,"Greg Chalmers",71,42.18,205,486,"OnePuttPercentageRound1",2006
16,16,"Skip Kendall",72,42.17,167,396,"OnePuttPercentageRound1",2006
17,17,"Olin Browne",108,42.15,220,522,"OnePuttPercentageRound1",2006
18,18,"Ernie Els",69,42.01,121,288,"OnePuttPercentageRound1",2006
19,19,"Paul Azinger",87,41.95,219,522,"OnePuttPercentageRound1",2006
20,20,"Tim Clark",80,41.8,158,378,"OnePuttPercentageRound1",2006
21,21,"Alex Aragon",63,41.78,188,450,"OnePuttPercentageRound1",2006
22,22,"Padraig Harrington",54,41.67,105,252,"OnePuttPercentageRound1",2006
22,22,"Bob Tway",81,41.67,180,432,"OnePuttPercentageRound1",2006
24,24,"DA Points",82,41.56,202,486,"OnePuttPercentageRound1",2006
25,25,"Mike Weir",88,41.55,172,414,"OnePuttPercentageRound1",2006
26,26,"Davis Love III",85,41.53,157,378,"OnePuttPercentageRound1",2006
27,27,"Phil Mickelson",74,41.5,127,306,"OnePuttPercentageRound1",2006
27,27,"Kirk Triplett",58,41.5,127,306,"OnePuttPercentageRound1",2006
29,29,"Hidemichi Tanaka",74,41.48,224,540,"OnePuttPercentageRound1",2006
30,30,"Ben Crane",85,41.44,179,432,"OnePuttPercentageRound1",2006
31,31,"Danny Ellis",68,41.41,164,396,"OnePuttPercentageRound1",2006
32,32,"Peter Lonard",77,41.27,156,378,"OnePuttPercentageRound1",2006
33,33,"Dean Wilson",115,41.25,245,594,"OnePuttPercentageRound1",2006
34,34,"Vijay Singh",103,41.24,193,468,"OnePuttPercentageRound1",2006
35,35,"Len Mattiace",59,41.16,163,396,"OnePuttPercentageRound1",2006
36,36,"Brent Geiberger",99,41,214,522,"OnePuttPercentageRound1",2006
37,37,"Stewart Cink",93,40.97,177,432,"OnePuttPercentageRound1",2006
37,37,"Jesper Parnevik",84,40.97,177,432,"OnePuttPercentageRound1",2006
39,39,"Marco Dawson",87,40.95,199,486,"OnePuttPercentageRound1",2006
40,40,"Geoff Ogilvy",76,40.94,140,342,"OnePuttPercentageRound1",2006
41,41,"Kent Jones",103,40.86,228,558,"OnePuttPercentageRound1",2006
42,42,"Jim Furyk",89,40.82,169,414,"OnePuttPercentageRound1",2006
43,43,"Brad Faxon",78,40.81,191,468,"OnePuttPercentageRound1",2006
44,44,"Jeff Sluman",101,40.8,213,522,"OnePuttPercentageRound1",2006
45,45,"Fred Funk",106,40.67,205,504,"OnePuttPercentageRound1",2006
45,45,"Lee Janzen",79,40.67,205,504,"OnePuttPercentageRound1",2006
45,45,"Bubba Watson",83,40.67,183,450,"OnePuttPercentageRound1",2006
48,48,"Rod Pampling",89,40.66,161,396,"OnePuttPercentageRound1",2006
49,49,"Retief Goosen",68,40.63,117,288,"OnePuttPercentageRound1",2006
50,50,"Chris Riley",86,40.6,190,468,"OnePuttPercentageRound1",2006
51,51,"David Toms",76,40.56,146,360,"OnePuttPercentageRound1",2006
51,51,"Jimmy Walker",60,40.56,146,360,"OnePuttPercentageRound1",2006
53,53,"Bo Van Pelt",102,40.48,204,504,"OnePuttPercentageRound1",2006
54,54,"Shane Bertsch",104,40.45,233,576,"OnePuttPercentageRound1",2006
55,55,"Rory Sabbatini",84,40.34,167,414,"OnePuttPercentageRound1",2006
56,56,"Shigeki Maruyama",94,40.23,210,522,"OnePuttPercentageRound1",2006
57,57,"Zach Johnson",98,40.22,181,450,"OnePuttPercentageRound1",2006
58,58,"Vaughn Taylor",88,40.17,188,468,"OnePuttPercentageRound1",2006
59,59,"Woody Austin",107,40.14,224,558,"OnePuttPercentageRound1",2006
60,60,"Arjun Atwal",97,40.1,231,576,"OnePuttPercentageRound1",2006
61,61,"Robert Allenby",79,39.95,151,378,"OnePuttPercentageRound1",2006
62,62,"John Rollins",93,39.92,194,486,"OnePuttPercentageRound1",2006
63,63,"Billy Andrade",78,39.86,165,414,"OnePuttPercentageRound1",2006
63,63,"Mark Wilson",79,39.86,165,414,"OnePuttPercentageRound1",2006
65,65,"Michael Allen",84,39.78,179,450,"OnePuttPercentageRound1",2006
66,66,"Jonathan Byrd",66,39.72,143,360,"OnePuttPercentageRound1",2006
67,67,"Dudley Hart",83,39.71,193,486,"OnePuttPercentageRound1",2006
68,68,"Todd Hamilton",72,39.51,192,486,"OnePuttPercentageRound1",2006
69,69,"Nick Watney",97,39.48,199,504,"OnePuttPercentageRound1",2006
70,70,"Billy Mayfair",94,39.46,206,522,"OnePuttPercentageRound1",2006
71,71,"Bob May",65,39.44,142,360,"OnePuttPercentageRound1",2006
72,72,"Jason Gore",86,39.29,198,504,"OnePuttPercentageRound1",2006
73,73,"Henrik Bjornstad",97,39.26,212,540,"OnePuttPercentageRound1",2006
74,74,"Pat Perez",50,39.24,113,288,"OnePuttPercentageRound1",2006
75,75,"Luke Donald",66,39.22,120,306,"OnePuttPercentageRound1",2006
75,75,"JL Lewis",57,39.22,120,306,"OnePuttPercentageRound1",2006
77,77,"JP Hayes",55,39.18,134,342,"OnePuttPercentageRound1",2006
78,78,"Paul Goydos",72,39.12,169,432,"OnePuttPercentageRound1",2006
79,79,"Todd Fischer",101,39.05,239,612,"OnePuttPercentageRound1",2006
80,80,"John Daly",51,38.89,140,360,"OnePuttPercentageRound1",2006
80,80,"Sergio Garcia",59,38.89,112,288,"OnePuttPercentageRound1",2006
80,80,"David McKenzie",82,38.89,189,486,"OnePuttPercentageRound1",2006
80,80,"Arron Oberholser",82,38.89,147,378,"OnePuttPercentageRound1",2006
80,80,"Corey Pavin",74,38.89,154,396,"OnePuttPercentageRound1",2006
80,80,"Adam Scott",70,38.89,126,324,"OnePuttPercentageRound1",2006
80,80,"Brett Wetterich",82,38.89,175,450,"OnePuttPercentageRound1",2006
87,87,"Steve Flesch",119,38.72,223,576,"OnePuttPercentageRound1",2006
88,88,"DJ Trahan",92,38.71,216,558,"OnePuttPercentageRound1",2006
89,89,"Steve Lowery",99,38.7,202,522,"OnePuttPercentageRound1",2006
89,89,"Tim Petrovic",95,38.7,202,522,"OnePuttPercentageRound1",2006
91,91,"Camilo Villegas",95,38.69,195,504,"OnePuttPercentageRound1",2006
92,92,"Jerry Kelly",100,38.53,215,558,"OnePuttPercentageRound1",2006
93,93,"Frank Lickliter II",99,38.49,194,504,"OnePuttPercentageRound1",2006
93,93,"Tiger Woods",55,38.49,97,252,"OnePuttPercentageRound1",2006
95,95,"Robert Garrigus",85,38.46,180,468,"OnePuttPercentageRound1",2006
96,96,"Chad Campbell",91,38.43,166,432,"OnePuttPercentageRound1",2006
96,96,"Matt Hansen",68,38.43,166,432,"OnePuttPercentageRound1",2006
98,98,"Tommy Armour III",65,38.41,159,414,"OnePuttPercentageRound1",2006
99,99,"Ryuji Imada",105,38.33,207,540,"OnePuttPercentageRound1",2006
100,100,"James Driscoll",80,38.31,200,522,"OnePuttPercentageRound1",2006
100,100,"Bill Haas",99,38.31,200,522,"OnePuttPercentageRound1",2006
102,102,"Jeff Overton",95,38.27,186,486,"OnePuttPercentageRound1",2006
102,102,"Carl Pettersson",95,38.27,186,486,"OnePuttPercentageRound1",2006
104,104,"Larry Mize",53,38.24,117,306,"OnePuttPercentageRound1",2006
105,105,"Robert Gamez",94,38.15,206,540,"OnePuttPercentageRound1",2006
106,106,"John Cook",67,38.13,151,396,"OnePuttPercentageRound1",2006
107,107,"Charles Howell III",96,38.1,192,504,"OnePuttPercentageRound1",2006
107,107,"Joe Ogilvie",95,38.1,192,504,"OnePuttPercentageRound1",2006
107,107,"Ian Poulter",53,38.1,96,252,"OnePuttPercentageRound1",2006
110,110,"Justin Rose",98,38.07,185,486,"OnePuttPercentageRound1",2006
111,111,"Stephen Ames",63,38.06,137,360,"OnePuttPercentageRound1",2006
112,112,"Patrick Sheehan",104,38.05,226,594,"OnePuttPercentageRound1",2006
113,113,"Mark Calcavecchia",94,38.03,178,468,"OnePuttPercentageRound1",2006
114,114,"Tag Ridings",103,38.02,219,576,"OnePuttPercentageRound1",2006
115,115,"Freddie Jacobson",56,37.96,123,324,"OnePuttPercentageRound1",2006
116,116,"Richard Johnson",94,37.93,198,522,"OnePuttPercentageRound1",2006
117,117,"Paul Stankowski",70,37.88,150,396,"OnePuttPercentageRound1",2006
118,118,"Greg Kraft",79,37.78,170,450,"OnePuttPercentageRound1",2006
119,119,"Scott Verplank",88,37.73,163,432,"OnePuttPercentageRound1",2006
120,120,"Jerry Smith",94,37.7,190,504,"OnePuttPercentageRound1",2006
121,121,"Vance Veazey",59,37.5,135,360,"OnePuttPercentageRound1",2006
122,122,"Fred Couples",52,37.41,101,270,"OnePuttPercentageRound1",2006
123,123,"Carlos Franco",86,37.36,195,522,"OnePuttPercentageRound1",2006
123,123,"Mathias Gronberg",92,37.36,195,522,"OnePuttPercentageRound1",2006
125,125,"Justin Leonard",83,37.27,161,432,"OnePuttPercentageRound1",2006
125,125,"Daisuke Maruyama",83,37.27,161,432,"OnePuttPercentageRound1",2006
127,127,"Brian Davis",92,37.24,181,486,"OnePuttPercentageRound1",2006
128,128,"Greg Owen",79,37.2,154,414,"OnePuttPercentageRound1",2006
128,128,"Mike Sposa",68,37.2,154,414,"OnePuttPercentageRound1",2006
130,130,"Sean OHair",100,37.16,194,522,"OnePuttPercentageRound1",2006
131,131,"Bernhard Langer",77,37.12,147,396,"OnePuttPercentageRound1",2006
132,132,"Eric Axley",91,37.1,187,504,"OnePuttPercentageRound1",2006
132,132,"Bubba Dickerson",98,37.1,207,558,"OnePuttPercentageRound1",2006
132,132,"Kevin Sutherland",100,37.1,187,504,"OnePuttPercentageRound1",2006
135,135,"Brian Bateman",69,37.04,160,432,"OnePuttPercentageRound1",2006
135,135,"JJ Henry",96,37.04,180,486,"OnePuttPercentageRound1",2006
135,135,"Stephen Leaney",84,37.04,180,486,"OnePuttPercentageRound1",2006
135,135,"Ron Whittaker",81,37.04,180,486,"OnePuttPercentageRound1",2006
139,139,"Mark Brooks",90,36.98,233,630,"OnePuttPercentageRound1",2006
139,139,"Tom Pernice Jr",108,36.98,213,576,"OnePuttPercentageRound1",2006
141,141,"Charley Hoffman",100,36.9,186,504,"OnePuttPercentageRound1",2006
141,141,"Will Ma Kenzie",91,36.9,186,504,"OnePuttPercentageRound1",2006
143,143,"Bob Estes",85,36.89,166,450,"OnePuttPercentageRound1",2006
143,143,"JB Holmes",81,36.89,166,450,"OnePuttPercentageRound1",2006
145,145,"Kris Cox",83,36.83,179,486,"OnePuttPercentageRound1",2006
145,145,"Duffy Waldorf",96,36.83,179,486,"OnePuttPercentageRound1",2006
147,147,"Briny Baird",81,36.81,159,432,"OnePuttPercentageRound1",2006
148,148,"Charles Warren",93,36.75,172,468,"OnePuttPercentageRound1",2006
149,149,"Ryan Palmer",101,36.59,191,522,"OnePuttPercentageRound1",2006
150,150,"Steve Jones",83,36.54,171,468,"OnePuttPercentageRound1",2006
151,151,"Wes Short Jr",96,36.46,210,576,"OnePuttPercentageRound1",2006
152,152,"KJ Choi",93,36.44,164,450,"OnePuttPercentageRound1",2006
153,153,"Troy Matteson",101,36.28,209,576,"OnePuttPercentageRound1",2006
154,154,"Alex Cejka",93,36.21,189,522,"OnePuttPercentageRound1",2006
155,155,"Chris DiMarco",83,36.11,156,432,"OnePuttPercentageRound1",2006
155,155,"Hunter Mahan",98,36.11,182,504,"OnePuttPercentageRound1",2006
157,157,"Chris Couch",75,36.01,175,486,"OnePuttPercentageRound1",2006
158,158,"Joe Durant",101,35.91,181,504,"OnePuttPercentageRound1",2006
158,158,"Ian Leggatt",80,35.91,181,504,"OnePuttPercentageRound1",2006
160,160,"Jason Bohn",104,35.82,187,522,"OnePuttPercentageRound1",2006
160,160,"Heath Slocum",96,35.82,187,522,"OnePuttPercentageRound1",2006
162,162,"Shaun Micheel",96,35.71,180,504,"OnePuttPercentageRound1",2006
162,162,"Chris Smith",67,35.71,135,378,"OnePuttPercentageRound1",2006
162,162,"Omar Uresti",61,35.71,135,378,"OnePuttPercentageRound1",2006
165,165,"Rich Beem",85,35.68,167,468,"OnePuttPercentageRound1",2006
166,166,"Joey Sindelar",90,35.63,186,522,"OnePuttPercentageRound1",2006
167,167,"Michael Connell",51,35.45,134,378,"OnePuttPercentageRound1",2006
168,168,"David Branshaw",98,35.44,185,522,"OnePuttPercentageRound1",2006
169,169,"Ted Purdy",103,35.24,203,576,"OnePuttPercentageRound1",2006
169,169,"Brett Quigley",109,35.24,203,576,"OnePuttPercentageRound1",2006
171,171,"Stuart Appleby",83,35.19,133,378,"OnePuttPercentageRound1",2006
171,171,"Jason Schultz",77,35.19,171,486,"OnePuttPercentageRound1",2006
173,173,"Nicholas Thompson",96,35.13,196,558,"OnePuttPercentageRound1",2006
174,174,"Jeff Brehaut",100,35.07,202,576,"OnePuttPercentageRound1",2006
174,174,"Jose Maria Olazabal",62,35.07,101,288,"OnePuttPercentageRound1",2006
176,176,"Trevor Immelman",86,34.95,151,432,"OnePuttPercentageRound1",2006
177,177,"Tim Herron",82,34.83,163,468,"OnePuttPercentageRound1",2006
178,178,"John Senden",96,34.77,169,486,"OnePuttPercentageRound1",2006
179,179,"Steve Elkington",52,34.72,100,288,"OnePuttPercentageRound1",2006
180,180,"Thomas Levet",53,34.64,106,306,"OnePuttPercentageRound1",2006
181,181,"Bart Bryant",87,34.44,155,450,"OnePuttPercentageRound1",2006
182,182,"Jon Mills",68,34.4,161,468,"OnePuttPercentageRound1",2006
183,183,"Ryan Hietala",61,34.34,136,396,"OnePuttPercentageRound1",2006
184,184,"Tjaart van der Walt",60,34.17,123,360,"OnePuttPercentageRound1",2006
185,185,"Ben Curtis",86,33.76,158,468,"OnePuttPercentageRound1",2006
185,185,"John Engler Jr",69,33.76,158,468,"OnePuttPercentageRound1",2006
187,187,"Kenny Perry",73,33.6,127,378,"OnePuttPercentageRound1",2006
188,188,"Roger Tambellini",64,33.56,145,432,"OnePuttPercentageRound1",2006
189,189,"Craig Barlow",77,33.33,126,378,"OnePuttPercentageRound1",2006
190,190,"Jeff Maggert",81,33.12,155,468,"OnePuttPercentageRound1",2006
191,191,"Scott Gutschewski",53,32.41,105,324,"OnePuttPercentageRound1",2006
191,191,"Tom Lehman",70,32.41,105,324,"OnePuttPercentageRound1",2006
193,193,"Mathew Goggin",72,32.22,145,450,"OnePuttPercentageRound1",2006
194,194,"Jonathan Kaye",95,31.85,172,540,"OnePuttPercentageRound1",2006
195,195,"Brandt Jobe",91,31.84,149,468,"OnePuttPercentageRound1",2006
196,196,"Jeff Gove",91,31.55,159,504,"OnePuttPercentageRound1",2006
