"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2012","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2012","GIRPercentagefromOtherthanFairway_PLAYERNAME_2012","GIRPercentagefromOtherthanFairway_ROUNDS_2012","GIRPercentagefromOtherthanFairway_Pct_2012","GIRPercentagefromOtherthanFairway_GREENSHIT_2012","GIRPercentagefromOtherthanFairway_OFHOLES_2012","stat_name","year"
1,1,"Bubba Watson",68,60.73,232,382,"GIRPercentagefromOtherthanFairway",2012
2,2,"Justin Rose",69,59.26,192,324,"GIRPercentagefromOtherthanFairway",2012
3,3,"Scott Dunlap",57,58.33,147,252,"GIRPercentagefromOtherthanFairway",2012
3,3,"Camilo Villegas",79,58.33,238,408,"GIRPercentagefromOtherthanFairway",2012
5,5,"Mathew Goggin",65,58.22,209,359,"GIRPercentagefromOtherthanFairway",2012
6,6,"Greg Owen",90,56.6,283,500,"GIRPercentagefromOtherthanFairway",2012
7,7,"Webb Simpson",77,56.34,231,410,"GIRPercentagefromOtherthanFairway",2012
8,8,"Seung Yul Noh",105,56.26,310,551,"GIRPercentagefromOtherthanFairway",2012
9,9,"Danny Lee",74,55.87,219,392,"GIRPercentagefromOtherthanFairway",2012
10,10,"Robert Garrigus",89,55.58,299,538,"GIRPercentagefromOtherthanFairway",2012
11,11,"Bill Lunde",83,55.5,237,427,"GIRPercentagefromOtherthanFairway",2012
12,12,"Charlie Beljan",61,55.34,171,309,"GIRPercentagefromOtherthanFairway",2012
13,13,"Vijay Singh",99,55.28,293,530,"GIRPercentagefromOtherthanFairway",2012
14,14,"Chris Kirk",93,55.27,278,503,"GIRPercentagefromOtherthanFairway",2012
15,15,"Russell Knox",72,55.26,168,304,"GIRPercentagefromOtherthanFairway",2012
16,16,"Daniel Summerhays",81,55.12,226,410,"GIRPercentagefromOtherthanFairway",2012
17,17,"Kris Blanks",65,54.93,167,304,"GIRPercentagefromOtherthanFairway",2012
18,18,"Billy Horschel",63,54.86,141,257,"GIRPercentagefromOtherthanFairway",2012
18,18,"Hunter Mahan",88,54.86,203,370,"GIRPercentagefromOtherthanFairway",2012
20,20,"Kyle Stanley",86,54.83,261,476,"GIRPercentagefromOtherthanFairway",2012
21,21,"Jason Dufner",83,54.76,207,378,"GIRPercentagefromOtherthanFairway",2012
22,22,"Jhonattan Vegas",77,54.56,269,493,"GIRPercentagefromOtherthanFairway",2012
23,23,"Lee Westwood",60,54.55,156,286,"GIRPercentagefromOtherthanFairway",2012
24,24,"Will Claxton",99,54.47,250,459,"GIRPercentagefromOtherthanFairway",2012
25,25,"Nathan Green",73,54.42,203,373,"GIRPercentagefromOtherthanFairway",2012
26,26,"Scott Stallings",78,54.37,249,458,"GIRPercentagefromOtherthanFairway",2012
27,27,"David Hearn",95,54.29,272,501,"GIRPercentagefromOtherthanFairway",2012
28,28,"Dustin Johnson",70,54.28,222,409,"GIRPercentagefromOtherthanFairway",2012
29,29,"Rory McIlroy",60,54.27,178,328,"GIRPercentagefromOtherthanFairway",2012
30,30,"Stewart Cink",71,54.25,236,435,"GIRPercentagefromOtherthanFairway",2012
31,31,"Jim Furyk",85,54.23,186,343,"GIRPercentagefromOtherthanFairway",2012
32,32,"Miguel Angel Carballo",73,54.19,207,382,"GIRPercentagefromOtherthanFairway",2012
33,33,"JJ Henry",93,54.13,236,436,"GIRPercentagefromOtherthanFairway",2012
34,34,"John Merrick",83,54.08,212,392,"GIRPercentagefromOtherthanFairway",2012
35,35,"Tim Herron",88,54.07,266,492,"GIRPercentagefromOtherthanFairway",2012
36,36,"Martin Flores",95,54.06,326,603,"GIRPercentagefromOtherthanFairway",2012
36,36,"William McGirt",96,54.06,273,505,"GIRPercentagefromOtherthanFairway",2012
38,38,"Ben Crane",73,53.89,194,360,"GIRPercentagefromOtherthanFairway",2012
39,39,"Brian Harman",101,53.8,262,487,"GIRPercentagefromOtherthanFairway",2012
40,40,"Charley Hoffman",88,53.78,249,463,"GIRPercentagefromOtherthanFairway",2012
41,41,"DJ Trahan",73,53.76,200,372,"GIRPercentagefromOtherthanFairway",2012
42,42,"Bud Cauley",99,53.75,294,547,"GIRPercentagefromOtherthanFairway",2012
43,43,"Steve Stricker",73,53.74,194,361,"GIRPercentagefromOtherthanFairway",2012
44,44,"Jonas Blixt",72,53.73,216,402,"GIRPercentagefromOtherthanFairway",2012
44,44,"Graham DeLaet",79,53.73,223,415,"GIRPercentagefromOtherthanFairway",2012
46,46,"Ernie Els",80,53.72,253,471,"GIRPercentagefromOtherthanFairway",2012
46,46,"Sean OHair",84,53.72,253,471,"GIRPercentagefromOtherthanFairway",2012
48,48,"Ricky Barnes",92,53.59,276,515,"GIRPercentagefromOtherthanFairway",2012
48,48,"Josh Teater",97,53.59,269,502,"GIRPercentagefromOtherthanFairway",2012
50,50,"DA Points",88,53.56,233,435,"GIRPercentagefromOtherthanFairway",2012
50,50,"Bo Van Pelt",84,53.56,218,407,"GIRPercentagefromOtherthanFairway",2012
52,52,"Charles Howell III",98,53.54,333,622,"GIRPercentagefromOtherthanFairway",2012
53,53,"Kyle Thompson",51,53.47,131,245,"GIRPercentagefromOtherthanFairway",2012
54,54,"Garth Mulroy",59,53.46,170,318,"GIRPercentagefromOtherthanFairway",2012
55,55,"Chez Reavie",83,53.44,194,363,"GIRPercentagefromOtherthanFairway",2012
56,56,"Harris English",98,53.43,296,554,"GIRPercentagefromOtherthanFairway",2012
57,57,"JB Holmes",90,53.35,279,523,"GIRPercentagefromOtherthanFairway",2012
58,58,"Louis Oosthuizen",65,53.33,176,330,"GIRPercentagefromOtherthanFairway",2012
59,59,"Scott Piercy",95,53.25,311,584,"GIRPercentagefromOtherthanFairway",2012
60,60,"John Senden",81,53.24,197,370,"GIRPercentagefromOtherthanFairway",2012
61,61,"Kevin Kisner",69,53.17,176,331,"GIRPercentagefromOtherthanFairway",2012
62,62,"Angel Cabrera",54,53,159,300,"GIRPercentagefromOtherthanFairway",2012
